Freq(Hz)	SPL(dB)
20	87.514
21	87.556
22	87.561
23	87.417
24	87.247
25	87.14
26	87.097
27	87.139
28	87.202
29	87.23
30	87.217
31	87.12
32	86.995
33	86.897
34	86.789
35	86.721
36	86.696
37	86.677
38	86.638
39	86.57
40	86.517
41	86.413
42	86.322
43	86.239
44	86.192
45	86.126
46	86.063
47	86.008
48	85.951
49	85.863
50	85.799
51	85.794
52	85.754
53	85.725
54	85.678
55	85.643
56	85.607
57	85.546
58	85.504
59	85.469
60	85.425
61	85.378
62	85.329
63	85.259
64	85.177
65	85.093
66	85.048
67	84.98
68	84.927
69	84.88
70	84.851
71	84.813
72	84.778
73	84.748
74	84.734
75	84.731
76	84.716
77	84.722
78	84.732
79	84.74
80	84.759
81	84.757
82	84.774
83	84.824
84	84.856
85	84.873
86	84.902
87	84.942
88	84.969
89	85.015
90	85.063
91	85.123
92	85.166
93	85.223
94	85.28
95	85.336
96	85.374
97	85.433
98	85.484
99	85.517
100	85.6
101	85.649
102	85.675
103	85.704
104	85.754
105	85.809
106	85.849
107	85.877
108	85.911
109	85.956
110	86.001
111	86.026
112	86.07
113	86.092
114	86.11
115	86.149
116	86.182
117	86.219
118	86.24
119	86.28
120	86.308
121	86.335
122	86.354
123	86.387
124	86.41
125	86.417
126	86.446
127	86.472
128	86.482
129	86.501
130	86.525
131	86.533
132	86.562
133	86.58
134	86.598
135	86.618
136	86.631
137	86.641
138	86.655
139	86.664
140	86.674
141	86.677
142	86.682
143	86.701
144	86.703
145	86.708
146	86.723
147	86.725
148	86.729
149	86.743
150	86.747
151	86.746
152	86.753
153	86.753
154	86.752
155	86.76
156	86.76
157	86.762
158	86.768
159	86.767
160	86.763
161	86.762
162	86.755
163	86.756
164	86.756
165	86.754
166	86.762
167	86.758
168	86.75
169	86.753
170	86.754
171	86.748
172	86.75
173	86.759
174	86.756
175	86.75
176	86.757
177	86.757
178	86.751
179	86.762
180	86.759
181	86.761
182	86.762
183	86.754
184	86.765
185	86.764
186	86.767
187	86.765
188	86.765
189	86.77
190	86.758
191	86.768
192	86.77
193	86.757
194	86.759
195	86.758
196	86.764
197	86.768
198	86.75
199	86.751
200	86.752
201	86.748
202	86.742
203	86.737
204	86.735
205	86.731
206	86.715
207	86.716
208	86.714
209	86.701
210	86.694
211	86.686
212	86.689
213	86.686
214	86.679
215	86.68
216	86.678
217	86.673
218	86.675
219	86.672
220	86.677
221	86.678
222	86.676
223	86.685
224	86.689
225	86.692
226	86.692
227	86.684
228	86.694
229	86.695
230	86.682
231	86.679
232	86.671
233	86.665
234	86.661
235	86.651
236	86.646
237	86.642
238	86.634
239	86.633
240	86.627
241	86.627
242	86.634
243	86.634
244	86.634
245	86.63
246	86.634
247	86.632
248	86.627
249	86.629
250	86.627
251	86.625
252	86.62
253	86.615
254	86.618
255	86.615
256	86.611
257	86.621
258	86.628
259	86.636
260	86.644
261	86.643
262	86.649
263	86.643
264	86.639
265	86.64
266	86.634
267	86.634
268	86.633
269	86.631
270	86.63
271	86.623
272	86.621
273	86.619
274	86.616
275	86.61
276	86.611
277	86.606
278	86.606
279	86.602
280	86.592
281	86.598
282	86.592
283	86.585
284	86.583
285	86.575
286	86.578
287	86.569
288	86.561
289	86.557
290	86.55
291	86.548
292	86.543
293	86.544
294	86.539
295	86.525
296	86.523
297	86.529
298	86.513
299	86.509
300	86.522
301	86.511
302	86.506
303	86.512
304	86.506
305	86.501
306	86.504
307	86.505
308	86.507
309	86.502
310	86.503
311	86.504
312	86.497
313	86.492
314	86.498
315	86.493
316	86.483
317	86.501
318	86.497
319	86.482
320	86.489
321	86.487
322	86.485
323	86.485
324	86.479
325	86.477
326	86.484
327	86.483
328	86.475
329	86.483
330	86.484
331	86.478
332	86.485
333	86.485
334	86.479
335	86.482
336	86.479
337	86.488
338	86.494
339	86.485
340	86.486
341	86.482
342	86.479
343	86.487
344	86.486
345	86.476
346	86.481
347	86.489
348	86.491
349	86.489
350	86.485
351	86.481
352	86.48
353	86.488
354	86.492
355	86.487
356	86.49
357	86.492
358	86.496
359	86.497
360	86.495
361	86.502
362	86.5
363	86.502
364	86.506
365	86.502
366	86.51
367	86.505
368	86.504
369	86.52
370	86.517
371	86.515
372	86.518
373	86.514
374	86.52
375	86.518
376	86.522
377	86.527
378	86.522
379	86.525
380	86.519
381	86.517
382	86.515
383	86.511
384	86.515
385	86.512
386	86.507
387	86.501
388	86.495
389	86.5
390	86.508
391	86.501
392	86.493
393	86.492
394	86.49
395	86.488
396	86.489
397	86.484
398	86.482
399	86.487
400	86.485
401	86.478
402	86.48
403	86.477
404	86.477
405	86.472
406	86.474
