Freq(Hz)	SPL(dB)
20	88.025
21	88.096
22	88.173
23	88.103
24	87.991
25	87.924
26	87.928
27	87.984
28	88.064
29	88.122
30	88.149
31	88.077
32	88
33	87.929
34	87.856
35	87.832
36	87.822
37	87.825
38	87.82
39	87.788
40	87.759
41	87.682
42	87.618
43	87.566
44	87.522
45	87.481
46	87.443
47	87.394
48	87.341
49	87.287
50	87.245
51	87.226
52	87.206
53	87.174
54	87.149
55	87.13
56	87.101
57	87.078
58	87.052
59	87.042
60	87.007
61	86.969
62	86.943
63	86.875
64	86.81
65	86.739
66	86.691
67	86.618
68	86.545
69	86.475
70	86.432
71	86.353
72	86.266
73	86.22
74	86.132
75	86.045
76	85.977
77	85.926
78	85.859
79	85.798
80	85.747
81	85.7
82	85.653
83	85.623
84	85.598
85	85.588
86	85.569
87	85.579
88	85.589
89	85.593
90	85.615
91	85.64
92	85.657
93	85.692
94	85.718
95	85.746
96	85.765
97	85.786
98	85.809
99	85.824
100	85.85
101	85.875
102	85.894
103	85.908
104	85.931
105	85.959
106	85.977
107	85.986
108	86.014
109	86.038
110	86.058
111	86.071
112	86.093
113	86.116
114	86.131
115	86.151
116	86.159
117	86.19
118	86.203
119	86.226
120	86.257
121	86.234
122	86.232
123	86.247
124	86.255
125	86.256
126	86.249
127	86.258
128	86.256
129	86.258
130	86.262
131	86.259
132	86.278
133	86.28
134	86.284
135	86.304
136	86.304
137	86.305
138	86.308
139	86.312
140	86.323
141	86.33
142	86.318
143	86.321
144	86.334
145	86.34
146	86.345
147	86.357
148	86.361
149	86.365
150	86.357
151	86.356
152	86.366
153	86.357
154	86.357
155	86.355
156	86.352
157	86.363
158	86.349
159	86.345
160	86.336
161	86.329
162	86.33
163	86.328
164	86.322
165	86.309
166	86.312
167	86.307
168	86.296
169	86.289
170	86.274
171	86.264
172	86.265
173	86.266
174	86.262
175	86.254
176	86.235
177	86.228
178	86.223
179	86.209
180	86.211
181	86.197
182	86.174
183	86.161
184	86.139
185	86.132
186	86.108
187	86.084
188	86.076
189	86.057
190	86.033
191	86.009
192	85.997
193	85.977
194	85.955
195	85.93
196	85.918
197	85.895
198	85.859
199	85.846
200	85.834
201	85.792
202	85.754
203	85.737
204	85.713
205	85.671
206	85.633
207	85.619
208	85.57
209	85.525
210	85.497
211	85.473
212	85.451
213	85.421
214	85.395
215	85.365
216	85.337
217	85.313
218	85.3
219	85.288
220	85.278
221	85.26
222	85.25
223	85.232
224	85.207
225	85.19
226	85.181
227	85.154
228	85.129
229	85.114
230	85.09
231	85.063
232	85.037
233	85.022
234	84.996
235	84.968
236	84.953
237	84.941
238	84.919
239	84.904
240	84.892
241	84.888
242	84.887
243	84.885
244	84.885
245	84.872
246	84.868
247	84.881
248	84.884
249	84.883
250	84.876
251	84.868
252	84.868
253	84.87
254	84.868
255	84.86
256	84.85
257	84.854
258	84.847
259	84.85
