Freq(Hz)	SPL(dB)
20	76.043
21	76.455
22	77.328
23	77.821
24	77.829
25	77.803
26	77.747
27	77.886
28	78.335
29	78.7
30	79.215
31	79.595
32	79.796
33	79.871
34	79.93
35	80.024
36	80.137
37	80.345
38	80.556
39	80.752
40	80.863
41	80.983
42	81.057
43	81.126
44	81.176
45	81.254
46	81.338
47	81.398
48	81.503
49	81.599
50	81.699
51	81.755
52	81.819
53	81.902
54	81.964
55	81.999
56	82.073
57	82.162
58	82.27
59	82.34
60	82.442
61	82.535
62	82.586
63	82.635
64	82.65
65	82.638
66	82.628
67	82.604
68	82.55
69	82.491
70	82.441
71	82.35
72	82.252
73	82.178
74	82.077
75	81.994
76	81.947
77	81.944
78	81.973
79	82.055
80	82.175
81	82.258
82	82.388
83	82.54
84	82.682
85	82.772
86	82.896
87	82.997
88	83.063
89	83.143
90	83.216
91	83.28
92	83.325
93	83.392
94	83.441
95	83.489
96	83.515
97	83.55
98	83.578
99	83.596
100	83.621
101	83.654
102	83.695
103	83.703
104	83.716
105	83.737
106	83.746
107	83.76
108	83.784
109	83.8
110	83.81
111	83.818
112	83.826
113	83.833
114	83.846
115	83.854
116	83.86
117	83.863
118	83.879
119	83.907
120	83.883
121	83.889
122	83.895
123	83.9
124	83.918
125	83.921
126	83.929
127	83.939
128	83.944
129	83.95
130	83.962
131	83.963
132	83.974
133	83.978
134	83.988
135	83.999
136	84.006
137	84.013
138	84.011
139	84.032
140	84.037
141	84.028
142	84.046
143	84.046
144	84.053
145	84.059
146	84.055
147	84.061
148	84.062
149	84.065
150	84.073
151	84.074
152	84.073
153	84.08
154	84.081
155	84.082
156	84.094
157	84.09
158	84.084
159	84.084
160	84.095
161	84.101
162	84.092
163	84.096
164	84.096
165	84.103
166	84.106
167	84.096
168	84.084
169	84.096
170	84.101
171	84.093
172	84.106
173	84.099
174	84.097
175	84.105
176	84.095
177	84.093
178	84.096
179	84.084
180	84.084
181	84.088
182	84.078
183	84.082
184	84.077
