Freq(Hz)	SPL(dB)
20	73.31
21	73.721
22	74.688
23	75.313
24	75.526
25	75.615
26	75.704
27	75.95
28	76.363
29	76.697
30	77.23
31	77.644
32	77.925
33	78.071
34	78.228
35	78.402
36	78.54
37	78.763
38	78.999
39	79.252
40	79.397
41	79.555
42	79.649
43	79.786
44	79.912
45	80.04
46	80.107
47	80.154
48	80.19
49	80.272
50	80.389
51	80.444
52	80.558
53	80.679
54	80.81
55	80.903
56	81.016
57	81.131
58	81.238
59	81.301
60	81.397
61	81.476
62	81.523
63	81.578
64	81.604
65	81.631
66	81.639
67	81.628
68	81.603
69	81.565
70	81.523
71	81.423
72	81.307
73	81.208
74	81.042
75	80.9
76	80.796
77	80.757
78	80.747
79	80.81
80	80.913
81	80.999
82	81.154
83	81.32
84	81.48
85	81.583
86	81.723
87	81.847
88	81.918
89	82.017
90	82.104
91	82.172
92	82.223
93	82.297
94	82.356
95	82.409
96	82.45
97	82.487
98	82.519
99	82.547
100	82.579
101	82.625
102	82.652
103	82.665
104	82.703
105	82.73
106	82.738
107	82.749
108	82.774
109	82.792
110	82.806
111	82.82
112	82.837
113	82.845
114	82.856
115	82.883
116	82.893
117	82.882
118	82.891
119	82.933
120	82.921
121	82.922
122	82.946
123	82.943
124	82.949
125	82.963
126	82.967
127	82.986
128	82.992
129	82.992
130	83.01
131	83.008
132	83.02
133	83.033
134	83.036
135	83.046
136	83.061
137	83.059
138	83.07
139	83.072
140	83.072
141	83.1
142	83.089
143	83.095
144	83.097
145	83.098
146	83.102
147	83.098
148	83.106
149	83.106
150	83.115
151	83.115
152	83.115
153	83.119
154	83.121
155	83.124
156	83.113
157	83.125
158	83.132
159	83.124
160	83.126
161	83.13
162	83.139
163	83.137
164	83.135
165	83.151
166	83.147
167	83.141
168	83.15
169	83.144
170	83.145
171	83.131
172	83.129
173	83.128
174	83.122
175	83.13
176	83.123
177	83.121
178	83.128
179	83.119
180	83.112
181	83.105
182	83.1
183	83.112
184	83.102
185	83.103
186	83.097
187	83.09
188	83.096
189	83.084
190	83.088
191	83.091
192	83.083
193	83.08
194	83.08
195	83.078
196	83.069
197	83.075
198	83.078
199	83.061
200	83.069
201	83.077
202	83.071
203	83.071
204	83.079
205	83.096
206	83.09
207	83.088
208	83.086
209	83.086
210	83.091
211	83.078
212	83.08
213	83.095
214	83.09
215	83.088
216	83.087
217	83.089
218	83.093
219	83.094
220	83.091
221	83.084
222	83.082
223	83.088
224	83.086
225	83.08
226	83.079
227	83.079
228	83.069
229	83.068
230	83.075
231	83.067
232	83.064
233	83.061
234	83.061
235	83.062
236	83.057
237	83.061
238	83.055
239	83.055
240	83.054
241	83.04
242	83.049
243	83.043
244	83.039
245	83.044
246	83.04
247	83.04
248	83.035
249	83.015
250	83.016
251	83.026
252	83.021
253	83.013
254	83.026
255	83.023
256	83.003
257	83.026
258	83.014
259	82.995
260	83.008
261	83.008
262	83.001
263	83.001
264	82.995
265	82.994
266	82.99
267	82.981
