* Measurement data measured by REW V5.20.9
* Source: E:\IEC711 mittaukset\Korjattavat\Hifiman Ananda\Ananda Left AVG Fixed.txt
* Format: Comma/Tab/Space delimited data
* Dated: 21.12.2022 19:55:52
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from E:\IEC711 mittaukset\Korjattavat\Hifiman Ananda\Ananda Left AVG Fixed.txt Format: Comma/Tab/Space delimited data 19986 values loaded, 15 Hz to 20 000 Hz 
* Measurement: Ananda Left AVG Fixed
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	80.065
20.600000	80.432
21.200001	80.805
21.799999	81.269
22.400000	81.732
23.000000	82.142
23.600000	82.448
24.299999	82.676
25.000000	82.816
25.799999	83.005
26.500000	83.162
27.200001	83.303
28.000000	83.428
29.000000	83.475
30.000000	83.494
30.700001	83.437
31.500000	83.487
32.500000	83.616
33.500000	83.496
34.500000	83.290
35.500000	83.204
36.500000	83.244
37.500000	83.442
38.700001	83.501
40.000000	83.490
41.200001	83.423
42.500000	83.331
43.700001	83.192
45.000000	83.222
46.200001	83.194
47.500000	83.107
48.700001	83.062
50.000000	83.069
51.500000	82.880
53.000000	82.963
54.500000	83.100
56.000000	83.227
58.000000	83.166
60.000000	82.973
61.500000	82.931
63.000000	82.910
65.000000	82.897
67.000000	82.946
69.000000	82.712
71.000000	82.641
73.000000	82.533
75.000000	82.471
77.500000	82.560
80.000000	82.470
82.500000	82.455
85.000000	82.411
87.500000	82.388
90.000000	82.429
92.500000	82.455
95.000000	82.366
97.500000	82.355
100.000000	82.323
103.000000	82.220
106.000000	82.120
109.000000	82.099
112.000000	82.108
115.000000	82.077
118.000000	82.052
122.000000	82.074
125.000000	82.034
128.000000	82.137
132.000000	82.124
136.000000	81.971
140.000000	82.055
145.000000	81.866
150.000000	81.997
155.000000	82.082
160.000000	82.031
165.000000	81.971
170.000000	81.981
175.000000	81.941
180.000000	81.942
185.000000	81.874
190.000000	81.866
195.000000	81.870
200.000000	81.903
206.000000	81.849
212.000000	81.757
218.000000	81.707
224.000000	81.631
230.000000	81.492
236.000000	81.314
243.000000	81.199
250.000000	81.231
258.000000	81.259
265.000000	81.363
272.000000	81.445
280.000000	81.556
290.000000	81.553
300.000000	81.617
307.000000	81.722
315.000000	81.795
325.000000	81.951
335.000000	81.964
345.000000	82.042
355.000000	82.023
365.000000	81.974
375.000000	82.028
387.000000	82.141
400.000000	82.163
412.000000	82.242
425.000000	82.195
437.000000	82.259
450.000000	82.087
462.000000	82.060
475.000000	82.126
487.000000	81.901
500.000000	81.512
515.000000	81.254
530.000000	81.336
545.000000	81.340
560.000000	81.443
580.000000	81.706
600.000000	82.146
615.000000	82.536
630.000000	82.790
650.000000	83.178
670.000000	83.441
690.000000	83.498
710.000000	83.222
730.000000	83.055
750.000000	82.938
775.000000	82.243
800.000000	81.403
825.000000	81.723
850.000000	82.402
875.000000	82.937
900.000000	83.591
925.000000	83.997
950.000000	84.052
975.000000	84.132
1000.000000	83.683
1030.000000	82.515
1060.000000	81.898
1090.000000	81.657
1120.000000	81.286
1150.000000	80.973
1180.000000	81.246
1220.000000	81.297
1250.000000	81.005
1280.000000	80.672
1320.000000	80.730
1360.000000	80.387
1400.000000	80.205
1450.000000	80.158
1500.000000	80.460
1550.000000	81.781
1600.000000	82.226
1650.000000	82.438
1700.000000	82.467
1750.000000	82.992
1800.000000	83.664
1850.000000	84.128
1900.000000	84.374
1950.000000	84.322
2000.000000	84.146
2060.000000	84.020
2120.000000	84.594
2180.000000	85.974
2240.000000	86.966
2300.000000	87.912
2360.000000	88.719
2430.000000	89.794
2500.000000	90.885
2580.000000	91.590
2650.000000	92.517
2720.000000	92.751
2800.000000	93.341
2900.000000	94.163
3000.000000	94.268
3070.000000	94.384
3150.000000	94.772
3250.000000	94.124
3350.000000	93.897
3450.000000	93.685
3550.000000	92.923
3650.000000	92.528
3750.000000	91.793
3870.000000	91.030
4000.000000	90.676
4120.000000	89.799
4250.000000	89.155
4370.000000	88.635
4500.000000	87.968
4620.000000	87.932
4750.000000	86.659
4870.000000	85.126
5000.000000	85.430
5150.000000	83.944
5300.000000	84.438
5450.000000	82.477
5600.000000	84.827
5800.000000	90.535
6000.000000	92.225
6150.000000	92.470
6300.000000	95.549
6500.000000	94.890
6700.000000	93.056
6900.000000	91.087
7100.000000	89.763
7300.000000	89.230
7500.000000	89.255
7750.000000	91.095
8000.000000	93.044
8250.000000	92.033
8500.000000	88.368
8750.000000	83.765
9000.000000	76.470
9250.000000	74.172
9500.000000	77.586
9750.000000	79.516
10000.000000	81.463
10300.000000	82.305
10600.000000	81.728
10900.000000	81.260
11200.000000	82.099
11500.000000	83.685
11800.000000	86.040
12200.000000	85.371
12500.000000	82.086
12800.000000	79.060
13200.000000	76.205
13600.000000	75.745
14000.000000	75.809
14500.000000	74.588
15000.000000	73.897
15500.000000	75.134
16000.000000	80.550
16500.000000	84.265
17000.000000	82.198
17500.000000	77.873
18000.000000	73.033
18500.000000	66.361
19000.000000	72.379
19500.000000	74.371
20000.000000	74.986

