* Measurement data measured by REW V5.20.9
* Source: E:\IEC711 mittaukset\Korjattavat\Hifiman Ananda\Ananda Right AVG Fixed.txt
* Format: Comma/Tab/Space delimited data
* Dated: 21.12.2022 19:59:13
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from E:\IEC711 mittaukset\Korjattavat\Hifiman Ananda\Ananda Right AVG Fixed.txt Format: Comma/Tab/Space delimited data 19986 values loaded, 15 Hz to 20 000 Hz 
* Measurement: Ananda Right AVG Fixed
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	82.850
20.600000	82.926
21.200001	82.941
21.799999	82.917
22.400000	82.933
23.000000	82.964
23.600000	82.939
24.299999	82.892
25.000000	82.881
25.799999	82.975
26.500000	83.060
27.200001	83.112
28.000000	83.123
29.000000	83.115
30.000000	83.210
30.700001	83.225
31.500000	83.213
32.500000	83.221
33.500000	83.191
34.500000	83.145
35.500000	83.149
36.500000	83.153
37.500000	83.232
38.700001	83.329
40.000000	83.227
41.200001	83.249
42.500000	83.237
43.700001	83.276
45.000000	83.361
46.200001	83.364
47.500000	83.453
48.700001	83.490
50.000000	83.379
51.500000	83.451
53.000000	83.383
54.500000	83.423
56.000000	83.372
58.000000	83.448
60.000000	83.550
61.500000	83.600
63.000000	83.646
65.000000	83.653
67.000000	83.650
69.000000	83.837
71.000000	83.869
73.000000	83.911
75.000000	83.965
77.500000	83.962
80.000000	84.029
82.500000	83.874
85.000000	83.836
87.500000	83.826
90.000000	83.825
92.500000	83.795
95.000000	83.779
97.500000	83.793
100.000000	83.749
103.000000	83.785
106.000000	83.757
109.000000	83.751
112.000000	83.754
115.000000	83.757
118.000000	83.770
122.000000	83.745
125.000000	83.737
128.000000	83.726
132.000000	83.697
136.000000	83.684
140.000000	83.688
145.000000	83.661
150.000000	83.738
155.000000	83.717
160.000000	83.754
165.000000	83.818
170.000000	83.856
175.000000	83.895
180.000000	83.932
185.000000	83.957
190.000000	83.961
195.000000	83.956
200.000000	83.911
206.000000	83.878
212.000000	83.775
218.000000	83.641
224.000000	83.429
230.000000	83.233
236.000000	83.040
243.000000	82.933
250.000000	82.928
258.000000	82.944
265.000000	83.022
272.000000	83.072
280.000000	83.158
290.000000	83.338
300.000000	83.515
307.000000	83.639
315.000000	83.745
325.000000	83.893
335.000000	83.966
345.000000	84.080
355.000000	84.070
365.000000	84.101
375.000000	84.117
387.000000	84.224
400.000000	84.286
412.000000	84.431
425.000000	84.384
437.000000	84.484
450.000000	84.442
462.000000	84.104
475.000000	83.610
487.000000	83.142
500.000000	82.615
515.000000	82.470
530.000000	82.681
545.000000	83.023
560.000000	83.378
580.000000	83.672
600.000000	83.834
615.000000	84.025
630.000000	84.331
650.000000	84.709
670.000000	84.991
690.000000	85.226
710.000000	85.277
730.000000	84.818
750.000000	83.808
775.000000	82.841
800.000000	82.406
825.000000	82.471
850.000000	82.924
875.000000	83.562
900.000000	84.152
925.000000	84.463
950.000000	84.768
975.000000	85.137
1000.000000	85.043
1030.000000	84.485
1060.000000	83.296
1090.000000	81.898
1120.000000	82.298
1150.000000	82.567
1180.000000	82.268
1220.000000	82.469
1250.000000	82.677
1280.000000	82.906
1320.000000	82.906
1360.000000	82.509
1400.000000	82.408
1450.000000	82.590
1500.000000	82.841
1550.000000	82.615
1600.000000	83.274
1650.000000	83.559
1700.000000	83.932
1750.000000	83.780
1800.000000	84.547
1850.000000	85.195
1900.000000	85.901
1950.000000	86.178
2000.000000	86.430
2060.000000	86.607
2120.000000	86.944
2180.000000	87.762
2240.000000	88.842
2300.000000	89.856
2360.000000	91.122
2430.000000	91.839
2500.000000	92.540
2580.000000	93.197
2650.000000	94.036
2720.000000	94.878
2800.000000	95.416
2900.000000	95.667
3000.000000	95.787
3070.000000	95.793
3150.000000	95.759
3250.000000	95.514
3350.000000	95.022
3450.000000	94.601
3550.000000	94.078
3650.000000	93.518
3750.000000	93.278
3870.000000	92.931
4000.000000	92.234
4120.000000	91.705
4250.000000	91.377
4370.000000	90.962
4500.000000	90.402
4620.000000	89.634
4750.000000	89.608
4870.000000	88.850
5000.000000	87.505
5150.000000	88.570
5300.000000	86.440
5450.000000	85.163
5600.000000	82.691
5800.000000	86.361
6000.000000	88.205
6150.000000	91.347
6300.000000	92.647
6500.000000	94.268
6700.000000	93.317
6900.000000	92.557
7100.000000	91.675
7300.000000	91.028
7500.000000	90.772
7750.000000	91.612
8000.000000	92.343
8250.000000	91.622
8500.000000	89.473
8750.000000	85.203
9000.000000	77.873
9250.000000	74.831
9500.000000	78.130
9750.000000	80.294
10000.000000	81.925
10300.000000	82.557
10600.000000	81.097
10900.000000	81.646
11200.000000	83.720
11500.000000	86.691
11800.000000	89.385
12200.000000	88.045
12500.000000	84.910
12800.000000	81.894
13200.000000	78.612
13600.000000	76.538
14000.000000	74.812
14500.000000	72.584
15000.000000	74.134
15500.000000	76.041
16000.000000	79.129
16500.000000	82.002
17000.000000	82.467
17500.000000	80.242
18000.000000	70.681
18500.000000	65.639
19000.000000	64.850
19500.000000	69.658
20000.000000	73.411

