Freq(Hz)	SPL(dB)
20	83.518
21	83.413
22	83.347
23	83.496
24	83.507
25	83.459
26	83.121
27	82.719
28	82.282
29	82.084
30	82.018
31	82.129
32	82.358
33	82.536
34	82.678
35	82.775
36	82.787
37	82.82
38	82.895
39	83.061
40	83.203
41	83.429
42	83.631
43	83.809
44	83.893
45	83.995
46	84.089
47	84.146
48	84.197
49	84.243
50	84.251
51	84.242
52	84.208
53	84.162
54	84.115
55	84.073
56	84.005
57	83.931
58	83.84
59	83.771
60	83.677
61	83.592
62	83.534
63	83.493
64	83.439
65	83.4
66	83.372
67	83.308
68	83.249
69	83.187
70	83.15
71	83.11
72	83.071
73	83.05
74	83.013
75	82.965
76	82.919
77	82.885
78	82.839
79	82.783
80	82.737
81	82.721
82	82.675
83	82.635
84	82.592
85	82.566
86	82.54
87	82.5
88	82.476
89	82.445
90	82.405
91	82.368
92	82.341
93	82.308
94	82.275
95	82.247
96	82.235
97	82.208
98	82.175
99	82.158
100	82.121
101	82.079
102	82.051
103	82.026
104	81.986
105	81.967
106	81.925
107	81.895
108	81.858
109	81.813
110	81.774
111	81.749
112	81.71
113	81.668
114	81.632
115	81.587
116	81.535
117	81.482
118	81.449
119	81.399
120	81.351
121	81.287
122	81.247
123	81.19
124	81.138
125	81.096
126	81.024
127	80.965
128	80.895
129	80.858
130	80.792
131	80.714
132	80.646
133	80.59
134	80.51
135	80.444
136	80.372
137	80.318
138	80.236
139	80.159
140	80.106
141	80.01
142	79.923
143	79.84
144	79.775
145	79.689
146	79.6
147	79.509
148	79.441
149	79.335
150	79.237
151	79.17
152	79.072
153	78.96
154	78.852
155	78.791
156	78.687
157	78.565
158	78.456
159	78.388
160	78.28
161	78.171
162	78.059
163	77.979
164	77.857
165	77.736
166	77.657
167	77.557
168	77.434
169	77.326
170	77.263
171	77.145
172	77.023
173	76.915
174	76.854
175	76.742
176	76.626
177	76.559
178	76.447
179	76.33
180	76.214
181	76.139
182	76.032
183	75.92
184	75.827
185	75.749
186	75.628
187	75.541
188	75.478
189	75.378
190	75.259
191	75.157
192	75.11
193	75.005
194	74.879
195	74.816
196	74.741
197	74.617
198	74.555
199	74.464
200	74.406
201	74.321
202	74.233
203	74.184
204	74.101
205	74.024
206	73.962
207	73.904
208	73.825
209	73.753
210	73.675
211	73.638
212	73.59
213	73.523
214	73.473
215	73.44
216	73.364
217	73.305
218	73.283
219	73.216
220	73.183
221	73.131
222	73.113
223	73.082
224	73.017
225	72.98
226	72.962
227	72.922
228	72.869
229	72.858
230	72.835
231	72.788
232	72.776
233	72.775
234	72.755
235	72.719
236	72.709
237	72.709
238	72.69
239	72.663
240	72.649
241	72.643
242	72.641
243	72.62
244	72.63
245	72.633
246	72.591
247	72.604
248	72.598
249	72.59
250	72.6
251	72.555
252	72.562
253	72.575
254	72.593
255	72.61
256	72.604
257	72.621
258	72.592
259	72.597
260	72.615
261	72.607
262	72.619
263	72.612
264	72.648
265	72.648
266	72.624
267	72.655
268	72.665
269	72.658
270	72.666
271	72.689
272	72.716
273	72.717
274	72.713
275	72.742
276	72.759
277	72.737
278	72.73
279	72.773
280	72.809
281	72.796
282	72.832
283	72.845
284	72.815
285	72.845
286	72.862
287	72.854
288	72.885
289	72.879
290	72.862
291	72.917
292	72.942
293	72.938
294	72.968
295	72.987
296	72.972
297	72.987
298	73.019
299	73.014
300	73.029
301	73.043
302	73.043
303	73.08
304	73.097
305	73.099
306	73.105
307	73.101
308	73.12
309	73.148
310	73.153
311	73.165
312	73.172
313	73.19
314	73.185
315	73.187
316	73.205
317	73.212
318	73.234
319	73.237
320	73.26
321	73.27
322	73.261
323	73.275
324	73.299
325	73.314
326	73.311
327	73.315
328	73.341
329	73.355
330	73.355
331	73.338
332	73.348
333	73.379
334	73.38
335	73.409
336	73.405
337	73.398
338	73.439
339	73.436
340	73.45
341	73.47
342	73.479
343	73.496
344	73.511
345	73.524
346	73.506
347	73.506
348	73.542
349	73.544
350	73.549
351	73.571
352	73.573
353	73.581
354	73.572
355	73.596
356	73.599
357	73.607
358	73.623
359	73.607
360	73.616
361	73.64
362	73.624
363	73.633
364	73.642
365	73.642
366	73.652
367	73.663
368	73.68
369	73.662
370	73.657
371	73.658
372	73.647
373	73.658
374	73.674
375	73.686
376	73.683
377	73.681
378	73.659
379	73.661
380	73.683
381	73.577
382	73.57
383	73.635
384	73.634
385	73.629
386	73.624
387	73.637
388	73.596
389	73.591
390	73.596
391	73.605
392	73.633
393	73.636
394	73.634
395	73.644
396	73.655
397	73.656
398	73.681
399	73.68
400	73.674
401	73.689
402	73.704
403	73.715
404	73.714
405	73.746
406	73.746
407	73.741
408	73.769
409	73.765
410	73.776
411	73.804
412	73.808
413	73.842
414	73.858
415	73.898
416	73.941
417	73.939
418	74.027
419	74.051
420	74.1
421	74.18
422	74.211
423	74.285
424	74.355
425	74.408
426	74.444
427	74.488
428	74.556
429	74.593
430	74.635
431	74.691
432	74.723
433	74.801
434	74.828
435	74.869
436	74.929
437	74.965
438	74.997
439	75.026
440	75.061
441	75.1
442	75.162
443	75.172
444	75.242
445	75.272
446	75.302
447	75.364
448	75.395
449	75.447
450	75.495
451	75.551
452	75.585
453	75.637
454	75.69
455	75.763
456	75.8
457	75.857
458	75.925
459	75.962
460	76.018
461	76.087
462	76.127
463	76.178
464	76.256
465	76.325
466	76.395
467	76.447
468	76.503
469	76.576
470	76.653
471	76.706
472	76.797
473	76.885
474	76.932
475	77
476	77.109
477	77.173
478	77.221
479	77.333
480	77.432
481	77.52
482	77.593
483	77.693
484	77.788
485	77.896
486	77.955
487	78.062
488	78.166
489	78.236
490	78.35
491	78.445
492	78.55
493	78.625
494	78.725
495	78.811
496	78.92
497	78.994
498	79.09
499	79.189
500	79.243
501	79.327
502	79.423
503	79.508
504	79.565
505	79.639
506	79.705
507	79.78
508	79.825
509	79.884
510	79.936
511	79.976
512	80.007
513	80.044
514	80.077
515	80.089
516	80.082
517	80.08
518	80.07
519	80.056
520	80.032
521	79.988
522	79.937
523	79.904
524	79.84
525	79.772
526	79.723
527	79.641
528	79.549
529	79.446
530	79.382
531	79.288
532	79.188
533	79.068
534	78.999
535	78.895
536	78.783
537	78.681
538	78.61
539	78.511
540	78.393
541	78.314
542	78.22
543	78.108
544	77.971
545	77.898
546	77.803
547	77.683
548	77.569
549	77.507
550	77.403
551	77.275
552	77.202
553	77.083
554	76.966
555	76.868
556	76.798
557	76.692
558	76.567
559	76.474
560	76.396
561	76.294
562	76.207
563	76.13
564	76.044
565	75.917
566	75.834
567	75.771
568	75.65
569	75.587
570	75.496
571	75.431
572	75.33
573	75.234
574	75.147
575	75.078
576	74.971
577	74.889
578	74.827
579	74.724
580	74.654
581	74.558
582	74.483
583	74.413
584	74.338
585	74.23
586	74.168
587	74.092
588	74.03
589	73.979
590	73.893
591	73.821
592	73.748
593	73.692
594	73.625
595	73.574
596	73.484
597	73.435
598	73.392
599	73.319
600	73.257
601	73.205
602	73.155
603	73.101
604	73.051
605	72.99
606	72.902
607	72.867
608	72.836
609	72.785
610	72.7
611	72.641
612	72.621
613	72.562
614	72.515
615	72.483
616	72.443
617	72.402
618	72.335
619	72.308
620	72.275
621	72.231
622	72.201
623	72.164
624	72.097
625	72.052
626	72.004
627	71.961
628	71.944
629	71.927
630	71.9
631	71.881
