Freq(Hz)	SPL(dB)
20	80.532
21	80.276
22	80.07
23	80.546
24	81.174
25	81.523
26	81.651
27	81.523
28	81.288
29	81.187
30	81.211
31	81.412
32	81.83
33	82.268
34	82.851
35	83.138
36	83.118
37	82.839
38	82.54
39	82.194
40	81.914
41	81.645
42	81.399
43	81.289
44	81.273
45	81.277
46	81.533
47	81.788
48	82.267
49	82.909
50	83.633
51	84.111
52	84.788
53	85.391
54	85.861
55	86.086
56	86.304
57	86.439
58	86.553
59	86.636
60	86.73
61	86.746
62	86.71
63	86.607
64	86.473
65	86.368
66	86.342
67	86.377
68	86.513
69	86.738
70	86.905
71	87.155
72	87.385
73	87.516
74	87.663
75	87.771
76	87.845
77	87.878
78	87.912
79	87.921
80	87.914
81	87.906
82	87.895
83	87.87
84	87.833
85	87.812
86	87.777
87	87.756
88	87.744
89	87.739
90	87.732
91	87.722
92	87.72
93	87.704
94	87.696
95	87.68
96	87.668
97	87.656
98	87.634
99	87.621
100	87.599
101	87.575
102	87.542
103	87.526
104	87.508
105	87.488
106	87.474
107	87.46
108	87.44
109	87.42
110	87.396
111	87.387
112	87.364
113	87.345
114	87.331
115	87.307
116	87.288
117	87.26
118	87.25
119	87.224
120	87.207
121	87.193
122	87.175
123	87.161
124	87.138
125	87.126
126	87.104
127	87.087
128	87.062
129	87.04
130	87.021
131	86.995
132	86.974
133	86.957
134	86.93
135	86.911
136	86.88
137	86.865
138	86.843
139	86.813
140	86.798
141	86.766
142	86.74
143	86.715
144	86.689
145	86.666
146	86.639
147	86.606
148	86.586
149	86.552
150	86.526
151	86.508
152	86.471
153	86.442
154	86.413
155	86.391
156	86.356
157	86.322
158	86.288
159	86.263
160	86.23
161	86.201
162	86.163
163	86.138
164	86.099
165	86.058
166	86.031
167	85.984
168	85.938
169	85.899
170	85.869
171	85.827
172	85.784
173	85.736
174	85.707
175	85.661
176	85.613
177	85.584
178	85.537
179	85.481
180	85.433
181	85.399
182	85.349
183	85.304
184	85.256
185	85.23
186	85.185
187	85.139
188	85.108
189	85.065
190	85.024
191	84.992
192	84.972
193	84.934
194	84.907
195	84.873
196	84.858
197	84.845
198	84.821
199	84.808
200	84.8
201	84.777
202	84.759
203	84.754
204	84.732
205	84.702
206	84.677
207	84.659
208	84.626
209	84.598
210	84.593
211	84.579
212	84.548
213	84.519
214	84.497
215	84.462
216	84.424
217	84.388
218	84.365
219	84.333
220	84.294
221	84.257
222	84.234
223	84.196
224	84.157
225	84.129
226	84.102
227	84.064
228	84.031
229	83.999
230	83.959
231	83.923
232	83.877
233	83.849
234	83.811
235	83.768
236	83.736
237	83.707
238	83.659
239	83.607
240	83.572
241	83.533
242	83.479
243	83.44
244	83.413
245	83.367
246	83.329
247	83.28
248	83.254
249	83.218
250	83.176
251	83.141
252	83.121
253	83.099
254	83.059
255	83.026
256	82.988
257	82.926
258	82.884
259	82.858
260	82.809
261	82.774
262	82.737
263	82.72
264	82.677
265	82.633
266	82.608
267	82.579
268	82.548
269	82.503
270	82.485
271	82.443
272	82.4
273	82.371
274	82.347
275	82.313
276	82.281
277	82.251
278	82.223
279	82.182
280	82.152
281	82.13
282	82.093
283	82.063
284	82.028
285	82.005
286	81.97
287	81.934
288	81.91
289	81.891
290	81.851
291	81.823
292	81.805
293	81.763
294	81.739
295	81.71
296	81.692
297	81.673
298	81.641
299	81.618
300	81.593
301	81.564
302	81.554
303	81.519
304	81.503
305	81.489
306	81.481
307	81.472
308	81.447
309	81.43
310	81.42
311	81.407
312	81.395
313	81.374
314	81.358
315	81.355
316	81.339
317	81.336
318	81.323
319	81.298
320	81.3
321	81.283
322	81.272
323	81.259
324	81.245
325	81.23
326	81.223
327	81.22
328	81.192
329	81.201
330	81.213
331	81.197
332	81.177
333	81.176
334	81.187
335	81.187
336	81.189
337	81.184
338	81.189
339	81.197
340	81.184
341	81.188
342	81.177
343	81.167
344	81.169
345	81.151
346	81.142
347	81.142
348	81.122
349	81.096
350	81.085
351	81.039
352	81.01
353	80.97
354	80.918
355	80.845
356	80.791
357	80.696
358	80.591
359	80.533
360	80.41
361	80.274
362	80.142
363	80.036
364	79.886
365	79.73
366	79.565
367	79.465
368	79.305
369	79.154
370	79.064
371	78.926
372	78.811
373	78.702
374	78.633
375	78.551
376	78.474
377	78.416
378	78.4
379	78.366
380	78.33
381	78.305
382	78.286
383	78.28
384	78.273
385	78.262
386	78.271
387	78.288
388	78.303
389	78.319
390	78.334
391	78.351
392	78.366
393	78.377
394	78.405
395	78.449
396	78.467
397	78.464
398	78.474
399	78.502
400	78.514
401	78.513
402	78.524
403	78.544
404	78.545
405	78.55
406	78.569
407	78.579
408	78.587
409	78.603
410	78.622
411	78.632
412	78.632
413	78.665
414	78.698
415	78.704
416	78.729
417	78.741
418	78.747
419	78.771
420	78.796
421	78.812
422	78.831
423	78.845
424	78.848
425	78.858
426	78.866
427	78.871
428	78.875
429	78.865
430	78.868
431	78.876
432	78.869
433	78.866
434	78.863
435	78.863
436	78.86
437	78.851
438	78.844
439	78.846
440	78.856
441	78.861
442	78.853
443	78.848
444	78.84
445	78.839
446	78.843
447	78.834
448	78.824
449	78.834
450	78.829
451	78.815
452	78.82
453	78.819
454	78.812
455	78.809
456	78.81
457	78.803
458	78.798
459	78.802
460	78.796
461	78.797
462	78.792
463	78.784
464	78.804
465	78.799
466	78.777
467	78.768
468	78.756
469	78.751
470	78.743
471	78.744
472	78.759
473	78.752
474	78.754
475	78.76
476	78.742
477	78.744
478	78.747
479	78.742
480	78.729
481	78.735
482	78.732
483	78.727
484	78.731
485	78.728
486	78.729
487	78.724
488	78.731
489	78.732
490	78.726
491	78.731
492	78.732
493	78.743
494	78.752
495	78.75
496	78.747
497	78.744
498	78.741
499	78.73
500	78.736
501	78.743
502	78.741
503	78.73
504	78.725
505	78.739
506	78.738
507	78.734
508	78.73
509	78.72
510	78.715
511	78.704
512	78.698
513	78.7
514	78.7
515	78.688
516	78.669
517	78.663
518	78.663
519	78.655
520	78.631
521	78.616
522	78.602
523	78.597
524	78.575
525	78.569
526	78.563
527	78.529
528	78.527
529	78.522
530	78.511
531	78.508
532	78.496
533	78.481
534	78.491
535	78.493
536	78.466
537	78.47
538	78.464
539	78.438
540	78.419
541	78.409
542	78.398
543	78.389
544	78.378
545	78.363
546	78.361
547	78.339
548	78.328
549	78.328
550	78.29
551	78.281
552	78.273
553	78.246
554	78.241
555	78.226
556	78.203
557	78.189
558	78.175
559	78.132
560	78.127
561	78.11
562	78.104
563	78.103
564	78.055
565	78.032
566	78
567	77.977
568	77.961
569	77.941
570	77.922
571	77.899
572	77.888
573	77.869
574	77.851
575	77.849
576	77.816
577	77.776
578	77.755
579	77.734
580	77.696
581	77.659
582	77.635
583	77.607
584	77.563
585	77.527
586	77.515
587	77.461
588	77.419
589	77.383
590	77.333
591	77.295
592	77.252
593	77.232
594	77.173
595	77.14
596	77.094
597	77.057
598	77
599	76.93
600	76.877
601	76.832
602	76.769
603	76.714
604	76.661
605	76.586
606	76.53
607	76.461
608	76.42
609	76.351
610	76.267
611	76.2
612	76.162
613	76.079
614	76.011
615	75.978
616	75.928
617	75.863
618	75.8
619	75.771
620	75.698
621	75.657
622	75.626
623	75.585
