Freq(Hz)	SPL(dB)
20	79.353
21	79.049
22	78.736
23	79.24
24	80.008
25	80.42
26	80.549
27	80.333
28	79.983
29	79.708
30	79.58
31	79.87
32	80.776
33	81.349
34	81.733
35	81.911
36	81.812
37	81.528
38	81.208
39	80.799
40	80.583
41	80.342
42	80.07
43	79.827
44	79.734
45	79.923
46	80.439
47	80.91
48	81.571
49	82.12
50	82.586
51	82.778
52	82.99
53	83.147
54	83.293
55	83.43
56	83.674
57	83.972
58	84.342
59	84.611
60	85.01
61	85.394
62	85.635
63	85.996
64	86.307
65	86.54
66	86.662
67	86.749
68	86.766
69	86.738
70	86.686
71	86.61
72	86.544
73	86.504
74	86.441
75	86.375
76	86.301
77	86.252
78	86.218
79	86.252
80	86.347
81	86.433
82	86.545
83	86.612
84	86.628
85	86.63
86	86.649
87	86.664
88	86.685
89	86.728
90	86.756
91	86.785
92	86.795
93	86.801
94	86.801
95	86.794
96	86.787
97	86.777
98	86.769
99	86.757
100	86.731
101	86.713
102	86.689
103	86.676
104	86.66
105	86.64
106	86.625
107	86.61
108	86.585
109	86.561
110	86.537
111	86.522
112	86.496
113	86.474
114	86.46
115	86.434
116	86.406
117	86.375
118	86.358
119	86.331
120	86.299
121	86.272
122	86.256
123	86.239
124	86.202
125	86.175
126	86.144
127	86.125
128	86.094
129	86.071
130	86.052
131	86.023
132	85.993
133	85.97
134	85.932
135	85.903
136	85.874
137	85.856
138	85.821
139	85.799
140	85.778
141	85.738
142	85.703
143	85.663
144	85.644
145	85.605
146	85.563
147	85.522
148	85.504
149	85.477
150	85.428
151	85.409
152	85.371
153	85.33
154	85.291
155	85.257
156	85.231
157	85.176
158	85.13
159	85.115
160	85.069
161	85.018
162	84.966
163	84.938
164	84.902
165	84.845
166	84.806
167	84.764
168	84.72
169	84.669
170	84.639
171	84.58
172	84.531
173	84.501
174	84.462
175	84.404
176	84.363
177	84.326
178	84.268
179	84.225
180	84.171
181	84.138
182	84.084
183	84.032
184	83.991
185	83.955
186	83.912
187	83.874
188	83.845
189	83.804
190	83.775
191	83.747
192	83.724
193	83.701
194	83.681
195	83.664
196	83.655
197	83.645
198	83.637
199	83.635
200	83.633
201	83.621
202	83.618
203	83.617
204	83.612
205	83.607
206	83.602
207	83.597
208	83.587
209	83.571
210	83.558
211	83.548
212	83.538
213	83.537
214	83.522
215	83.501
216	83.488
217	83.472
218	83.462
219	83.445
220	83.424
221	83.393
222	83.381
223	83.358
224	83.334
225	83.307
226	83.29
227	83.279
228	83.249
229	83.238
230	83.223
231	83.193
232	83.17
233	83.151
234	83.13
235	83.102
236	83.075
237	83.063
238	83.039
239	83.018
240	82.999
241	82.97
242	82.949
243	82.919
244	82.896
245	82.87
246	82.845
247	82.814
248	82.799
249	82.785
250	82.763
251	82.728
252	82.71
253	82.688
254	82.649
255	82.632
256	82.593
257	82.545
258	82.529
259	82.502
260	82.463
261	82.432
262	82.411
263	82.386
264	82.334
265	82.319
266	82.298
267	82.253
268	82.224
269	82.19
270	82.172
271	82.136
272	82.099
273	82.052
274	82.038
275	82.023
276	81.946
277	81.925
278	81.907
279	81.866
280	81.829
281	81.806
282	81.779
283	81.729
284	81.701
285	81.68
286	81.644
287	81.606
288	81.571
289	81.552
290	81.513
291	81.481
292	81.457
293	81.418
294	81.39
295	81.351
296	81.335
297	81.299
298	81.254
299	81.218
300	81.191
301	81.163
302	81.124
303	81.096
304	81.071
305	81.032
306	81.001
307	80.974
308	80.946
309	80.934
310	80.915
311	80.878
312	80.802
313	80.748
314	80.719
315	80.714
316	80.713
317	80.666
318	80.64
319	80.618
320	80.571
321	80.552
322	80.525
323	80.492
324	80.473
325	80.437
326	80.42
327	80.391
328	80.371
329	80.344
330	80.321
331	80.298
332	80.268
333	80.256
334	80.243
335	80.214
336	80.194
337	80.176
338	80.15
339	80.136
340	80.123
341	80.108
342	80.078
343	80.058
344	80.052
345	80.044
346	80.036
347	80.023
348	80.008
349	79.988
350	79.965
351	79.939
352	79.926
353	79.908
354	79.884
355	79.869
356	79.855
357	79.846
358	79.83
359	79.808
360	79.81
361	79.81
362	79.777
363	79.768
364	79.763
365	79.745
366	79.728
367	79.722
368	79.718
369	79.709
370	79.699
371	79.677
372	79.66
373	79.666
374	79.666
375	79.647
376	79.653
377	79.641
378	79.627
379	79.645
380	79.658
381	79.652
382	79.65
383	79.646
384	79.632
385	79.628
386	79.629
387	79.642
388	79.641
389	79.638
390	79.643
391	79.625
392	79.637
393	79.643
394	79.642
395	79.646
396	79.644
397	79.65
398	79.63
399	79.632
400	79.64
401	79.639
402	79.668
403	79.683
404	79.694
405	79.727
406	79.771
407	79.795
408	79.802
409	79.822
410	79.852
411	79.868
412	79.899
413	79.932
414	79.921
415	79.919
416	79.947
417	79.986
418	79.993
419	79.99
420	80.002
421	79.999
422	79.988
423	80.004
424	79.999
425	79.99
426	80.005
427	80.003
428	80.006
429	80.014
430	80.009
431	80.005
432	80.01
433	80.005
434	79.995
435	79.986
436	79.981
437	79.975
438	79.959
439	79.943
440	79.928
441	79.906
442	79.888
443	79.878
444	79.831
445	79.804
446	79.783
447	79.745
448	79.703
449	79.639
450	79.582
451	79.506
452	79.436
453	79.345
454	79.254
455	79.141
456	79.062
457	78.935
458	78.819
459	78.671
460	78.574
461	78.42
462	78.25
463	78.155
464	77.989
465	77.835
466	77.679
467	77.575
468	77.437
469	77.279
470	77.149
471	77.067
472	76.951
473	76.857
474	76.8
475	76.721
476	76.646
477	76.596
478	76.558
479	76.511
480	76.507
481	76.477
482	76.475
483	76.473
484	76.466
485	76.498
486	76.497
487	76.513
488	76.554
489	76.568
490	76.598
491	76.632
492	76.655
493	76.67
494	76.694
495	76.721
496	76.74
497	76.753
498	76.791
499	76.815
500	76.828
501	76.846
502	76.854
503	76.878
504	76.885
505	76.884
506	76.907
507	76.914
508	76.907
509	76.918
510	76.91
511	76.913
512	76.93
513	76.923
514	76.919
515	76.931
516	76.932
517	76.943
518	76.948
519	76.957
520	76.975
521	76.968
522	76.98
523	76.978
524	76.978
525	76.976
526	76.98
527	76.992
528	76.991
529	77.019
530	77.02
531	77.026
532	77.039
533	77.026
534	77.036
535	77.059
536	77.066
537	77.07
538	77.073
539	77.083
540	77.086
541	77.079
542	77.084
543	77.085
544	77.072
545	77.072
546	77.074
547	77.073
548	77.067
549	77.071
550	77.06
551	77.071
552	77.09
553	77.063
554	77.051
555	77.056
556	77.038
557	77.033
558	77.028
559	77.014
560	77.009
561	76.991
562	76.957
563	76.932
564	76.933
565	76.926
566	76.908
567	76.911
568	76.88
569	76.86
570	76.84
571	76.807
572	76.775
573	76.749
574	76.737
575	76.713
576	76.667
577	76.646
578	76.618
579	76.58
580	76.562
581	76.514
582	76.474
583	76.458
584	76.426
585	76.378
586	76.347
587	76.293
588	76.256
589	76.224
590	76.202
591	76.173
592	76.152
593	76.134
594	76.088
595	76.075
596	76.075
597	76.076
598	76.027
599	76.02
600	76.021
601	76.009
602	76.057
603	76.052
604	76.07
605	76.113
606	76.103
607	76.17
608	76.185
609	76.199
610	76.25
611	76.293
612	76.313
613	76.35
614	76.408
615	76.439
616	76.494
617	76.556
618	76.611
619	76.65
620	76.696
621	76.756
622	76.836
623	76.874
624	76.945
625	77.049
626	77.124
627	77.174
628	77.267
629	77.357
630	77.415
631	77.529
632	77.635
633	77.728
634	77.799
635	77.904
636	78.012
637	78.106
638	78.182
639	78.286
640	78.38
641	78.445
642	78.538
643	78.639
644	78.716
645	78.771
646	78.863
647	78.94
648	78.989
649	79.037
650	79.113
651	79.18
652	79.261
653	79.293
654	79.334
655	79.395
656	79.427
657	79.461
658	79.514
659	79.555
660	79.576
661	79.608
662	79.638
663	79.677
664	79.702
665	79.731
666	79.754
667	79.78
668	79.794
669	79.814
670	79.841
671	79.848
672	79.884
673	79.905
674	79.914
675	79.922
676	79.937
677	79.94
678	79.951
679	79.959
680	79.948
681	79.958
682	79.961
683	79.965
684	79.974
685	79.96
686	79.964
687	79.978
688	79.982
689	79.979
690	79.974
691	79.975
692	79.977
693	79.987
694	79.994
695	79.992
696	80.008
697	80.011
698	80.002
699	80.008
700	80.033
701	80.029
702	80.032
703	80.053
704	80.052
705	80.056
706	80.065
707	80.077
708	80.083
709	80.091
710	80.098
711	80.108
712	80.11
713	80.115
714	80.127
715	80.126
716	80.124
717	80.132
718	80.145
719	80.15
720	80.157
721	80.166
722	80.164
723	80.161
724	80.16
725	80.18
726	80.182
727	80.167
728	80.172
729	80.175
730	80.17
731	80.17
732	80.172
733	80.164
734	80.155
735	80.149
736	80.141
737	80.144
738	80.133
739	80.121
740	80.132
741	80.129
742	80.123
743	80.106
744	80.105
745	80.105
746	80.107
747	80.102
748	80.072
749	80.071
750	80.074
751	80.068
752	80.064
753	80.054
754	80.051
755	80.037
756	80.024
757	80.015
758	79.998
759	79.992
760	79.981
761	79.971
762	79.958
763	79.934
764	79.927
765	79.914
766	79.891
767	79.853
768	79.842
769	79.838
770	79.797
771	79.788
772	79.773
773	79.74
774	79.719
775	79.699
776	79.688
777	79.647
778	79.606
779	79.585
780	79.564
781	79.535
782	79.5
783	79.488
784	79.459
785	79.43
786	79.411
787	79.371
788	79.335
789	79.296
790	79.268
791	79.24
792	79.202
793	79.176
794	79.148
795	79.111
796	79.081
797	79.054
798	79.037
799	79
800	78.96
801	78.94
802	78.9
803	78.874
804	78.841
805	78.83
806	78.807
807	78.764
808	78.763
809	78.736
810	78.699
811	78.69
812	78.67
813	78.646
814	78.637
815	78.621
816	78.61
817	78.604
818	78.596
819	78.593
820	78.604
821	78.606
822	78.581
823	78.587
824	78.6
825	78.595
826	78.608
827	78.614
828	78.619
829	78.631
830	78.643
831	78.66
832	78.691
833	78.691
834	78.707
835	78.731
836	78.748
837	78.756
838	78.772
839	78.807
840	78.823
841	78.859
842	78.867
843	78.891
844	78.929
845	78.933
846	78.961
847	79.008
848	79.034
849	79.053
850	79.086
851	79.113
852	79.134
853	79.156
854	79.178
855	79.181
856	79.208
857	79.226
858	79.258
859	79.278
860	79.284
861	79.304
862	79.332
863	79.344
864	79.339
865	79.363
866	79.371
867	79.352
868	79.366
869	79.375
870	79.37
871	79.364
872	79.361
873	79.353
874	79.349
875	79.337
876	79.307
877	79.273
878	79.24
879	79.225
880	79.185
881	79.152
882	79.096
883	79.057
884	79.009
885	78.948
886	78.881
887	78.839
888	78.782
889	78.708
890	78.657
891	78.581
892	78.488
893	78.404
894	78.355
895	78.269
896	78.176
897	78.074
898	78.014
899	77.946
900	77.849
901	77.796
902	77.735
903	77.638
904	77.563
905	77.522
906	77.466
907	77.413
908	77.365
909	77.33
910	77.281
911	77.25
912	77.198
913	77.158
914	77.13
915	77.111
916	77.089
917	77.068
918	77.066
919	77.038
920	77.026
921	77.041
922	77.032
923	77.025
924	77.029
925	77.014
926	77.003
927	77.005
928	77.006
929	77
930	76.994
931	77.01
932	77.019
933	77.016
934	77.034
935	77.022
936	77.016
937	77.036
938	77.042
939	77.046
940	77.056
941	77.077
942	77.079
943	77.079
944	77.118
945	77.129
946	77.147
947	77.163
948	77.143
949	77.189
950	77.193
951	77.194
952	77.221
953	77.236
954	77.27
955	77.268
956	77.275
957	77.296
958	77.308
959	77.314
960	77.348
961	77.354
962	77.361
963	77.38
964	77.383
965	77.4
966	77.41
967	77.431
968	77.432
969	77.431
970	77.458
971	77.462
972	77.46
973	77.48
974	77.503
975	77.48
976	77.475
977	77.484
978	77.487
979	77.492
980	77.504
981	77.516
982	77.523
983	77.538
984	77.534
985	77.529
986	77.553
987	77.557
988	77.565
989	77.565
990	77.553
991	77.563
992	77.557
993	77.568
994	77.589
995	77.579
996	77.587
997	77.601
998	77.592
999	77.53
1000	77.604
1001	77.643
1002	77.605
1003	77.604
1004	77.578
1005	77.582
1006	77.602
1007	77.604
1008	77.61
1009	77.608
1010	77.613
1011	77.614
1012	77.591
1013	77.587
1014	77.604
1015	77.6
1016	77.592
1017	77.591
1018	77.594
1019	77.589
1020	77.58
1021	77.566
1022	77.572
1023	77.562
1024	77.553
1025	77.554
1026	77.549
1027	77.56
1028	77.542
1029	77.527
1030	77.536
1031	77.522
1032	77.522
1033	77.513
1034	77.515
1035	77.492
1036	77.484
1037	77.486
1038	77.453
1039	77.458
1040	77.44
1041	77.429
1042	77.419
1043	77.423
1044	77.432
1045	77.395
1046	77.39
1047	77.385
1048	77.363
1049	77.351
1050	77.339
1051	77.344
1052	77.329
1053	77.314
1054	77.318
1055	77.29
1056	77.28
1057	77.284
1058	77.272
1059	77.257
1060	77.266
1061	77.256
1062	77.243
1063	77.228
1064	77.198
1065	77.207
1066	77.178
1067	77.142
1068	77.141
1069	77.131
1070	77.11
1071	77.097
1072	77.089
1073	77.08
1074	77.081
1075	77.065
1076	77.061
1077	77.05
1078	77.026
1079	77.003
1080	77.002
1081	76.992
1082	76.993
1083	76.998
1084	76.956
1085	76.946
1086	76.931
1087	76.92
1088	76.92
1089	76.905
1090	76.907
1091	76.899
1092	76.877
1093	76.864
1094	76.859
1095	76.848
1096	76.835
1097	76.81
1098	76.793
1099	76.793
1100	76.78
1101	76.777
1102	76.774
1103	76.736
1104	76.728
1105	76.732
1106	76.719
1107	76.691
1108	76.697
1109	76.692
1110	76.676
1111	76.652
1112	76.604
1113	76.606
1114	76.575
1115	76.559
1116	76.545
1117	76.525
1118	76.546
1119	76.514
1120	76.505
1121	76.478
1122	76.429
1123	76.439
1124	76.42
1125	76.402
1126	76.354
1127	76.327
1128	76.328
1129	76.294
1130	76.264
1131	76.238
1132	76.238
1133	76.189
1134	76.151
1135	76.161
1136	76.146
1137	76.115
1138	76.09
1139	76.07
1140	76.037
1141	76.014
1142	75.976
1143	75.952
1144	75.937
1145	75.911
1146	75.886
1147	75.887
1148	75.866
1149	75.856
1150	75.858
1151	75.808
1152	75.791
1153	75.759
1154	75.773
1155	75.803
1156	75.758
1157	75.763
1158	75.762
1159	75.747
1160	75.725
1161	75.712
1162	75.69
1163	75.692
1164	75.706
1165	75.681
1166	75.674
1167	75.696
1168	75.671
1169	75.659
1170	75.671
1171	75.685
1172	75.679
1173	75.663
1174	75.665
1175	75.663
1176	75.683
1177	75.698
1178	75.692
1179	75.723
1180	75.736
1181	75.76
1182	75.798
1183	75.858
1184	75.86
1185	75.883
1186	75.947
1187	75.959
1188	76.023
1189	76.094
1190	76.172
1191	76.222
1192	76.279
1193	76.394
1194	76.468
1195	76.518
1196	76.607
1197	76.703
1198	76.779
1199	76.884
1200	76.991
1201	77.115
1202	77.199
1203	77.292
1204	77.409
1205	77.526
1206	77.599
1207	77.731
1208	77.862
1209	77.983
1210	78.059
1211	78.183
1212	78.316
1213	78.393
1214	78.51
1215	78.619
1216	78.74
1217	78.828
1218	78.922
1219	79.03
1220	79.14
1221	79.207
1222	79.301
1223	79.388
