Freq(Hz)	SPL(dB)
20	78.745
21	79.072
22	79.78
23	80.12
24	80.132
25	80.112
26	80.141
27	80.354
28	80.753
29	81.094
30	81.526
31	81.795
32	81.957
33	82.013
34	82.096
35	82.203
36	82.294
37	82.487
38	82.704
39	82.881
40	82.982
41	83.103
42	83.179
43	83.283
44	83.374
45	83.495
46	83.596
47	83.679
48	83.791
49	83.881
50	83.981
51	84.035
52	84.133
53	84.214
54	84.28
55	84.319
56	84.356
57	84.388
58	84.413
59	84.437
60	84.47
61	84.499
62	84.525
63	84.558
64	84.563
65	84.578
66	84.59
67	84.596
68	84.62
69	84.648
70	84.671
71	84.698
72	84.724
73	84.736
74	84.759
75	84.788
76	84.802
77	84.822
78	84.848
79	84.862
80	84.891
81	84.899
82	84.92
83	84.951
84	84.966
85	84.989
86	85.014
87	85.018
88	85.03
89	85.05
90	85.06
91	85.079
92	85.091
93	85.1
94	85.114
95	85.123
96	85.129
97	85.136
98	85.141
99	85.153
100	85.173
101	85.173
102	85.182
103	85.195
104	85.204
105	85.204
106	85.208
107	85.211
108	85.21
109	85.215
110	85.219
111	85.212
112	85.208
113	85.207
114	85.204
115	85.195
116	85.191
117	85.183
118	85.177
119	85.185
120	85.16
121	85.162
122	85.167
123	85.145
124	85.136
125	85.127
126	85.116
127	85.109
128	85.099
129	85.092
130	85.081
131	85.075
132	85.069
133	85.062
134	85.051
135	85.042
136	85.035
137	85.028
138	85.015
139	85.012
140	85.008
141	84.995
142	84.988
143	84.977
144	84.974
145	84.971
146	84.958
147	84.949
148	84.94
149	84.93
150	84.924
151	84.919
152	84.907
153	84.9
154	84.894
155	84.887
156	84.884
157	84.871
158	84.861
159	84.856
160	84.855
161	84.847
162	84.833
163	84.832
164	84.829
165	84.828
166	84.82
167	84.8
168	84.802
169	84.789
170	84.78
171	84.774
172	84.761
173	84.755
174	84.75
175	84.741
176	84.729
177	84.723
178	84.716
179	84.71
180	84.687
181	84.675
182	84.681
183	84.671
184	84.638
185	84.63
186	84.643
187	84.623
188	84.608
189	84.602
190	84.574
191	84.568
192	84.565
193	84.56
194	84.549
195	84.536
196	84.533
197	84.518
198	84.514
199	84.493
200	84.486
201	84.478
202	84.448
203	84.45
204	84.45
205	84.423
206	84.413
