Freq(Hz)	SPL(dB)
20	79.127
21	79.359
22	79.893
23	80.239
24	80.363
25	80.437
26	80.6
27	80.821
28	81.164
29	81.423
30	81.742
31	81.977
32	82.156
33	82.226
34	82.342
35	82.465
36	82.547
37	82.72
38	82.893
39	83.035
40	83.115
41	83.225
42	83.303
43	83.395
44	83.456
45	83.539
46	83.646
47	83.709
48	83.794
49	83.875
50	83.942
51	83.979
52	84.031
53	84.079
54	84.121
55	84.146
56	84.171
57	84.193
58	84.218
59	84.23
60	84.259
61	84.289
62	84.305
63	84.322
64	84.333
65	84.348
66	84.358
67	84.365
68	84.39
69	84.41
70	84.42
71	84.445
72	84.457
73	84.469
74	84.489
75	84.503
76	84.512
77	84.52
78	84.537
79	84.544
80	84.548
81	84.554
82	84.561
83	84.561
84	84.566
85	84.566
86	84.57
87	84.571
88	84.573
89	84.579
90	84.575
91	84.584
92	84.588
93	84.581
94	84.584
95	84.582
96	84.577
97	84.571
98	84.561
99	84.563
100	84.568
101	84.547
102	84.55
103	84.552
104	84.54
105	84.541
106	84.53
107	84.531
108	84.528
109	84.518
110	84.515
111	84.508
112	84.499
113	84.502
114	84.496
115	84.476
116	84.463
117	84.464
118	84.461
119	84.444
120	84.447
121	84.431
122	84.415
123	84.401
124	84.395
125	84.389
126	84.37
127	84.371
128	84.36
129	84.351
130	84.344
131	84.331
132	84.319
133	84.318
134	84.318
135	84.293
136	84.282
137	84.281
138	84.266
139	84.261
140	84.25
141	84.224
142	84.219
143	84.207
144	84.196
145	84.187
146	84.185
147	84.172
148	84.159
149	84.147
150	84.139
151	84.132
152	84.126
153	84.12
154	84.109
155	84.106
156	84.1
157	84.09
158	84.087
159	84.082
160	84.071
161	84.064
162	84.061
163	84.053
164	84.041
165	84.038
166	84.034
167	84.028
168	84.02
169	84.011
170	84.001
171	84
172	83.995
173	83.984
174	83.974
175	83.959
176	83.958
177	83.94
178	83.923
179	83.915
180	83.902
181	83.894
182	83.87
183	83.872
184	83.861
185	83.845
186	83.841
187	83.831
188	83.815
189	83.817
190	83.807
191	83.79
192	83.79
193	83.774
194	83.781
195	83.775
196	83.766
197	83.766
198	83.762
199	83.758
200	83.756
201	83.756
202	83.745
203	83.735
204	83.738
205	83.739
206	83.724
207	83.728
208	83.722
209	83.708
210	83.719
211	83.706
212	83.691
213	83.698
214	83.689
215	83.673
216	83.661
217	83.642
218	83.64
219	83.634
220	83.628
221	83.622
222	83.608
223	83.595
224	83.583
225	83.569
226	83.563
227	83.55
228	83.544
229	83.542
230	83.527
231	83.52
232	83.513
233	83.511
234	83.512
235	83.503
236	83.499
237	83.501
238	83.51
239	83.511
240	83.51
241	83.504
242	83.495
243	83.499
244	83.501
245	83.503
246	83.495
247	83.499
248	83.493
249	83.481
250	83.488
251	83.487
252	83.486
253	83.489
254	83.49
255	83.483
256	83.486
257	83.491
258	83.484
259	83.478
260	83.463
261	83.462
262	83.47
263	83.464
264	83.463
265	83.469
266	83.461
267	83.461
268	83.456
269	83.451
270	83.461
271	83.453
272	83.447
273	83.451
274	83.452
275	83.459
276	83.445
277	83.452
278	83.457
279	83.442
280	83.435
281	83.43
282	83.426
283	83.44
284	83.434
285	83.427
286	83.44
287	83.429
288	83.425
289	83.434
290	83.429
291	83.432
292	83.426
293	83.416
294	83.422
295	83.417
296	83.416
297	83.412
298	83.415
299	83.422
300	83.428
301	83.413
302	83.414
303	83.423
304	83.418
305	83.411
306	83.395
307	83.392
308	83.393
309	83.372
310	83.375
311	83.375
312	83.367
313	83.364
314	83.357
315	83.361
316	83.361
317	83.353
318	83.352
319	83.353
320	83.35
321	83.347
322	83.342
323	83.34
324	83.339
325	83.328
326	83.331
327	83.33
328	83.327
329	83.329
330	83.333
331	83.323
332	83.315
333	83.32
334	83.313
335	83.297
336	83.287
337	83.291
338	83.279
339	83.263
340	83.266
341	83.266
342	83.262
343	83.24
344	83.23
345	83.233
346	83.234
347	83.225
348	83.223
349	83.222
350	83.209
351	83.195
352	83.184
353	83.176
354	83.168
355	83.165
356	83.164
357	83.153
358	83.146
359	83.14
360	83.135
361	83.128
362	83.124
363	83.126
364	83.117
365	83.109
366	83.107
367	83.09
368	83.087
369	83.08
370	83.063
371	83.062
372	83.044
373	83.025
374	83.021
375	83.006
376	82.997
377	82.996
378	82.986
379	82.978
380	82.973
381	82.946
382	82.945
383	82.935
384	82.912
385	82.913
386	82.891
387	82.859
388	82.853
389	82.845
390	82.828
391	82.805
392	82.791
393	82.792
394	82.775
395	82.736
396	82.722
397	82.706
398	82.682
399	82.677
400	82.668
401	82.659
402	82.671
403	82.679
404	82.682
405	82.703
406	82.731
407	82.735
408	82.74
409	82.752
410	82.769
411	82.783
412	82.797
413	82.808
414	82.825
415	82.837
416	82.846
417	82.87
418	82.878
419	82.879
420	82.899
421	82.902
422	82.908
423	82.919
424	82.913
425	82.911
426	82.916
427	82.906
428	82.911
429	82.919
430	82.914
431	82.926
432	82.923
433	82.929
434	82.932
435	82.943
436	82.955
437	82.954
438	82.951
439	82.946
440	82.95
441	82.95
442	82.949
443	82.95
444	82.943
445	82.945
446	82.954
447	82.966
448	82.965
449	82.952
450	82.966
451	82.965
452	82.963
453	82.961
454	82.957
455	82.954
456	82.948
457	82.95
458	82.945
459	82.93
460	82.922
461	82.914
462	82.909
463	82.904
