Freq(Hz)	SPL(dB)
20	77.288
21	77.654
22	78.399
23	78.756
24	78.707
25	78.644
26	78.622
27	78.777
28	79.221
29	79.575
30	80.032
31	80.369
32	80.501
33	80.569
34	80.609
35	80.66
36	80.785
37	80.975
38	81.19
39	81.426
40	81.544
41	81.689
42	81.775
43	81.913
44	82.031
45	82.081
46	82.149
47	82.224
48	82.3
49	82.374
50	82.439
51	82.481
52	82.541
53	82.606
54	82.669
55	82.713
56	82.755
57	82.8
58	82.863
59	82.886
60	82.952
61	83.01
62	83.033
63	83.076
64	83.096
65	83.1
66	83.109
67	83.125
68	83.139
69	83.165
70	83.185
71	83.209
72	83.229
73	83.24
74	83.256
75	83.286
76	83.313
77	83.328
78	83.353
79	83.374
80	83.395
81	83.408
82	83.439
83	83.449
84	83.458
85	83.474
86	83.49
87	83.495
88	83.502
89	83.508
90	83.505
91	83.511
92	83.518
93	83.532
94	83.532
95	83.531
96	83.535
97	83.527
98	83.531
99	83.531
100	83.537
101	83.534
102	83.512
103	83.511
104	83.505
105	83.503
106	83.501
107	83.49
108	83.477
109	83.482
110	83.469
111	83.46
112	83.46
113	83.45
114	83.437
115	83.419
116	83.422
117	83.411
118	83.409
119	83.385
120	83.376
121	83.356
122	83.344
123	83.364
124	83.34
125	83.34
126	83.33
127	83.312
128	83.307
129	83.291
130	83.285
131	83.263
132	83.26
133	83.247
134	83.242
135	83.234
136	83.21
137	83.204
138	83.183
139	83.187
140	83.17
141	83.139
142	83.131
143	83.11
144	83.109
145	83.09
146	83.066
147	83.063
148	83.048
149	83.022
150	83.002
151	82.989
152	82.98
153	82.964
154	82.952
155	82.947
156	82.937
157	82.924
158	82.902
159	82.889
160	82.881
161	82.867
162	82.858
163	82.849
164	82.834
165	82.814
166	82.802
167	82.804
168	82.785
169	82.763
170	82.759
171	82.738
172	82.723
173	82.718
174	82.708
175	82.697
176	82.694
177	82.679
178	82.663
179	82.656
180	82.632
181	82.627
182	82.612
183	82.586
184	82.575
185	82.554
186	82.535
187	82.526
188	82.514
189	82.513
190	82.498
191	82.472
192	82.465
193	82.457
194	82.435
195	82.421
196	82.42
197	82.417
198	82.403
199	82.392
200	82.392
201	82.381
202	82.357
203	82.354
204	82.346
205	82.333
206	82.323
207	82.305
208	82.318
209	82.293
210	82.269
211	82.28
212	82.252
213	82.239
214	82.226
215	82.2
216	82.196
217	82.159
218	82.147
219	82.141
220	82.124
221	82.131
222	82.123
223	82.098
224	82.086
225	82.073
226	82.069
227	82.05
228	82.02
229	82.017
230	82.011
231	81.995
232	82
233	81.992
234	81.958
235	81.946
236	81.944
237	81.935
238	81.917
239	81.903
240	81.888
241	81.876
242	81.871
243	81.855
244	81.847
245	81.82
246	81.802
247	81.815
248	81.801
249	81.794
250	81.802
251	81.772
252	81.758
253	81.76
254	81.764
255	81.753
256	81.757
257	81.74
258	81.73
259	81.734
260	81.722
261	81.741
262	81.727
263	81.713
264	81.718
265	81.704
266	81.703
267	81.688
268	81.664
269	81.668
270	81.667
271	81.657
272	81.645
273	81.631
274	81.635
275	81.637
276	81.611
277	81.617
278	81.607
279	81.585
280	81.576
281	81.562
282	81.541
283	81.548
284	81.533
285	81.512
286	81.514
287	81.5
288	81.483
289	81.485
290	81.481
291	81.457
292	81.448
293	81.447
294	81.44
295	81.43
296	81.419
297	81.411
298	81.406
299	81.396
300	81.398
301	81.378
302	81.361
303	81.368
304	81.358
305	81.354
306	81.335
307	81.323
308	81.333
309	81.318
310	81.307
311	81.302
312	81.288
313	81.261
314	81.25
315	81.253
316	81.244
317	81.235
318	81.226
319	81.209
320	81.205
321	81.203
322	81.187
323	81.169
324	81.174
325	81.153
326	81.151
327	81.162
328	81.152
329	81.139
330	81.138
331	81.121
332	81.095
333	81.091
334	81.087
335	81.102
336	81.1
337	81.095
338	81.091
339	81.072
340	81.071
341	81.065
342	81.048
343	81.035
344	81.034
345	81.043
346	81.021
347	81.008
348	81.015
349	81.004
350	81.001
351	80.997
352	80.986
353	80.977
354	80.961
355	80.971
356	80.963
357	80.94
358	80.93
359	80.912
360	80.911
361	80.907
362	80.89
363	80.893
364	80.871
365	80.854
366	80.867
367	80.843
368	80.829
369	80.829
370	80.818
371	80.817
372	80.795
373	80.791
374	80.784
375	80.773
376	80.761
377	80.738
378	80.737
379	80.719
380	80.7
381	80.696
382	80.682
383	80.661
384	80.639
385	80.632
386	80.614
387	80.598
388	80.59
389	80.567
390	80.542
391	80.528
392	80.514
393	80.511
394	80.487
395	80.479
396	80.478
397	80.442
398	80.435
399	80.424
400	80.398
401	80.36
402	80.313
403	80.308
404	80.297
405	80.27
406	80.275
407	80.274
408	80.287
409	80.303
410	80.326
411	80.346
412	80.382
413	80.412
414	80.435
415	80.451
416	80.46
417	80.5
418	80.519
419	80.522
420	80.541
421	80.55
422	80.559
423	80.565
424	80.565
425	80.574
426	80.576
427	80.565
428	80.564
429	80.579
430	80.564
431	80.561
432	80.574
433	80.554
434	80.554
435	80.553
436	80.554
437	80.55
438	80.548
439	80.551
440	80.548
441	80.555
442	80.552
443	80.546
444	80.538
445	80.529
446	80.528
447	80.529
448	80.531
449	80.523
450	80.513
451	80.518
452	80.517
453	80.513
454	80.504
455	80.497
456	80.492
457	80.49
458	80.479
459	80.473
460	80.474
461	80.474
462	80.482
463	80.483
