Freq(Hz)	SPL(dB)
20	77.995
21	78.266
22	78.801
23	79.11
24	79.265
25	79.332
26	79.396
27	79.641
28	79.997
29	80.236
30	80.61
31	80.851
32	81.01
33	81.117
34	81.222
35	81.302
36	81.392
37	81.586
38	81.783
39	81.949
40	82.049
41	82.175
42	82.254
43	82.368
44	82.457
45	82.54
46	82.636
47	82.693
48	82.753
49	82.806
50	82.856
51	82.901
52	82.953
53	83.002
54	83.044
55	83.07
56	83.095
57	83.107
58	83.137
59	83.14
60	83.179
61	83.22
62	83.236
63	83.272
64	83.299
65	83.311
66	83.323
67	83.341
68	83.343
69	83.379
70	83.384
71	83.394
72	83.41
73	83.407
74	83.436
75	83.429
76	83.442
77	83.449
78	83.446
79	83.463
80	83.461
81	83.469
82	83.474
83	83.477
84	83.474
85	83.469
86	83.482
87	83.48
88	83.481
89	83.488
90	83.476
91	83.475
92	83.471
93	83.467
94	83.469
95	83.459
96	83.456
97	83.442
98	83.432
99	83.43
100	83.422
101	83.427
102	83.411
103	83.397
104	83.393
105	83.373
106	83.357
107	83.351
108	83.341
109	83.332
110	83.317
111	83.306
112	83.289
113	83.278
114	83.264
115	83.247
116	83.255
117	83.224
118	83.219
119	83.206
120	83.18
121	83.192
122	83.17
123	83.151
124	83.141
125	83.122
126	83.115
127	83.09
128	83.077
129	83.077
130	83.065
131	83.055
132	83.042
133	83.025
134	83.015
135	83.006
136	82.986
137	82.988
138	82.967
139	82.937
140	82.941
141	82.922
142	82.901
143	82.904
144	82.894
145	82.871
146	82.852
147	82.84
148	82.836
149	82.824
150	82.812
151	82.799
152	82.779
153	82.775
154	82.753
155	82.745
156	82.743
157	82.723
158	82.708
159	82.701
160	82.68
161	82.664
162	82.656
163	82.639
164	82.629
165	82.624
166	82.609
167	82.586
168	82.592
169	82.569
170	82.558
171	82.55
172	82.506
173	82.522
174	82.513
175	82.479
176	82.479
177	82.471
178	82.448
179	82.43
180	82.416
181	82.396
182	82.394
183	82.37
184	82.351
185	82.343
186	82.331
187	82.322
188	82.3
189	82.293
190	82.27
191	82.27
192	82.272
193	82.241
194	82.245
195	82.225
196	82.216
197	82.22
198	82.201
199	82.198
200	82.193
201	82.181
202	82.176
203	82.166
204	82.156
205	82.149
206	82.125
207	82.126
208	82.118
209	82.095
210	82.097
211	82.089
212	82.085
213	82.086
214	82.08
215	82.078
216	82.063
217	82.038
218	82.041
219	82.044
220	82.017
221	82.024
222	82.023
223	82.015
224	82.011
225	82.007
226	82.006
227	81.987
228	81.993
229	81.994
230	81.979
231	81.976
232	81.969
233	81.965
234	81.963
235	81.958
236	81.946
237	81.944
238	81.939
239	81.937
240	81.939
241	81.928
242	81.923
243	81.911
244	81.901
245	81.898
246	81.888
247	81.888
248	81.889
249	81.886
250	81.869
251	81.861
252	81.854
253	81.838
254	81.829
255	81.832
256	81.832
257	81.818
258	81.822
259	81.808
260	81.81
261	81.815
262	81.799
263	81.792
264	81.775
265	81.783
266	81.769
267	81.743
268	81.751
269	81.747
270	81.732
271	81.709
272	81.718
273	81.717
274	81.712
275	81.697
276	81.693
277	81.704
278	81.705
279	81.701
280	81.696
281	81.704
282	81.715
283	81.723
284	81.715
285	81.71
286	81.717
287	81.722
288	81.72
289	81.717
290	81.724
291	81.726
292	81.718
293	81.706
294	81.715
295	81.71
296	81.7
297	81.707
298	81.7
299	81.69
300	81.698
301	81.703
302	81.701
303	81.697
304	81.695
305	81.691
306	81.688
307	81.687
308	81.671
309	81.666
310	81.657
311	81.653
312	81.658
313	81.646
314	81.63
315	81.633
316	81.635
317	81.627
318	81.628
319	81.63
320	81.615
321	81.606
322	81.612
323	81.605
324	81.59
325	81.597
326	81.59
327	81.585
328	81.592
329	81.584
330	81.582
331	81.578
332	81.579
333	81.575
334	81.576
335	81.579
336	81.57
337	81.584
338	81.584
339	81.571
340	81.576
341	81.57
342	81.564
343	81.559
344	81.562
345	81.57
346	81.568
347	81.566
348	81.561
349	81.561
350	81.556
351	81.538
352	81.541
353	81.544
354	81.539
355	81.534
356	81.536
357	81.536
358	81.529
359	81.528
360	81.533
361	81.528
362	81.528
363	81.535
364	81.537
365	81.535
366	81.54
367	81.547
368	81.539
369	81.531
370	81.53
371	81.521
372	81.531
373	81.521
374	81.509
375	81.514
376	81.51
377	81.513
378	81.511
379	81.502
380	81.511
381	81.517
382	81.507
383	81.484
384	81.489
385	81.493
386	81.476
387	81.462
388	81.446
389	81.428
390	81.412
391	81.385
392	81.363
393	81.356
394	81.339
395	81.315
396	81.294
397	81.267
398	81.232
399	81.199
400	81.177
401	81.15
402	81.112
403	81.095
404	81.096
405	81.097
406	81.111
407	81.122
408	81.144
409	81.17
410	81.189
411	81.218
412	81.243
413	81.263
414	81.29
415	81.296
416	81.31
417	81.32
418	81.344
419	81.361
420	81.363
421	81.384
422	81.387
423	81.378
424	81.39
425	81.386
426	81.385
427	81.387
428	81.391
429	81.38
430	81.381
431	81.392
432	81.373
433	81.382
434	81.385
435	81.379
436	81.382
437	81.384
438	81.381
439	81.379
440	81.372
441	81.362
442	81.366
443	81.361
444	81.346
445	81.344
446	81.342
447	81.337
448	81.33
449	81.321
450	81.325
451	81.322
452	81.321
453	81.319
454	81.305
455	81.302
456	81.295
457	81.277
458	81.272
459	81.244
460	81.233
461	81.236
462	81.218
463	81.217
464	81.212
465	81.187
466	81.189
467	81.184
468	81.164
469	81.163
470	81.159
471	81.16
472	81.159
473	81.156
474	81.154
475	81.15
476	81.155
477	81.142
478	81.138
479	81.138
480	81.129
481	81.133
482	81.126
483	81.116
484	81.108
485	81.101
486	81.093
487	81.079
488	81.085
489	81.083
490	81.068
491	81.064
492	81.064
493	81.066
494	81.064
495	81.049
496	81.051
497	81.041
498	81.018
499	81.019
500	81.017
501	81.011
502	81.002
503	80.998
504	80.995
505	80.981
506	80.973
507	80.96
508	80.96
509	80.964
510	80.94
511	80.941
512	80.932
513	80.908
514	80.899
515	80.884
516	80.872
517	80.863
518	80.846
519	80.852
520	80.85
521	80.834
522	80.825
523	80.814
524	80.808
525	80.799
526	80.788
527	80.779
528	80.76
529	80.76
530	80.758
531	80.733
