Freq(Hz)	SPL(dB)
20	77.526
21	77.891
22	78.611
23	78.979
24	78.95
25	78.895
26	78.904
27	79.06
28	79.499
29	79.837
30	80.278
31	80.623
32	80.756
33	80.81
34	80.894
35	80.975
36	81.079
37	81.283
38	81.496
39	81.708
40	81.809
41	81.906
42	82.002
43	82.108
44	82.175
45	82.272
46	82.381
47	82.483
48	82.602
49	82.627
50	82.769
51	82.841
52	82.872
53	82.957
54	83.004
55	83.03
56	83.075
57	83.095
58	83.117
59	83.133
60	83.163
61	83.187
62	83.197
63	83.213
64	83.224
65	83.222
66	83.223
67	83.235
68	83.249
69	83.273
70	83.291
71	83.31
72	83.321
73	83.329
74	83.347
75	83.366
76	83.393
77	83.402
78	83.417
79	83.441
80	83.452
81	83.451
82	83.465
83	83.485
84	83.489
85	83.496
86	83.502
87	83.507
88	83.513
89	83.514
90	83.511
91	83.514
92	83.526
93	83.539
94	83.548
95	83.556
96	83.554
97	83.557
98	83.557
99	83.56
100	83.56
101	83.557
102	83.576
103	83.579
104	83.583
105	83.585
106	83.586
107	83.586
108	83.582
109	83.582
110	83.58
111	83.582
112	83.582
113	83.58
114	83.586
115	83.581
116	83.573
117	83.568
118	83.557
119	83.574
120	83.572
121	83.545
122	83.555
123	83.545
124	83.534
125	83.54
126	83.546
127	83.545
128	83.538
129	83.547
130	83.544
131	83.54
132	83.544
133	83.546
134	83.552
135	83.549
136	83.556
137	83.561
138	83.56
139	83.564
140	83.562
141	83.558
142	83.566
143	83.572
144	83.573
145	83.569
146	83.567
147	83.57
148	83.572
149	83.566
150	83.564
151	83.562
152	83.547
153	83.529
154	83.52
155	83.514
156	83.508
157	83.484
158	83.478
159	83.473
160	83.451
161	83.446
162	83.427
163	83.414
164	83.397
165	83.378
166	83.376
167	83.369
168	83.347
169	83.34
170	83.329
171	83.31
172	83.293
173	83.278
174	83.277
175	83.262
176	83.248
177	83.246
178	83.233
179	83.224
180	83.209
181	83.194
182	83.18
183	83.169
184	83.157
185	83.15
186	83.14
187	83.127
188	83.12
189	83.112
190	83.103
191	83.089
192	83.072
193	83.068
194	83.062
195	83.048
196	83.045
197	83.034
198	83.026
199	83.008
200	82.998
201	82.988
202	82.975
203	82.969
204	82.96
205	82.945
206	82.919
207	82.901
208	82.885
209	82.88
210	82.849
211	82.839
212	82.841
213	82.82
214	82.811
215	82.803
216	82.788
217	82.774
218	82.778
219	82.768
220	82.74
221	82.731
222	82.728
223	82.725
224	82.71
225	82.71
226	82.705
227	82.684
228	82.679
229	82.674
