Freq(Hz)	SPL(dB)
20	76.184
21	76.478
22	77.091
23	77.443
24	77.551
25	77.572
26	77.659
27	77.881
28	78.254
29	78.538
30	78.893
31	79.173
32	79.355
33	79.433
34	79.548
35	79.679
36	79.781
37	79.962
38	80.157
39	80.314
40	80.424
41	80.551
42	80.626
43	80.73
44	80.804
45	80.912
46	80.974
47	81.038
48	81.154
49	81.212
50	81.269
51	81.312
52	81.38
53	81.431
54	81.484
55	81.505
56	81.529
57	81.559
58	81.58
59	81.594
60	81.614
61	81.638
62	81.664
63	81.681
64	81.672
65	81.679
66	81.682
67	81.681
68	81.682
69	81.693
70	81.697
71	81.697
72	81.699
73	81.699
74	81.696
75	81.691
76	81.686
77	81.689
78	81.695
79	81.682
80	81.703
81	81.71
82	81.684
83	81.69
84	81.692
85	81.694
86	81.699
87	81.695
88	81.697
89	81.688
90	81.69
91	81.691
92	81.687
93	81.69
94	81.691
95	81.678
96	81.673
97	81.681
98	81.678
99	81.671
100	81.663
101	81.666
102	81.674
103	81.668
104	81.661
105	81.657
106	81.65
107	81.654
108	81.646
109	81.65
110	81.649
111	81.639
112	81.643
113	81.628
114	81.622
115	81.626
116	81.62
117	81.605
118	81.605
119	81.617
120	81.59
121	81.577
122	81.592
123	81.581
124	81.567
125	81.57
126	81.562
127	81.564
128	81.551
129	81.533
130	81.519
131	81.512
132	81.516
133	81.52
134	81.517
135	81.497
136	81.491
137	81.494
138	81.485
139	81.487
140	81.483
141	81.47
142	81.471
143	81.46
144	81.457
145	81.456
146	81.448
147	81.436
148	81.431
149	81.427
150	81.421
151	81.413
152	81.403
153	81.404
154	81.404
155	81.41
156	81.401
157	81.403
158	81.41
159	81.396
160	81.389
161	81.392
162	81.391
163	81.389
164	81.383
165	81.378
166	81.375
167	81.364
168	81.356
169	81.355
170	81.359
171	81.341
172	81.344
173	81.346
174	81.319
175	81.316
176	81.303
177	81.294
178	81.288
179	81.267
180	81.259
181	81.249
182	81.237
183	81.232
184	81.219
185	81.21
186	81.198
187	81.182
188	81.173
189	81.166
190	81.153
191	81.142
192	81.139
193	81.125
194	81.123
195	81.109
196	81.1
197	81.091
198	81.069
199	81.08
200	81.078
201	81.061
202	81.067
203	81.055
204	81.041
205	81.032
206	81.015
207	81.018
208	81.005
209	81.005
210	80.996
211	80.989
212	80.98
213	80.979
214	80.988
215	80.97
216	80.961
217	80.948
218	80.948
219	80.954
220	80.936
221	80.946
222	80.952
223	80.947
224	80.947
225	80.961
226	80.956
227	80.948
228	80.954
229	80.947
230	80.949
231	80.953
232	80.945
233	80.941
234	80.927
235	80.929
236	80.931
237	80.922
238	80.929
239	80.917
240	80.908
241	80.912
242	80.89
243	80.874
244	80.878
245	80.877
246	80.86
247	80.854
248	80.849
249	80.847
250	80.834
251	80.82
252	80.817
253	80.822
254	80.815
255	80.8
256	80.822
257	80.819
258	80.812
259	80.83
260	80.807
261	80.8
262	80.808
263	80.797
264	80.805
265	80.798
266	80.785
267	80.779
268	80.768
269	80.767
270	80.756
271	80.746
272	80.734
273	80.712
274	80.705
275	80.67
276	80.662
277	80.653
278	80.624
279	80.62
280	80.629
281	80.603
282	80.588
283	80.58
284	80.56
285	80.564
286	80.545
287	80.541
288	80.542
289	80.531
290	80.528
291	80.536
292	80.535
293	80.53
294	80.536
295	80.533
296	80.537
297	80.53
298	80.522
299	80.522
300	80.508
301	80.518
302	80.528
303	80.526
304	80.529
305	80.532
306	80.527
307	80.52
308	80.525
309	80.525
310	80.528
311	80.531
312	80.527
313	80.523
314	80.525
315	80.532
316	80.54
317	80.537
318	80.544
319	80.552
320	80.539
321	80.552
322	80.544
