Freq(Hz)	SPL(dB)
20	75.127
21	75.573
22	76.492
23	76.95
24	76.935
25	76.837
26	76.699
27	76.83
28	77.311
29	77.713
30	78.222
31	78.647
32	78.871
33	78.927
34	78.994
35	79.041
36	79.14
37	79.406
38	79.681
39	79.939
40	80.081
41	80.255
42	80.388
43	80.489
44	80.558
45	80.718
46	80.857
47	80.94
48	81.079
49	81.135
50	81.226
51	81.288
52	81.356
53	81.44
54	81.51
55	81.55
56	81.604
57	81.657
58	81.708
59	81.753
60	81.821
61	81.883
62	81.926
63	81.979
64	82.029
65	82.056
66	82.078
67	82.114
68	82.159
69	82.214
70	82.246
71	82.295
72	82.334
73	82.359
74	82.387
75	82.412
76	82.445
77	82.464
78	82.492
79	82.521
80	82.551
81	82.564
82	82.579
83	82.604
84	82.632
85	82.638
86	82.651
87	82.672
88	82.678
89	82.678
90	82.691
91	82.703
92	82.711
93	82.726
94	82.734
95	82.747
96	82.751
97	82.745
98	82.757
99	82.758
100	82.757
101	82.784
102	82.784
103	82.781
104	82.788
105	82.796
106	82.789
107	82.786
108	82.795
109	82.786
110	82.791
111	82.796
112	82.793
113	82.793
114	82.798
115	82.813
116	82.806
117	82.808
118	82.799
119	82.781
120	82.824
121	82.807
122	82.788
123	82.809
124	82.834
125	82.837
126	82.824
127	82.834
128	82.839
129	82.835
130	82.845
131	82.844
132	82.846
133	82.846
134	82.842
135	82.845
136	82.834
137	82.829
138	82.834
139	82.83
140	82.819
141	82.799
142	82.791
143	82.782
144	82.775
145	82.767
146	82.752
147	82.74
148	82.733
149	82.722
150	82.717
151	82.707
152	82.7
153	82.69
154	82.683
155	82.68
156	82.668
157	82.67
158	82.66
159	82.652
160	82.642
161	82.633
162	82.627
163	82.617
164	82.614
165	82.608
166	82.595
167	82.591
168	82.585
169	82.568
170	82.564
171	82.553
172	82.538
173	82.529
174	82.532
175	82.529
176	82.504
177	82.503
178	82.5
179	82.478
180	82.464
181	82.46
182	82.446
183	82.434
184	82.423
185	82.407
186	82.407
187	82.406
188	82.4
189	82.393
190	82.394
191	82.389
192	82.381
193	82.375
194	82.372
195	82.368
196	82.363
197	82.358
198	82.35
199	82.338
200	82.348
201	82.365
202	82.341
203	82.321
204	82.314
205	82.31
206	82.298
207	82.287
208	82.28
209	82.294
210	82.267
211	82.266
212	82.287
213	82.256
214	82.237
215	82.236
216	82.219
217	82.2
218	82.2
219	82.191
220	82.181
221	82.168
222	82.159
223	82.149
224	82.141
225	82.126
226	82.113
227	82.1
228	82.093
229	82.092
230	82.075
231	82.053
232	82.05
233	82.037
234	82.019
235	82.02
236	81.992
237	81.978
238	81.958
239	81.942
240	81.934
241	81.892
242	81.883
243	81.873
244	81.878
245	81.863
246	81.851
247	81.855
248	81.834
249	81.829
250	81.819
251	81.821
252	81.82
253	81.811
254	81.805
255	81.801
256	81.809
257	81.799
258	81.801
259	81.796
260	81.785
261	81.78
262	81.763
263	81.756
264	81.738
265	81.718
266	81.721
267	81.719
268	81.695
269	81.71
270	81.71
271	81.7
272	81.711
273	81.699
274	81.686
275	81.69
