Freq(Hz)	SPL(dB)
20	75.716
21	75.991
22	76.646
23	77.054
24	77.129
25	77.168
26	77.28
27	77.461
28	77.827
29	78.144
30	78.534
31	78.813
32	79.049
33	79.146
34	79.253
35	79.37
36	79.445
37	79.661
38	79.888
39	80.047
40	80.159
41	80.305
42	80.426
43	80.542
44	80.6
45	80.714
46	80.812
47	80.858
48	80.976
49	81.038
50	81.083
51	81.133
52	81.196
53	81.263
54	81.327
55	81.362
56	81.411
57	81.455
58	81.504
59	81.534
60	81.581
61	81.632
62	81.662
63	81.688
64	81.719
65	81.738
66	81.743
67	81.763
68	81.783
69	81.813
70	81.83
71	81.848
72	81.872
73	81.881
74	81.901
75	81.925
76	81.942
77	81.958
78	81.977
79	81.998
80	82.008
81	82.015
82	82.038
83	82.052
84	82.068
85	82.073
86	82.083
87	82.086
88	82.085
89	82.09
90	82.099
91	82.107
92	82.109
93	82.116
94	82.116
95	82.11
96	82.115
97	82.113
98	82.111
99	82.113
100	82.095
101	82.101
102	82.106
103	82.102
104	82.107
105	82.095
106	82.096
107	82.091
108	82.077
109	82.086
110	82.072
111	82.07
112	82.074
113	82.062
114	82.054
115	82.037
116	82.057
117	82.043
118	82.036
119	82.068
120	82.018
121	82.031
122	82.061
123	82.023
124	82.013
125	82.02
126	82
127	82.001
128	81.997
129	81.989
130	81.988
131	81.984
132	81.993
133	81.989
134	81.984
135	81.99
136	81.968
137	81.968
138	81.97
139	81.959
140	81.968
141	81.968
142	81.959
143	81.961
144	81.956
145	81.947
146	81.951
147	81.956
148	81.946
149	81.944
150	81.938
151	81.927
152	81.927
153	81.917
154	81.91
155	81.909
156	81.893
157	81.889
158	81.877
159	81.871
160	81.87
161	81.848
162	81.833
163	81.829
164	81.815
165	81.809
166	81.808
167	81.795
168	81.779
169	81.784
170	81.778
171	81.763
172	81.76
173	81.74
174	81.727
175	81.713
176	81.699
177	81.689
178	81.676
179	81.666
180	81.663
181	81.661
182	81.639
183	81.63
184	81.626
185	81.601
186	81.584
187	81.59
188	81.573
189	81.565
190	81.582
191	81.563
192	81.568
193	81.581
194	81.575
195	81.571
196	81.564
197	81.557
198	81.562
199	81.56
200	81.558
201	81.566
202	81.56
203	81.562
204	81.561
205	81.564
206	81.56
207	81.563
208	81.564
209	81.56
210	81.584
211	81.553
212	81.537
213	81.557
214	81.538
215	81.534
216	81.535
217	81.521
218	81.52
219	81.517
220	81.516
221	81.526
222	81.531
223	81.521
224	81.49
225	81.499
226	81.496
227	81.469
228	81.453
229	81.444
230	81.447
231	81.445
232	81.443
233	81.435
234	81.428
235	81.434
236	81.41
237	81.408
238	81.415
239	81.418
240	81.417
241	81.406
242	81.408
243	81.408
244	81.403
245	81.385
246	81.377
247	81.399
248	81.395
249	81.363
250	81.371
251	81.362
252	81.368
253	81.383
254	81.378
255	81.394
256	81.393
257	81.376
258	81.373
259	81.376
260	81.369
261	81.345
262	81.37
263	81.367
264	81.333
265	81.344
266	81.34
267	81.327
268	81.327
269	81.317
270	81.314
271	81.298
272	81.296
273	81.287
274	81.286
275	81.291
276	81.278
277	81.278
278	81.284
279	81.28
280	81.273
281	81.289
282	81.285
283	81.251
284	81.268
285	81.277
286	81.27
287	81.265
288	81.273
289	81.284
290	81.279
291	81.283
292	81.295
293	81.295
294	81.288
295	81.29
296	81.285
297	81.289
298	81.303
299	81.299
300	81.304
301	81.325
302	81.319
303	81.32
304	81.333
305	81.325
306	81.318
