Freq(Hz)	SPL(dB)
20	77.258
21	77.617
22	78.315
23	78.531
24	78.439
25	78.336
26	78.298
27	78.455
28	78.918
29	79.228
30	79.53
31	79.937
32	79.98
33	79.877
34	79.95
35	80.023
36	80.099
37	80.289
38	80.433
39	80.618
40	80.721
41	80.792
42	80.85
43	80.828
44	80.883
45	81.044
46	81.148
47	81.221
48	81.298
49	81.338
50	81.39
51	81.41
52	81.449
53	81.483
54	81.465
55	81.467
56	81.482
57	81.457
58	81.448
59	81.434
60	81.435
61	81.407
62	81.383
63	81.372
64	81.279
65	81.249
66	81.226
67	81.149
68	81.12
69	81.08
70	81.06
71	81.049
72	81.027
73	81.026
74	81.078
75	81.058
76	81.101
77	81.15
78	81.196
79	81.258
80	81.323
81	81.413
82	81.49
83	81.573
84	81.672
85	81.728
86	81.856
87	81.959
88	82.028
89	82.12
90	82.199
91	82.33
92	82.387
93	82.474
94	82.57
95	82.629
96	82.697
97	82.749
98	82.797
99	82.802
100	82.866
101	82.993
102	82.988
103	83.019
104	83.06
105	83.1
106	83.147
107	83.157
108	83.192
109	83.219
110	83.252
111	83.287
112	83.296
113	83.336
114	83.387
115	83.359
116	83.394
117	83.451
118	83.414
119	83.47
120	83.51
121	83.514
122	83.575
123	83.571
124	83.549
125	83.611
126	83.631
127	83.605
128	83.687
129	83.699
130	83.663
131	83.696
132	83.728
133	83.715
134	83.747
135	83.772
136	83.771
137	83.8
138	83.823
139	83.788
140	83.784
141	83.834
142	83.837
143	83.847
144	83.868
145	83.877
146	83.877
147	83.878
148	83.887
149	83.889
150	83.872
151	83.88
152	83.904
153	83.915
154	83.896
155	83.891
156	83.9
157	83.907
158	83.927
159	83.903
160	83.876
161	83.903
162	83.899
163	83.896
164	83.895
165	83.861
166	83.843
167	83.869
168	83.874
169	83.826
170	83.81
171	83.802
172	83.816
173	83.826
174	83.827
175	83.78
176	83.735
177	83.753
178	83.778
179	83.778
180	83.762
181	83.76
182	83.77
183	83.787
184	83.792
185	83.785
186	83.778
187	83.763
188	83.753
189	83.747
190	83.731
191	83.718
192	83.695
193	83.673
194	83.669
195	83.642
196	83.635
197	83.635
198	83.62
199	83.57
200	83.541
201	83.545
202	83.527
203	83.505
204	83.489
205	83.484
206	83.483
207	83.441
208	83.414
209	83.415
210	83.369
211	83.356
212	83.364
213	83.364
214	83.344
215	83.304
216	83.267
217	83.238
218	83.221
219	83.202
220	83.172
221	83.145
222	83.133
223	83.104
224	83.1
225	83.064
226	83.033
227	83.012
228	82.985
