Freq(Hz)	SPL(dB)
20	81.796
21	81.941
22	82.314
23	82.565
24	82.736
25	82.85
26	83.026
27	83.21
28	83.443
29	83.58
30	83.718
31	83.898
32	83.97
33	83.997
34	84.089
35	84.134
36	84.149
37	84.228
38	84.332
39	84.407
40	84.456
41	84.471
42	84.53
43	84.574
44	84.579
45	84.616
46	84.654
47	84.691
48	84.717
49	84.684
50	84.734
51	84.774
52	84.773
53	84.784
54	84.762
55	84.727
56	84.697
57	84.658
58	84.615
59	84.597
60	84.592
61	84.553
62	84.504
63	84.453
64	84.42
65	84.368
66	84.32
67	84.258
68	84.198
69	84.136
70	84.102
71	84.058
72	84.012
73	83.952
74	83.874
75	83.84
76	83.805
77	83.811
78	83.829
79	83.861
80	83.935
81	83.97
82	84.031
83	84.103
84	84.135
85	84.168
86	84.217
87	84.267
88	84.322
89	84.398
90	84.489
91	84.569
92	84.611
93	84.678
94	84.744
95	84.789
96	84.807
97	84.864
98	84.898
99	84.907
100	84.961
101	84.999
102	85.018
103	85.039
104	85.045
105	85.058
106	85.088
107	85.099
108	85.121
109	85.136
110	85.156
111	85.181
112	85.208
113	85.227
114	85.239
115	85.229
116	85.251
117	85.255
118	85.278
119	85.293
120	85.294
121	85.358
122	85.351
123	85.363
124	85.374
125	85.373
126	85.398
127	85.402
128	85.427
129	85.438
130	85.444
131	85.456
132	85.467
133	85.478
134	85.482
135	85.495
136	85.516
137	85.514
138	85.508
139	85.529
140	85.54
141	85.552
142	85.559
143	85.548
144	85.552
145	85.565
146	85.561
147	85.567
148	85.573
149	85.575
150	85.58
151	85.569
152	85.559
153	85.56
154	85.557
155	85.568
156	85.563
157	85.565
158	85.57
159	85.559
160	85.568
161	85.556
162	85.557
163	85.558
164	85.539
165	85.537
166	85.533
167	85.53
168	85.53
169	85.519
170	85.505
171	85.506
172	85.506
173	85.471
174	85.463
175	85.455
176	85.441
177	85.427
178	85.406
179	85.407
180	85.373
181	85.376
182	85.415
183	85.4
184	85.381
185	85.385
186	85.382
187	85.36
188	85.358
189	85.342
190	85.315
191	85.299
192	85.289
193	85.269
194	85.237
195	85.227
196	85.204
197	85.184
198	85.168
199	85.141
200	85.144
201	85.135
202	85.127
203	85.121
204	85.121
205	85.113
206	85.091
207	85.095
208	85.056
209	85.042
210	85.068
211	85.062
212	85.027
213	84.993
214	84.992
215	84.991
216	84.981
217	84.949
218	84.917
219	84.905
220	84.906
221	84.869
222	84.866
223	84.842
224	84.82
225	84.813
226	84.775
227	84.751
228	84.749
229	84.717
230	84.692
231	84.675
232	84.641
233	84.63
234	84.606
235	84.586
236	84.559
237	84.551
238	84.52
239	84.485
240	84.477
241	84.441
242	84.414
243	84.397
244	84.379
245	84.342
246	84.329
247	84.3
248	84.283
249	84.271
250	84.225
251	84.223
252	84.209
253	84.171
254	84.167
255	84.145
256	84.116
257	84.096
258	84.063
259	84.059
260	84.035
261	84.009
262	83.988
263	83.968
264	83.95
265	83.918
266	83.9
267	83.884
268	83.841
269	83.803
270	83.786
271	83.752
272	83.716
273	83.702
274	83.687
275	83.647
276	83.622
277	83.594
278	83.578
279	83.553
280	83.522
281	83.511
282	83.489
283	83.45
284	83.434
285	83.414
286	83.372
287	83.357
288	83.326
289	83.308
290	83.277
291	83.26
292	83.25
293	83.209
294	83.184
295	83.17
296	83.145
297	83.1
298	83.091
299	83.042
300	83.012
301	83
302	82.965
303	82.946
304	82.926
305	82.904
306	82.873
307	82.832
308	82.798
309	82.799
310	82.768
311	82.721
312	82.696
313	82.677
314	82.64
315	82.611
316	82.59
317	82.569
318	82.536
319	82.53
320	82.478
