Freq(Hz)	SPL(dB)
20	77.857
21	78.134
22	78.528
23	78.568
24	78.321
25	78.149
26	78.043
27	78.069
28	78.485
29	78.794
30	79.109
31	79.252
32	79.209
33	79.123
34	79.01
35	78.991
36	79.046
37	79.178
38	79.364
39	79.579
40	79.636
41	79.702
42	79.832
43	79.84
44	79.877
45	79.962
46	79.985
47	80.01
48	80.053
49	79.977
50	79.896
51	79.898
52	79.892
53	79.806
54	79.704
55	79.635
56	79.543
57	79.456
58	79.386
59	79.352
60	79.309
61	79.281
62	79.27
63	79.244
64	79.221
65	79.203
66	79.201
67	79.239
68	79.277
69	79.356
70	79.432
71	79.522
72	79.639
73	79.715
74	79.847
75	79.994
76	80.128
77	80.24
78	80.403
79	80.552
80	80.708
81	80.802
82	80.942
83	81.089
84	81.214
85	81.303
86	81.439
87	81.552
88	81.627
89	81.721
90	81.816
91	81.91
92	81.962
93	82.046
94	82.13
95	82.193
96	82.225
97	82.289
98	82.341
99	82.374
100	82.454
101	82.478
102	82.497
103	82.524
104	82.551
105	82.584
106	82.603
107	82.618
108	82.643
109	82.67
110	82.694
111	82.705
112	82.736
113	82.764
114	82.78
115	82.812
116	82.843
117	82.865
118	82.875
119	82.9
120	82.934
121	82.957
122	82.979
123	82.999
124	83.028
125	83.056
126	83.053
127	83.064
128	83.093
129	83.11
130	83.13
131	83.142
132	83.171
133	83.184
134	83.206
135	83.219
136	83.244
137	83.264
138	83.258
139	83.27
140	83.285
141	83.299
142	83.323
143	83.342
144	83.352
145	83.37
146	83.393
147	83.405
148	83.412
149	83.43
150	83.445
151	83.449
152	83.463
153	83.47
154	83.474
155	83.483
156	83.492
157	83.497
158	83.493
159	83.492
160	83.489
161	83.481
162	83.49
163	83.493
164	83.48
165	83.478
166	83.479
167	83.47
168	83.468
169	83.448
170	83.442
171	83.435
172	83.409
173	83.391
174	83.369
175	83.348
176	83.331
177	83.31
178	83.284
179	83.275
180	83.247
181	83.222
182	83.215
183	83.213
184	83.196
185	83.194
186	83.195
187	83.182
188	83.174
189	83.172
190	83.157
191	83.142
192	83.131
