Freq(Hz)	SPL(dB)
20	82.672
21	82.77
22	82.928
23	82.966
24	82.887
25	82.811
26	82.833
27	82.904
28	83.033
29	83.16
30	83.289
31	83.275
32	83.315
33	83.306
34	83.197
35	83.222
36	83.286
37	83.362
38	83.329
39	83.405
40	83.484
41	83.476
42	83.507
43	83.459
44	83.434
45	83.413
46	83.38
47	83.339
48	83.243
49	83.185
50	83.136
51	83.097
52	83.018
53	82.933
54	82.856
55	82.807
56	82.714
57	82.619
58	82.555
59	82.516
60	82.471
61	82.437
62	82.422
63	82.399
64	82.383
65	82.373
66	82.371
67	82.392
68	82.424
69	82.475
70	82.525
71	82.599
72	82.683
73	82.75
74	82.863
75	82.976
76	83.075
77	83.151
78	83.267
79	83.377
80	83.495
81	83.557
82	83.644
83	83.75
84	83.833
85	83.886
86	83.972
87	84.046
88	84.092
89	84.15
90	84.213
91	84.267
92	84.302
93	84.361
94	84.411
95	84.458
96	84.485
97	84.531
98	84.564
99	84.579
100	84.631
101	84.646
102	84.655
103	84.678
104	84.697
105	84.718
106	84.739
107	84.754
108	84.776
109	84.8
110	84.824
111	84.836
112	84.861
113	84.88
114	84.892
115	84.917
116	84.936
117	84.958
118	84.966
119	84.982
120	85.002
121	85.01
122	85.02
123	85.039
124	85.039
125	85.051
126	85.073
127	85.072
128	85.092
129	85.094
130	85.095
131	85.106
132	85.108
133	85.116
134	85.121
135	85.119
136	85.118
137	85.119
138	85.125
139	85.137
140	85.132
141	85.126
142	85.129
143	85.122
144	85.127
145	85.117
146	85.109
147	85.104
148	85.094
149	85.079
150	85.063
151	85.053
152	85.03
153	85.011
154	84.989
155	84.974
156	84.947
157	84.915
158	84.885
159	84.859
160	84.827
161	84.789
162	84.755
163	84.733
164	84.684
165	84.65
166	84.619
167	84.569
168	84.522
169	84.472
170	84.44
171	84.393
172	84.362
173	84.316
174	84.285
175	84.237
176	84.192
177	84.157
178	84.108
179	84.055
180	84.01
181	83.989
182	83.938
183	83.909
184	83.869
185	83.837
186	83.797
187	83.75
188	83.729
189	83.688
190	83.63
191	83.593
192	83.556
193	83.502
194	83.46
195	83.401
196	83.361
197	83.299
198	83.245
199	83.189
200	83.148
201	83.094
202	83.024
203	82.982
204	82.919
205	82.851
