Freq(Hz)	SPL(dB)
20	79.19
21	79.447
22	79.905
23	80.027
24	79.876
25	79.752
26	79.7
27	79.865
28	80.234
29	80.502
30	80.819
31	80.966
32	80.976
33	80.964
34	80.952
35	80.968
36	81.04
37	81.187
38	81.338
39	81.45
40	81.494
41	81.527
42	81.529
43	81.548
44	81.599
45	81.65
46	81.703
47	81.761
48	81.813
49	81.849
50	81.885
51	81.912
52	81.964
53	81.987
54	82.031
55	82.047
56	82.064
57	82.073
58	82.07
59	82.077
60	82.092
61	82.114
62	82.125
63	82.124
64	82.12
65	82.116
66	82.114
67	82.114
68	82.118
69	82.143
70	82.159
71	82.166
72	82.175
73	82.188
74	82.203
75	82.207
76	82.231
77	82.246
78	82.271
79	82.283
80	82.314
81	82.34
82	82.34
83	82.353
84	82.372
85	82.383
86	82.403
87	82.406
88	82.409
89	82.42
90	82.432
91	82.441
92	82.45
93	82.463
94	82.475
95	82.485
96	82.485
97	82.482
98	82.491
99	82.496
100	82.501
101	82.511
102	82.531
103	82.535
104	82.542
105	82.557
106	82.558
107	82.566
108	82.575
109	82.584
110	82.592
111	82.59
112	82.591
113	82.586
114	82.589
115	82.599
116	82.599
117	82.601
118	82.609
119	82.617
120	82.61
121	82.633
122	82.645
123	82.64
124	82.635
125	82.634
126	82.646
127	82.645
128	82.649
129	82.649
130	82.643
131	82.66
132	82.663
133	82.665
134	82.676
135	82.672
136	82.677
137	82.678
138	82.674
139	82.68
140	82.685
141	82.692
142	82.701
143	82.712
144	82.72
145	82.716
146	82.716
147	82.721
148	82.72
149	82.722
150	82.718
151	82.722
152	82.726
153	82.73
154	82.74
155	82.736
156	82.735
157	82.736
158	82.755
159	82.767
160	82.761
161	82.76
162	82.768
163	82.777
164	82.782
165	82.787
166	82.798
167	82.8
168	82.803
169	82.81
170	82.81
171	82.814
172	82.806
173	82.812
174	82.823
175	82.819
176	82.827
177	82.841
178	82.844
179	82.841
180	82.855
181	82.861
182	82.855
183	82.862
184	82.876
185	82.88
186	82.883
187	82.885
188	82.891
189	82.903
190	82.904
191	82.914
192	82.916
193	82.914
194	82.926
195	82.931
196	82.936
197	82.938
198	82.948
199	82.956
200	82.958
201	82.969
202	82.975
203	82.977
204	82.979
205	82.985
206	82.992
207	82.988
208	82.979
209	82.994
210	82.985
211	82.981
212	82.999
213	83.004
214	83.001
215	82.988
216	82.988
217	82.999
218	82.998
219	82.988
220	82.991
221	82.988
222	82.981
223	82.974
224	82.97
225	82.976
226	82.976
227	82.972
228	82.972
229	82.967
230	82.967
231	82.968
232	82.968
233	82.979
234	82.984
235	82.988
236	82.997
237	83.003
238	83.015
239	83.017
240	83.024
241	83.038
242	83.044
243	83.049
244	83.05
245	83.05
246	83.049
247	83.053
248	83.063
249	83.058
250	83.054
251	83.066
252	83.067
253	83.072
254	83.094
255	83.106
256	83.105
257	83.114
258	83.115
259	83.124
260	83.145
261	83.15
262	83.174
263	83.177
264	83.183
265	83.2
266	83.195
267	83.2
268	83.208
269	83.209
270	83.22
271	83.235
272	83.239
273	83.255
274	83.274
275	83.264
276	83.261
277	83.283
278	83.292
279	83.3
280	83.306
281	83.314
282	83.311
283	83.316
284	83.325
285	83.333
286	83.34
287	83.343
288	83.356
289	83.362
290	83.366
291	83.378
292	83.385
293	83.384
294	83.397
295	83.402
296	83.412
297	83.415
298	83.417
299	83.43
300	83.425
301	83.436
302	83.434
303	83.43
304	83.436
305	83.432
306	83.437
307	83.446
308	83.452
309	83.46
310	83.466
311	83.461
312	83.465
313	83.473
314	83.461
315	83.461
316	83.473
317	83.468
318	83.466
319	83.468
320	83.48
321	83.485
322	83.484
323	83.491
324	83.489
325	83.497
326	83.503
327	83.508
328	83.518
329	83.519
330	83.525
331	83.533
332	83.535
333	83.537
334	83.539
335	83.549
336	83.552
337	83.561
338	83.571
339	83.575
340	83.585
341	83.583
342	83.585
343	83.595
344	83.603
345	83.612
346	83.618
347	83.63
348	83.641
349	83.653
350	83.663
351	83.676
352	83.682
353	83.699
354	83.713
355	83.717
356	83.733
357	83.75
358	83.759
359	83.768
360	83.77
361	83.787
362	83.79
363	83.792
364	83.814
365	83.82
366	83.831
367	83.841
368	83.853
369	83.867
370	83.865
371	83.872
372	83.886
373	83.881
