Freq(Hz)	SPL(dB)
20	78.77
21	78.964
22	79.357
23	79.529
24	79.533
25	79.52
26	79.579
27	79.731
28	80.009
29	80.202
30	80.429
31	80.595
32	80.666
33	80.685
34	80.73
35	80.79
36	80.857
37	80.969
38	81.077
39	81.175
40	81.229
41	81.281
42	81.314
43	81.361
44	81.402
45	81.467
46	81.526
47	81.571
48	81.627
49	81.655
50	81.705
51	81.728
52	81.768
53	81.81
54	81.847
55	81.865
56	81.871
57	81.882
58	81.894
59	81.904
60	81.921
61	81.93
62	81.936
63	81.945
64	81.938
65	81.933
66	81.925
67	81.911
68	81.929
69	81.936
70	81.937
71	81.941
72	81.958
73	81.965
74	81.974
75	81.991
76	82.007
77	82.022
78	82.043
79	82.058
80	82.083
81	82.094
82	82.095
83	82.118
84	82.14
85	82.148
86	82.164
87	82.177
88	82.189
89	82.193
90	82.2
91	82.229
92	82.236
93	82.238
94	82.259
95	82.274
96	82.272
97	82.286
98	82.303
99	82.301
100	82.315
101	82.328
102	82.342
103	82.352
104	82.353
105	82.362
106	82.372
107	82.376
108	82.383
109	82.39
110	82.401
111	82.406
112	82.406
113	82.422
114	82.423
115	82.415
116	82.433
117	82.435
118	82.43
119	82.416
120	82.416
121	82.442
122	82.446
123	82.437
124	82.44
125	82.455
126	82.465
127	82.462
128	82.466
129	82.463
130	82.464
131	82.469
132	82.478
133	82.482
134	82.488
135	82.499
136	82.49
137	82.489
138	82.505
139	82.497
140	82.498
141	82.512
142	82.508
143	82.512
144	82.521
145	82.531
146	82.532
147	82.533
148	82.537
149	82.543
150	82.545
151	82.547
152	82.556
153	82.564
154	82.567
155	82.574
156	82.571
157	82.571
158	82.592
159	82.595
160	82.601
161	82.608
162	82.617
163	82.623
164	82.626
165	82.644
166	82.647
167	82.642
168	82.646
169	82.645
170	82.65
171	82.664
172	82.663
173	82.669
174	82.679
175	82.675
176	82.682
177	82.703
178	82.707
179	82.705
180	82.701
181	82.696
182	82.711
183	82.716
184	82.715
185	82.721
186	82.728
187	82.723
188	82.723
189	82.735
190	82.741
191	82.738
192	82.749
193	82.759
194	82.755
195	82.766
196	82.765
197	82.771
198	82.778
199	82.778
200	82.787
201	82.801
202	82.804
203	82.808
204	82.818
205	82.814
206	82.817
207	82.822
208	82.815
209	82.809
210	82.817
211	82.815
212	82.809
213	82.83
214	82.832
215	82.822
216	82.827
217	82.808
218	82.797
219	82.794
220	82.795
221	82.796
222	82.8
223	82.796
224	82.795
225	82.809
226	82.811
227	82.813
228	82.819
229	82.828
230	82.841
231	82.848
232	82.868
233	82.874
234	82.876
235	82.892
236	82.893
237	82.899
238	82.916
239	82.908
240	82.914
241	82.936
242	82.938
243	82.941
244	82.944
245	82.951
246	82.961
247	82.964
248	82.966
249	82.958
250	82.966
251	82.969
252	82.965
253	82.966
254	82.965
255	82.962
256	82.966
257	83.002
258	83.006
259	83.016
260	83.047
261	83.057
262	83.075
263	83.081
264	83.091
265	83.109
266	83.119
267	83.136
268	83.142
269	83.15
270	83.162
271	83.177
272	83.175
273	83.194
274	83.215
275	83.218
276	83.221
277	83.238
278	83.25
279	83.259
280	83.274
281	83.282
282	83.284
283	83.305
284	83.316
285	83.317
286	83.334
287	83.355
288	83.367
289	83.377
290	83.383
291	83.402
292	83.421
293	83.428
294	83.444
295	83.459
296	83.464
297	83.479
298	83.486
299	83.498
300	83.509
301	83.52
302	83.529
303	83.542
304	83.549
305	83.548
306	83.555
307	83.558
308	83.562
309	83.559
310	83.559
311	83.562
312	83.558
313	83.562
314	83.566
315	83.573
316	83.59
317	83.609
318	83.613
319	83.623
320	83.636
321	83.64
322	83.648
323	83.663
324	83.677
325	83.684
326	83.689
327	83.69
328	83.702
329	83.709
330	83.701
331	83.703
332	83.696
333	83.688
334	83.684
335	83.671
336	83.659
337	83.653
338	83.646
339	83.641
340	83.626
341	83.616
342	83.602
343	83.589
344	83.585
345	83.575
346	83.561
347	83.554
348	83.55
349	83.545
350	83.542
351	83.535
352	83.53
353	83.524
354	83.508
355	83.495
356	83.492
357	83.492
358	83.485
359	83.477
360	83.478
361	83.491
362	83.486
363	83.476
364	83.487
365	83.491
366	83.482
367	83.486
368	83.477
369	83.486
370	83.489
371	83.485
372	83.49
373	83.475
374	83.474
375	83.477
376	83.475
377	83.475
378	83.477
379	83.478
380	83.472
381	83.472
382	83.478
383	83.475
384	83.468
385	83.458
386	83.447
387	83.435
388	83.416
389	83.411
390	83.378
391	83.371
392	83.358
393	83.336
394	83.321
395	83.294
396	83.278
397	83.248
398	83.22
399	83.192
400	83.172
401	83.162
402	83.152
403	83.149
404	83.154
405	83.169
406	83.18
407	83.194
408	83.208
409	83.225
410	83.239
411	83.25
412	83.273
413	83.297
414	83.306
415	83.318
416	83.331
417	83.344
418	83.363
419	83.364
420	83.369
421	83.388
422	83.392
423	83.398
424	83.405
425	83.396
426	83.397
427	83.403
428	83.395
429	83.395
430	83.398
431	83.398
432	83.405
433	83.398
434	83.401
435	83.407
436	83.401
437	83.407
438	83.407
439	83.404
440	83.405
441	83.4
442	83.394
443	83.39
444	83.394
445	83.391
446	83.386
447	83.385
448	83.382
449	83.388
450	83.38
451	83.385
452	83.384
453	83.378
454	83.375
455	83.358
456	83.357
457	83.353
458	83.342
459	83.329
460	83.322
461	83.318
462	83.309
463	83.304
464	83.292
465	83.283
466	83.278
467	83.27
468	83.268
469	83.271
470	83.277
471	83.284
472	83.292
473	83.295
474	83.3
475	83.3
476	83.298
477	83.301
478	83.294
479	83.291
480	83.293
481	83.284
482	83.28
483	83.281
484	83.28
485	83.271
486	83.263
487	83.257
488	83.248
489	83.244
490	83.235
491	83.229
492	83.237
493	83.241
494	83.243
495	83.236
496	83.23
497	83.229
498	83.217
499	83.196
500	83.194
501	83.201
502	83.199
503	83.187
504	83.18
505	83.175
506	83.175
507	83.175
508	83.165
509	83.157
510	83.157
511	83.146
512	83.141
513	83.133
514	83.129
515	83.125
516	83.103
517	83.093
518	83.092
519	83.085
520	83.082
521	83.074
522	83.059
523	83.059
524	83.058
525	83.053
526	83.047
527	83.038
528	83.03
529	83.018
530	83.016
531	83.012
532	83.003
533	82.996
534	82.985
535	82.982
536	82.982
537	82.974
538	82.965
539	82.95
540	82.944
541	82.933
542	82.93
543	82.938
544	82.935
545	82.931
546	82.921
547	82.915
548	82.901
549	82.891
550	82.879
551	82.865
552	82.856
553	82.855
554	82.857
555	82.849
556	82.856
557	82.87
558	82.871
559	82.871
560	82.863
561	82.844
562	82.839
563	82.838
564	82.821
565	82.805
566	82.814
567	82.816
568	82.814
569	82.818
570	82.821
571	82.817
572	82.809
573	82.811
574	82.811
575	82.798
576	82.784
577	82.794
578	82.79
579	82.789
580	82.793
581	82.777
