Freq(Hz)	SPL(dB)
20	77.832
21	78.127
22	78.661
23	78.875
24	78.732
25	78.625
26	78.605
27	78.762
28	79.188
29	79.486
30	79.844
31	80.102
32	80.162
33	80.164
34	80.19
35	80.257
36	80.344
37	80.502
38	80.705
39	80.837
40	80.907
41	80.982
42	81.023
43	81.088
44	81.123
45	81.185
46	81.291
47	81.359
48	81.435
49	81.517
50	81.565
51	81.59
52	81.664
53	81.731
54	81.793
55	81.817
56	81.836
57	81.852
58	81.88
59	81.903
60	81.96
61	81.999
62	82.021
63	82.045
64	82.067
65	82.07
66	82.064
67	82.087
68	82.097
69	82.127
70	82.159
71	82.187
72	82.222
73	82.236
74	82.254
75	82.294
76	82.319
77	82.335
78	82.362
79	82.373
80	82.389
81	82.409
82	82.446
83	82.467
84	82.49
85	82.51
86	82.533
87	82.556
88	82.569
89	82.582
90	82.597
91	82.624
92	82.643
93	82.649
94	82.665
95	82.687
96	82.692
97	82.697
98	82.717
99	82.737
100	82.743
101	82.753
102	82.774
103	82.777
104	82.779
105	82.795
106	82.804
107	82.803
108	82.818
109	82.825
110	82.835
111	82.853
112	82.862
113	82.862
114	82.876
115	82.9
116	82.912
117	82.914
118	82.919
119	82.947
120	82.93
121	82.932
122	82.95
123	82.939
124	82.945
125	82.952
126	82.953
127	82.963
128	82.983
129	82.988
130	82.993
131	83.013
132	83.018
133	83.028
134	83.042
135	83.034
136	83.05
137	83.079
138	83.105
139	83.098
140	83.093
141	83.1
142	83.113
143	83.128
144	83.139
145	83.14
146	83.152
147	83.172
148	83.184
149	83.201
150	83.214
151	83.222
152	83.228
153	83.24
154	83.255
155	83.26
156	83.27
157	83.291
158	83.301
159	83.31
160	83.308
161	83.317
162	83.347
163	83.347
164	83.349
165	83.371
166	83.382
167	83.382
168	83.401
169	83.414
170	83.422
171	83.431
172	83.43
173	83.456
174	83.456
175	83.465
176	83.481
177	83.482
178	83.48
179	83.49
180	83.492
181	83.471
182	83.496
183	83.521
184	83.496
185	83.499
186	83.51
187	83.511
188	83.513
189	83.525
190	83.529
191	83.527
192	83.531
193	83.536
194	83.538
195	83.537
196	83.547
197	83.536
198	83.502
199	83.524
200	83.546
201	83.557
202	83.53
203	83.525
204	83.535
205	83.539
206	83.537
207	83.524
208	83.536
209	83.524
210	83.517
211	83.525
212	83.501
213	83.489
214	83.498
215	83.501
216	83.514
217	83.516
218	83.514
219	83.519
220	83.504
221	83.503
222	83.506
223	83.497
224	83.506
225	83.501
226	83.5
227	83.507
228	83.491
229	83.488
230	83.494
231	83.487
232	83.477
233	83.478
234	83.467
235	83.463
236	83.475
237	83.471
238	83.48
239	83.461
240	83.45
241	83.475
242	83.459
243	83.463
244	83.473
245	83.466
246	83.482
247	83.451
248	83.443
249	83.453
250	83.431
251	83.453
252	83.456
253	83.441
254	83.467
255	83.475
256	83.457
257	83.468
258	83.448
259	83.434
260	83.455
261	83.455
262	83.469
263	83.472
264	83.47
265	83.482
266	83.482
267	83.485
268	83.473
269	83.457
270	83.461
271	83.478
272	83.486
273	83.497
274	83.503
275	83.494
276	83.47
277	83.498
278	83.51
279	83.493
280	83.5
281	83.498
282	83.524
283	83.535
284	83.526
285	83.531
286	83.525
287	83.54
288	83.532
289	83.522
290	83.538
291	83.548
292	83.552
293	83.555
294	83.578
295	83.566
296	83.566
297	83.594
298	83.578
299	83.605
300	83.616
301	83.596
302	83.58
303	83.592
304	83.606
305	83.602
306	83.613
307	83.619
308	83.618
309	83.652
310	83.642
311	83.632
312	83.652
313	83.659
314	83.668
315	83.671
316	83.669
317	83.669
318	83.692
319	83.691
320	83.677
321	83.699
322	83.702
323	83.713
324	83.72
325	83.734
326	83.741
327	83.738
328	83.743
329	83.748
330	83.744
331	83.743
332	83.735
333	83.745
334	83.771
335	83.771
336	83.772
337	83.79
338	83.81
339	83.817
340	83.833
341	83.836
342	83.863
343	83.835
344	83.816
345	83.829
346	83.834
347	83.836
348	83.83
349	83.828
350	83.819
351	83.823
352	83.811
353	83.798
354	83.817
355	83.809
356	83.808
357	83.821
358	83.831
359	83.826
360	83.836
361	83.841
362	83.844
363	83.848
364	83.834
365	83.837
366	83.844
367	83.848
368	83.849
369	83.859
370	83.862
371	83.851
372	83.849
373	83.86
374	83.861
375	83.843
376	83.85
377	83.851
378	83.838
379	83.83
380	83.822
381	83.828
382	83.839
383	83.833
384	83.822
385	83.819
386	83.826
387	83.828
388	83.816
389	83.817
390	83.8
391	83.79
392	83.792
393	83.774
394	83.747
395	83.742
396	83.731
397	83.703
398	83.693
399	83.666
400	83.648
401	83.615
402	83.574
403	83.54
404	83.511
405	83.473
406	83.445
407	83.401
408	83.376
409	83.354
410	83.329
411	83.319
412	83.311
413	83.315
414	83.32
415	83.313
416	83.322
417	83.349
418	83.372
419	83.384
420	83.401
421	83.444
422	83.47
423	83.489
424	83.512
425	83.527
426	83.547
427	83.576
428	83.58
429	83.593
430	83.606
431	83.608
432	83.617
433	83.635
434	83.636
435	83.647
436	83.644
437	83.649
438	83.678
439	83.674
440	83.681
441	83.681
442	83.676
443	83.676
444	83.666
445	83.677
446	83.671
447	83.649
448	83.655
449	83.644
450	83.642
451	83.655
452	83.646
453	83.653
454	83.666
455	83.654
456	83.664
457	83.668
458	83.669
459	83.668
460	83.648
461	83.638
462	83.628
463	83.618
464	83.625
465	83.624
466	83.634
467	83.64
468	83.63
469	83.635
470	83.627
471	83.624
472	83.626
473	83.627
474	83.635
475	83.629
476	83.628
477	83.626
478	83.623
479	83.627
480	83.61
481	83.612
482	83.607
483	83.594
484	83.608
485	83.604
486	83.61
487	83.617
488	83.619
489	83.628
490	83.641
491	83.647
492	83.659
493	83.668
494	83.656
495	83.651
496	83.647
497	83.623
498	83.618
499	83.606
500	83.587
501	83.599
502	83.575
503	83.569
504	83.589
505	83.583
506	83.579
507	83.573
508	83.573
509	83.581
510	83.575
511	83.581
512	83.58
513	83.586
514	83.602
515	83.598
516	83.586
517	83.588
518	83.586
519	83.579
520	83.581
521	83.583
522	83.59
523	83.602
524	83.614
525	83.623
526	83.627
527	83.626
528	83.621
529	83.62
530	83.622
531	83.615
532	83.599
533	83.613
534	83.612
535	83.605
536	83.608
537	83.596
538	83.593
539	83.574
540	83.566
541	83.575
542	83.57
543	83.562
544	83.562
545	83.553
546	83.558
547	83.559
548	83.552
549	83.562
550	83.552
551	83.555
552	83.562
553	83.55
554	83.558
555	83.561
556	83.554
557	83.572
558	83.575
559	83.564
560	83.576
561	83.573
562	83.564
563	83.566
564	83.558
565	83.561
566	83.564
567	83.568
568	83.574
569	83.583
570	83.588
571	83.581
572	83.559
573	83.541
574	83.524
575	83.51
576	83.496
577	83.488
578	83.491
579	83.502
580	83.519
581	83.515
582	83.514
583	83.522
584	83.52
585	83.533
586	83.54
587	83.546
588	83.554
589	83.565
590	83.582
591	83.594
592	83.603
593	83.603
594	83.61
595	83.605
596	83.604
597	83.596
598	83.585
599	83.601
600	83.589
601	83.584
602	83.605
603	83.601
604	83.599
605	83.603
606	83.602
607	83.607
608	83.596
609	83.6
610	83.596
611	83.591
612	83.602
613	83.618
614	83.628
615	83.633
616	83.634
617	83.628
618	83.635
619	83.645
620	83.668
621	83.669
622	83.682
623	83.696
624	83.711
625	83.715
626	83.714
627	83.722
628	83.721
629	83.719
630	83.718
631	83.704
632	83.694
633	83.681
634	83.683
635	83.693
636	83.7
637	83.703
638	83.708
639	83.727
640	83.714
641	83.719
642	83.723
643	83.719
644	83.72
645	83.707
646	83.704
647	83.697
648	83.705
649	83.715
650	83.722
651	83.729
652	83.726
653	83.736
654	83.749
655	83.74
656	83.752
657	83.77
658	83.765
659	83.761
660	83.763
661	83.762
662	83.764
663	83.777
664	83.764
665	83.76
666	83.777
667	83.783
668	83.794
669	83.799
670	83.809
671	83.812
672	83.815
673	83.814
674	83.814
675	83.817
676	83.81
677	83.797
678	83.783
679	83.771
680	83.747
681	83.744
682	83.747
683	83.755
684	83.78
685	83.793
686	83.792
687	83.795
688	83.816
689	83.814
690	83.819
691	83.817
692	83.817
693	83.815
694	83.804
695	83.818
696	83.801
697	83.803
698	83.816
699	83.807
700	83.816
701	83.814
702	83.797
703	83.787
704	83.787
705	83.791
706	83.79
707	83.816
708	83.834
709	83.855
710	83.876
711	83.886
712	83.897
713	83.908
714	83.92
715	83.925
716	83.925
717	83.934
718	83.958
719	83.973
720	83.99
721	84.013
722	84.024
723	84.033
724	84.038
725	84.04
726	84.038
727	84.035
728	84.049
729	84.045
730	84.066
731	84.082
732	84.1
733	84.137
734	84.147
735	84.159
736	84.171
737	84.162
738	84.153
739	84.144
740	84.131
741	84.123
742	84.115
743	84.106
744	84.115
745	84.122
746	84.137
747	84.158
748	84.173
749	84.189
750	84.205
751	84.216
752	84.242
753	84.251
754	84.253
755	84.27
756	84.3
757	84.298
758	84.296
759	84.294
760	84.285
761	84.304
762	84.304
763	84.314
764	84.318
765	84.32
766	84.334
767	84.33
768	84.335
769	84.337
770	84.34
771	84.347
772	84.357
773	84.366
774	84.379
775	84.386
776	84.392
777	84.403
778	84.413
779	84.419
780	84.43
781	84.439
782	84.442
783	84.449
784	84.46
785	84.473
786	84.493
787	84.509
788	84.517
789	84.531
790	84.531
791	84.544
792	84.552
793	84.546
794	84.558
795	84.565
796	84.568
797	84.576
798	84.558
799	84.544
800	84.54
801	84.532
802	84.529
803	84.535
804	84.551
805	84.547
806	84.535
807	84.55
808	84.55
809	84.546
810	84.538
811	84.513
812	84.506
813	84.496
814	84.492
815	84.494
816	84.481
817	84.492
818	84.503
819	84.509
820	84.521
821	84.518
822	84.526
823	84.534
824	84.544
825	84.547
826	84.557
827	84.573
828	84.591
829	84.606
830	84.639
831	84.654
832	84.673
833	84.697
834	84.705
835	84.714
836	84.735
837	84.758
838	84.772
839	84.81
840	84.839
841	84.851
842	84.872
843	84.89
844	84.902
845	84.918
846	84.915
847	84.918
848	84.934
849	84.937
850	84.949
851	84.967
852	84.973
853	84.986
854	84.998
855	84.993
856	85.009
857	85.007
858	84.981
859	84.956
860	84.93
861	84.906
862	84.881
863	84.868
864	84.856
865	84.839
866	84.84
867	84.839
868	84.835
869	84.835
870	84.81
871	84.787
872	84.762
873	84.724
874	84.709
875	84.691
876	84.661
877	84.653
878	84.651
879	84.644
880	84.645
881	84.648
882	84.646
883	84.649
884	84.659
885	84.653
886	84.666
887	84.673
888	84.68
889	84.713
890	84.722
891	84.719
892	84.712
893	84.702
894	84.69
895	84.66
896	84.651
897	84.644
898	84.639
899	84.647
900	84.669
901	84.672
902	84.666
903	84.654
904	84.634
905	84.631
906	84.63
907	84.613
908	84.618
909	84.626
910	84.628
911	84.64
912	84.662
913	84.674
914	84.689
915	84.726
916	84.744
917	84.767
918	84.796
919	84.791
920	84.796
921	84.807
922	84.801
923	84.8
924	84.791
925	84.783
926	84.788
927	84.784
928	84.778
929	84.755
930	84.736
931	84.733
932	84.723
933	84.732
934	84.737
935	84.73
936	84.721
937	84.697
