Freq(Hz)	SPL(dB)
20	79.575
21	79.716
22	80.051
23	80.257
24	80.404
25	80.487
26	80.642
27	80.835
28	81.031
29	81.17
30	81.353
31	81.498
32	81.599
33	81.66
34	81.758
35	81.83
36	81.882
37	81.999
38	82.1
39	82.186
40	82.236
41	82.286
42	82.356
43	82.401
44	82.444
45	82.521
46	82.587
47	82.642
48	82.724
49	82.791
50	82.844
51	82.899
52	82.968
53	83.019
54	83.071
55	83.087
56	83.119
57	83.146
58	83.172
59	83.199
60	83.233
61	83.262
62	83.283
63	83.318
64	83.347
65	83.372
66	83.386
67	83.398
68	83.437
69	83.471
70	83.488
71	83.512
72	83.545
73	83.575
74	83.596
75	83.634
76	83.684
77	83.704
78	83.76
79	83.808
80	83.862
81	83.9
82	83.945
83	83.99
84	84.026
85	84.062
86	84.11
87	84.141
88	84.169
89	84.215
90	84.261
91	84.289
92	84.305
93	84.358
94	84.388
95	84.414
96	84.442
97	84.459
98	84.484
99	84.508
100	84.525
101	84.532
102	84.545
103	84.548
104	84.555
105	84.566
106	84.569
107	84.575
108	84.574
109	84.592
110	84.594
111	84.581
112	84.592
113	84.584
114	84.59
115	84.607
116	84.588
117	84.593
118	84.563
119	84.62
120	84.664
121	84.548
122	84.564
123	84.583
124	84.559
125	84.566
126	84.568
127	84.569
128	84.562
129	84.556
130	84.552
131	84.547
132	84.536
133	84.539
134	84.535
135	84.525
136	84.524
137	84.513
138	84.521
139	84.527
140	84.498
141	84.497
142	84.487
143	84.471
144	84.481
145	84.463
146	84.47
147	84.443
148	84.431
149	84.445
150	84.417
151	84.405
152	84.397
153	84.386
154	84.372
155	84.36
156	84.346
157	84.344
158	84.326
159	84.324
160	84.312
161	84.3
162	84.309
163	84.288
164	84.277
165	84.257
166	84.244
167	84.257
168	84.243
169	84.217
170	84.215
171	84.222
172	84.209
173	84.211
174	84.205
175	84.197
176	84.203
177	84.19
178	84.192
179	84.203
180	84.172
181	84.176
182	84.181
183	84.17
184	84.19
185	84.181
186	84.179
187	84.18
188	84.17
189	84.183
190	84.182
191	84.18
192	84.182
193	84.181
194	84.182
195	84.192
196	84.201
197	84.198
198	84.192
199	84.199
200	84.205
201	84.188
202	84.184
203	84.205
204	84.196
205	84.189
206	84.224
207	84.206
208	84.219
209	84.245
210	84.183
211	84.176
212	84.166
213	84.157
214	84.172
215	84.174
216	84.163
217	84.157
218	84.164
219	84.157
220	84.134
221	84.118
222	84.099
223	84.076
224	84.061
225	84.049
226	84.038
227	84.041
228	84.038
229	84.029
230	84.036
231	84.017
232	84.019
233	84.028
234	84.027
235	84.04
236	84.033
237	84.027
238	84.035
239	84.045
240	84.051
241	84.06
242	84.054
243	84.064
244	84.072
245	84.076
246	84.073
247	84.085
248	84.095
249	84.085
250	84.101
251	84.11
252	84.113
253	84.137
254	84.145
255	84.143
256	84.139
257	84.157
258	84.162
259	84.159
260	84.17
261	84.171
262	84.194
263	84.191
264	84.177
265	84.188
266	84.188
267	84.194
268	84.191
269	84.186
270	84.197
271	84.209
272	84.201
273	84.203
274	84.214
275	84.222
276	84.213
277	84.217
278	84.22
279	84.225
280	84.233
281	84.237
282	84.246
283	84.244
284	84.258
285	84.26
286	84.258
287	84.274
288	84.265
289	84.274
290	84.293
291	84.306
292	84.318
293	84.331
294	84.341
295	84.337
296	84.348
297	84.364
298	84.37
299	84.376
300	84.375
301	84.382
302	84.409
303	84.415
304	84.412
305	84.428
306	84.426
307	84.43
308	84.446
309	84.451
310	84.458
311	84.46
312	84.47
313	84.487
314	84.486
315	84.492
316	84.5
317	84.498
318	84.513
319	84.51
320	84.522
321	84.525
322	84.533
323	84.557
324	84.549
325	84.58
326	84.59
327	84.585
328	84.587
329	84.599
330	84.613
331	84.629
332	84.633
333	84.63
334	84.638
335	84.651
336	84.649
337	84.649
338	84.666
339	84.69
340	84.683
341	84.691
342	84.707
343	84.709
344	84.713
345	84.715
346	84.736
347	84.717
348	84.721
349	84.745
350	84.729
351	84.732
352	84.735
353	84.748
354	84.75
355	84.759
356	84.775
357	84.773
358	84.778
359	84.782
360	84.783
361	84.798
362	84.796
363	84.801
364	84.802
365	84.812
366	84.819
367	84.816
368	84.82
369	84.823
370	84.823
371	84.831
372	84.843
373	84.844
374	84.853
375	84.863
376	84.877
377	84.88
378	84.872
379	84.882
380	84.877
381	84.887
382	84.9
383	84.881
384	84.88
385	84.894
386	84.897
387	84.885
388	84.902
389	84.889
390	84.876
391	84.897
392	84.877
393	84.869
394	84.865
395	84.858
396	84.847
397	84.826
398	84.824
399	84.822
400	84.812
401	84.808
402	84.792
403	84.792
404	84.801
405	84.779
406	84.783
407	84.784
408	84.776
409	84.785
410	84.789
411	84.781
412	84.788
413	84.805
414	84.799
415	84.806
416	84.821
417	84.83
418	84.837
419	84.842
420	84.859
421	84.876
422	84.881
423	84.902
424	84.919
425	84.916
426	84.926
427	84.935
428	84.953
429	84.965
430	84.962
431	84.974
432	84.982
433	84.991
434	84.994
435	85.002
436	85.009
437	85.014
438	85.019
439	85.025
440	85.037
441	85.035
442	85.039
443	85.035
444	85.038
445	85.04
446	85.036
447	85.04
448	85.039
449	85.048
450	85.049
451	85.051
452	85.06
453	85.052
454	85.054
455	85.057
456	85.054
457	85.063
458	85.071
