Freq(Hz)	SPL(dB)
15	93.013
16	92.493
17	92.049
18	91.991
19	92.004
20	92.094
21	92.082
22	91.965
23	91.669
24	91.466
25	91.356
26	91.221
27	91.141
28	91.047
29	90.942
30	90.778
31	90.551
32	90.085
33	89.89
34	89.74
35	89.489
36	89.354
37	89.17
38	88.938
39	88.686
40	88.567
41	88.347
42	88.184
43	88.047
44	87.948
45	87.813
46	87.699
47	87.635
48	87.609
49	87.6
50	87.597
51	87.608
52	87.638
53	87.684
54	87.705
55	87.719
56	87.747
57	87.779
58	87.826
59	87.865
60	87.931
61	87.964
62	87.996
63	88.032
64	88.069
65	88.097
66	88.115
67	88.184
68	88.251
69	88.304
70	88.351
71	88.409
72	88.469
73	88.518
74	88.581
75	88.637
76	88.699
77	88.745
78	88.819
79	88.88
80	88.945
81	88.989
82	89.045
83	89.11
84	89.17
85	89.206
86	89.275
87	89.336
88	89.372
89	89.429
90	89.487
91	89.541
92	89.579
93	89.623
94	89.667
95	89.7
96	89.714
97	89.742
98	89.756
99	89.764
100	89.778
101	89.788
102	89.783
103	89.775
104	89.77
105	89.756
106	89.73
107	89.712
108	89.685
109	89.66
110	89.636
111	89.611
112	89.579
113	89.546
114	89.513
115	89.477
116	89.438
117	89.384
118	89.355
119	89.3
120	89.247
121	89.199
122	89.161
123	89.098
124	89.039
125	89.004
126	88.946
127	88.884
128	88.823
129	88.784
130	88.733
131	88.683
132	88.633
133	88.594
134	88.529
135	88.475
136	88.431
137	88.395
138	88.333
139	88.28
140	88.241
141	88.197
142	88.156
143	88.096
144	88.065
145	88.01
146	87.962
147	87.916
148	87.878
149	87.832
150	87.79
151	87.754
152	87.701
153	87.654
154	87.605
155	87.572
156	87.522
157	87.468
158	87.423
159	87.384
160	87.327
161	87.289
162	87.23
163	87.202
164	87.165
165	87.121
166	87.097
167	87.052
168	87.003
169	86.961
170	86.929
171	86.883
172	86.846
173	86.808
174	86.78
175	86.743
176	86.706
177	86.681
178	86.646
179	86.607
180	86.562
181	86.536
182	86.504
183	86.457
184	86.419
185	86.391
186	86.346
187	86.301
188	86.27
189	86.234
190	86.18
191	86.132
192	86.106
193	86.06
194	86.021
195	85.977
196	85.954
197	85.92
198	85.877
199	85.84
200	85.805
201	85.751
202	85.711
203	85.686
204	85.644
205	85.599
206	85.55
207	85.523
208	85.474
209	85.417
210	85.381
211	85.348
212	85.293
213	85.247
214	85.213
215	85.167
216	85.127
217	85.079
218	85.05
219	85.002
220	84.956
221	84.91
222	84.87
223	84.821
224	84.768
225	84.719
226	84.687
227	84.639
228	84.589
229	84.551
230	84.515
231	84.475
232	84.417
233	84.385
234	84.339
235	84.302
236	84.265
237	84.23
238	84.184
239	84.145
240	84.117
241	84.068
242	84.029
243	83.998
244	83.966
245	83.932
246	83.899
247	83.848
248	83.829
249	83.799
250	83.76
251	83.725
252	83.699
253	83.666
254	83.632
255	83.608
256	83.576
257	83.542
258	83.518
259	83.492
260	83.445
261	83.414
262	83.381
263	83.364
264	83.326
265	83.291
266	83.271
267	83.233
268	83.219
269	83.177
270	83.154
271	83.139
272	83.105
273	83.077
274	83.058
275	83.03
276	82.994
277	82.976
278	82.968
279	82.947
280	82.92
281	82.902
282	82.878
283	82.847
284	82.822
285	82.801
286	82.782
287	82.763
288	82.744
289	82.731
290	82.683
291	82.657
292	82.641
293	82.62
294	82.603
295	82.569
296	82.555
297	82.535
298	82.514
299	82.491
300	82.469
301	82.452
302	82.428
303	82.398
304	82.389
305	82.368
306	82.337
307	82.319
308	82.311
309	82.297
310	82.263
311	82.249
312	82.232
313	82.197
314	82.18
315	82.166
316	82.138
317	82.121
318	82.102
319	82.082
320	82.058
321	82.034
322	82.026
323	82.013
324	81.999
325	81.977
326	81.962
327	81.938
328	81.919
329	81.91
330	81.891
331	81.862
332	81.833
333	81.811
334	81.803
335	81.776
336	81.75
337	81.757
338	81.747
339	81.725
340	81.695
341	81.688
342	81.677
343	81.642
344	81.63
345	81.592
346	81.58
347	81.583
348	81.56
349	81.52
350	81.496
351	81.493
352	81.484
353	81.461
354	81.435
355	81.404
356	81.396
357	81.385
358	81.343
359	81.324
360	81.31
361	81.291
362	81.281
363	81.256
364	81.227
365	81.219
366	81.211
367	81.202
368	81.152
369	81.136
370	81.138
371	81.105
372	81.062
373	81.044
374	81.045
375	81.012
376	80.977
377	80.974
378	80.96
379	80.914
380	80.887
381	80.866
382	80.826
383	80.808
384	80.786
385	80.751
386	80.73
387	80.711
388	80.678
389	80.646
390	80.626
391	80.612
392	80.577
393	80.574
394	80.552
395	80.522
396	80.51
397	80.472
398	80.463
399	80.446
400	80.434
401	80.427
402	80.402
403	80.374
404	80.352
405	80.329
406	80.319
407	80.29
408	80.277
409	80.27
410	80.255
411	80.263
412	80.27
413	80.244
414	80.271
415	80.297
416	80.322
417	80.331
418	80.337
419	80.347
420	80.352
421	80.347
422	80.347
423	80.357
424	80.359
425	80.34
426	80.337
427	80.344
428	80.325
429	80.324
430	80.338
431	80.319
432	80.3
433	80.313
434	80.298
435	80.283
436	80.282
437	80.265
438	80.251
439	80.234
440	80.23
441	80.235
442	80.234
443	80.206
444	80.173
445	80.186
446	80.178
447	80.168
448	80.173
449	80.155
450	80.132
451	80.123
452	80.112
453	80.096
454	80.121
455	80.081
456	80.076
457	80.096
458	80.074
459	80.064
460	80.052
461	80.048
462	80.047
463	80.042
464	80.036
465	80.043
466	80.029
467	80.024
468	80.028
469	80.001
470	80.008
471	79.999
472	79.98
473	79.982
474	79.98
475	79.972
476	79.975
477	79.978
478	79.981
479	79.994
480	79.972
481	79.976
482	79.976
483	79.956
484	79.976
485	79.961
486	79.96
487	79.964
488	79.935
489	79.946
490	79.925
491	79.918
492	79.929
493	79.916
494	79.919
495	79.902
496	79.912
497	79.913
498	79.919
499	79.927
500	79.918
501	79.915
502	79.9
503	79.906
504	79.906
505	79.909
506	79.922
507	79.923
508	79.92
509	79.924
510	79.929
511	79.936
512	79.942
513	79.926
514	79.939
515	79.957
516	79.955
517	79.969
518	79.954
519	79.944
520	79.952
521	79.949
522	79.959
523	79.961
524	79.967
525	79.965
526	79.974
527	79.989
528	79.964
529	79.962
530	79.967
531	79.965
532	79.98
533	79.987
534	79.981
535	79.967
536	79.971
537	79.991
538	79.986
539	79.993
540	80.002
541	79.994
542	79.998
543	80.004
544	80.01
545	79.999
546	79.988
547	80.019
