Freq(Hz)	SPL(dB)
20	87.381
21	87.406
22	87.443
23	87.51
24	87.546
25	87.567
26	87.65
27	87.708
28	87.762
29	87.801
30	87.71
31	87.576
32	87.532
33	87.562
34	87.6
35	87.632
36	87.556
37	87.438
38	87.532
39	87.424
40	87.3
41	87.227
42	87.125
43	86.991
44	86.941
45	86.874
46	86.758
47	86.662
48	86.695
49	86.496
50	86.392
51	86.385
52	86.083
53	85.996
54	85.914
55	85.734
56	85.5
57	85.33
58	85.223
59	85.288
60	85.164
61	84.932
62	84.904
63	84.727
64	84.628
65	84.525
66	84.32
67	84.149
68	84.028
69	83.87
70	83.84
71	83.587
72	83.582
73	83.647
74	83.625
75	83.724
76	83.777
77	83.797
78	83.796
79	83.937
80	84.039
81	84.107
82	84.268
83	84.384
84	84.515
85	84.591
86	84.692
87	84.801
88	84.872
89	85.016
90	85.147
91	85.265
92	85.372
93	85.511
94	85.656
95	85.809
96	85.906
97	86.008
98	86.073
99	86.143
100	86.276
101	86.352
102	86.42
103	86.471
104	86.489
105	86.53
106	86.548
107	86.523
108	86.565
109	86.535
110	86.472
111	86.508
112	86.489
113	86.435
114	86.45
115	86.355
116	86.259
117	86.213
118	86.14
119	86.065
120	85.886
121	85.806
122	85.797
123	85.707
124	85.684
125	85.668
126	85.628
127	85.652
128	85.649
129	85.672
130	85.688
131	85.667
132	85.656
133	85.632
134	85.593
135	85.52
136	85.538
137	85.523
138	85.467
139	85.446
140	85.397
141	85.35
142	85.309
143	85.183
144	85.179
145	85.194
146	85.021
147	85.013
148	84.997
149	84.831
150	84.792
151	84.727
152	84.67
153	84.685
154	84.554
155	84.479
156	84.391
157	84.391
158	84.258
159	84.182
160	84.214
161	84.194
162	84.008
163	83.902
164	83.887
165	83.721
166	83.642
167	83.599
168	83.473
169	83.396
170	83.315
171	83.187
172	83.051
173	82.997
174	83.024
175	82.911
176	82.775
177	82.765
178	82.649
179	82.507
180	82.49
181	82.419
182	82.3
183	82.242
184	82.121
185	82.051
186	81.988
187	81.911
188	81.831
189	81.782
190	81.731
191	81.664
192	81.633
193	81.578
194	81.528
195	81.471
196	81.481
197	81.444
198	81.339
199	81.291
200	81.236
201	81.136
202	81.079
203	81.027
204	80.958
205	80.877
206	80.796
207	80.78
208	80.698
209	80.599
210	80.606
211	80.557
212	80.434
213	80.356
214	80.303
215	80.213
216	80.158
217	80.105
218	80.046
219	79.999
220	79.941
221	79.879
222	79.868
223	79.828
224	79.698
225	79.591
226	79.573
227	79.596
228	79.513
229	79.439
230	79.426
231	79.387
232	79.333
233	79.29
234	79.256
235	79.231
236	79.17
237	79.17
238	79.114
239	79.12
240	79.122
241	79.011
242	79.04
243	79.015
244	78.976
245	79.012
246	78.989
247	78.968
248	78.977
249	78.971
250	78.979
251	78.941
252	78.943
253	78.955
254	78.921
255	78.893
256	78.886
257	78.981
258	78.972
259	78.95
260	78.918
261	78.875
262	78.927
263	78.948
264	78.935
265	78.839
266	78.854
267	78.973
268	78.986
269	78.946
270	78.925
271	78.96
272	78.92
273	78.991
274	79.086
275	79.123
276	79.125
277	79.036
278	79.015
279	79.15
280	79.211
281	79.188
282	79.178
283	79.182
284	79.197
285	79.28
286	79.369
287	79.315
288	79.402
289	79.459
290	79.444
291	79.441
292	79.433
293	79.44
294	79.458
295	79.389
296	79.528
297	79.63
298	79.597
299	79.642
300	79.614
301	79.728
302	79.789
303	79.81
304	79.884
305	79.922
306	79.884
307	79.942
308	79.99
309	80.002
310	80.028
311	80.084
312	80.108
313	80.082
314	80.047
315	80.051
316	80.233
317	80.281
318	80.27
319	80.289
320	80.302
321	80.379
322	80.451
323	80.504
324	80.497
325	80.454
326	80.442
327	80.559
328	80.666
329	80.687
330	80.704
331	80.754
332	80.831
333	80.84
334	80.841
335	80.891
336	80.937
337	80.992
338	81.052
339	81.084
340	81.097
341	81.102
342	81.157
343	81.215
344	81.231
345	81.25
346	81.28
347	81.313
348	81.319
349	81.325
350	81.353
351	81.372
352	81.415
353	81.481
354	81.532
355	81.543
356	81.542
357	81.601
358	81.623
359	81.629
360	81.657
361	81.671
362	81.688
363	81.707
364	81.729
365	81.743
366	81.779
367	81.795
368	81.815
369	81.838
370	81.847
371	81.877
372	81.891
373	81.91
374	81.925
375	81.952
376	81.961
377	81.965
378	81.987
379	81.987
380	81.99
381	82.021
382	82.029
383	82.04
384	82.057
385	82.052
386	82.064
387	82.096
388	82.093
389	82.089
390	82.106
391	82.132
392	82.136
393	82.153
394	82.194
395	82.2
396	82.225
397	82.263
398	82.286
399	82.333
400	82.332
401	82.364
402	82.388
403	82.432
404	82.471
405	82.489
406	82.562
407	82.609
408	82.642
409	82.71
410	82.762
411	82.812
412	82.852
413	82.883
414	82.961
415	82.987
416	83.016
417	83.04
418	83.073
419	83.098
420	83.106
421	83.119
422	83.123
423	83.142
424	83.135
425	83.144
426	83.166
427	83.15
428	83.181
429	83.21
430	83.203
431	83.209
432	83.225
433	83.243
434	83.246
435	83.263
436	83.278
437	83.274
438	83.278
439	83.286
440	83.286
441	83.292
442	83.323
443	83.337
444	83.343
445	83.353
446	83.365
447	83.398
448	83.413
449	83.408
450	83.429
451	83.421
452	83.422
453	83.468
454	83.463
455	83.467
456	83.468
457	83.489
458	83.489
459	83.511
460	83.552
461	83.524
462	83.526
463	83.556
464	83.564
465	83.561
466	83.588
467	83.598
468	83.616
469	83.61
470	83.614
471	83.635
472	83.64
473	83.684
474	83.692
475	83.698
476	83.715
477	83.714
478	83.718
479	83.719
480	83.733
481	83.752
482	83.758
483	83.764
484	83.774
485	83.781
486	83.786
487	83.786
488	83.801
489	83.811
490	83.816
491	83.825
492	83.83
493	83.847
494	83.868
495	83.855
496	83.85
497	83.864
498	83.874
499	83.877
500	83.879
501	83.881
502	83.898
503	83.901
504	83.905
505	83.907
506	83.909
507	83.938
508	83.944
509	83.947
510	83.968
511	83.977
512	83.992
513	84.012
514	84.018
515	84.019
516	84.013
517	84.033
518	84.048
519	84.049
520	84.062
521	84.056
522	84.072
523	84.086
524	84.088
525	84.102
526	84.119
527	84.135
528	84.127
529	84.138
530	84.145
531	84.163
532	84.175
533	84.181
534	84.197
535	84.208
536	84.218
537	84.224
538	84.224
539	84.235
540	84.245
541	84.247
542	84.257
543	84.273
544	84.281
545	84.289
546	84.306
547	84.309
548	84.32
549	84.336
550	84.334
551	84.34
552	84.355
553	84.36
554	84.387
555	84.395
556	84.389
557	84.406
558	84.414
559	84.409
560	84.424
561	84.439
562	84.464
563	84.475
564	84.448
565	84.484
566	84.488
567	84.473
568	84.515
569	84.508
570	84.507
571	84.522
572	84.521
573	84.541
574	84.548
575	84.556
576	84.564
577	84.569
578	84.583
579	84.597
580	84.602
581	84.614
582	84.622
583	84.626
584	84.633
585	84.656
586	84.668
587	84.656
588	84.668
589	84.685
590	84.694
591	84.7
592	84.707
593	84.718
594	84.743
595	84.75
596	84.754
597	84.768
598	84.779
599	84.774
600	84.799
601	84.798
602	84.796
603	84.811
604	84.81
605	84.825
606	84.827
607	84.844
608	84.857
609	84.854
610	84.854
611	84.877
612	84.889
613	84.881
614	84.898
615	84.906
616	84.906
617	84.902
618	84.901
619	84.92
620	84.935
621	84.941
