Freq(Hz)	SPL(dB)
20	80.087
21	80.279
22	80.508
23	80.696
24	80.93
25	81.038
26	81.276
27	81.446
28	81.555
29	81.808
30	82.172
31	82.237
32	82.406
33	82.415
34	82.523
35	82.629
36	82.751
37	82.918
38	82.879
39	83.339
40	83.367
41	83.181
42	83.335
43	83.393
44	83.561
45	83.673
46	83.805
47	83.871
48	83.641
49	83.799
50	84.018
51	84.021
52	84.098
53	84.083
54	84.162
55	84.358
56	84.352
57	84.203
58	84.274
59	84.343
60	84.34
61	84.277
62	84.37
63	84.344
64	84.363
65	84.455
66	84.407
67	84.381
68	84.276
69	84.316
70	84.385
71	84.391
72	84.371
73	84.346
74	84.362
75	84.334
76	84.24
77	84.228
78	84.231
79	84.042
80	83.945
81	83.925
82	83.69
83	83.523
84	83.344
85	83.194
86	83.011
87	82.727
88	82.547
89	82.308
90	81.894
91	81.477
92	81.152
93	80.65
94	80.002
95	79.532
96	79.285
97	78.509
98	78.18
99	77.88
100	77.557
101	77.674
102	77.653
103	77.624
104	77.694
105	78.212
106	78.395
107	78.646
108	79.122
109	79.534
110	80.051
111	80.267
112	80.624
113	81.021
114	81.219
115	81.5
116	81.784
117	82.026
118	82.139
119	82.324
120	82.495
121	82.598
122	82.68
123	82.795
124	82.866
125	82.923
126	82.931
127	83.005
128	82.972
129	82.88
130	83.018
131	82.842
132	82.765
133	82.822
134	82.658
135	82.551
136	82.361
137	82.275
138	82.226
139	82.1
140	82.022
141	81.895
142	81.676
143	81.665
144	81.619
145	81.516
146	81.451
147	81.157
148	81.121
149	81.113
150	80.912
151	80.853
152	80.836
153	80.669
154	80.548
155	80.532
156	80.391
157	80.313
158	80.377
159	80.197
160	79.933
161	79.898
162	79.633
163	79.57
164	79.429
165	79.29
166	79.289
167	79.077
168	78.903
169	78.76
170	78.703
171	78.56
172	78.341
173	78.349
174	78.254
175	78.209
176	78.137
177	78.005
178	77.995
179	77.843
180	77.805
181	77.727
182	77.537
183	77.52
184	77.379
185	77.354
186	77.321
187	77.311
188	77.301
189	77.1
190	77.06
191	77.056
192	76.896
193	76.793
194	76.783
195	76.711
196	76.719
197	76.703
198	76.608
199	76.542
200	76.638
201	76.773
202	76.674
203	76.627
204	76.663
205	76.706
206	76.659
207	76.646
208	76.652
209	76.735
210	76.839
211	76.808
212	76.853
213	76.897
214	76.884
215	76.908
216	76.891
217	76.95
218	76.97
219	76.982
220	77.056
221	77.106
222	77.13
223	77.173
224	77.244
225	77.269
226	77.317
227	77.37
228	77.381
229	77.429
230	77.492
231	77.534
232	77.621
233	77.64
234	77.681
235	77.734
236	77.752
237	77.808
238	77.848
239	77.9
240	77.922
241	77.98
242	78.042
243	78.032
244	78.068
245	78.11
246	78.156
247	78.225
248	78.237
249	78.251
250	78.273
251	78.314
252	78.339
253	78.339
254	78.356
255	78.358
256	78.365
257	78.407
258	78.416
259	78.439
260	78.519
261	78.608
262	78.697
263	78.767
264	78.905
265	79.025
266	79.084
267	79.168
268	79.254
269	79.334
270	79.4
271	79.491
272	79.572
273	79.659
274	79.702
275	79.773
276	79.81
277	79.865
278	79.896
279	79.928
280	79.992
281	80.017
282	80.073
283	80.12
284	80.172
285	80.224
286	80.264
287	80.316
288	80.347
289	80.351
290	80.385
291	80.458
292	80.473
293	80.486
294	80.558
295	80.62
296	80.643
297	80.665
298	80.74
299	80.752
300	80.775
301	80.84
302	80.841
303	80.886
304	80.92
305	80.926
306	80.959
307	80.988
308	81.008
309	81.034
310	81.071
311	81.106
312	81.133
313	81.158
314	81.176
315	81.198
316	81.207
317	81.231
318	81.257
319	81.241
320	81.288
