Freq(Hz)	SPL(dB)
20	80.124
21	80.166
22	80.745
23	81.138
24	81.178
25	81.177
26	81.58
27	81.774
28	81.899
29	82.164
30	82.068
31	82.256
32	82.828
33	82.801
34	82.672
35	82.901
36	82.959
37	83.117
38	83.301
39	83.229
40	83.344
41	83.581
42	83.502
43	83.709
44	83.828
45	83.844
46	83.821
47	83.86
48	84.111
49	84.154
50	84.079
51	84.111
52	84.312
53	84.341
54	84.331
55	84.455
56	84.515
57	84.453
58	84.475
59	84.451
60	84.506
61	84.561
62	84.553
63	84.486
64	84.497
65	84.557
66	84.476
67	84.257
68	84.134
69	84.377
70	84.341
71	84.189
72	84.399
73	84.336
74	84.252
75	84.336
76	84.17
77	84.164
78	84.179
79	84.08
80	83.934
81	83.893
82	83.815
83	83.685
84	83.573
85	83.423
86	83.31
87	83.127
88	82.951
89	82.769
90	82.513
91	82.178
92	81.988
93	81.618
94	81.217
95	80.773
96	80.397
97	79.854
98	79.35
99	79.134
100	78.652
101	78.323
102	78.024
103	77.759
104	77.655
105	77.418
106	77.626
107	77.696
108	77.659
109	77.87
110	78.033
111	78.256
112	78.55
113	78.899
114	79.13
115	79.362
116	79.862
117	80.203
118	80.35
119	80.801
120	81.16
121	81.34
122	81.506
123	81.799
124	81.88
125	82.008
126	82.273
127	82.343
128	82.441
129	82.485
130	82.481
131	82.502
132	82.746
133	82.655
134	82.445
135	82.499
136	82.34
137	82.298
138	82.172
139	81.951
140	81.936
141	81.808
142	81.607
143	81.398
144	81.097
145	81.015
146	81.15
147	81.021
148	80.923
149	80.795
150	80.747
151	80.676
152	80.569
153	80.524
154	80.358
155	80.326
156	80.19
157	80.077
158	80.012
159	79.847
160	79.847
161	79.823
162	79.598
163	79.477
164	79.29
165	79.212
166	79.189
167	79.091
168	78.975
169	78.837
170	78.743
171	78.691
172	78.579
173	78.404
174	78.314
175	78.281
176	78.431
177	78.352
178	78.118
179	78.075
180	78.001
181	77.992
182	77.954
183	77.996
184	77.955
185	77.895
186	77.899
187	77.822
188	77.85
189	77.834
190	77.738
191	77.765
192	77.728
193	77.735
194	77.716
195	77.691
196	77.739
197	77.751
198	77.713
199	77.652
200	77.632
201	77.704
202	77.677
203	77.662
204	77.684
205	77.652
206	77.678
207	77.668
208	77.67
209	77.712
210	77.677
211	77.682
212	77.759
213	77.772
214	77.767
215	77.818
216	77.854
217	77.885
218	77.922
219	77.985
220	78.026
221	78.04
222	78.078
223	78.096
224	78.155
225	78.249
226	78.275
227	78.281
228	78.296
229	78.345
230	78.447
231	78.499
232	78.491
233	78.569
234	78.612
235	78.62
236	78.67
237	78.674
238	78.8
239	78.824
240	78.818
241	78.858
242	78.893
243	78.956
244	78.955
245	79.007
246	79.035
247	79.055
248	79.087
249	79.076
250	79.118
251	79.143
252	79.161
253	79.214
254	79.222
255	79.214
256	79.221
257	79.267
258	79.268
259	79.277
260	79.276
261	79.333
262	79.469
263	79.492
264	79.563
265	79.68
266	79.729
267	79.803
268	79.877
269	79.975
270	80.018
271	80.077
272	80.166
273	80.215
274	80.259
275	80.324
276	80.357
277	80.415
278	80.444
279	80.475
280	80.502
281	80.514
282	80.578
283	80.631
284	80.655
285	80.694
286	80.731
287	80.771
288	80.818
289	80.824
290	80.846
291	80.869
292	80.914
293	80.943
294	80.909
295	81.016
296	81.064
297	81.056
298	81.104
299	81.138
300	81.133
301	81.145
302	81.198
303	81.224
304	81.244
305	81.277
306	81.279
307	81.305
308	81.337
309	81.336
310	81.349
311	81.372
312	81.413
313	81.427
314	81.457
315	81.464
316	81.473
317	81.5
318	81.499
319	81.527
320	81.567
321	81.574
322	81.589
323	81.608
324	81.624
325	81.664
326	81.678
327	81.674
328	81.696
329	81.709
330	81.71
331	81.728
332	81.754
333	81.771
334	81.772
335	81.772
336	81.796
337	81.816
338	81.833
339	81.833
340	81.858
341	81.873
342	81.869
343	81.876
344	81.882
345	81.883
346	81.913
347	81.921
348	81.937
349	81.948
350	81.948
351	81.978
352	81.982
353	81.991
354	81.979
355	81.989
356	82.005
357	82.013
358	82.011
359	82.011
360	82.022
361	82.03
362	82.033
363	82.029
364	82.038
365	82.039
366	82.035
367	82.057
368	82.048
369	82.045
370	82.059
371	82.053
372	82.058
373	82.055
374	82.058
375	82.068
376	82.053
377	82.046
378	82.05
379	82.044
380	82.05
381	82.027
382	82.032
383	82.035
384	82.027
385	82.043
386	82.025
387	82.036
388	82.037
389	82.031
390	82.048
391	82.035
392	82.022
393	82.029
394	82.052
395	82.082
396	82.084
397	82.074
398	82.098
399	82.083
400	82.084
401	82.096
402	82.09
403	82.113
404	82.12
405	82.132
406	82.151
407	82.193
408	82.215
409	82.235
410	82.274
411	82.304
412	82.336
413	82.397
414	82.426
415	82.432
416	82.471
417	82.477
418	82.472
419	82.476
420	82.479
421	82.472
422	82.465
423	82.459
424	82.47
425	82.457
426	82.451
427	82.454
428	82.441
429	82.426
430	82.424
431	82.422
432	82.421
433	82.431
434	82.423
435	82.418
436	82.414
437	82.408
438	82.408
439	82.401
440	82.391
441	82.4
442	82.396
443	82.382
444	82.417
445	82.416
446	82.394
447	82.389
448	82.38
449	82.38
450	82.39
451	82.385
452	82.379
453	82.373
454	82.372
455	82.381
456	82.388
457	82.393
458	82.378
459	82.368
460	82.379
461	82.381
462	82.356
