Freq(Hz)	SPL(dB)
20	80.548
21	80.629
22	80.931
23	81.039
24	81.114
25	81.239
26	81.323
27	81.497
28	81.695
29	81.788
30	82.008
31	81.952
32	82.028
33	82.038
34	81.987
35	82.008
36	82.076
37	82.002
38	82.015
39	82.445
40	82.457
41	82.391
42	82.402
43	82.434
44	82.513
45	82.581
46	82.591
47	82.533
48	82.766
49	82.887
50	82.735
51	82.724
52	82.656
53	82.667
54	82.713
55	82.81
56	82.776
57	82.862
58	83.042
59	82.992
60	83
61	82.914
62	82.912
63	82.958
64	82.959
65	82.778
66	82.832
67	83.123
68	82.865
69	82.843
70	82.961
71	82.881
72	82.74
73	82.732
74	82.82
75	82.828
76	82.732
77	82.689
78	82.647
79	82.579
80	82.544
81	82.58
82	82.461
83	82.326
84	82.307
85	82.219
86	82.115
87	82.049
88	82.035
89	82.009
90	81.961
91	82.075
92	82.148
93	82.108
94	82.153
95	82.251
96	82.271
97	82.423
98	82.511
99	82.475
100	82.52
101	82.668
102	82.746
103	82.682
104	82.676
105	82.768
106	82.813
107	82.869
108	82.911
109	82.932
110	82.963
111	82.985
112	82.979
113	83.02
114	83.035
115	83.001
116	83.027
117	83.016
118	83.014
119	83.079
120	83.066
121	83.04
122	83.053
123	83.046
124	83.073
125	83.055
126	83.042
127	83.026
128	82.994
129	83.005
130	82.975
131	83.011
132	82.953
133	82.954
134	83.054
135	83.066
136	83.063
137	83.069
138	83.125
139	83.102
140	83.029
141	83.088
142	83.158
143	83.127
144	83.147
145	83.174
146	83.151
147	83.194
148	83.241
149	83.147
150	83.122
151	83.15
152	83.139
153	83.179
154	83.149
155	83.129
156	83.044
157	83.048
158	83.121
159	83.08
160	83.147
161	83.154
162	83.107
163	83.148
164	83.151
165	83.109
166	83.1
167	83.111
168	83.062
169	83.106
170	83.092
171	83.083
172	83.106
173	83.048
174	83.141
175	83.108
176	83.077
177	83.149
178	83.107
179	83.133
180	83.161
181	83.157
182	83.18
183	83.183
184	83.173
185	83.176
186	83.145
187	83.174
188	83.208
189	83.174
190	83.132
191	83.181
192	83.204
193	83.183
194	83.232
195	83.222
196	83.231
197	83.255
198	83.248
199	83.259
200	83.271
201	83.297
202	83.282
203	83.289
204	83.297
205	83.306
206	83.316
207	83.293
208	83.253
209	83.317
210	83.35
211	83.313
212	83.302
213	83.3
214	83.288
215	83.304
216	83.305
217	83.284
218	83.291
219	83.286
220	83.279
221	83.278
222	83.273
223	83.263
224	83.247
225	83.262
226	83.261
227	83.261
228	83.271
