Freq(Hz)	SPL(dB)
15	73.564
16	73.601
17	73.531
18	73.564
19	74.362
20	75.041
21	75.37
22	76.145
23	76.723
24	77.047
25	77.237
26	77.502
27	77.785
28	78.156
29	78.337
30	78.752
31	78.931
32	79.204
33	79.382
34	79.408
35	79.731
36	79.853
37	79.853
38	79.906
39	80.017
40	80.041
41	80.238
42	80.3
43	80.257
44	80.336
45	80.216
46	80.088
47	80.207
48	80.627
49	80.886
50	81.084
51	81.223
52	81.18
53	81.062
54	81.089
55	81.099
56	81.034
57	81.036
58	80.902
59	80.719
60	80.624
61	80.617
62	80.519
63	80.47
64	80.6
65	80.844
66	81.223
67	81.479
68	81.757
69	82.003
70	82.058
71	82.183
72	82.07
73	82.109
74	82.083
75	81.976
76	81.971
77	81.897
78	81.886
79	81.808
80	81.923
81	81.91
82	81.781
83	81.794
84	81.665
85	81.671
86	81.627
87	81.569
88	81.621
89	81.719
90	81.655
91	81.637
92	81.634
93	81.509
94	81.605
95	81.584
96	81.529
97	81.54
98	81.399
99	81.378
100	81.531
101	81.478
102	81.491
103	81.467
104	81.388
105	81.463
106	81.394
107	81.369
108	81.384
109	81.366
110	81.314
111	81.298
112	81.378
113	81.39
114	81.386
115	81.39
116	81.391
117	81.372
118	81.362
119	81.371
120	81.315
121	81.376
122	81.366
123	81.302
124	81.273
125	81.228
126	81.292
127	81.336
128	81.181
129	81.123
130	81.178
131	81.279
132	81.329
133	81.312
134	81.268
135	81.27
136	81.289
137	81.284
138	81.31
139	81.298
140	81.243
141	81.254
142	81.263
143	81.28
144	81.273
145	81.151
146	81.213
147	81.276
148	81.248
149	81.261
150	81.285
151	81.241
152	81.241
153	81.211
154	81.212
155	81.22
156	81.136
157	81.193
158	81.054
159	81.083
160	81.286
161	81.2
162	81.208
163	81.221
164	81.163
165	81.083
166	81.073
167	81.144
168	81.11
169	81.158
170	81.223
171	81.163
172	81.113
173	81.142
174	81.117
175	81.126
176	81.16
177	81.094
178	81.064
179	81.162
180	81.153
181	81.134
182	81.159
183	81.15
184	81.144
185	81.153
186	81.117
187	81.129
188	81.181
189	81.106
190	80.988
191	81.099
192	81.178
193	81.218
194	81.215
195	81.193
196	81.204
197	81.217
198	81.195
199	81.186
200	81.152
201	81.176
202	81.175
203	81.159
204	81.204
205	81.225
206	81.298
207	81.292
208	81.298
209	81.347
210	81.281
211	81.269
212	81.306
213	81.286
214	81.263
215	81.28
216	81.276
217	81.284
218	81.314
219	81.289
220	81.289
221	81.372
222	81.326
223	81.36
224	81.397
225	81.286
226	81.413
227	81.405
228	81.326
229	81.384
230	81.258
231	81.255
232	81.272
233	81.28
234	81.301
235	81.334
236	81.431
237	81.38
238	81.377
239	81.402
240	81.356
241	81.336
242	81.37
243	81.425
244	81.425
245	81.435
246	81.447
247	81.424
248	81.425
249	81.408
250	81.429
251	81.457
252	81.438
253	81.429
254	81.46
255	81.48
256	81.433
257	81.455
258	81.561
259	81.552
260	81.509
261	81.507
262	81.534
263	81.528
264	81.466
265	81.497
266	81.533
267	81.562
268	81.554
269	81.522
270	81.533
271	81.601
272	81.602
273	81.563
274	81.595
275	81.593
276	81.56
277	81.583
278	81.587
279	81.594
280	81.59
281	81.579
282	81.608
283	81.613
284	81.608
285	81.625
286	81.61
287	81.561
288	81.588
289	81.586
290	81.488
291	81.564
292	81.552
293	81.367
294	81.47
295	81.452
296	81.32
297	81.293
298	81.287
299	81.278
300	81.222
301	81.143
302	81.152
303	81.004
304	81.048
305	81.136
306	81.027
307	81.044
308	81.07
309	81.015
310	81.011
311	80.996
312	81.032
313	81.049
314	81.049
315	81.076
316	81.061
317	81.082
318	81.136
319	81.164
320	81.149
321	81.186
322	81.229
323	81.239
324	81.214
325	81.237
326	81.267
327	81.325
328	81.327
329	81.308
330	81.33
331	81.378
332	81.438
333	81.424
334	81.412
335	81.451
336	81.412
337	81.479
338	81.555
339	81.552
340	81.532
341	81.523
342	81.596
343	81.541
344	81.547
345	81.625
346	81.625
347	81.682
348	81.722
349	81.781
350	81.735
351	81.642
352	81.651
353	81.678
354	81.701
355	81.767
356	81.789
357	81.806
358	81.779
359	81.802
360	81.823
361	81.804
362	81.834
363	81.812
364	81.864
365	81.85
366	81.843
367	81.869
368	81.861
369	81.876
370	81.878
371	81.88
372	81.872
373	81.909
374	81.891
375	81.962
376	81.967
377	81.963
378	81.971
379	81.968
380	81.978
381	82.005
382	82.011
383	82.006
384	82.061
385	81.987
386	82.085
387	82.025
388	82.036
389	82.086
390	81.996
391	81.977
392	81.973
393	81.98
394	81.982
395	82.015
396	81.992
397	81.948
398	81.863
399	81.983
400	81.996
401	81.926
402	81.936
403	81.91
404	81.956
405	81.91
406	81.875
407	81.897
408	81.851
409	81.792
410	81.763
411	81.756
412	81.636
413	81.597
414	81.584
415	81.508
416	81.515
417	81.478
418	81.4
419	81.396
420	81.291
421	81.234
422	81.252
423	81.243
424	81.213
425	81.099
426	81.075
427	81.06
428	81.068
429	81.073
430	81.064
431	81.11
432	81.086
433	81.085
434	81.092
435	81.08
436	81.109
437	81.117
438	81.104
439	81.161
440	81.199
441	81.189
442	81.167
443	81.196
444	81.274
445	81.313
446	81.383
447	81.397
448	81.403
449	81.431
450	81.417
451	81.438
452	81.448
453	81.439
454	81.453
455	81.465
456	81.481
457	81.476
458	81.525
459	81.561
460	81.556
461	81.592
462	81.597
463	81.621
464	81.636
465	81.71
466	81.682
467	81.621
468	81.695
469	81.701
470	81.651
471	81.645
472	81.741
473	81.743
474	81.731
475	81.781
476	81.788
477	81.811
478	81.778
479	81.806
480	81.743
481	81.781
482	81.787
483	81.765
484	81.856
485	81.845
486	81.875
487	81.87
488	81.909
489	81.926
490	81.952
491	81.982
492	82.011
493	82.048
494	82.059
495	82.104
496	82.09
497	82.15
498	82.157
499	82.166
500	82.208
501	82.169
502	82.281
503	82.268
504	82.269
505	82.327
506	82.312
507	82.367
508	82.369
509	82.358
510	82.394
511	82.38
512	82.385
513	82.406
514	82.374
515	82.395
516	82.403
517	82.349
518	82.357
519	82.331
520	82.265
521	82.238
522	82.211
523	82.197
524	82.146
525	82.097
526	82.047
527	82.017
528	81.963
529	81.87
530	81.874
531	81.805
532	81.732
533	81.638
534	81.623
535	81.567
536	81.485
537	81.504
538	81.486
539	81.472
540	81.416
541	81.445
542	81.49
543	81.457
544	81.459
545	81.429
546	81.466
547	81.524
548	81.503
549	81.518
550	81.544
551	81.603
552	81.639
553	81.653
554	81.693
555	81.694
556	81.692
557	81.717
558	81.769
559	81.803
560	81.794
561	81.829
562	81.897
563	81.907
564	81.944
565	81.961
566	81.958
567	81.991
568	82.022
569	82.061
570	82.106
571	82.111
572	82.138
573	82.169
574	82.17
575	82.194
576	82.223
577	82.231
578	82.246
579	82.246
580	82.316
581	82.357
582	82.36
583	82.368
584	82.359
585	82.414
586	82.417
587	82.415
588	82.425
589	82.414
590	82.481
591	82.523
592	82.525
593	82.538
594	82.577
595	82.597
596	82.571
597	82.608
598	82.591
599	82.571
600	82.615
601	82.595
602	82.608
603	82.687
604	82.692
605	82.675
606	82.727
607	82.751
608	82.739
609	82.755
610	82.752
611	82.733
612	82.755
613	82.778
614	82.778
615	82.78
616	82.822
617	82.825
618	82.823
619	82.834
620	82.822
621	82.856
622	82.883
623	82.886
624	82.898
625	82.917
626	82.939
627	82.934
628	82.947
629	82.959
630	82.953
631	82.956
632	82.975
633	83.016
634	83.016
635	83.021
636	83.03
637	83.017
638	83.046
639	83.081
640	83.069
641	83.074
642	83.076
643	83.077
644	83.104
645	83.107
646	83.116
647	83.158
648	83.152
649	83.158
650	83.188
651	83.174
652	83.167
653	83.169
654	83.167
655	83.181
656	83.197
657	83.238
658	83.247
659	83.234
660	83.257
661	83.27
662	83.255
