Freq(Hz)	SPL(dB)
15	72.532
16	72.334
17	72.849
18	73.395
19	73.494
20	74.022
21	74.667
22	75.514
23	75.828
24	76.112
25	76.49
26	76.62
27	77.052
28	77.498
29	77.692
30	78.303
31	78.603
32	78.756
33	78.877
34	79.08
35	79.241
36	79.348
37	79.684
38	79.821
39	79.733
40	79.704
41	80.033
42	80.241
43	80.415
44	80.524
45	80.499
46	80.713
47	80.643
48	80.811
49	81.132
50	81.024
51	81.07
52	81.17
53	81.218
54	81.26
55	81.383
56	81.399
57	81.312
58	81.273
59	81.236
60	81.222
61	81.165
62	81.18
63	81.143
64	81.187
65	81.471
66	81.66
67	81.892
68	82.314
69	82.618
70	82.572
71	82.52
72	82.495
73	82.432
74	82.496
75	82.529
76	82.561
77	82.537
78	82.479
79	82.56
80	82.502
81	82.446
82	82.374
83	82.374
84	82.337
85	82.315
86	82.322
87	82.273
88	82.274
89	82.267
90	82.254
91	82.234
92	82.224
93	82.25
94	82.193
95	82.2
96	82.186
97	82.096
98	82.136
99	82.128
100	82.092
101	82.121
102	82.049
103	82.034
104	82.067
105	82.013
106	81.997
107	82.018
108	82.035
109	82.001
110	82.003
111	82.015
112	81.969
113	81.959
114	81.962
115	81.927
116	81.97
117	81.942
118	81.891
119	81.863
120	81.833
121	81.861
122	81.852
123	81.836
124	81.848
125	81.82
126	81.849
127	81.945
128	81.946
129	81.898
130	81.886
131	81.871
132	81.947
133	81.951
134	81.92
135	81.917
136	81.854
137	81.906
138	81.937
139	81.924
140	81.874
141	81.912
142	81.844
143	81.79
144	81.865
145	81.793
146	81.806
147	81.777
148	81.715
149	81.727
150	81.733
151	81.733
152	81.797
153	81.774
154	81.747
155	81.768
156	81.802
157	81.854
158	81.797
159	81.797
160	81.731
161	81.687
162	81.742
163	81.716
164	81.691
165	81.715
166	81.709
167	81.675
168	81.69
169	81.663
170	81.66
171	81.65
172	81.662
173	81.65
174	81.623
175	81.658
176	81.621
177	81.61
178	81.674
179	81.685
180	81.661
181	81.636
182	81.622
183	81.649
184	81.645
185	81.621
186	81.619
187	81.639
188	81.645
189	81.637
190	81.645
191	81.653
192	81.64
193	81.644
194	81.628
195	81.66
196	81.681
197	81.658
198	81.628
199	81.656
200	81.682
201	81.689
202	81.66
203	81.659
204	81.662
205	81.648
206	81.66
207	81.698
208	81.664
209	81.66
210	81.735
211	81.734
212	81.734
213	81.724
214	81.733
215	81.729
216	81.743
217	81.724
218	81.756
219	81.765
220	81.775
221	81.761
222	81.74
223	81.729
224	81.677
225	81.673
226	81.666
227	81.752
228	81.725
229	81.735
230	81.733
231	81.727
232	81.784
233	81.74
234	81.758
235	81.774
236	81.787
237	81.795
238	81.788
239	81.697
240	81.695
241	81.847
242	81.768
243	81.701
244	81.774
245	81.811
246	81.823
247	81.888
248	81.851
249	81.827
250	81.852
251	81.829
252	81.882
253	81.969
254	82.013
255	82
256	81.987
257	81.988
258	81.97
259	81.953
260	81.95
261	81.94
262	81.93
263	82.01
264	82.031
265	81.998
266	81.931
267	82.014
268	82.164
269	82.108
270	82.099
271	82.137
272	82.195
273	82.06
274	82.04
275	82.031
276	81.865
277	81.956
278	81.96
279	81.705
280	81.891
281	81.976
282	81.688
283	81.906
284	81.883
285	81.632
286	81.694
287	81.586
288	81.617
289	81.683
290	81.439
291	81.45
292	81.605
293	81.439
294	81.379
295	81.539
296	81.312
297	81.576
298	81.301
299	81.346
300	81.616
301	81.127
302	81.592
303	81.322
304	81.279
305	81.691
306	81.294
307	81.43
308	81.622
309	81.478
310	81.467
311	81.604
312	81.737
313	81.526
314	81.624
315	81.592
316	81.712
317	81.745
318	81.629
319	81.712
320	81.857
321	81.9
322	81.826
323	81.764
324	81.791
325	81.935
326	81.953
327	81.895
328	81.924
329	81.949
330	81.939
331	81.915
332	81.929
333	81.971
334	82.044
335	81.998
336	82.032
337	82.046
338	82.104
339	82.095
340	82.1
341	82.151
342	82.131
343	82.168
344	82.157
345	82.208
346	82.216
347	82.209
348	82.246
349	82.165
350	82.222
351	82.289
352	82.228
353	82.332
354	82.294
355	82.289
356	82.383
357	82.331
358	82.402
359	82.382
360	82.318
361	82.423
362	82.382
363	82.435
364	82.5
365	82.437
366	82.549
367	82.591
368	82.604
369	82.577
370	82.523
371	82.55
372	82.562
373	82.558
374	82.601
375	82.541
376	82.572
377	82.62
378	82.576
379	82.651
380	82.612
381	82.618
382	82.643
383	82.506
384	82.661
385	82.691
386	82.495
387	82.569
388	82.623
389	82.621
390	82.612
391	82.559
392	82.61
393	82.6
394	82.569
395	82.588
396	82.518
397	82.395
398	82.378
399	82.446
400	82.455
401	82.326
402	82.199
403	82.2
404	82.175
405	82.106
406	82.03
407	81.996
408	82.001
409	81.894
410	81.946
411	81.948
412	81.667
413	81.678
414	81.515
415	81.308
416	81.241
417	81.362
418	81.458
419	81.319
420	81.223
421	81.051
422	81.022
423	81.244
424	81.012
425	81.037
426	81.1
427	80.993
428	81.001
429	80.876
430	80.936
431	81.071
432	80.941
433	80.976
434	81.02
435	81.023
436	80.942
437	80.996
438	81.237
439	81.177
440	81.321
441	81.472
442	81.403
443	81.285
444	81.325
445	81.387
446	81.486
447	81.45
448	81.48
449	81.735
450	81.483
451	81.61
452	81.879
453	81.713
454	81.858
455	81.822
456	81.715
457	81.91
458	81.806
459	81.735
460	81.819
461	81.956
462	81.886
463	81.966
464	82.018
465	82.214
466	82.191
467	81.872
468	82.189
469	81.994
470	82.033
471	82.266
472	82.083
473	82.257
474	82.092
475	82.209
476	82.205
477	81.963
478	82.405
479	82.01
480	82.099
481	82.447
482	82.148
483	82.326
484	82.37
485	82.238
486	82.125
487	82.099
488	82.126
489	81.87
490	81.937
491	81.935
492	81.879
493	81.9
494	81.735
495	81.779
496	81.688
497	81.688
498	81.582
499	81.673
500	81.586
501	81.418
502	81.56
503	81.24
504	81.326
505	81.544
506	81.325
507	81.462
508	81.554
509	81.392
510	81.472
511	81.635
512	81.578
513	81.45
514	81.663
515	81.683
516	81.509
517	81.563
518	81.632
519	81.66
520	81.559
521	81.591
522	81.639
523	81.692
524	81.732
525	81.758
526	81.755
527	81.779
528	81.986
529	81.885
530	81.881
531	81.912
532	81.953
533	82.096
534	82.08
535	81.974
536	81.962
537	82.081
538	82.155
539	82.205
540	82.179
541	82.059
542	82.027
543	82.264
544	82.301
545	82.187
546	82.257
547	82.298
548	82.309
549	82.426
550	82.277
551	82.558
552	82.498
553	82.455
554	82.632
555	82.403
556	82.542
557	82.37
558	82.455
559	82.463
560	82.511
561	82.608
562	82.578
563	82.729
564	82.544
565	82.396
566	82.43
567	82.535
568	82.693
569	82.643
570	82.58
571	82.542
572	82.676
573	82.596
574	82.667
575	82.786
576	82.746
577	82.764
578	82.703
579	82.716
580	82.809
581	82.934
582	83.001
583	82.895
584	82.882
585	82.777
586	82.78
587	82.922
588	82.972
589	82.92
590	82.975
591	83.025
592	82.938
593	82.997
594	83.014
595	82.953
596	83.019
597	83.046
598	82.943
599	83.018
600	83.124
601	83.087
602	83.149
603	83.169
604	83.187
605	83.238
606	83.142
607	83.043
608	83.015
609	83.082
610	83.171
611	83.23
612	83.263
613	83.307
614	83.415
615	83.448
616	83.35
617	83.329
618	83.368
619	83.368
620	83.362
621	83.347
622	83.451
623	83.493
624	83.472
625	83.473
626	83.47
627	83.578
628	83.604
629	83.448
630	83.507
631	83.52
632	83.434
633	83.476
634	83.551
635	83.672
636	83.597
637	83.552
638	83.572
639	83.575
640	83.739
641	83.856
642	83.79
643	83.54
644	83.521
645	83.597
646	83.77
647	84.065
648	83.802
649	83.493
650	83.503
651	83.706
652	83.754
653	83.653
654	83.754
655	83.828
656	83.66
657	83.591
658	83.613
659	83.66
660	83.764
661	83.7
662	83.519
663	83.665
664	83.793
665	83.855
666	83.749
667	83.776
668	83.817
669	83.756
670	83.952
671	83.962
672	83.853
673	83.768
674	83.879
675	84.05
676	84.109
677	83.935
678	83.929
679	84.113
680	84.086
681	84.095
682	84.14
683	84.016
684	84.141
685	84.235
686	84.195
687	84.153
688	84.238
689	84.121
690	84.226
691	84.383
692	84.005
693	84.099
694	84.44
695	84.111
696	84.085
697	84.197
698	84.071
699	84.107
700	84.011
701	84.038
702	84.095
703	83.962
704	84.072
705	83.972
706	83.871
707	83.894
708	83.84
709	83.74
710	83.593
711	83.654
712	83.631
713	83.517
714	83.44
715	83.386
716	83.352
717	83.219
718	83.256
719	83.16
720	82.954
721	83.082
722	83.027
723	82.947
724	82.913
725	82.945
726	82.828
727	82.782
728	82.895
729	82.872
730	82.906
731	82.846
732	82.749
733	82.79
734	82.861
735	82.997
736	82.744
737	82.767
738	82.975
739	83.061
740	82.907
741	82.873
742	83.007
743	83.116
744	83.104
745	82.874
746	82.761
747	83.396
748	83.295
749	83.135
750	83.208
751	83.276
752	83.462
753	83.392
754	83.052
755	83.023
756	83.356
757	83.414
758	83.286
759	83.353
760	83.476
761	83.552
762	83.476
763	83.473
764	83.399
765	83.234
766	83.394
767	83.607
768	83.652
769	83.754
770	83.868
771	83.816
772	83.653
773	83.579
774	83.56
775	83.549
776	83.526
777	83.498
778	83.414
779	83.374
780	83.376
781	83.361
782	83.351
783	83.384
784	83.466
785	83.511
786	83.501
787	83.491
788	83.496
789	83.423
790	83.358
791	83.293
792	83.319
793	83.344
794	83.325
795	83.239
796	83.04
797	82.967
798	82.993
799	83.045
800	83.026
801	82.94
802	82.745
803	82.607
804	82.676
805	82.691
806	82.59
807	82.459
808	82.308
809	82.24
810	82.154
811	82.081
812	82.086
813	82.102
814	82.083
815	82.025
816	81.956
817	81.919
818	81.861
819	81.799
820	81.773
821	81.715
822	81.693
823	81.671
824	81.631
825	81.572
826	81.571
827	81.576
828	81.491
829	81.453
830	81.485
831	81.493
832	81.52
833	81.498
834	81.479
835	81.511
836	81.513
837	81.508
838	81.569
839	81.672
840	81.647
841	81.711
842	81.79
843	81.844
844	81.891
845	81.887
846	81.906
847	81.915
848	81.888
849	81.912
850	81.946
851	81.892
852	81.898
853	81.936
854	81.946
855	82.079
856	82.178
857	82.154
858	82.177
859	82.204
860	82.178
861	82.249
862	82.234
863	82.29
864	82.441
865	82.466
866	82.57
867	82.564
868	82.5
869	82.468
870	82.429
871	82.448
872	82.471
873	82.562
874	82.566
875	82.607
876	82.65
877	82.482
878	82.435
879	82.428
880	82.401
881	82.511
882	82.529
883	82.515
884	82.639
885	82.663
886	82.576
887	82.558
888	82.574
889	82.617
890	82.616
891	82.601
892	82.63
893	82.635
894	82.595
895	82.611
896	82.622
897	82.497
898	82.501
899	82.475
900	82.341
901	82.42
902	82.423
903	82.33
904	82.455
905	82.354
906	82.261
907	82.38
908	82.314
909	82.307
910	82.443
911	82.418
912	82.306
913	82.344
914	82.285
915	82.222
916	82.222
917	82.13
918	82.235
919	82.146
920	82.06
921	82.101
922	82.079
923	82.086
924	82.141
925	82.143
926	82.057
927	82.102
928	82.198
929	82.216
930	82.287
931	82.306
932	82.336
933	82.356
934	82.331
935	82.393
936	82.357
937	82.246
938	82.306
939	82.395
940	82.449
941	82.514
942	82.486
943	82.437
944	82.461
945	82.492
946	82.473
947	82.508
948	82.581
949	82.625
950	82.69
951	82.782
952	82.732
953	82.675
954	82.728
955	82.827
956	82.888
957	82.927
958	82.915
959	82.838
960	82.868
961	82.921
962	83.013
963	83.071
964	83.104
965	83.123
966	83.205
967	83.319
968	83.363
969	83.362
970	83.306
971	83.169
972	83.109
973	83.24
974	83.313
975	83.329
976	83.277
977	83.242
978	83.281
979	83.31
980	83.385
981	83.434
982	83.461
983	83.396
984	83.294
985	83.339
986	83.572
987	83.644
988	83.619
989	83.562
990	83.478
991	83.456
992	83.475
993	83.478
994	83.469
995	83.452
996	83.528
997	83.505
998	83.5
999	83.622
1000	83.739
1001	83.764
1002	83.806
1003	83.838
1004	83.796
1005	83.823
1006	83.851
1007	83.866
1008	83.806
1009	83.734
