Freq(Hz)	SPL(dB)
20	86.897
21	86.97
22	87.023
23	86.921
24	86.779
25	86.688
26	86.695
27	86.752
28	86.864
29	86.936
30	86.983
31	86.959
32	86.863
33	86.785
34	86.701
35	86.646
36	86.649
37	86.672
38	86.714
39	86.744
40	86.765
41	86.818
42	86.866
43	86.923
44	86.957
45	86.999
46	87.025
47	87.024
48	87.016
49	86.964
50	86.94
51	86.923
52	86.855
53	86.798
54	86.717
55	86.638
56	86.514
57	86.374
58	86.225
59	86.117
60	85.956
61	85.775
62	85.644
63	85.478
64	85.315
65	85.17
66	85.089
67	84.981
68	84.95
69	84.934
70	84.941
71	85.01
72	85.109
73	85.192
74	85.336
75	85.494
76	85.673
77	85.786
78	85.942
79	86.107
80	86.261
81	86.349
82	86.482
83	86.612
84	86.726
85	86.795
86	86.888
87	86.977
88	87.035
89	87.1
90	87.158
91	87.228
92	87.268
93	87.302
94	87.333
95	87.363
96	87.368
97	87.374
98	87.376
99	87.367
100	87.362
101	87.367
102	87.367
103	87.36
104	87.351
105	87.345
106	87.342
107	87.344
108	87.343
109	87.333
110	87.338
111	87.333
112	87.32
113	87.323
114	87.309
115	87.29
116	87.286
117	87.282
118	87.28
119	87.29
120	87.295
121	87.29
122	87.318
123	87.34
124	87.341
125	87.359
126	87.385
127	87.402
128	87.434
129	87.451
130	87.482
131	87.529
132	87.566
133	87.594
134	87.638
135	87.678
136	87.721
137	87.748
138	87.782
139	87.824
140	87.852
141	87.891
142	87.937
143	87.967
144	87.989
145	88.023
146	88.049
147	88.077
148	88.093
149	88.107
150	88.133
151	88.147
152	88.155
153	88.168
154	88.172
155	88.175
156	88.181
157	88.185
158	88.183
159	88.182
160	88.181
161	88.182
162	88.174
163	88.166
164	88.159
165	88.157
166	88.155
167	88.14
168	88.126
169	88.112
170	88.097
171	88.086
172	88.079
173	88.059
174	88.049
175	88.031
176	88.006
177	87.988
178	87.967
179	87.938
180	87.919
181	87.916
182	87.882
183	87.85
184	87.822
185	87.805
186	87.778
187	87.744
188	87.725
189	87.684
190	87.649
191	87.618
192	87.595
193	87.57
194	87.539
195	87.5
196	87.476
197	87.437
198	87.404
199	87.371
200	87.343
201	87.312
202	87.278
203	87.249
204	87.215
205	87.18
206	87.145
207	87.121
208	87.078
209	87.036
210	87.004
211	86.984
212	86.948
213	86.908
214	86.889
215	86.853
216	86.81
217	86.776
218	86.75
219	86.71
220	86.671
221	86.637
222	86.612
223	86.572
224	86.535
225	86.502
226	86.474
227	86.429
228	86.397
