Freq(Hz)	SPL(dB)
20	85.348
21	85.418
22	85.545
23	85.565
24	85.518
25	85.484
26	85.549
27	85.643
28	85.78
29	85.875
30	85.942
31	85.975
32	85.979
33	85.979
34	86.006
35	85.985
36	85.993
37	85.979
38	85.945
39	85.961
40	86.009
41	86.075
42	86.105
43	86.244
44	86.281
45	86.34
46	86.403
47	86.387
48	86.37
49	86.312
50	86.286
51	86.259
52	86.161
53	86.066
54	85.951
55	85.833
56	85.676
57	85.532
58	85.339
59	85.233
60	85.097
61	84.946
62	84.854
63	84.727
64	84.61
65	84.511
66	84.471
67	84.476
68	84.548
69	84.676
70	84.801
71	85.016
72	85.247
73	85.402
74	85.638
75	85.864
76	86.066
77	86.194
78	86.363
79	86.515
80	86.65
81	86.727
82	86.828
83	86.925
84	86.995
85	87.028
86	87.085
87	87.146
88	87.187
89	87.256
90	87.334
91	87.417
92	87.477
93	87.568
94	87.656
95	87.739
96	87.788
97	87.862
98	87.933
99	87.972
100	88.031
101	88.075
102	88.126
103	88.158
104	88.191
105	88.226
106	88.253
107	88.272
108	88.295
109	88.322
110	88.348
111	88.363
112	88.389
113	88.417
114	88.435
115	88.457
116	88.493
117	88.524
118	88.535
119	88.578
120	88.609
121	88.636
122	88.659
123	88.673
124	88.716
125	88.744
126	88.765
127	88.791
128	88.819
129	88.833
130	88.858
131	88.884
132	88.91
133	88.926
134	88.946
135	88.967
136	88.982
137	88.987
138	88.995
139	88.998
140	89.002
141	89.011
142	89.016
143	89.014
144	89.01
145	89.016
146	89.008
147	88.996
148	88.984
149	88.968
150	88.961
151	88.948
152	88.93
153	88.91
154	88.894
155	88.875
156	88.847
157	88.828
158	88.793
159	88.773
160	88.746
161	88.713
162	88.68
163	88.651
164	88.615
165	88.575
166	88.546
167	88.51
168	88.47
169	88.436
170	88.415
171	88.373
172	88.339
173	88.306
174	88.275
175	88.244
176	88.204
177	88.171
178	88.144
179	88.099
180	88.061
181	88.041
182	87.977
183	87.925
184	87.888
185	87.851
186	87.8
187	87.755
188	87.718
189	87.67
190	87.621
191	87.568
192	87.538
193	87.495
194	87.452
195	87.407
196	87.372
197	87.322
198	87.28
199	87.224
200	87.187
201	87.139
202	87.091
203	87.058
