Freq(Hz)	SPL(dB)
20	82.371
21	82.458
22	82.532
23	82.443
24	82.216
25	82.093
26	82.114
27	82.251
28	82.488
29	82.621
30	82.736
31	82.742
32	82.683
33	82.624
34	82.564
35	82.573
36	82.617
37	82.678
38	82.754
39	82.804
40	82.807
41	82.785
42	82.767
43	82.738
44	82.747
45	82.769
46	82.785
47	82.82
48	82.824
49	82.764
50	82.846
51	82.861
52	82.816
53	82.806
54	82.77
55	82.741
56	82.706
57	82.668
58	82.643
59	82.637
60	82.638
61	82.589
62	82.663
63	82.666
64	82.499
65	82.422
66	82.347
67	82.377
68	82.157
69	82.213
70	82.016
71	81.613
72	81.88
73	81.766
74	81.621
75	81.662
76	81.591
77	81.581
78	81.546
79	81.527
80	81.501
81	81.485
82	81.523
83	81.557
84	81.602
85	81.625
86	81.641
87	81.724
88	81.742
89	81.741
90	81.767
91	81.755
92	81.794
93	81.857
94	81.856
95	81.895
96	81.904
97	81.933
98	81.968
99	81.984
100	82.07
101	82.042
102	82.054
103	82.099
104	82.097
105	82.127
106	82.124
107	82.115
108	82.123
109	82.122
110	82.123
111	82.147
112	82.141
113	82.144
114	82.182
115	82.15
116	82.134
117	82.17
118	82.168
119	82.137
120	82.166
121	82.221
122	82.205
123	82.223
124	82.238
125	82.234
126	82.252
127	82.219
128	82.241
129	82.251
130	82.25
131	82.283
132	82.276
133	82.276
134	82.288
135	82.29
136	82.297
137	82.303
138	82.322
139	82.319
140	82.311
141	82.338
142	82.349
143	82.34
144	82.337
145	82.34
146	82.354
147	82.351
148	82.347
149	82.353
150	82.375
151	82.37
152	82.364
153	82.341
154	82.329
155	82.346
156	82.334
157	82.324
158	82.292
159	82.283
160	82.314
161	82.256
162	82.255
163	82.282
164	82.235
165	82.217
166	82.214
167	82.216
168	82.212
169	82.193
170	82.206
171	82.194
172	82.198
173	82.201
174	82.2
175	82.191
176	82.18
177	82.193
178	82.185
179	82.162
180	82.161
181	82.157
182	82.128
183	82.126
184	82.125
185	82.11
186	82.102
187	82.098
188	82.093
189	82.078
190	82.067
191	82.039
192	82.03
193	82.018
194	82.003
195	82.001
196	82
197	82
198	81.972
199	81.973
200	81.944
201	81.93
202	81.977
203	81.951
204	81.901
205	81.898
206	81.938
207	81.944
208	81.884
209	81.887
210	81.905
211	81.899
212	81.9
213	81.888
214	81.88
215	81.875
216	81.86
217	81.837
218	81.833
219	81.812
220	81.815
221	81.799
222	81.778
223	81.773
224	81.76
225	81.763
226	81.761
227	81.754
228	81.723
229	81.713
230	81.713
231	81.691
232	81.669
233	81.661
234	81.648
235	81.624
236	81.611
237	81.593
238	81.575
239	81.544
240	81.529
241	81.517
242	81.51
243	81.501
244	81.483
245	81.482
246	81.474
247	81.449
248	81.427
249	81.429
250	81.457
251	81.418
252	81.429
253	81.485
254	81.448
255	81.446
256	81.475
257	81.462
258	81.494
259	81.513
260	81.497
261	81.521
262	81.499
263	81.474
264	81.498
265	81.46
266	81.455
267	81.453
268	81.436
269	81.431
270	81.406
271	81.421
272	81.399
273	81.418
274	81.416
275	81.378
276	81.391
277	81.351
278	81.366
279	81.368
280	81.34
281	81.349
282	81.339
283	81.319
284	81.32
285	81.333
286	81.297
287	81.272
288	81.273
289	81.252
290	81.236
291	81.239
292	81.241
293	81.208
294	81.208
295	81.203
296	81.197
297	81.191
298	81.166
299	81.192
300	81.166
301	81.152
302	81.152
303	81.128
304	81.132
305	81.121
306	81.134
307	81.132
308	81.105
309	81.064
310	81.051
311	81.069
312	81.059
313	81.057
314	81.02
315	80.991
316	81.027
317	81.012
318	81.003
319	81.002
320	80.973
321	80.979
322	80.969
323	80.967
324	80.951
325	80.949
326	80.949
327	80.92
328	80.927
329	80.923
330	80.909
331	80.898
332	80.895
333	80.895
334	80.893
335	80.881
336	80.887
337	80.885
338	80.859
339	80.875
340	80.871
341	80.872
342	80.885
343	80.845
344	80.867
345	80.904
346	80.863
347	80.871
348	80.886
349	80.868
350	80.876
351	80.886
352	80.861
353	80.843
354	80.858
355	80.865
356	80.864
357	80.876
358	80.878
359	80.87
360	80.894
361	80.895
362	80.87
363	80.888
364	80.901
365	80.894
366	80.916
367	80.914
368	80.9
369	80.913
370	80.912
371	80.899
372	80.926
373	80.939
374	80.932
375	80.932
376	80.934
377	80.953
378	80.959
379	80.945
380	80.95
381	80.946
382	80.943
383	80.957
384	80.956
385	80.946
386	80.958
387	80.939
388	80.917
389	80.909
390	80.909
391	80.944
392	80.87
393	80.884
394	80.929
395	80.898
396	80.913
397	80.903
398	80.897
399	80.88
400	80.849
401	80.837
402	80.841
403	80.812
404	80.799
405	80.779
406	80.766
407	80.768
408	80.76
409	80.767
410	80.81
411	80.829
412	80.85
413	80.906
414	80.967
415	81.021
416	81.096
417	81.161
418	81.242
419	81.283
420	81.343
421	81.41
422	81.454
423	81.496
424	81.525
425	81.572
426	81.605
427	81.644
428	81.666
429	81.7
430	81.708
431	81.727
432	81.756
433	81.778
434	81.796
435	81.813
436	81.834
437	81.847
438	81.869
439	81.895
440	81.91
441	81.913
442	81.941
443	81.966
444	81.957
445	81.964
446	81.991
447	81.997
448	81.995
449	81.997
450	82.017
451	82.034
452	82.028
453	82.053
454	82.064
455	82.058
456	82.073
457	82.077
458	82.09
459	82.112
460	82.114
461	82.101
462	82.115
463	82.126
464	82.128
465	82.142
466	82.138
467	82.137
468	82.153
469	82.164
470	82.178
471	82.178
472	82.169
473	82.19
474	82.199
475	82.198
476	82.208
477	82.203
478	82.21
479	82.222
480	82.23
481	82.227
482	82.23
483	82.247
484	82.234
485	82.225
486	82.225
487	82.23
488	82.231
489	82.231
490	82.239
491	82.244
492	82.238
493	82.236
494	82.236
495	82.23
496	82.22
497	82.206
498	82.206
499	82.213
500	82.213
501	82.202
502	82.181
503	82.178
504	82.167
505	82.14
506	82.139
507	82.128
508	82.119
509	82.109
510	82.081
511	82.087
512	82.1
513	82.095
514	82.092
515	82.097
516	82.095
517	82.093
518	82.092
519	82.095
520	82.096
521	82.096
522	82.101
523	82.104
524	82.12
525	82.124
526	82.132
527	82.15
528	82.148
529	82.172
530	82.189
531	82.193
532	82.197
533	82.207
534	82.226
535	82.256
536	82.262
537	82.255
538	82.265
539	82.29
540	82.295
541	82.312
542	82.338
543	82.35
544	82.372
545	82.371
546	82.384
547	82.406
548	82.401
549	82.409
550	82.441
551	82.455
552	82.464
553	82.475
554	82.48
555	82.497
556	82.501
557	82.528
558	82.547
559	82.544
560	82.565
561	82.57
562	82.565
563	82.588
564	82.595
565	82.602
566	82.61
567	82.606
568	82.621
569	82.622
570	82.633
571	82.646
572	82.648
573	82.657
574	82.659
575	82.668
576	82.673
577	82.668
578	82.676
579	82.675
580	82.681
581	82.688
582	82.691
583	82.698
584	82.702
585	82.705
586	82.706
587	82.708
588	82.709
589	82.723
590	82.725
591	82.716
592	82.732
593	82.742
594	82.742
595	82.747
596	82.763
597	82.77
598	82.779
599	82.774
600	82.778
601	82.784
602	82.785
603	82.786
604	82.795
605	82.812
606	82.821
607	82.813
608	82.829
609	82.847
610	82.814
611	82.819
612	82.819
613	82.82
614	82.829
615	82.825
616	82.828
617	82.827
618	82.824
619	82.819
620	82.814
621	82.811
622	82.811
623	82.818
624	82.817
625	82.813
626	82.822
627	82.824
628	82.804
629	82.794
630	82.795
631	82.785
632	82.782
633	82.781
634	82.778
635	82.77
636	82.776
637	82.786
638	82.78
639	82.774
640	82.767
641	82.76
642	82.762
643	82.762
644	82.754
645	82.756
646	82.756
647	82.75
648	82.748
649	82.743
650	82.726
651	82.73
652	82.732
653	82.711
654	82.704
655	82.709
656	82.706
657	82.701
658	82.706
659	82.689
660	82.677
661	82.675
662	82.681
663	82.679
664	82.661
665	82.656
666	82.66
667	82.657
668	82.65
669	82.638
670	82.65
671	82.645
672	82.621
673	82.624
674	82.607
675	82.601
676	82.617
677	82.608
678	82.604
679	82.609
680	82.598
681	82.598
682	82.585
683	82.577
684	82.603
685	82.591
686	82.582
687	82.578
688	82.588
689	82.594
690	82.594
691	82.587
692	82.587
693	82.596
694	82.594
695	82.591
696	82.579
697	82.573
698	82.581
699	82.584
700	82.591
701	82.592
702	82.596
703	82.598
704	82.588
705	82.588
706	82.576
707	82.584
708	82.593
709	82.576
710	82.578
711	82.572
712	82.561
713	82.567
714	82.556
715	82.556
716	82.556
717	82.538
718	82.535
719	82.534
720	82.529
721	82.523
722	82.509
723	82.502
724	82.497
725	82.491
726	82.491
727	82.476
728	82.482
729	82.478
730	82.456
731	82.463
732	82.463
733	82.444
734	82.435
735	82.435
736	82.43
737	82.42
738	82.404
739	82.399
740	82.395
741	82.391
742	82.398
743	82.389
744	82.383
745	82.376
746	82.359
747	82.359
748	82.345
749	82.334
750	82.335
751	82.336
752	82.332
753	82.333
754	82.326
755	82.319
756	82.319
757	82.317
758	82.307
759	82.288
760	82.288
761	82.289
762	82.292
763	82.282
764	82.269
765	82.279
766	82.264
767	82.256
768	82.259
769	82.248
770	82.248
771	82.245
772	82.243
773	82.255
774	82.268
775	82.267
776	82.251
777	82.261
778	82.271
779	82.257
780	82.26
781	82.276
782	82.266
783	82.277
784	82.292
785	82.292
786	82.302
