Freq(Hz)	SPL(dB)
20	80.432
21	80.518
22	80.64
23	80.719
24	80.745
25	80.76
26	80.847
27	80.96
28	81.12
29	81.204
30	81.323
31	81.382
32	81.413
33	81.427
34	81.431
35	81.489
36	81.531
37	81.603
38	81.663
39	81.688
40	81.72
41	81.739
42	81.761
43	81.8
44	81.827
45	81.876
46	81.889
47	81.943
48	81.974
49	81.954
50	82.035
51	82.046
52	82.067
53	82.095
54	82.09
55	82.077
56	82.06
57	82.035
58	81.997
59	81.973
60	81.924
61	81.878
62	81.845
63	81.777
64	81.728
65	81.648
66	81.594
67	81.535
68	81.45
69	81.396
70	81.366
71	81.314
72	81.283
73	81.263
74	81.219
75	81.218
76	81.238
77	81.242
78	81.274
79	81.313
80	81.378
81	81.414
82	81.47
83	81.555
84	81.621
85	81.682
86	81.768
87	81.835
88	81.896
89	81.977
90	82.022
91	82.092
92	82.137
93	82.163
94	82.205
95	82.231
96	82.235
97	82.296
98	82.296
99	82.308
100	82.372
101	82.298
102	82.339
103	82.396
104	82.419
105	82.449
106	82.483
107	82.507
108	82.52
109	82.57
110	82.588
111	82.587
112	82.616
113	82.649
114	82.674
115	82.711
116	82.737
117	82.738
118	82.763
119	82.79
120	82.778
121	82.854
122	82.841
123	82.798
124	82.848
125	82.83
126	82.825
127	82.849
128	82.868
129	82.88
130	82.878
131	82.894
132	82.877
133	82.878
134	82.898
135	82.882
136	82.879
137	82.891
138	82.878
139	82.901
140	82.95
141	82.931
142	82.907
143	82.914
144	82.913
145	82.932
146	82.928
147	82.944
148	82.947
149	82.952
150	82.96
151	82.958
152	82.959
153	82.965
154	82.974
155	82.969
156	82.97
157	82.96
158	82.972
159	82.973
160	82.957
161	82.969
162	82.939
163	82.948
164	82.974
165	82.953
166	82.954
167	82.941
168	82.923
169	82.911
170	82.885
171	82.874
172	82.859
173	82.836
174	82.848
175	82.829
176	82.785
177	82.776
178	82.766
179	82.753
180	82.736
181	82.727
182	82.704
183	82.681
184	82.663
185	82.646
186	82.631
187	82.61
188	82.588
189	82.587
190	82.586
191	82.556
192	82.55
193	82.543
194	82.525
195	82.516
196	82.506
197	82.495
198	82.486
199	82.463
200	82.463
201	82.445
202	82.435
203	82.436
204	82.422
205	82.418
206	82.408
207	82.42
208	82.405
209	82.385
210	82.406
211	82.407
212	82.409
213	82.392
214	82.376
215	82.377
216	82.363
217	82.328
218	82.308
219	82.303
220	82.305
221	82.269
222	82.243
223	82.232
224	82.2
225	82.178
226	82.184
227	82.155
228	82.122
229	82.127
230	82.114
231	82.096
232	82.083
233	82.067
234	82.073
235	82.05
236	82.038
237	82.037
238	82.008
239	82.001
240	81.989
241	81.971
242	81.966
243	81.944
244	81.938
245	81.918
246	81.899
247	81.886
248	81.872
249	81.87
250	81.851
251	81.863
252	81.873
253	81.851
254	81.87
255	81.88
256	81.891
257	81.901
258	81.874
259	81.873
260	81.874
261	81.857
262	81.853
263	81.86
264	81.854
265	81.823
266	81.826
267	81.828
268	81.807
269	81.79
270	81.783
271	81.779
272	81.747
273	81.72
274	81.716
275	81.71
276	81.685
277	81.676
278	81.673
279	81.658
280	81.645
281	81.631
282	81.618
283	81.612
284	81.58
285	81.569
286	81.585
287	81.563
288	81.547
289	81.55
290	81.544
291	81.533
292	81.531
293	81.55
294	81.53
295	81.525
296	81.543
297	81.548
298	81.541
299	81.511
300	81.528
301	81.536
302	81.52
303	81.54
304	81.533
305	81.527
306	81.514
307	81.509
308	81.514
309	81.509
310	81.508
311	81.509
312	81.503
313	81.517
314	81.529
315	81.516
316	81.506
317	81.517
318	81.515
319	81.506
320	81.501
321	81.505
322	81.505
323	81.483
324	81.471
325	81.484
326	81.486
327	81.448
328	81.442
329	81.436
330	81.415
331	81.409
332	81.388
333	81.371
334	81.367
335	81.357
336	81.338
337	81.332
338	81.32
339	81.293
340	81.277
341	81.26
342	81.22
343	81.201
344	81.188
345	81.165
346	81.15
347	81.124
348	81.105
349	81.087
350	81.076
351	81.044
352	81.024
353	80.987
354	80.964
355	80.945
356	80.922
357	80.893
358	80.869
359	80.866
360	80.847
361	80.809
362	80.787
363	80.77
364	80.744
365	80.72
366	80.695
367	80.695
368	80.683
369	80.65
370	80.644
371	80.626
372	80.609
373	80.592
374	80.585
375	80.577
376	80.56
377	80.549
378	80.537
379	80.527
380	80.509
381	80.5
382	80.503
383	80.491
384	80.456
385	80.439
386	80.423
387	80.416
388	80.398
389	80.378
390	80.369
391	80.345
392	80.293
393	80.271
394	80.256
395	80.25
396	80.225
397	80.2
398	80.211
399	80.192
400	80.198
401	80.191
402	80.183
403	80.183
404	80.191
405	80.226
406	80.229
407	80.242
408	80.268
409	80.317
410	80.352
411	80.4
412	80.462
413	80.501
414	80.56
415	80.588
416	80.64
417	80.691
418	80.739
419	80.765
420	80.81
421	80.859
422	80.892
423	80.925
424	80.942
425	80.988
426	81.017
427	81.045
428	81.068
429	81.09
430	81.103
431	81.148
432	81.155
433	81.175
434	81.203
435	81.207
436	81.224
437	81.233
438	81.251
439	81.274
440	81.292
441	81.309
442	81.308
443	81.315
444	81.34
445	81.342
446	81.331
447	81.336
448	81.346
449	81.353
450	81.357
451	81.361
452	81.381
453	81.393
454	81.398
455	81.422
456	81.424
457	81.435
458	81.437
459	81.452
460	81.455
461	81.444
462	81.468
463	81.48
464	81.484
465	81.474
466	81.477
467	81.481
468	81.488
469	81.502
470	81.488
471	81.493
472	81.482
473	81.483
474	81.483
475	81.453
476	81.47
477	81.451
478	81.442
479	81.447
480	81.428
481	81.419
482	81.403
483	81.389
484	81.39
485	81.364
486	81.358
487	81.364
488	81.346
489	81.334
490	81.336
491	81.307
492	81.277
493	81.273
494	81.283
495	81.267
496	81.247
497	81.256
498	81.229
499	81.236
500	81.246
501	81.21
502	81.202
503	81.184
504	81.184
505	81.18
506	81.158
507	81.168
508	81.178
509	81.176
510	81.158
511	81.164
512	81.161
513	81.139
514	81.137
515	81.133
516	81.125
517	81.137
518	81.129
519	81.135
520	81.138
521	81.118
522	81.117
523	81.111
524	81.095
525	81.089
526	81.085
527	81.077
528	81.073
529	81.06
530	81.053
531	81.048
532	81.025
533	81.015
534	81.019
535	81.005
536	80.986
537	80.944
538	80.934
539	80.95
540	80.917
541	80.901
542	80.897
543	80.864
544	80.855
545	80.852
546	80.828
547	80.818
548	80.781
549	80.76
550	80.735
551	80.69
552	80.694
553	80.687
554	80.656
555	80.654
556	80.638
557	80.6
558	80.607
559	80.593
560	80.565
561	80.542
562	80.533
563	80.529
564	80.518
565	80.507
566	80.484
567	80.469
568	80.446
569	80.435
570	80.434
571	80.421
572	80.409
573	80.402
574	80.396
575	80.393
576	80.387
577	80.38
578	80.38
579	80.386
580	80.368
581	80.369
582	80.371
583	80.347
584	80.349
585	80.351
586	80.337
587	80.339
588	80.348
589	80.336
590	80.333
591	80.355
592	80.357
593	80.371
594	80.377
595	80.37
596	80.371
597	80.37
598	80.381
599	80.376
600	80.4
601	80.393
602	80.374
603	80.402
604	80.415
605	80.432
606	80.441
607	80.425
608	80.434
609	80.494
610	80.491
611	80.485
612	80.492
613	80.484
614	80.518
615	80.53
616	80.534
617	80.539
618	80.541
619	80.564
620	80.58
621	80.58
622	80.606
623	80.607
624	80.622
625	80.643
626	80.643
627	80.659
628	80.668
629	80.683
630	80.691
631	80.693
632	80.718
633	80.725
634	80.73
635	80.742
636	80.75
637	80.761
638	80.77
639	80.802
640	80.803
641	80.803
642	80.834
643	80.828
644	80.83
645	80.843
646	80.841
647	80.831
648	80.842
649	80.854
650	80.876
651	80.893
652	80.878
653	80.877
654	80.89
655	80.907
656	80.905
657	80.908
658	80.935
659	80.942
660	80.951
661	80.952
662	80.959
663	80.944
664	80.94
665	80.962
666	80.955
667	80.953
668	80.965
669	80.969
670	80.977
671	80.983
672	80.997
673	81.037
674	81.02
675	81.015
676	81.045
677	81.033
678	81.046
679	81.059
680	81.071
681	81.082
682	81.08
683	81.093
684	81.116
685	81.122
686	81.135
687	81.15
688	81.156
689	81.182
690	81.194
691	81.204
692	81.21
693	81.225
694	81.249
695	81.265
696	81.311
697	81.316
698	81.326
699	81.372
700	81.379
701	81.396
702	81.415
703	81.444
704	81.492
705	81.51
706	81.532
707	81.578
708	81.605
709	81.641
710	81.68
711	81.721
712	81.752
713	81.776
714	81.81
715	81.863
716	81.896
717	81.929
718	81.969
719	82.006
720	82.046
721	82.083
722	82.139
723	82.172
724	82.209
725	82.251
726	82.301
727	82.324
728	82.356
729	82.412
730	82.449
731	82.459
732	82.513
733	82.551
734	82.567
735	82.607
736	82.647
737	82.682
738	82.703
739	82.756
740	82.778
741	82.819
742	82.84
743	82.862
744	82.9
745	82.92
746	82.953
747	82.965
748	82.989
749	83.005
750	83.031
751	83.066
752	83.09
753	83.105
754	83.118
755	83.131
756	83.151
757	83.161
758	83.189
759	83.214
760	83.217
761	83.235
762	83.258
763	83.261
764	83.28
765	83.297
766	83.301
767	83.33
768	83.323
769	83.334
770	83.373
771	83.375
772	83.388
773	83.389
774	83.393
775	83.402
776	83.412
777	83.429
778	83.435
779	83.441
780	83.443
781	83.461
782	83.466
783	83.462
784	83.48
785	83.493
786	83.495
787	83.501
788	83.517
789	83.529
790	83.54
791	83.55
792	83.565
793	83.574
794	83.577
795	83.604
796	83.607
797	83.609
798	83.639
799	83.652
800	83.657
801	83.666
802	83.684
803	83.699
804	83.7
805	83.703
806	83.729
807	83.746
808	83.747
809	83.769
810	83.793
811	83.803
812	83.827
813	83.854
814	83.853
815	83.877
816	83.892
817	83.898
818	83.909
819	83.932
820	83.944
821	83.945
822	83.964
823	83.98
824	83.979
825	83.981
826	84.023
827	84.028
828	84.031
829	84.051
830	84.045
831	84.054
832	84.075
833	84.074
834	84.082
835	84.094
836	84.093
837	84.101
838	84.109
839	84.118
840	84.129
841	84.123
842	84.131
843	84.142
844	84.152
845	84.155
846	84.153
847	84.163
848	84.168
849	84.179
850	84.18
851	84.18
852	84.205
853	84.213
854	84.211
855	84.229
856	84.246
857	84.252
858	84.248
859	84.262
860	84.275
861	84.274
862	84.281
863	84.296
864	84.303
865	84.313
866	84.333
867	84.338
868	84.345
869	84.356
870	84.364
871	84.365
872	84.366
873	84.379
874	84.374
875	84.372
876	84.382
877	84.389
878	84.401
879	84.397
880	84.392
881	84.408
882	84.404
883	84.411
884	84.421
885	84.423
886	84.436
887	84.425
888	84.428
889	84.441
890	84.432
891	84.439
892	84.449
893	84.451
894	84.445
895	84.449
896	84.457
897	84.458
898	84.463
899	84.459
900	84.454
901	84.465
902	84.486
903	84.473
904	84.473
905	84.479
906	84.483
907	84.473
908	84.479
909	84.488
910	84.481
911	84.475
912	84.489
913	84.497
914	84.482
915	84.487
916	84.491
917	84.489
918	84.504
919	84.494
920	84.493
921	84.493
922	84.492
923	84.504
924	84.503
925	84.496
926	84.488
927	84.489
928	84.499
929	84.502
930	84.486
931	84.484
932	84.494
933	84.475
934	84.467
935	84.464
936	84.452
937	84.442
938	84.441
939	84.44
940	84.417
941	84.429
942	84.424
943	84.409
944	84.42
945	84.395
946	84.387
947	84.385
948	84.383
949	84.371
950	84.354
951	84.364
952	84.363
953	84.343
954	84.326
955	84.305
956	84.311
957	84.32
958	84.3
959	84.303
960	84.3
961	84.292
962	84.292
963	84.269
