Freq(Hz)	SPL(dB)
20	80.942
21	81.065
22	81.166
23	80.992
24	80.678
25	80.466
26	80.37
27	80.445
28	80.676
29	80.817
30	80.913
31	80.912
32	80.903
33	80.897
34	80.992
35	81.146
36	81.265
37	81.45
38	81.54
39	81.529
40	81.525
41	81.458
42	81.351
43	81.289
44	81.275
45	81.293
46	81.33
47	81.386
48	81.505
49	81.58
50	81.621
51	81.609
52	81.605
53	81.633
54	81.663
55	81.676
56	81.701
57	81.725
58	81.755
59	81.771
60	81.808
61	81.856
62	81.882
63	81.904
64	81.918
65	81.949
66	81.961
67	81.963
68	81.983
69	82.012
70	82.023
71	82.026
72	82.032
73	82.035
74	82.021
75	82.022
76	82.015
77	82.009
78	82.015
79	82.007
80	82.013
81	82.023
82	82.029
83	82.014
84	82.025
85	82.035
86	82.045
87	82.041
88	82.048
89	82.049
90	82.03
91	82.047
92	82.042
93	82.049
94	82.055
95	82.048
96	82.052
97	82.045
98	82.05
99	82.047
100	82.039
101	82.048
102	82.074
103	82.073
104	82.071
105	82.085
106	82.07
107	82.071
108	82.079
109	82.074
110	82.08
111	82.07
112	82.078
113	82.094
114	82.089
115	82.113
116	82.105
117	82.117
118	82.143
119	82.147
120	82.137
121	82.149
122	82.142
123	82.131
124	82.17
125	82.184
126	82.208
127	82.207
128	82.221
129	82.245
130	82.242
131	82.257
132	82.267
133	82.271
134	82.29
135	82.297
136	82.324
137	82.339
138	82.344
139	82.36
140	82.366
141	82.369
142	82.385
143	82.384
144	82.384
145	82.393
146	82.411
147	82.432
148	82.426
149	82.432
150	82.453
151	82.456
152	82.47
153	82.472
154	82.473
155	82.487
156	82.494
157	82.506
158	82.506
159	82.509
160	82.54
161	82.533
162	82.535
163	82.55
164	82.553
165	82.563
166	82.581
167	82.588
168	82.582
169	82.595
170	82.612
171	82.614
172	82.619
173	82.659
174	82.664
175	82.65
176	82.645
177	82.653
178	82.662
179	82.651
180	82.656
181	82.646
182	82.683
183	82.708
184	82.66
185	82.675
186	82.711
187	82.716
188	82.716
189	82.715
190	82.73
191	82.758
192	82.76
193	82.765
194	82.79
195	82.79
196	82.802
197	82.82
198	82.823
199	82.847
200	82.85
201	82.847
202	82.873
203	82.886
204	82.894
205	82.902
206	82.901
207	82.903
208	82.911
209	82.934
210	82.939
211	82.919
212	82.939
213	82.961
214	82.959
215	82.977
216	82.976
217	82.996
218	83.002
219	83.006
220	83.029
221	83.021
222	83.026
223	83.039
224	83.043
225	83.043
226	83.035
227	83.056
228	83.065
229	83.052
230	83.062
231	83.07
232	83.07
233	83.067
234	83.055
235	83.07
236	83.064
237	83.053
238	83.053
239	83.067
240	83.056
241	83.013
242	82.989
243	82.946
244	82.924
245	82.902
246	82.883
247	82.861
248	82.85
249	82.829
250	82.797
251	82.781
252	82.765
253	82.728
254	82.713
255	82.694
256	82.643
257	82.62
258	82.581
259	82.553
260	82.52
261	82.486
262	82.45
263	82.422
264	82.379
265	82.349
266	82.319
267	82.272
268	82.222
269	82.155
270	82.113
271	82.058
272	82.034
273	81.972
274	81.928
275	81.882
276	81.811
277	81.749
278	81.712
279	81.652
280	81.598
281	81.547
282	81.494
283	81.442
284	81.362
285	81.318
286	81.253
287	81.192
288	81.125
289	81.083
290	81.021
291	80.951
292	80.914
293	80.859
294	80.786
295	80.734
296	80.695
297	80.626
298	80.579
299	80.528
300	80.492
301	80.438
302	80.389
303	80.336
304	80.309
305	80.284
306	80.242
307	80.224
308	80.194
309	80.16
310	80.137
311	80.121
312	80.106
313	80.116
314	80.099
315	80.08
316	80.094
317	80.1
318	80.098
319	80.101
320	80.119
321	80.123
322	80.122
323	80.129
324	80.145
325	80.135
