Freq(Hz)	SPL(dB)
20	81.155
21	81.315
22	81.554
23	81.547
24	81.314
25	81.157
26	81.134
27	81.245
28	81.524
29	81.704
30	81.885
31	81.943
32	81.873
33	81.817
34	81.792
35	81.834
36	81.953
37	82.166
38	82.291
39	82.368
40	82.423
41	82.432
42	82.347
43	82.334
44	82.367
45	82.381
46	82.36
47	82.408
48	82.513
49	82.498
50	82.572
51	82.638
52	82.675
53	82.682
54	82.671
55	82.671
56	82.693
57	82.735
58	82.79
59	82.817
60	82.862
61	82.909
62	82.933
63	82.977
64	83.005
65	83.028
66	83.042
67	83.061
68	83.091
69	83.113
70	83.134
71	83.156
72	83.17
73	83.176
74	83.172
75	83.176
76	83.184
77	83.185
78	83.187
79	83.181
80	83.182
81	83.184
82	83.191
83	83.196
84	83.195
85	83.203
86	83.214
87	83.201
88	83.196
89	83.199
90	83.193
91	83.194
92	83.197
93	83.203
94	83.207
95	83.193
96	83.191
97	83.188
98	83.195
99	83.189
100	83.176
101	83.195
102	83.179
103	83.178
104	83.183
105	83.176
106	83.179
107	83.169
108	83.164
109	83.166
110	83.157
111	83.155
112	83.149
113	83.151
114	83.144
115	83.131
116	83.132
117	83.124
118	83.132
119	83.133
120	83.131
121	83.128
122	83.116
123	83.109
124	83.132
125	83.133
126	83.096
127	83.1
128	83.112
129	83.112
130	83.119
131	83.127
132	83.131
133	83.13
134	83.137
135	83.132
136	83.12
137	83.122
138	83.1
139	83.102
140	83.108
141	83.088
142	83.101
143	83.1
144	83.097
145	83.092
146	83.085
147	83.095
148	83.089
149	83.066
150	83.064
151	83.062
152	83.052
153	83.051
154	83.045
155	83.035
156	83.032
157	83.025
158	83.019
159	83.011
160	83.009
161	83.01
162	82.988
163	82.986
164	82.973
165	82.969
166	82.971
167	82.95
168	82.951
169	82.954
170	82.939
171	82.941
172	82.95
173	82.935
174	82.933
175	82.925
176	82.924
177	82.925
178	82.93
179	82.939
180	82.93
181	82.924
182	82.915
183	82.917
184	82.922
185	82.92
