Freq(Hz)	SPL(dB)
20	82.377
21	82.447
22	82.52
23	82.464
24	82.336
25	82.275
26	82.282
27	82.349
28	82.501
29	82.573
30	82.628
31	82.651
32	82.64
33	82.624
34	82.594
35	82.573
36	82.613
37	82.703
38	82.78
39	82.834
40	82.833
41	82.835
42	82.799
43	82.779
44	82.788
45	82.791
46	82.833
47	82.855
48	82.911
49	82.925
50	82.947
51	82.969
52	82.972
53	82.983
54	83.008
55	83.005
56	82.994
57	83.019
58	83.033
59	83.044
60	83.063
61	83.102
62	83.129
63	83.147
64	83.16
65	83.181
66	83.199
67	83.216
68	83.233
69	83.244
70	83.253
71	83.275
72	83.278
73	83.281
74	83.286
75	83.299
76	83.279
77	83.267
78	83.32
79	83.314
80	83.307
81	83.31
82	83.303
83	83.322
84	83.327
85	83.323
86	83.322
87	83.322
88	83.323
89	83.325
90	83.314
91	83.319
92	83.323
93	83.323
94	83.318
95	83.322
96	83.327
97	83.312
98	83.31
99	83.31
100	83.311
101	83.323
102	83.315
103	83.312
104	83.319
105	83.319
106	83.314
107	83.316
108	83.312
109	83.304
110	83.314
111	83.313
112	83.318
113	83.321
114	83.317
115	83.328
116	83.33
117	83.338
118	83.334
119	83.343
120	83.34
121	83.312
122	83.33
123	83.33
124	83.323
125	83.34
126	83.339
127	83.333
128	83.338
129	83.339
130	83.337
131	83.34
132	83.33
133	83.327
134	83.33
135	83.336
136	83.335
137	83.319
138	83.325
139	83.321
140	83.306
141	83.301
142	83.297
143	83.293
144	83.293
145	83.283
146	83.273
147	83.282
148	83.279
149	83.268
150	83.254
151	83.242
152	83.223
153	83.206
154	83.195
155	83.183
156	83.16
157	83.145
158	83.136
159	83.131
160	83.121
161	83.077
162	83.051
163	83.044
164	83.012
165	82.997
166	82.986
167	82.957
168	82.935
169	82.908
170	82.892
171	82.874
172	82.844
173	82.809
174	82.78
175	82.76
176	82.744
177	82.726
178	82.689
179	82.648
180	82.639
181	82.62
182	82.587
183	82.561
184	82.533
185	82.52
186	82.496
187	82.474
188	82.46
189	82.434
190	82.422
191	82.388
192	82.362
193	82.337
194	82.317
195	82.281
196	82.246
197	82.217
198	82.193
199	82.158
200	82.124
201	82.072
202	82.02
203	81.99
204	81.942
205	81.895
206	81.862
207	81.825
208	81.779
209	81.714
210	81.671
211	81.639
212	81.569
213	81.522
214	81.475
215	81.423
216	81.401
217	81.336
218	81.285
219	81.224
220	81.201
221	81.177
222	81.145
223	81.094
224	81.066
225	81.022
226	80.993
227	80.965
228	80.928
229	80.926
230	80.913
231	80.883
232	80.875
233	80.865
234	80.852
235	80.849
236	80.856
237	80.847
238	80.838
239	80.84
240	80.831
241	80.847
242	80.858
243	80.876
244	80.898
245	80.906
246	80.92
247	80.946
248	80.955
249	80.964
250	80.988
251	81.011
252	81.032
253	81.065
254	81.108
255	81.128
256	81.142
257	81.186
258	81.204
259	81.22
260	81.264
261	81.269
262	81.29
263	81.314
264	81.333
265	81.366
266	81.389
267	81.398
268	81.422
269	81.448
270	81.459
271	81.477
272	81.495
273	81.509
274	81.516
275	81.518
276	81.519
277	81.536
278	81.537
279	81.538
280	81.567
281	81.566
282	81.541
283	81.559
284	81.569
285	81.57
286	81.593
287	81.582
288	81.575
289	81.595
290	81.587
291	81.579
292	81.586
293	81.579
294	81.589
295	81.592
296	81.595
297	81.587
298	81.592
299	81.595
300	81.605
301	81.604
302	81.608
303	81.602
304	81.611
305	81.68
306	81.611
307	81.615
308	81.644
309	81.586
310	81.599
311	81.588
