Freq(Hz)	SPL(dB)
20	81.792
21	81.818
22	81.756
23	81.559
24	81.348
25	81.216
26	81.175
27	81.246
28	81.406
29	81.493
30	81.519
31	81.468
32	81.414
33	81.375
34	81.377
35	81.427
36	81.521
37	81.67
38	81.771
39	81.816
40	81.819
41	81.78
42	81.745
43	81.768
44	81.765
45	81.767
46	81.774
47	81.766
48	81.787
49	81.781
50	81.83
51	81.839
52	81.831
53	81.887
54	81.827
55	81.814
56	81.864
57	81.856
58	81.882
59	81.898
60	81.941
61	81.988
62	82.003
63	82.053
64	82.077
65	82.096
66	82.138
67	82.15
68	82.173
69	82.234
70	82.246
71	82.258
72	82.262
73	82.275
74	82.312
75	82.296
76	82.287
77	82.295
78	82.296
79	82.314
80	82.323
81	82.334
82	82.352
83	82.353
84	82.364
85	82.361
86	82.38
87	82.385
88	82.386
89	82.405
90	82.406
91	82.414
92	82.432
93	82.456
94	82.457
95	82.462
96	82.47
97	82.469
98	82.475
99	82.479
100	82.478
101	82.499
102	82.508
103	82.517
104	82.529
105	82.532
106	82.547
107	82.546
108	82.557
109	82.577
110	82.586
111	82.6
112	82.621
113	82.634
114	82.644
115	82.662
116	82.677
117	82.704
118	82.727
119	82.732
120	82.753
121	82.758
122	82.764
123	82.795
124	82.814
125	82.831
126	82.838
127	82.842
128	82.863
129	82.879
130	82.89
131	82.909
132	82.944
133	82.958
134	82.973
135	82.993
136	83.018
137	83.035
138	83.043
139	83.046
140	83.065
141	83.097
142	83.111
143	83.12
144	83.137
145	83.153
146	83.164
147	83.188
148	83.203
149	83.222
150	83.233
151	83.243
152	83.254
153	83.266
154	83.292
155	83.294
156	83.303
157	83.315
158	83.318
159	83.336
160	83.346
161	83.352
162	83.374
163	83.38
164	83.375
165	83.388
166	83.398
167	83.399
168	83.395
169	83.391
170	83.397
171	83.395
172	83.399
173	83.385
174	83.383
175	83.385
176	83.374
177	83.375
178	83.355
179	83.356
180	83.338
181	83.326
182	83.31
