Freq(Hz)	SPL(dB)
20	68.01
21	68.342
22	69.29
23	70.165
24	70.347
25	70.852
26	70.673
27	71.12
28	71.725
29	71.938
30	72.221
31	72.498
32	73.251
33	73.145
34	73.475
35	74.269
36	74.436
37	75.358
38	75.653
39	75.404
40	75.701
41	76.099
42	75.943
43	76.483
44	76.654
45	76.572
46	77.274
47	77.168
48	76.862
49	77.816
50	77.929
51	78.025
52	78.342
53	78.05
54	78.189
55	78.421
56	78.498
57	78.592
58	78.659
59	78.677
60	78.937
61	79.047
62	79.154
63	79.472
64	79.49
65	79.732
66	79.774
67	79.967
68	80.028
69	79.783
70	79.919
71	80.037
72	80.278
73	80.351
74	80.313
75	80.552
76	80.549
77	80.563
78	80.573
79	80.712
80	80.788
81	80.726
82	80.818
83	80.897
84	80.945
85	80.978
86	80.994
87	81.107
88	81.158
89	81.199
90	81.2
91	81.258
92	81.337
93	81.363
94	81.373
95	81.335
96	81.319
97	81.351
98	81.392
99	81.394
100	81.499
101	81.55
102	81.599
103	81.653
104	81.585
105	81.606
106	81.63
107	81.633
108	81.652
109	81.675
110	81.675
111	81.68
112	81.804
113	81.741
114	81.68
115	81.717
116	81.775
117	81.813
118	81.757
119	81.726
120	81.801
121	81.812
122	81.772
123	81.832
124	81.848
125	81.796
126	81.893
127	81.901
128	81.743
129	81.863
130	81.94
131	81.797
132	81.94
133	81.9
134	81.84
135	81.858
136	81.842
137	81.862
138	81.893
139	81.894
140	81.792
141	81.873
142	82.046
143	81.959
144	82.048
145	82.037
146	81.937
147	82.02
148	81.974
149	81.927
150	81.898
151	81.803
152	81.796
153	81.975
154	81.968
155	81.913
156	81.874
157	81.836
158	81.859
159	81.954
160	81.905
161	81.834
162	81.88
163	81.828
164	81.828
165	81.872
166	81.844
167	81.796
168	81.813
169	81.847
170	81.828
171	81.769
172	81.839
173	81.876
174	81.819
175	81.712
176	81.696
177	81.77
178	81.764
179	81.683
180	81.761
181	81.735
182	81.674
183	81.689
184	81.706
185	81.648
186	81.666
187	81.683
188	81.618
189	81.714
190	81.611
191	81.689
192	81.743
193	81.604
194	81.692
195	81.671
196	81.634
197	81.698
198	81.669
199	81.62
200	81.623
201	81.641
202	81.665
203	81.595
204	81.664
205	81.573
206	81.703
207	81.705
208	81.448
209	81.788
210	81.537
211	81.544
212	81.687
213	81.528
214	81.617
215	81.567
216	81.546
217	81.54
218	81.434
219	81.567
220	81.629
221	81.428
222	81.413
223	81.501
224	81.623
225	81.515
226	81.439
227	81.432
228	81.44
229	81.467
230	81.528
231	81.488
232	81.373
233	81.354
234	81.403
235	81.429
236	81.419
237	81.36
238	81.338
239	81.396
240	81.387
241	81.452
242	81.443
243	81.402
244	81.385
245	81.449
246	81.463
247	81.409
248	81.458
249	81.481
250	81.581
251	81.671
252	81.719
253	81.781
254	81.815
255	81.892
256	82.021
257	82.149
258	82.26
259	82.336
260	82.453
261	82.561
262	82.652
263	82.726
264	82.816
265	82.859
266	82.909
267	82.951
268	82.998
269	83.045
270	83.064
271	83.073
272	83.027
273	83.072
274	83.102
275	83.023
276	82.98
277	83.025
278	83.015
279	82.99
280	82.947
281	82.933
282	82.927
283	82.911
284	82.938
285	82.965
286	82.969
287	82.841
288	82.788
289	82.871
290	82.894
291	82.691
292	82.608
293	82.825
294	82.85
295	82.619
296	82.687
297	82.714
298	82.767
299	82.727
300	82.701
301	82.827
302	82.707
303	82.689
304	82.671
305	82.722
306	82.789
307	82.73
308	82.754
309	82.741
310	82.711
311	82.676
312	82.683
313	82.707
314	82.644
315	82.672
316	82.679
317	82.699
318	82.695
319	82.596
320	82.695
321	82.763
322	82.679
323	82.703
324	82.642
325	82.63
326	82.733
327	82.721
328	82.702
329	82.719
330	82.74
331	82.709
332	82.693
333	82.712
334	82.66
335	82.666
336	82.697
337	82.701
338	82.708
339	82.677
340	82.649
341	82.651
342	82.693
343	82.724
344	82.697
345	82.747
346	82.782
347	82.708
348	82.716
349	82.678
350	82.641
351	82.625
352	82.64
353	82.709
354	82.731
355	82.757
356	82.74
357	82.72
358	82.726
359	82.713
360	82.715
361	82.743
362	82.668
363	82.642
364	82.674
365	82.695
366	82.733
367	82.714
368	82.653
369	82.692
370	82.708
371	82.661
372	82.691
373	82.712
374	82.718
375	82.754
376	82.773
377	82.768
378	82.723
379	82.728
380	82.722
381	82.685
382	82.733
383	82.744
384	82.732
385	82.756
386	82.773
387	82.766
388	82.734
389	82.697
390	82.675
391	82.736
392	82.731
393	82.719
394	82.75
395	82.716
396	82.738
397	82.821
398	82.828
399	82.852
400	82.777
401	82.748
402	82.797
403	82.767
404	82.802
405	82.804
406	82.832
407	82.85
408	82.836
409	82.782
410	82.741
411	82.719
412	82.656
413	82.717
414	82.755
415	82.72
416	82.791
417	82.848
418	82.71
419	82.71
420	82.709
421	82.635
422	82.67
423	82.597
424	82.616
425	82.753
426	82.752
427	82.784
428	82.736
429	82.713
430	82.729
431	82.702
432	82.812
433	82.807
434	82.697
435	82.658
436	82.748
437	82.774
438	82.69
439	82.766
440	82.782
441	82.777
442	82.975
443	82.865
444	82.815
445	82.847
446	82.779
447	82.865
448	82.921
449	83.054
450	83.034
451	82.871
452	82.906
453	82.94
454	82.945
455	82.699
456	82.749
457	83.11
458	82.772
459	82.733
460	82.996
461	82.983
462	82.679
463	82.699
464	83.026
465	82.88
466	82.773
467	82.916
468	82.865
469	82.831
470	82.837
471	82.832
472	82.866
473	82.835
474	82.866
475	82.89
476	82.873
477	82.911
478	82.887
479	82.895
480	82.986
481	83.007
482	82.969
483	82.917
484	82.952
485	82.943
486	82.943
487	82.94
488	82.889
489	82.877
490	82.892
491	82.926
492	82.983
493	82.983
494	82.912
495	82.955
496	82.895
497	82.831
498	82.881
499	82.896
500	82.959
501	83.008
502	82.933
503	82.97
504	82.979
505	82.973
506	83.005
507	83.028
508	83.009
509	83.027
510	82.998
511	83.076
512	83.098
513	83.08
514	83.111
515	83.046
516	83.007
517	83
518	83.05
519	83.105
520	83.078
521	82.995
522	82.993
523	82.972
524	82.924
525	83.041
526	83.096
527	83.042
528	83.009
529	83.08
530	83.008
531	82.967
532	83.011
533	82.968
534	83.098
535	83.031
536	83.026
537	83.082
538	83.008
539	83.078
540	83.061
541	83.029
542	83.111
543	83.039
544	83.048
545	83.05
546	83.023
547	83.087
548	83.088
549	83.048
550	83.055
551	83.094
552	83.041
553	83.111
554	83.077
555	83.108
556	83.065
557	83.021
558	83.126
559	83.119
560	83.125
561	83.075
562	83.093
563	83.054
564	83.159
565	83.195
566	83.167
567	83.179
568	83.089
569	83.12
570	83.02
571	83.056
572	83.147
573	83.081
574	83.114
575	83.134
576	83.172
577	83.172
578	83.18
579	83.244
580	83.3
581	83.331
582	83.265
583	83.105
584	83.052
585	83.073
586	83.107
587	83.137
588	83.155
589	83.175
590	83.183
591	83.164
592	83.181
593	83.216
594	83.222
595	83.215
596	83.196
597	83.129
598	83.11
599	83.207
600	83.215
601	83.2
602	83.169
603	83.223
604	83.28
605	83.308
606	83.284
607	83.227
608	83.157
609	83.028
610	83.111
611	83.343
612	83.427
613	83.428
614	83.426
615	83.401
616	83.311
617	83.178
618	83.037
619	82.994
620	83.075
621	83.241
622	83.376
623	83.422
624	83.31
625	83.193
626	83.157
627	83.202
628	83.3
629	83.396
630	83.438
631	83.394
632	83.372
633	83.353
634	83.375
635	83.288
636	83.234
