Freq(Hz)	SPL(dB)
20	76.246
21	76.095
22	75.92
23	76.159
24	76.926
25	77.473
26	78.218
27	78.703
28	78.897
29	78.94
30	78.968
31	79.068
32	79.351
33	79.572
34	79.936
35	80.281
36	80.448
37	80.617
38	80.74
39	80.865
40	80.967
41	81.15
42	81.368
43	81.536
44	81.643
45	81.787
46	81.91
47	81.997
48	82.121
49	82.244
50	82.373
51	82.459
52	82.539
53	82.614
54	82.701
55	82.757
56	82.864
57	82.965
58	83.051
59	83.114
60	83.192
61	83.253
62	83.305
63	83.37
64	83.432
65	83.504
66	83.551
67	83.616
68	83.66
69	83.694
70	83.695
71	83.704
72	83.735
73	83.736
74	83.71
75	83.676
76	83.624
77	83.571
78	83.49
79	83.396
80	83.321
81	83.3
82	83.259
83	83.264
84	83.308
85	83.336
86	83.407
87	83.471
88	83.508
89	83.553
90	83.578
91	83.605
92	83.63
93	83.686
94	83.739
95	83.801
96	83.847
97	83.894
98	83.938
99	83.968
100	83.998
101	84.024
102	84.036
103	84.054
104	84.08
105	84.094
106	84.115
107	84.122
108	84.128
109	84.14
110	84.145
111	84.146
112	84.158
113	84.161
114	84.168
115	84.167
116	84.16
117	84.163
118	84.16
119	84.164
120	84.149
121	84.161
122	84.181
123	84.185
124	84.158
125	84.147
126	84.143
127	84.136
128	84.147
129	84.141
130	84.126
131	84.132
132	84.131
133	84.12
134	84.118
135	84.114
136	84.106
137	84.094
138	84.085
139	84.077
140	84.059
141	84.066
142	84.064
143	84.049
144	84.046
145	84.024
146	84.011
147	84.005
148	83.989
149	83.975
150	83.968
151	83.955
152	83.93
153	83.912
154	83.894
155	83.878
156	83.87
157	83.857
158	83.824
159	83.813
160	83.801
161	83.78
162	83.756
163	83.742
164	83.737
165	83.726
166	83.709
167	83.683
168	83.69
169	83.693
170	83.678
171	83.657
172	83.663
173	83.676
174	83.671
175	83.677
176	83.675
177	83.665
178	83.653
179	83.646
180	83.644
181	83.63
182	83.618
183	83.634
184	83.622
185	83.616
186	83.622
187	83.602
188	83.599
189	83.606
190	83.596
191	83.592
192	83.589
193	83.57
194	83.564
195	83.563
196	83.553
197	83.549
198	83.54
199	83.53
200	83.53
201	83.525
202	83.515
203	83.503
204	83.501
205	83.482
206	83.483
207	83.483
208	83.454
209	83.456
210	83.443
211	83.439
212	83.429
213	83.423
214	83.425
215	83.411
216	83.392
217	83.388
218	83.388
219	83.362
220	83.337
221	83.329
222	83.322
223	83.309
224	83.302
225	83.278
226	83.269
227	83.259
228	83.239
229	83.229
230	83.227
231	83.217
232	83.207
233	83.205
234	83.188
235	83.18
236	83.164
237	83.161
238	83.17
239	83.171
240	83.153
241	83.145
242	83.145
243	83.111
244	83.11
245	83.109
246	83.101
247	83.096
248	83.091
249	83.091
250	83.091
251	83.092
252	83.095
253	83.096
254	83.097
255	83.098
256	83.09
257	83.073
258	83.088
259	83.096
260	83.083
261	83.094
262	83.095
263	83.092
264	83.088
265	83.087
266	83.095
267	83.084
268	83.082
269	83.094
270	83.085
271	83.076
272	83.081
273	83.072
274	83.074
275	83.077
276	83.057
277	83.075
278	83.077
279	83.06
280	83.064
281	83.07
282	83.073
283	83.056
284	83.059
285	83.06
286	83.053
287	83.062
288	83.054
289	83.047
290	83.049
291	83.05
292	83.05
293	83.045
294	83.04
295	83.045
296	83.041
297	83.039
298	83.032
299	83.024
300	83.024
301	83.015
302	83.01
303	83.011
304	83.005
305	82.999
306	83.007
307	83.001
308	82.997
309	83.003
310	82.997
311	83.002
312	82.996
313	82.992
314	82.986
315	82.983
316	82.984
317	82.977
318	82.989
319	82.992
320	82.985
321	82.98
322	82.971
323	82.98
324	82.985
325	82.968
326	82.959
327	82.97
328	82.97
329	82.97
330	82.977
331	82.965
332	82.975
333	82.978
334	82.971
335	82.974
336	82.953
337	82.971
338	82.985
339	82.962
340	82.981
341	82.977
342	82.956
343	82.955
344	82.954
345	82.958
346	82.945
347	82.948
348	82.966
349	82.961
350	82.945
351	82.954
352	82.956
353	82.954
354	82.964
355	82.961
356	82.958
357	82.954
358	82.953
359	82.953
360	82.954
361	82.947
362	82.932
363	82.935
364	82.939
365	82.935
366	82.934
367	82.928
368	82.924
369	82.926
370	82.929
371	82.927
372	82.927
373	82.932
374	82.926
375	82.926
376	82.94
377	82.932
378	82.937
379	82.939
380	82.903
381	82.919
382	82.936
383	82.937
