Freq(Hz)	SPL(dB)
20	76.365
21	76.365
22	76.452
23	76.713
24	77.316
25	77.734
26	78.3
27	78.733
28	79.01
29	79.118
30	79.292
31	79.434
32	79.683
33	79.921
34	80.253
35	80.546
36	80.712
37	80.906
38	81.073
39	81.232
40	81.349
41	81.533
42	81.72
43	81.914
44	82.032
45	82.192
46	82.333
47	82.42
48	82.549
49	82.679
50	82.814
51	82.898
52	83.016
53	83.11
54	83.213
55	83.285
56	83.383
57	83.487
58	83.585
59	83.649
60	83.737
61	83.818
62	83.869
63	83.945
64	84.022
65	84.096
66	84.147
67	84.21
68	84.266
69	84.327
70	84.354
71	84.395
72	84.424
73	84.434
74	84.452
75	84.456
76	84.455
77	84.451
78	84.458
79	84.481
80	84.49
81	84.492
82	84.482
83	84.443
84	84.353
85	84.277
86	84.147
87	84.002
88	83.921
89	83.838
90	83.842
91	83.92
92	83.985
93	84.116
94	84.253
95	84.364
96	84.436
97	84.529
98	84.605
99	84.653
100	84.716
101	84.753
102	84.791
103	84.822
104	84.852
105	84.876
106	84.894
107	84.906
108	84.92
109	84.93
110	84.938
111	84.937
112	84.937
113	84.949
114	84.951
115	84.945
116	84.938
117	84.953
118	84.954
119	84.944
120	84.973
121	84.963
122	84.965
123	84.963
124	84.943
125	84.956
126	84.95
127	84.939
128	84.945
129	84.945
130	84.948
131	84.935
132	84.935
133	84.937
134	84.928
135	84.931
136	84.921
137	84.915
138	84.909
139	84.892
140	84.891
141	84.881
142	84.874
143	84.864
144	84.852
145	84.846
146	84.838
147	84.828
148	84.82
149	84.808
150	84.789
151	84.772
152	84.758
153	84.742
154	84.72
155	84.71
156	84.684
157	84.659
158	84.648
159	84.636
160	84.622
161	84.613
162	84.605
163	84.601
164	84.592
165	84.594
166	84.592
167	84.576
168	84.58
169	84.585
170	84.575
171	84.561
172	84.553
173	84.558
174	84.552
175	84.537
176	84.532
177	84.523
178	84.518
179	84.499
180	84.492
181	84.497
182	84.474
183	84.45
184	84.45
185	84.437
186	84.42
187	84.433
188	84.418
189	84.402
190	84.401
191	84.384
192	84.391
193	84.38
194	84.357
195	84.357
196	84.352
197	84.34
198	84.326
199	84.322
200	84.322
201	84.306
202	84.298
203	84.293
204	84.279
205	84.272
206	84.263
207	84.263
208	84.262
209	84.237
210	84.242
211	84.238
212	84.217
213	84.214
214	84.201
215	84.184
216	84.171
217	84.166
218	84.154
219	84.126
220	84.123
221	84.122
222	84.11
223	84.099
224	84.092
225	84.086
226	84.082
227	84.066
228	84.061
229	84.053
230	84.053
231	84.046
232	84.031
233	84.032
234	84.033
235	84.018
236	84.008
237	84.005
238	83.984
239	83.986
240	83.983
241	83.972
242	83.969
243	83.945
244	83.939
245	83.933
246	83.926
247	83.901
248	83.894
249	83.901
250	83.884
251	83.88
252	83.869
253	83.85
254	83.851
255	83.846
256	83.827
257	83.809
258	83.811
259	83.814
260	83.81
261	83.801
262	83.795
263	83.798
264	83.8
265	83.796
266	83.795
267	83.789
268	83.776
269	83.787
270	83.796
271	83.781
272	83.78
273	83.782
274	83.778
275	83.776
276	83.779
277	83.791
278	83.791
279	83.774
280	83.764
281	83.768
282	83.776
283	83.766
284	83.758
285	83.755
286	83.756
287	83.768
288	83.76
289	83.758
290	83.76
291	83.771
292	83.772
293	83.757
294	83.748
295	83.74
296	83.743
297	83.741
298	83.738
299	83.741
300	83.735
301	83.727
302	83.731
303	83.721
304	83.72
305	83.718
306	83.722
307	83.724
308	83.716
309	83.785
310	83.718
311	83.669
312	83.697
313	83.67
314	83.675
315	83.673
316	83.676
317	83.68
318	83.671
319	83.691
320	83.697
321	83.669
322	83.667
323	83.669
324	83.665
325	83.662
326	83.665
327	83.666
328	83.663
329	83.654
330	83.649
331	83.662
332	83.653
333	83.654
334	83.65
335	83.639
336	83.639
337	83.631
338	83.642
339	83.635
340	83.637
341	83.643
342	83.643
343	83.643
344	83.636
345	83.652
346	83.642
347	83.641
348	83.648
349	83.619
350	83.617
351	83.622
352	83.624
353	83.622
354	83.604
355	83.616
356	83.614
357	83.607
358	83.606
359	83.595
360	83.594
361	83.6
362	83.595
363	83.594
364	83.601
365	83.593
366	83.598
367	83.597
368	83.59
369	83.595
370	83.588
371	83.589
372	83.592
373	83.585
374	83.589
375	83.585
376	83.58
377	83.59
378	83.584
379	83.579
380	83.587
381	83.587
382	83.587
383	83.583
384	83.581
385	83.587
386	83.583
387	83.572
388	83.577
389	83.573
390	83.573
391	83.574
392	83.563
393	83.558
394	83.557
395	83.559
396	83.556
397	83.551
398	83.551
399	83.543
400	83.542
401	83.547
402	83.546
403	83.555
404	83.552
405	83.551
406	83.555
407	83.543
408	83.545
409	83.551
410	83.536
411	83.536
412	83.545
413	83.54
414	83.543
415	83.548
416	83.548
417	83.541
418	83.545
419	83.545
420	83.547
421	83.546
422	83.545
423	83.559
424	83.551
425	83.557
426	83.56
427	83.555
428	83.564
429	83.553
430	83.555
431	83.566
432	83.559
433	83.558
434	83.562
435	83.566
436	83.573
437	83.571
438	83.57
439	83.583
440	83.582
441	83.58
442	83.577
443	83.581
444	83.585
445	83.58
446	83.589
447	83.601
448	83.593
449	83.594
450	83.593
451	83.59
452	83.599
453	83.592
454	83.594
455	83.604
456	83.605
457	83.607
458	83.601
459	83.616
460	83.615
461	83.605
462	83.608
463	83.61
464	83.62
465	83.609
466	83.602
467	83.615
468	83.621
469	83.615
470	83.611
471	83.615
472	83.619
473	83.622
474	83.63
475	83.623
476	83.637
477	83.645
478	83.639
479	83.646
480	83.652
481	83.654
482	83.65
483	83.647
484	83.649
485	83.657
486	83.655
487	83.65
488	83.658
489	83.662
490	83.674
491	83.675
492	83.676
493	83.676
494	83.671
495	83.676
496	83.672
497	83.679
498	83.681
499	83.678
500	83.687
501	83.681
502	83.694
503	83.699
504	83.694
505	83.709
506	83.705
507	83.712
508	83.716
509	83.715
510	83.729
511	83.738
512	83.741
513	83.742
514	83.748
515	83.749
516	83.747
517	83.747
518	83.743
519	83.746
520	83.746
521	83.74
522	83.756
523	83.759
524	83.759
525	83.757
526	83.751
527	83.761
528	83.769
529	83.761
530	83.764
531	83.773
532	83.776
533	83.783
534	83.785
535	83.789
536	83.79
537	83.793
538	83.79
539	83.787
540	83.795
541	83.79
542	83.787
543	83.799
544	83.805
545	83.807
546	83.812
547	83.816
548	83.823
549	83.823
550	83.822
551	83.824
552	83.823
553	83.823
554	83.831
555	83.834
556	83.836
557	83.837
558	83.842
559	83.846
560	83.85
561	83.857
562	83.846
563	83.843
564	83.844
565	83.85
566	83.851
567	83.849
568	83.85
569	83.857
570	83.856
571	83.856
572	83.862
573	83.861
574	83.868
575	83.868
576	83.866
577	83.864
578	83.861
579	83.869
580	83.86
581	83.861
582	83.854
583	83.854
584	83.869
585	83.855
586	83.857
587	83.85
588	83.846
589	83.85
590	83.835
591	83.837
592	83.837
593	83.827
594	83.827
595	83.831
596	83.826
597	83.827
598	83.83
599	83.835
600	83.829
601	83.824
602	83.833
603	83.825
604	83.82
605	83.822
606	83.813
607	83.818
608	83.822
609	83.824
610	83.813
611	83.808
612	83.809
613	83.802
614	83.808
615	83.805
616	83.787
617	83.785
618	83.78
619	83.772
620	83.764
621	83.769
622	83.761
623	83.747
624	83.749
625	83.744
626	83.738
627	83.74
628	83.738
629	83.74
630	83.736
631	83.733
632	83.733
633	83.728
634	83.727
635	83.725
636	83.704
637	83.707
638	83.711
639	83.697
640	83.703
641	83.7
642	83.699
643	83.706
644	83.713
645	83.714
646	83.707
647	83.707
648	83.704
649	83.703
650	83.707
651	83.704
652	83.699
653	83.703
654	83.704
655	83.701
656	83.702
657	83.699
658	83.701
659	83.707
660	83.703
661	83.701
662	83.711
663	83.726
664	83.73
665	83.723
666	83.724
667	83.722
668	83.729
669	83.739
670	83.74
671	83.741
672	83.745
673	83.753
674	83.755
675	83.759
676	83.761
677	83.764
678	83.761
679	83.762
680	83.774
681	83.778
682	83.79
683	83.804
684	83.808
685	83.823
686	83.826
687	83.832
688	83.839
689	83.834
690	83.842
691	83.854
692	83.857
693	83.86
694	83.866
695	83.873
696	83.879
697	83.886
698	83.887
699	83.893
700	83.889
701	83.891
702	83.898
703	83.896
704	83.903
705	83.909
706	83.91
707	83.909
708	83.915
709	83.909
710	83.901
711	83.913
712	83.924
713	83.924
714	83.929
715	83.93
716	83.925
717	83.928
718	83.919
719	83.925
720	83.943
721	83.943
722	83.95
723	83.952
724	83.954
725	83.961
726	83.965
727	83.966
728	83.968
729	83.964
730	83.959
731	83.964
732	83.96
733	83.956
734	83.957
735	83.952
736	83.952
737	83.943
738	83.943
739	83.946
740	83.943
741	83.939
742	83.941
743	83.945
744	83.948
745	83.951
746	83.948
747	83.946
748	83.946
749	83.943
750	83.937
751	83.934
752	83.934
753	83.937
754	83.945
755	83.938
756	83.953
757	83.961
758	83.958
759	83.959
760	83.952
761	83.956
762	83.959
763	83.965
764	83.976
765	83.978
766	83.984
767	83.993
768	83.991
769	84
770	84.012
771	84.006
772	84.005
773	84.005
774	84.001
775	84.008
776	84.003
777	84.002
778	84.017
779	84.023
780	84.027
781	84.038
782	84.047
783	84.06
784	84.071
785	84.079
786	84.091
787	84.092
788	84.096
789	84.09
790	84.097
791	84.117
792	84.111
793	84.125
794	84.132
795	84.129
796	84.131
797	84.131
798	84.136
799	84.144
800	84.146
801	84.148
802	84.15
803	84.164
804	84.17
805	84.168
806	84.175
807	84.188
808	84.198
809	84.197
810	84.199
811	84.223
812	84.237
813	84.233
814	84.24
815	84.237
816	84.236
817	84.255
818	84.256
819	84.263
820	84.271
821	84.282
822	84.292
823	84.296
824	84.3
825	84.313
826	84.318
827	84.317
828	84.331
829	84.333
830	84.338
831	84.347
832	84.354
833	84.368
834	84.373
835	84.382
836	84.401
837	84.4
838	84.409
839	84.423
840	84.432
841	84.442
842	84.438
843	84.442
844	84.446
845	84.441
846	84.446
847	84.45
848	84.456
849	84.458
850	84.451
851	84.461
852	84.474
853	84.473
854	84.481
855	84.5
856	84.501
857	84.509
858	84.518
859	84.512
860	84.526
861	84.541
862	84.548
863	84.551
864	84.558
865	84.564
866	84.58
867	84.578
868	84.569
869	84.57
870	84.569
871	84.57
872	84.576
873	84.58
874	84.583
875	84.59
876	84.602
877	84.612
878	84.601
879	84.605
880	84.624
881	84.622
882	84.642
883	84.647
884	84.654
885	84.679
886	84.673
887	84.678
888	84.668
889	84.654
890	84.662
891	84.658
892	84.657
893	84.652
894	84.652
895	84.654
896	84.65
897	84.628
898	84.617
899	84.617
900	84.616
901	84.614
902	84.595
903	84.578
904	84.567
905	84.554
906	84.536
907	84.525
908	84.491
909	84.472
910	84.454
911	84.437
912	84.43
913	84.419
914	84.415
915	84.406
916	84.396
917	84.399
918	84.392
919	84.38
920	84.388
921	84.401
922	84.394
923	84.4
924	84.407
925	84.426
926	84.444
927	84.455
928	84.478
929	84.488
930	84.495
931	84.504
932	84.529
933	84.56
934	84.585
935	84.606
936	84.641
937	84.674
938	84.693
939	84.711
940	84.741
941	84.76
942	84.766
943	84.789
944	84.811
945	84.822
946	84.825
947	84.836
948	84.853
949	84.86
950	84.869
951	84.884
952	84.894
953	84.911
954	84.938
955	84.955
956	84.983
957	85.004
958	85.019
959	85.036
960	85.057
961	85.068
962	85.088
963	85.1
964	85.108
965	85.127
966	85.137
967	85.147
968	85.151
969	85.155
970	85.165
971	85.178
972	85.191
973	85.208
974	85.227
975	85.238
976	85.248
977	85.274
978	85.285
979	85.289
980	85.301
981	85.306
982	85.315
983	85.321
984	85.323
985	85.329
986	85.337
987	85.333
988	85.333
989	85.334
990	85.333
991	85.345
992	85.349
993	85.352
994	85.352
995	85.354
996	85.361
997	85.369
998	85.378
999	85.388
1000	85.41
1001	85.417
1002	85.412
1003	85.413
1004	85.418
1005	85.418
1006	85.427
1007	85.441
1008	85.445
1009	85.456
1010	85.479
1011	85.492
1012	85.499
1013	85.502
1014	85.513
1015	85.515
1016	85.513
1017	85.519
1018	85.531
1019	85.55
1020	85.556
1021	85.55
1022	85.555
1023	85.551
1024	85.548
1025	85.554
1026	85.552
1027	85.551
1028	85.556
1029	85.56
1030	85.569
1031	85.574
1032	85.572
1033	85.568
1034	85.563
1035	85.566
1036	85.57
1037	85.578
1038	85.607
1039	85.621
1040	85.639
1041	85.65
1042	85.66
1043	85.686
1044	85.693
1045	85.716
1046	85.729
1047	85.738
1048	85.752
1049	85.747
1050	85.737
1051	85.723
1052	85.706
1053	85.682
1054	85.673
1055	85.67
1056	85.662
1057	85.661
1058	85.669
1059	85.677
1060	85.67
1061	85.664
1062	85.662
1063	85.657
1064	85.664
1065	85.675
1066	85.669
1067	85.66
1068	85.663
1069	85.66
1070	85.648
1071	85.631
1072	85.632
1073	85.621
1074	85.608
1075	85.61
1076	85.605
1077	85.611
1078	85.61
1079	85.613
1080	85.622
1081	85.627
1082	85.626
1083	85.623
1084	85.621
1085	85.614
1086	85.614
1087	85.621
1088	85.622
1089	85.63
1090	85.647
1091	85.657
1092	85.67
1093	85.668
1094	85.675
1095	85.699
1096	85.706
1097	85.725
