Freq(Hz)	SPL(dB)
20	74.753
21	74.707
22	74.744
23	74.918
24	75.562
25	76.051
26	76.636
27	77.095
28	77.366
29	77.475
30	77.613
31	77.721
32	78.008
33	78.238
34	78.577
35	78.871
36	79.004
37	79.201
38	79.409
39	79.583
40	79.71
41	79.892
42	80.077
43	80.277
44	80.399
45	80.561
46	80.735
47	80.834
48	80.977
49	81.138
50	81.246
51	81.35
52	81.495
53	81.579
54	81.697
55	81.77
56	81.879
57	82.002
58	82.112
59	82.185
60	82.297
61	82.376
62	82.43
63	82.526
64	82.606
65	82.686
66	82.736
67	82.804
68	82.878
69	82.92
70	82.942
71	82.972
72	82.993
73	83.015
74	83.022
75	83.05
76	83.102
77	83.138
78	83.197
79	83.226
80	83.223
81	83.201
82	83.148
83	83.103
84	83.08
85	83.094
86	83.169
87	83.263
88	83.326
89	83.405
90	83.448
91	83.473
92	83.48
93	83.469
94	83.43
95	83.362
96	83.326
97	83.316
98	83.353
99	83.403
100	83.495
101	83.605
102	83.705
103	83.758
104	83.838
105	83.909
106	83.963
107	83.994
108	84.04
109	84.086
110	84.107
111	84.129
112	84.163
113	84.184
114	84.204
115	84.233
116	84.247
117	84.271
118	84.278
119	84.285
120	84.319
121	84.29
122	84.297
123	84.327
124	84.303
125	84.315
126	84.339
127	84.337
128	84.369
129	84.379
130	84.374
131	84.388
132	84.387
133	84.392
134	84.395
135	84.399
136	84.4
137	84.402
138	84.422
139	84.427
140	84.423
141	84.423
142	84.43
143	84.429
144	84.43
145	84.428
146	84.431
147	84.434
148	84.431
149	84.438
150	84.435
151	84.432
152	84.432
153	84.432
154	84.427
155	84.418
156	84.413
157	84.412
158	84.408
159	84.401
160	84.399
161	84.392
162	84.388
163	84.392
164	84.385
165	84.38
166	84.371
167	84.372
168	84.376
169	84.365
170	84.369
171	84.353
172	84.354
173	84.359
174	84.34
175	84.349
176	84.34
177	84.325
178	84.337
179	84.32
180	84.313
181	84.298
182	84.282
183	84.292
184	84.264
185	84.273
186	84.286
187	84.266
188	84.272
189	84.253
190	84.246
191	84.241
192	84.223
193	84.229
194	84.21
195	84.213
196	84.213
197	84.187
198	84.185
199	84.169
200	84.159
201	84.156
202	84.143
203	84.139
204	84.139
205	84.134
206	84.131
207	84.118
208	84.102
209	84.093
210	84.086
211	84.084
212	84.072
213	84.058
214	84.053
215	84.059
216	84.053
217	84.034
218	84.023
219	84.009
220	84.001
221	83.997
222	83.996
223	83.983
224	83.977
225	83.972
226	83.959
227	83.957
228	83.947
229	83.932
230	83.925
231	83.913
232	83.898
233	83.893
234	83.883
235	83.872
236	83.873
237	83.868
238	83.852
239	83.842
240	83.835
241	83.824
242	83.816
243	83.807
244	83.798
245	83.789
246	83.77
247	83.771
248	83.775
249	83.77
250	83.758
251	83.732
252	83.744
253	83.746
254	83.718
255	83.72
256	83.727
257	83.726
258	83.719
259	83.704
260	83.697
261	83.712
262	83.703
263	83.695
264	83.698
265	83.676
266	83.673
267	83.688
268	83.665
269	83.668
270	83.674
271	83.668
272	83.667
273	83.68
274	83.678
275	83.667
276	83.673
277	83.67
278	83.669
279	83.69
280	83.668
281	83.658
282	83.671
283	83.666
284	83.664
285	83.654
286	83.657
287	83.648
288	83.64
289	83.655
290	83.657
291	83.649
292	83.65
293	83.643
294	83.659
295	83.652
296	83.646
297	83.66
298	83.659
299	83.668
300	83.666
301	83.662
302	83.654
303	83.65
304	83.659
305	83.657
306	83.661
307	83.642
308	83.625
309	83.693
310	83.684
311	83.62
312	83.609
313	83.642
314	83.61
315	83.617
316	83.621
317	83.628
318	83.645
319	83.631
320	83.631
321	83.628
322	83.617
323	83.615
324	83.603
325	83.614
326	83.618
327	83.607
328	83.614
329	83.602
330	83.592
331	83.597
332	83.598
333	83.6
334	83.6
335	83.604
336	83.61
337	83.598
338	83.593
339	83.593
340	83.591
341	83.596
342	83.583
343	83.576
344	83.576
345	83.585
346	83.582
347	83.575
348	83.587
349	83.581
350	83.575
351	83.571
352	83.574
353	83.562
354	83.554
355	83.575
356	83.569
357	83.567
358	83.562
359	83.555
360	83.55
361	83.556
362	83.568
363	83.558
364	83.555
365	83.555
366	83.56
367	83.562
368	83.539
369	83.545
370	83.555
371	83.556
372	83.546
373	83.542
374	83.549
375	83.549
376	83.546
377	83.541
378	83.539
379	83.536
380	83.526
381	83.538
382	83.542
383	83.529
384	83.528
385	83.539
386	83.533
387	83.526
388	83.539
389	83.536
390	83.525
391	83.521
392	83.53
393	83.519
394	83.51
395	83.513
396	83.508
397	83.516
398	83.501
399	83.494
400	83.491
401	83.48
402	83.484
403	83.481
404	83.487
405	83.49
406	83.488
407	83.495
408	83.493
409	83.486
410	83.494
411	83.49
412	83.486
413	83.492
414	83.486
415	83.491
416	83.488
417	83.494
418	83.493
419	83.48
420	83.49
421	83.485
422	83.485
423	83.492
424	83.484
425	83.506
426	83.505
427	83.495
428	83.499
429	83.49
430	83.497
431	83.507
432	83.497
433	83.5
434	83.502
435	83.503
436	83.511
437	83.517
438	83.512
439	83.506
440	83.495
441	83.49
442	83.497
443	83.496
444	83.494
445	83.498
446	83.505
447	83.506
448	83.512
449	83.506
450	83.516
451	83.516
452	83.502
453	83.521
454	83.522
455	83.518
456	83.523
457	83.523
458	83.528
459	83.538
460	83.54
461	83.532
462	83.537
463	83.536
464	83.53
465	83.541
466	83.531
467	83.538
468	83.55
469	83.548
470	83.552
471	83.54
472	83.549
473	83.57
474	83.567
475	83.577
476	83.572
477	83.563
478	83.569
479	83.573
480	83.584
481	83.603
482	83.597
483	83.588
484	83.603
485	83.594
486	83.596
487	83.605
488	83.611
489	83.614
490	83.609
491	83.619
492	83.624
493	83.622
494	83.634
495	83.636
496	83.63
497	83.632
498	83.621
499	83.635
500	83.639
501	83.631
502	83.641
503	83.641
504	83.641
505	83.636
506	83.644
507	83.642
508	83.639
509	83.658
510	83.658
511	83.659
512	83.665
513	83.662
514	83.663
515	83.654
516	83.635
517	83.639
518	83.646
519	83.644
520	83.647
521	83.644
522	83.637
523	83.643
524	83.645
525	83.632
526	83.63
527	83.641
528	83.635
529	83.636
530	83.634
531	83.623
532	83.624
533	83.625
534	83.628
535	83.626
536	83.631
537	83.63
538	83.629
539	83.627
540	83.629
541	83.633
542	83.637
543	83.652
544	83.646
545	83.651
546	83.666
547	83.662
548	83.668
549	83.667
550	83.667
551	83.673
552	83.669
553	83.669
554	83.672
555	83.681
556	83.688
557	83.698
558	83.696
559	83.698
560	83.705
561	83.71
562	83.713
563	83.706
564	83.71
565	83.727
566	83.717
567	83.715
568	83.722
569	83.723
570	83.743
571	83.748
572	83.745
573	83.75
574	83.746
575	83.751
576	83.755
577	83.754
578	83.761
579	83.771
580	83.775
581	83.775
582	83.775
583	83.781
584	83.788
585	83.782
586	83.791
587	83.802
588	83.789
589	83.787
590	83.782
591	83.78
592	83.788
593	83.785
594	83.781
595	83.772
596	83.775
597	83.784
598	83.785
599	83.796
600	83.8
601	83.805
602	83.811
603	83.812
604	83.812
605	83.8
606	83.802
607	83.805
608	83.811
609	83.827
610	83.832
611	83.837
612	83.834
613	83.832
614	83.841
615	83.849
616	83.856
617	83.847
618	83.848
619	83.857
620	83.85
621	83.838
622	83.847
623	83.843
624	83.83
625	83.836
626	83.842
627	83.839
628	83.835
629	83.846
630	83.854
631	83.861
632	83.85
633	83.852
634	83.862
635	83.86
636	83.856
637	83.862
638	83.87
639	83.866
640	83.871
641	83.881
642	83.883
643	83.888
644	83.894
645	83.901
646	83.9
