Freq(Hz)	SPL(dB)
20	71.254
21	71.901
22	73.06
23	73.652
24	73.573
25	73.369
26	73.069
27	73.058
28	73.54
29	74.085
30	74.821
31	75.329
32	75.607
33	75.706
34	75.754
35	75.796
36	75.892
37	76.197
38	76.531
39	76.867
40	77.07
41	77.319
42	77.475
43	77.614
44	77.758
45	77.986
46	78.14
47	78.26
48	78.499
49	78.669
50	78.869
51	79.013
52	79.178
53	79.33
54	79.491
55	79.583
56	79.683
57	79.817
58	79.904
59	79.963
60	80.072
61	80.211
62	80.293
63	80.375
64	80.467
65	80.511
66	80.545
67	80.626
68	80.692
69	80.739
70	80.793
71	80.866
72	80.896
73	80.946
74	80.999
75	81.015
76	81.04
77	81.04
78	81.059
79	81.087
80	81.109
81	81.097
82	81.094
83	81.142
84	81.153
85	81.154
86	81.168
87	81.189
88	81.201
89	81.208
90	81.216
91	81.262
92	81.267
93	81.283
94	81.325
95	81.345
96	81.372
97	81.397
98	81.464
99	81.461
100	81.44
101	81.611
102	81.584
103	81.521
104	81.622
105	81.753
106	81.668
107	81.625
108	81.78
109	81.845
110	81.77
111	81.827
112	81.929
113	81.877
114	81.871
115	81.995
116	82.079
117	81.921
118	81.92
119	82.017
120	82.077
121	82.101
122	82.115
123	82.148
124	82.099
125	82.117
126	82.162
127	82.181
128	82.187
129	82.187
130	82.207
131	82.236
132	82.263
133	82.269
134	82.268
135	82.283
136	82.288
137	82.297
138	82.298
139	82.286
140	82.293
141	82.335
142	82.37
143	82.375
144	82.384
145	82.384
146	82.365
147	82.388
148	82.398
149	82.377
150	82.388
151	82.393
152	82.379
153	82.386
154	82.403
155	82.395
156	82.396
157	82.423
158	82.429
159	82.437
160	82.417
161	82.431
162	82.439
163	82.43
164	82.452
165	82.437
166	82.433
167	82.459
168	82.462
169	82.45
170	82.446
171	82.454
172	82.477
173	82.48
174	82.492
175	82.487
176	82.475
177	82.496
178	82.492
179	82.488
180	82.485
181	82.471
182	82.486
183	82.491
184	82.467
185	82.464
186	82.475
187	82.506
188	82.525
189	82.494
190	82.47
191	82.527
192	82.52
193	82.466
194	82.447
195	82.461
196	82.507
197	82.494
198	82.471
199	82.457
200	82.436
201	82.492
202	82.511
203	82.496
204	82.47
205	82.442
206	82.482
207	82.493
208	82.478
209	82.534
210	82.524
211	82.498
212	82.52
213	82.513
214	82.508
215	82.522
216	82.516
217	82.496
218	82.494
219	82.49
220	82.481
221	82.51
222	82.534
223	82.559
224	82.545
225	82.542
226	82.538
227	82.534
228	82.54
229	82.53
230	82.528
231	82.514
232	82.502
233	82.504
234	82.502
235	82.476
236	82.468
237	82.473
238	82.46
239	82.457
240	82.464
241	82.445
242	82.436
243	82.442
244	82.425
245	82.42
246	82.41
247	82.41
248	82.427
249	82.42
250	82.4
251	82.402
252	82.389
253	82.38
254	82.416
255	82.414
256	82.415
257	82.421
258	82.417
259	82.415
260	82.41
261	82.399
262	82.389
263	82.392
264	82.378
265	82.366
266	82.369
267	82.384
268	82.373
269	82.379
