Freq(Hz)	SPL(dB)
20	71.376
21	71.774
22	72.581
23	73.234
24	73.306
25	73.293
26	73.346
27	73.472
28	73.84
29	74.189
30	74.735
31	75.169
32	75.431
33	75.584
34	75.736
35	75.89
36	76.025
37	76.253
38	76.58
39	76.865
40	77.019
41	77.262
42	77.417
43	77.585
44	77.733
45	77.899
46	78.128
47	78.256
48	78.395
49	78.668
50	78.738
51	78.842
52	79.086
53	79.223
54	79.458
55	79.566
56	79.67
57	79.824
58	79.954
59	80.025
60	80.176
61	80.316
62	80.397
63	80.53
64	80.602
65	80.687
66	80.766
67	80.849
68	80.938
69	81.004
70	81.058
71	81.159
72	81.209
73	81.251
74	81.322
75	81.345
76	81.357
77	81.383
78	81.428
79	81.455
80	81.505
81	81.524
82	81.562
83	81.624
84	81.629
85	81.645
86	81.683
87	81.701
88	81.716
89	81.761
90	81.811
91	81.839
92	81.863
93	81.912
94	81.959
95	81.994
96	82.015
97	82.04
98	82.061
99	82.078
100	82.1
101	82.128
102	82.172
103	82.191
104	82.205
105	82.228
106	82.24
107	82.248
108	82.276
109	82.299
110	82.31
111	82.319
112	82.349
113	82.348
114	82.357
115	82.38
116	82.367
117	82.399
118	82.418
119	82.447
120	82.428
121	82.42
122	82.469
123	82.48
124	82.462
125	82.479
126	82.495
127	82.498
128	82.492
129	82.512
130	82.542
131	82.538
132	82.569
133	82.567
134	82.578
135	82.587
136	82.586
137	82.613
138	82.621
139	82.606
140	82.619
141	82.644
142	82.649
143	82.656
144	82.652
145	82.653
146	82.663
147	82.654
148	82.657
149	82.666
150	82.658
151	82.659
152	82.673
153	82.67
154	82.664
155	82.65
156	82.656
157	82.659
158	82.619
159	82.633
160	82.632
161	82.613
162	82.634
163	82.628
164	82.625
165	82.607
166	82.593
167	82.602
168	82.596
169	82.593
170	82.598
171	82.593
172	82.609
173	82.618
174	82.603
175	82.618
176	82.634
177	82.631
178	82.641
179	82.621
180	82.625
181	82.637
182	82.625
183	82.634
184	82.632
185	82.628
186	82.633
187	82.626
188	82.63
189	82.621
190	82.616
191	82.629
192	82.617
193	82.617
194	82.621
195	82.613
196	82.614
197	82.609
198	82.617
199	82.629
200	82.626
201	82.612
202	82.622
203	82.621
204	82.643
205	82.651
206	82.637
207	82.647
208	82.643
209	82.641
210	82.636
211	82.647
212	82.667
213	82.648
214	82.664
215	82.687
216	82.677
217	82.671
218	82.663
219	82.673
220	82.662
221	82.646
222	82.638
223	82.634
224	82.634
225	82.639
226	82.639
227	82.624
228	82.62
229	82.614
230	82.608
231	82.607
232	82.601
233	82.594
234	82.585
235	82.591
236	82.575
237	82.575
238	82.587
239	82.574
240	82.566
241	82.551
242	82.558
243	82.564
244	82.555
245	82.538
246	82.531
247	82.545
248	82.543
249	82.536
250	82.534
251	82.552
252	82.575
253	82.559
254	82.531
255	82.541
256	82.544
257	82.522
258	82.518
259	82.53
260	82.535
261	82.525
262	82.536
263	82.534
264	82.529
265	82.539
266	82.549
267	82.549
268	82.529
269	82.535
270	82.543
271	82.535
272	82.535
273	82.538
274	82.528
275	82.537
276	82.561
277	82.55
278	82.557
279	82.572
280	82.574
281	82.578
282	82.576
283	82.588
284	82.577
285	82.575
286	82.587
287	82.595
288	82.605
289	82.595
290	82.591
291	82.601
292	82.604
293	82.596
294	82.602
295	82.611
296	82.595
297	82.597
298	82.608
299	82.603
300	82.613
301	82.616
302	82.614
303	82.617
304	82.605
305	82.611
306	82.634
307	82.641
308	82.642
309	82.634
310	82.662
311	82.659
312	82.648
313	82.672
314	82.681
315	82.682
316	82.685
317	82.705
318	82.688
319	82.681
320	82.701
321	82.681
322	82.682
323	82.698
324	82.694
325	82.669
326	82.679
327	82.689
328	82.686
329	82.696
330	82.69
331	82.685
332	82.715
333	82.713
334	82.698
335	82.716
336	82.729
337	82.745
338	82.732
339	82.736
340	82.758
341	82.744
342	82.754
343	82.768
344	82.767
345	82.757
346	82.736
347	82.738
348	82.747
349	82.745
350	82.732
351	82.741
352	82.742
353	82.753
354	82.744
355	82.745
356	82.755
357	82.744
358	82.732
359	82.745
360	82.753
361	82.742
362	82.749
363	82.73
364	82.74
365	82.761
366	82.744
367	82.75
368	82.745
369	82.758
370	82.77
371	82.762
372	82.762
373	82.772
374	82.779
375	82.781
376	82.771
377	82.781
378	82.782
379	82.774
380	82.793
381	82.783
382	82.781
383	82.79
384	82.792
385	82.791
386	82.791
387	82.796
388	82.756
389	82.756
390	82.772
391	82.766
392	82.763
393	82.753
394	82.757
395	82.76
396	82.753
397	82.753
398	82.755
399	82.746
400	82.743
401	82.744
402	82.732
403	82.713
404	82.709
405	82.701
406	82.671
407	82.667
408	82.67
409	82.657
410	82.657
411	82.642
412	82.627
413	82.641
414	82.648
415	82.664
416	82.679
417	82.682
418	82.702
419	82.712
420	82.726
421	82.738
422	82.73
423	82.751
424	82.764
425	82.763
426	82.78
427	82.781
428	82.786
429	82.8
430	82.797
431	82.806
432	82.81
433	82.81
434	82.818
435	82.822
436	82.822
437	82.829
438	82.845
439	82.849
440	82.842
441	82.843
442	82.853
443	82.851
444	82.846
445	82.838
446	82.835
447	82.845
448	82.85
449	82.848
450	82.844
451	82.862
452	82.864
453	82.877
454	82.881
455	82.873
456	82.886
457	82.901
458	82.904
459	82.901
460	82.899
461	82.906
462	82.899
463	82.894
464	82.903
465	82.899
466	82.916
467	82.913
468	82.923
469	82.937
470	82.933
471	82.956
472	82.956
473	82.951
474	82.965
475	82.968
476	82.97
477	82.982
478	82.989
479	82.99
480	82.992
481	83.008
482	83.013
483	83.016
484	83.011
485	83.022
486	83.034
487	83.033
488	83.043
489	83.047
490	83.038
491	83.062
492	83.073
493	83.072
494	83.077
495	83.069
496	83.059
497	83.055
498	83.059
499	83.082
500	83.086
501	83.077
502	83.081
503	83.063
504	83.057
505	83.067
506	83.057
507	83.05
508	83.057
509	83.056
510	83.065
511	83.072
512	83.07
513	83.074
514	83.077
515	83.081
516	83.093
517	83.086
518	83.091
519	83.097
520	83.09
521	83.112
522	83.12
523	83.13
524	83.137
525	83.137
526	83.147
527	83.158
528	83.156
529	83.148
530	83.146
531	83.148
532	83.142
533	83.144
534	83.146
535	83.158
536	83.181
537	83.16
538	83.159
539	83.173
540	83.154
541	83.147
542	83.154
543	83.152
544	83.153
545	83.157
546	83.162
547	83.155
548	83.151
549	83.162
550	83.15
551	83.148
552	83.153
553	83.139
554	83.163
555	83.169
556	83.162
557	83.174
558	83.188
559	83.195
560	83.191
561	83.183
562	83.174
563	83.165
564	83.162
565	83.156
566	83.144
567	83.145
568	83.134
569	83.129
570	83.129
571	83.128
572	83.129
573	83.128
574	83.123
575	83.12
576	83.114
577	83.12
578	83.119
579	83.114
580	83.117
581	83.113
582	83.114
583	83.11
584	83.095
585	83.076
586	83.075
587	83.071
588	83.073
589	83.079
590	83.085
591	83.106
592	83.095
593	83.099
594	83.104
595	83.082
596	83.096
597	83.085
598	83.087
599	83.106
600	83.097
601	83.107
602	83.105
603	83.11
604	83.121
605	83.123
606	83.115
607	83.113
608	83.122
609	83.126
610	83.131
611	83.139
612	83.144
613	83.155
614	83.146
615	83.141
616	83.14
617	83.133
618	83.141
619	83.142
620	83.151
621	83.157
622	83.152
623	83.155
624	83.158
625	83.157
626	83.17
627	83.178
628	83.168
629	83.176
630	83.186
631	83.192
632	83.203
633	83.202
634	83.207
635	83.209
636	83.211
637	83.203
638	83.209
639	83.214
640	83.205
641	83.222
642	83.237
643	83.236
644	83.237
645	83.242
646	83.245
647	83.255
648	83.268
649	83.263
650	83.265
651	83.28
652	83.293
653	83.299
654	83.297
655	83.289
656	83.292
657	83.306
658	83.31
659	83.325
660	83.334
661	83.343
662	83.331
663	83.318
664	83.325
665	83.334
666	83.325
667	83.33
668	83.34
669	83.32
670	83.33
671	83.339
672	83.347
673	83.339
674	83.33
675	83.339
676	83.339
677	83.337
678	83.341
679	83.338
680	83.345
681	83.349
682	83.348
683	83.356
684	83.376
685	83.395
686	83.392
687	83.387
688	83.403
689	83.401
690	83.398
691	83.411
692	83.413
693	83.422
694	83.434
695	83.417
696	83.411
697	83.411
698	83.419
699	83.423
700	83.426
701	83.426
702	83.422
703	83.435
704	83.438
705	83.442
706	83.455
707	83.458
708	83.463
