Freq(Hz)	SPL(dB)
20	77.693
21	77.56
22	77.446
23	77.79
24	78.483
25	78.903
26	79.276
27	79.42
28	79.337
29	79.237
30	79.131
31	79.171
32	79.396
33	79.571
34	79.791
35	79.934
36	79.959
37	79.954
38	79.935
39	79.945
40	79.981
41	80.063
42	80.138
43	80.207
44	80.214
45	80.213
46	80.22
47	80.228
48	80.266
49	80.292
50	80.263
51	80.236
52	80.192
53	80.106
54	80.001
55	79.963
56	79.935
57	79.918
58	79.876
59	79.829
60	79.718
61	79.57
62	79.474
63	79.383
64	79.344
65	79.325
66	79.309
67	79.279
68	79.247
69	79.23
70	79.239
71	79.296
72	79.419
73	79.525
74	79.687
75	79.853
76	80.028
77	80.129
78	80.255
79	80.385
80	80.489
81	80.567
82	80.67
83	80.742
84	80.819
85	80.856
86	80.903
87	80.953
88	80.99
89	81.05
90	81.09
91	81.108
92	81.136
93	81.173
94	81.174
95	81.191
96	81.216
97	81.263
98	81.292
99	81.301
100	81.299
101	81.311
102	81.335
103	81.336
104	81.334
105	81.347
106	81.387
107	81.429
108	81.484
109	81.493
110	81.489
111	81.479
112	81.463
113	81.452
114	81.441
115	81.439
116	81.432
117	81.449
118	81.461
119	81.477
120	81.509
121	81.5
122	81.523
123	81.535
124	81.501
125	81.511
126	81.541
127	81.56
128	81.557
129	81.568
130	81.585
131	81.583
132	81.572
133	81.571
134	81.571
135	81.57
136	81.573
137	81.564
138	81.567
139	81.563
140	81.56
141	81.558
142	81.559
143	81.565
144	81.564
145	81.571
146	81.568
147	81.574
148	81.577
149	81.569
150	81.584
151	81.59
152	81.59
153	81.599
154	81.614
155	81.622
156	81.611
157	81.63
158	81.629
159	81.615
160	81.626
161	81.638
162	81.64
163	81.639
164	81.645
165	81.661
166	81.664
167	81.659
168	81.654
169	81.642
170	81.653
171	81.681
172	81.685
173	81.684
174	81.681
175	81.687
176	81.68
177	81.676
178	81.672
179	81.645
180	81.667
181	81.675
182	81.669
183	81.675
184	81.672
185	81.68
186	81.679
187	81.673
188	81.682
189	81.683
190	81.673
191	81.677
192	81.681
193	81.685
194	81.684
195	81.688
196	81.691
197	81.695
198	81.693
199	81.688
200	81.687
201	81.69
202	81.692
203	81.699
204	81.693
205	81.686
206	81.704
207	81.693
208	81.682
209	81.708
210	81.699
211	81.686
212	81.693
213	81.692
214	81.688
215	81.696
216	81.687
217	81.688
218	81.697
219	81.698
220	81.696
221	81.677
222	81.675
223	81.678
224	81.682
225	81.681
226	81.679
227	81.684
228	81.683
229	81.687
230	81.687
231	81.679
232	81.688
233	81.69
234	81.684
235	81.685
236	81.684
237	81.684
238	81.684
239	81.69
240	81.693
241	81.681
242	81.67
243	81.673
244	81.668
245	81.661
246	81.66
247	81.645
248	81.648
249	81.652
250	81.647
251	81.651
252	81.646
253	81.651
254	81.657
255	81.651
256	81.656
257	81.659
258	81.651
259	81.651
260	81.657
261	81.656
262	81.647
263	81.649
264	81.656
265	81.641
266	81.638
267	81.644
268	81.637
269	81.639
270	81.636
271	81.64
272	81.648
273	81.642
274	81.634
275	81.642
276	81.649
277	81.637
278	81.638
279	81.64
280	81.641
281	81.638
282	81.631
283	81.64
284	81.648
285	81.642
286	81.637
287	81.633
288	81.627
289	81.634
290	81.643
291	81.638
292	81.633
293	81.635
294	81.64
295	81.638
296	81.634
297	81.634
298	81.636
299	81.624
300	81.629
301	81.633
302	81.617
303	81.616
304	81.614
305	81.605
306	81.601
307	81.604
308	81.605
309	81.599
310	81.602
311	81.604
312	81.595
313	81.589
314	81.594
315	81.599
316	81.595
317	81.595
318	81.598
319	81.597
320	81.6
321	81.599
322	81.601
323	81.591
324	81.588
325	81.594
326	81.589
327	81.588
328	81.587
329	81.574
330	81.573
331	81.575
332	81.581
333	81.588
334	81.583
335	81.581
336	81.59
337	81.589
338	81.579
339	81.581
340	81.585
341	81.58
342	81.579
343	81.585
344	81.581
345	81.585
346	81.576
347	81.57
348	81.568
349	81.555
350	81.573
351	81.573
352	81.571
353	81.569
354	81.569
355	81.565
356	81.556
357	81.563
358	81.561
359	81.562
360	81.555
361	81.555
362	81.559
363	81.552
364	81.551
365	81.537
366	81.533
367	81.528
368	81.515
369	81.528
370	81.527
371	81.53
372	81.533
373	81.519
374	81.521
375	81.518
376	81.515
377	81.527
378	81.528
379	81.519
380	81.518
381	81.504
382	81.493
383	81.5
384	81.511
385	81.503
386	81.494
387	81.495
388	81.482
389	81.476
390	81.467
391	81.45
392	81.447
393	81.448
394	81.444
395	81.447
396	81.455
397	81.462
398	81.453
399	81.449
400	81.451
401	81.442
402	81.441
403	81.439
404	81.434
405	81.427
406	81.416
407	81.409
408	81.397
409	81.39
410	81.378
411	81.372
412	81.38
413	81.363
414	81.369
415	81.37
416	81.351
417	81.355
418	81.354
419	81.357
420	81.369
421	81.365
422	81.368
423	81.376
424	81.387
425	81.396
426	81.399
427	81.405
428	81.402
429	81.415
430	81.411
431	81.406
432	81.413
433	81.41
434	81.421
435	81.424
436	81.419
437	81.422
438	81.432
439	81.449
440	81.446
441	81.445
442	81.452
443	81.454
444	81.456
445	81.454
446	81.457
447	81.458
448	81.455
449	81.463
450	81.468
451	81.463
452	81.466
453	81.466
454	81.456
455	81.458
456	81.456
457	81.452
458	81.445
459	81.445
460	81.447
461	81.442
462	81.43
463	81.427
464	81.435
465	81.428
466	81.429
467	81.431
468	81.437
469	81.435
470	81.435
471	81.439
472	81.436
473	81.45
474	81.448
475	81.437
476	81.44
477	81.437
478	81.43
479	81.427
480	81.432
481	81.423
482	81.426
483	81.422
484	81.415
485	81.412
486	81.403
487	81.409
488	81.402
489	81.402
490	81.406
491	81.395
492	81.407
493	81.409
494	81.401
495	81.401
496	81.399
497	81.394
498	81.398
499	81.398
500	81.397
501	81.397
502	81.392
503	81.376
504	81.37
505	81.365
506	81.361
507	81.36
508	81.353
509	81.352
510	81.354
511	81.352
512	81.347
513	81.349
514	81.342
515	81.335
516	81.339
517	81.334
518	81.332
519	81.331
520	81.327
521	81.327
522	81.329
523	81.326
524	81.318
525	81.303
526	81.299
527	81.296
528	81.281
529	81.274
530	81.267
531	81.259
532	81.257
533	81.248
534	81.243
535	81.239
536	81.244
537	81.233
538	81.226
539	81.226
540	81.216
541	81.219
542	81.228
543	81.238
544	81.247
545	81.236
546	81.249
547	81.266
548	81.258
549	81.263
550	81.258
551	81.254
552	81.258
553	81.254
554	81.255
555	81.265
556	81.259
557	81.248
558	81.26
559	81.255
560	81.251
561	81.262
562	81.246
563	81.246
564	81.27
565	81.259
566	81.247
567	81.246
568	81.242
569	81.23
570	81.212
571	81.201
572	81.189
573	81.174
574	81.159
575	81.155
576	81.163
577	81.159
578	81.156
579	81.163
580	81.17
581	81.181
582	81.181
583	81.181
584	81.187
585	81.194
586	81.195
587	81.187
588	81.187
589	81.183
590	81.172
591	81.159
592	81.135
593	81.121
594	81.11
595	81.113
596	81.095
597	81.091
598	81.103
599	81.108
600	81.122
601	81.119
602	81.122
603	81.138
604	81.14
605	81.143
606	81.156
607	81.164
608	81.156
609	81.171
610	81.178
611	81.168
612	81.176
613	81.171
614	81.175
615	81.165
616	81.147
617	81.142
618	81.147
619	81.15
620	81.133
621	81.157
622	81.166
623	81.162
624	81.152
625	81.167
626	81.185
627	81.19
628	81.204
629	81.209
630	81.214
631	81.199
632	81.189
633	81.185
634	81.179
635	81.165
636	81.141
637	81.145
638	81.149
639	81.157
640	81.157
641	81.153
642	81.161
643	81.153
644	81.152
645	81.153
646	81.139
647	81.136
648	81.127
649	81.124
650	81.134
651	81.139
652	81.138
653	81.137
654	81.139
655	81.156
656	81.154
657	81.154
658	81.158
659	81.134
660	81.139
661	81.136
662	81.134
663	81.138
664	81.139
665	81.154
666	81.172
667	81.18
668	81.179
669	81.184
670	81.177
671	81.168
672	81.157
673	81.154
674	81.165
675	81.166
676	81.151
677	81.164
678	81.158
679	81.156
680	81.18
681	81.165
682	81.166
683	81.175
684	81.165
685	81.165
686	81.149
687	81.136
688	81.143
689	81.144
690	81.142
691	81.133
692	81.146
693	81.145
694	81.145
695	81.152
696	81.121
697	81.116
698	81.107
699	81.096
700	81.09
701	81.082
702	81.083
703	81.073
704	81.069
705	81.07
706	81.072
707	81.072
708	81.071
709	81.084
710	81.085
711	81.082
712	81.087
713	81.082
714	81.071
715	81.078
716	81.076
717	81.058
718	81.042
719	81.038
720	81.027
721	81.013
722	81.024
723	81.023
724	81.026
725	81.047
726	81.04
727	81.051
728	81.056
729	81.049
730	81.065
731	81.064
732	81.065
733	81.064
734	81.058
735	81.042
736	81.03
737	81.018
738	81.003
739	80.989
740	80.972
741	80.958
742	80.945
743	80.943
744	80.938
745	80.929
746	80.938
747	80.942
748	80.931
749	80.931
750	80.945
751	80.932
752	80.922
753	80.923
754	80.926
755	80.937
756	80.939
757	80.939
758	80.933
759	80.927
760	80.93
761	80.928
762	80.919
763	80.916
764	80.912
765	80.908
766	80.891
767	80.899
768	80.897
769	80.896
770	80.906
771	80.911
772	80.917
773	80.896
774	80.892
775	80.887
776	80.872
777	80.868
778	80.862
779	80.862
780	80.871
781	80.864
782	80.852
783	80.852
784	80.857
785	80.855
786	80.858
787	80.865
788	80.844
789	80.849
790	80.844
791	80.82
792	80.809
793	80.791
794	80.778
795	80.759
796	80.755
797	80.746
798	80.736
799	80.725
800	80.716
801	80.702
802	80.696
803	80.699
804	80.692
805	80.699
806	80.682
807	80.689
808	80.682
809	80.679
810	80.686
811	80.678
812	80.683
813	80.674
814	80.671
815	80.669
816	80.669
817	80.665
818	80.657
819	80.664
820	80.648
821	80.64
822	80.624
823	80.618
824	80.612
825	80.595
826	80.617
827	80.602
828	80.604
829	80.613
830	80.611
831	80.605
832	80.587
833	80.614
834	80.6
835	80.603
836	80.613
837	80.614
838	80.619
839	80.596
840	80.594
841	80.566
842	80.541
843	80.523
844	80.501
845	80.501
846	80.496
847	80.495
848	80.486
849	80.473
850	80.481
851	80.473
852	80.46
853	80.466
854	80.472
855	80.471
856	80.477
857	80.484
858	80.468
859	80.466
860	80.472
861	80.457
862	80.446
863	80.436
864	80.431
865	80.432
866	80.425
867	80.42
868	80.415
869	80.402
870	80.406
871	80.43
872	80.442
873	80.467
874	80.486
875	80.485
876	80.474
877	80.457
878	80.45
879	80.438
880	80.423
881	80.416
882	80.403
883	80.395
884	80.386
885	80.377
886	80.354
887	80.355
888	80.35
889	80.342
890	80.356
891	80.352
892	80.368
893	80.377
894	80.37
895	80.384
896	80.379
897	80.358
898	80.341
899	80.338
900	80.33
901	80.327
902	80.318
903	80.314
904	80.317
905	80.312
906	80.316
907	80.274
908	80.276
909	80.268
910	80.261
911	80.272
912	80.234
913	80.246
914	80.243
915	80.227
916	80.236
917	80.23
918	80.228
919	80.229
920	80.229
921	80.232
922	80.249
923	80.256
924	80.253
925	80.278
926	80.287
927	80.287
928	80.291
929	80.261
930	80.278
931	80.274
932	80.24
933	80.234
934	80.208
935	80.194
936	80.188
937	80.159
938	80.15
939	80.163
940	80.147
941	80.144
942	80.139
943	80.139
944	80.152
945	80.136
946	80.126
947	80.14
948	80.132
949	80.122
950	80.121
951	80.118
952	80.122
953	80.121
954	80.099
955	80.087
956	80.086
957	80.065
958	80.087
959	80.091
960	80.084
961	80.085
962	80.074
963	80.075
964	80.072
965	80.086
966	80.085
967	80.083
968	80.09
969	80.072
970	80.05
971	80.041
972	80.02
973	79.987
974	79.949
975	79.917
976	79.917
977	79.915
978	79.899
979	79.907
980	79.928
981	79.947
982	79.989
983	79.993
984	79.987
985	79.995
986	80
987	79.992
988	79.995
989	79.996
990	79.963
991	79.958
992	79.976
993	79.945
994	79.967
995	79.995
996	79.98
997	80.028
998	80.03
999	80.027
1000	80.067
1001	80.021
1002	80.009
1003	80.028
1004	79.991
1005	79.975
1006	79.967
1007	79.935
1008	79.926
1009	79.933
1010	79.908
1011	79.903
1012	79.936
1013	79.923
1014	79.925
1015	79.972
1016	79.95
1017	79.94
1018	79.986
1019	79.924
1020	79.908
1021	79.927
1022	79.858
1023	79.856
1024	79.89
1025	79.834
1026	79.823
1027	79.857
1028	79.814
1029	79.808
1030	79.861
1031	79.852
1032	79.833
1033	79.868
1034	79.843
1035	79.822
1036	79.847
1037	79.84
1038	79.82
1039	79.831
1040	79.844
