Freq(Hz)	SPL(dB)
20	78.175
21	78.15
22	78.236
23	78.55
24	78.984
25	79.263
26	79.573
27	79.723
28	79.776
29	79.758
30	79.775
31	79.887
32	80.024
33	80.154
34	80.317
35	80.433
36	80.487
37	80.525
38	80.543
39	80.563
40	80.598
41	80.646
42	80.721
43	80.75
44	80.737
45	80.774
46	80.79
47	80.783
48	80.801
49	80.812
50	80.774
51	80.768
52	80.667
53	80.532
54	80.497
55	80.481
56	80.486
57	80.476
58	80.434
59	80.395
60	80.29
61	80.157
62	80.066
63	79.932
64	79.868
65	79.859
66	79.874
67	79.942
68	79.989
69	80.061
70	80.13
71	80.229
72	80.368
73	80.472
74	80.641
75	80.799
76	80.949
77	81.054
78	81.173
79	81.275
80	81.386
81	81.449
82	81.532
83	81.603
84	81.668
85	81.705
86	81.753
87	81.806
88	81.838
89	81.871
90	81.908
91	81.937
92	81.954
93	81.992
94	82.019
95	82.032
96	82.052
97	82.082
98	82.1
99	82.109
100	82.119
101	82.148
102	82.145
103	82.147
104	82.171
105	82.183
106	82.189
107	82.198
108	82.212
109	82.211
110	82.221
111	82.218
112	82.224
113	82.232
114	82.226
115	82.236
116	82.229
117	82.236
118	82.248
119	82.267
120	82.286
121	82.245
122	82.246
123	82.281
124	82.272
125	82.276
126	82.277
127	82.268
128	82.277
129	82.272
130	82.278
131	82.289
132	82.28
133	82.283
134	82.289
135	82.283
136	82.288
137	82.287
138	82.281
139	82.284
140	82.292
141	82.288
142	82.273
143	82.281
144	82.295
145	82.305
146	82.303
147	82.316
148	82.319
149	82.322
150	82.325
151	82.33
152	82.351
153	82.357
154	82.376
155	82.388
156	82.398
157	82.409
158	82.421
159	82.437
160	82.442
161	82.445
162	82.463
163	82.47
164	82.483
165	82.499
166	82.503
167	82.504
168	82.515
169	82.523
170	82.535
171	82.54
172	82.517
173	82.538
174	82.556
175	82.554
176	82.564
177	82.563
178	82.562
179	82.574
180	82.583
181	82.577
182	82.559
183	82.577
184	82.577
185	82.575
186	82.585
187	82.586
188	82.593
189	82.6
190	82.597
191	82.599
192	82.602
193	82.611
194	82.613
195	82.607
196	82.613
197	82.624
198	82.616
199	82.625
200	82.626
201	82.615
