Freq(Hz)	SPL(dB)
20	79.392
21	79.293
22	79.3
23	79.64
24	80.189
25	80.563
26	80.884
27	81.021
28	80.958
29	80.867
30	80.8
31	80.831
32	80.993
33	81.136
34	81.33
35	81.435
36	81.448
37	81.455
38	81.411
39	81.402
40	81.422
41	81.472
42	81.538
43	81.585
44	81.59
45	81.626
46	81.645
47	81.634
48	81.654
49	81.673
50	81.689
51	81.698
52	81.683
53	81.691
54	81.696
55	81.708
56	81.744
57	81.768
58	81.78
59	81.788
60	81.797
61	81.812
62	81.827
63	81.868
64	81.904
65	81.948
66	81.975
67	81.992
68	82.001
69	81.988
70	81.978
71	81.976
72	81.974
73	81.98
74	81.992
75	82.001
76	81.994
77	81.997
78	81.978
79	81.945
80	81.912
81	81.887
82	81.871
83	81.832
84	81.801
85	81.786
86	81.762
87	81.75
88	81.735
89	81.718
90	81.692
91	81.674
92	81.664
93	81.635
94	81.616
95	81.607
96	81.593
97	81.586
98	81.585
99	81.575
100	81.561
101	81.549
102	81.536
103	81.53
104	81.524
105	81.511
106	81.497
107	81.489
108	81.493
109	81.488
110	81.474
111	81.481
112	81.477
113	81.456
114	81.459
115	81.46
116	81.443
117	81.426
118	81.433
119	81.442
120	81.408
121	81.442
122	81.443
123	81.408
124	81.437
125	81.429
126	81.41
127	81.4
128	81.38
129	81.381
130	81.365
131	81.375
132	81.384
133	81.37
134	81.352
135	81.334
136	81.328
137	81.323
138	81.31
139	81.323
140	81.318
141	81.284
142	81.276
143	81.263
144	81.248
145	81.237
146	81.231
147	81.229
148	81.224
149	81.213
150	81.201
151	81.191
152	81.183
153	81.178
154	81.165
155	81.144
156	81.137
157	81.12
158	81.085
159	81.102
160	81.104
161	81.092
162	81.081
163	81.065
164	81.067
165	81.054
166	81.043
167	81.014
168	80.996
169	81.003
170	81
171	81.002
172	80.988
173	80.971
174	80.965
175	80.963
176	80.969
177	80.961
178	80.946
179	80.946
180	80.935
181	80.927
182	80.912
183	80.913
184	80.914
185	80.902
186	80.888
187	80.901
188	80.906
189	80.9
190	80.901
191	80.884
192	80.877
193	80.867
194	80.864
195	80.867
196	80.863
197	80.854
198	80.836
199	80.819
200	80.813
201	80.811
202	80.804
203	80.798
204	80.791
205	80.773
206	80.76
207	80.746
208	80.721
209	80.72
210	80.696
211	80.685
212	80.666
213	80.643
214	80.669
215	80.662
216	80.604
217	80.613
218	80.612
219	80.594
220	80.584
221	80.566
222	80.548
223	80.526
224	80.499
225	80.486
226	80.486
227	80.474
228	80.453
229	80.44
230	80.424
231	80.409
232	80.394
233	80.376
234	80.363
235	80.35
236	80.327
237	80.318
238	80.311
239	80.29
240	80.262
241	80.232
242	80.23
243	80.218
244	80.199
245	80.185
246	80.178
247	80.189
248	80.172
249	80.139
250	80.15
251	80.129
252	80.12
253	80.12
254	80.12
255	80.117
256	80.113
257	80.111
258	80.104
259	80.104
260	80.105
261	80.104
262	80.114
263	80.126
264	80.111
265	80.122
266	80.122
267	80.1
268	80.11
269	80.115
270	80.132
271	80.121
272	80.124
273	80.14
274	80.125
275	80.135
276	80.123
277	80.103
278	80.116
279	80.133
280	80.114
281	80.103
282	80.113
283	80.114
284	80.113
285	80.121
286	80.115
287	80.107
288	80.129
289	80.131
290	80.125
291	80.114
292	80.113
293	80.121
294	80.117
295	80.121
296	80.114
297	80.121
298	80.128
299	80.131
300	80.122
301	80.109
302	80.122
303	80.119
304	80.115
305	80.107
306	80.119
307	80.119
308	80.122
309	80.135
310	80.13
311	80.135
312	80.136
313	80.127
314	80.135
315	80.13
316	80.116
317	80.141
318	80.144
319	80.132
320	80.142
321	80.142
322	80.143
323	80.14
324	80.137
325	80.142
326	80.137
327	80.14
328	80.15
329	80.137
330	80.149
331	80.161
332	80.138
333	80.151
334	80.16
335	80.146
336	80.165
337	80.17
338	80.183
339	80.189
340	80.182
341	80.19
342	80.188
343	80.19
344	80.195
345	80.186
