Freq(Hz)	SPL(dB)
20	79.422
21	79.407
22	79.528
23	79.858
24	80.223
25	80.459
26	80.74
27	80.893
28	80.893
29	80.869
30	80.876
31	80.903
32	81.034
33	81.14
34	81.239
35	81.315
36	81.336
37	81.341
38	81.323
39	81.309
40	81.314
41	81.341
42	81.384
43	81.411
44	81.427
45	81.452
46	81.422
47	81.431
48	81.438
49	81.412
50	81.429
51	81.399
52	81.398
53	81.363
54	81.357
55	81.396
56	81.376
57	81.387
58	81.369
59	81.353
60	81.343
61	81.305
62	81.291
63	81.303
64	81.335
65	81.407
66	81.442
67	81.47
68	81.5
69	81.509
70	81.511
71	81.524
72	81.54
73	81.553
74	81.567
75	81.565
76	81.564
77	81.559
78	81.538
79	81.524
80	81.522
81	81.507
82	81.483
83	81.478
84	81.448
85	81.429
86	81.407
87	81.383
88	81.363
89	81.355
90	81.334
91	81.299
92	81.299
93	81.283
94	81.265
95	81.249
96	81.241
97	81.231
98	81.229
99	81.224
100	81.192
101	81.189
102	81.168
103	81.154
104	81.151
105	81.147
106	81.146
107	81.139
108	81.122
109	81.117
110	81.117
111	81.111
112	81.115
113	81.12
114	81.112
115	81.09
116	81.091
117	81.089
118	81.086
119	81.093
120	81.077
121	81.049
122	81.065
123	81.086
124	81.065
125	81.072
126	81.066
127	81.054
128	81.053
129	81.052
130	81.047
131	81.031
132	81.015
133	80.999
134	81.017
135	81.02
136	80.99
137	80.992
138	81
139	80.979
140	80.985
141	80.986
142	80.951
143	80.969
144	80.969
145	80.945
146	80.952
147	80.939
148	80.931
149	80.931
150	80.916
151	80.919
152	80.92
153	80.908
154	80.897
155	80.89
156	80.883
157	80.872
158	80.867
159	80.872
160	80.886
161	80.871
162	80.853
163	80.845
164	80.832
165	80.82
166	80.825
167	80.821
168	80.803
169	80.798
170	80.787
171	80.808
172	80.82
173	80.772
174	80.764
175	80.777
176	80.753
177	80.741
178	80.752
179	80.746
180	80.733
181	80.71
182	80.709
183	80.73
184	80.698
185	80.69
186	80.688
187	80.663
188	80.66
189	80.667
190	80.651
191	80.637
192	80.632
193	80.628
194	80.626
195	80.623
196	80.606
197	80.584
198	80.571
199	80.571
200	80.579
201	80.563
202	80.559
203	80.565
204	80.572
205	80.556
206	80.553
207	80.564
208	80.54
209	80.536
210	80.541
211	80.532
212	80.531
213	80.539
214	80.529
215	80.509
216	80.491
217	80.486
218	80.488
219	80.477
220	80.467
221	80.465
222	80.466
223	80.458
224	80.454
225	80.455
226	80.444
227	80.424
228	80.424
229	80.414
230	80.391
231	80.397
232	80.389
233	80.374
234	80.368
235	80.373
236	80.352
237	80.338
238	80.331
239	80.311
240	80.308
241	80.304
242	80.3
243	80.278
244	80.268
245	80.27
246	80.237
247	80.235
248	80.227
249	80.204
250	80.203
251	80.203
252	80.202
253	80.184
254	80.158
255	80.156
256	80.173
257	80.166
258	80.156
259	80.153
260	80.153
261	80.158
262	80.159
263	80.142
264	80.119
265	80.127
266	80.128
267	80.119
268	80.117
269	80.126
270	80.12
271	80.106
272	80.106
273	80.113
274	80.111
275	80.122
276	80.103
277	80.131
278	80.146
279	80.114
280	80.133
281	80.115
282	80.108
283	80.113
284	80.096
285	80.116
286	80.126
287	80.134
288	80.131
289	80.125
290	80.142
291	80.154
292	80.14
293	80.146
294	80.159
295	80.162
296	80.16
297	80.146
298	80.139
299	80.129
300	80.145
301	80.143
302	80.145
303	80.155
304	80.159
305	80.2
306	80.173
307	80.16
308	80.2
309	80.263
310	80.2
311	80.144
312	80.164
313	80.13
314	80.132
315	80.131
316	80.12
317	80.15
318	80.158
319	80.171
320	80.175
321	80.165
322	80.159
323	80.162
324	80.168
325	80.168
326	80.164
327	80.18
328	80.187
329	80.179
330	80.169
331	80.19
332	80.206
333	80.198
334	80.227
335	80.204
336	80.212
337	80.239
338	80.22
339	80.234
340	80.232
341	80.239
342	80.266
343	80.246
344	80.257
345	80.265
346	80.267
347	80.276
348	80.266
349	80.296
350	80.286
351	80.286
352	80.313
353	80.298
354	80.295
355	80.325
356	80.325
357	80.319
358	80.325
359	80.327
360	80.336
361	80.333
362	80.347
363	80.37
364	80.365
365	80.377
366	80.397
367	80.397
368	80.405
369	80.399
370	80.398
371	80.419
372	80.435
373	80.416
374	80.425
375	80.456
376	80.462
377	80.477
378	80.485
379	80.476
380	80.476
381	80.515
382	80.519
383	80.513
384	80.52
385	80.517
386	80.529
387	80.553
388	80.562
389	80.566
390	80.573
391	80.59
392	80.598
393	80.597
394	80.611
395	80.627
396	80.617
397	80.612
398	80.639
399	80.628
400	80.613
401	80.617
402	80.634
403	80.654
404	80.67
405	80.663
406	80.665
407	80.672
408	80.678
409	80.689
410	80.676
411	80.667
412	80.668
413	80.695
414	80.714
415	80.703
416	80.696
417	80.702
418	80.697
419	80.709
420	80.731
421	80.745
422	80.75
423	80.757
424	80.768
425	80.776
426	80.775
427	80.778
428	80.793
429	80.78
430	80.773
431	80.788
432	80.806
433	80.819
434	80.832
435	80.838
436	80.843
437	80.862
438	80.862
439	80.861
440	80.877
441	80.873
442	80.87
443	80.875
444	80.869
445	80.871
446	80.892
447	80.883
448	80.881
449	80.885
450	80.881
451	80.905
452	80.898
453	80.886
454	80.888
455	80.884
456	80.9
457	80.906
458	80.899
459	80.911
460	80.913
461	80.905
462	80.902
463	80.894
464	80.869
465	80.882
466	80.877
467	80.879
468	80.867
469	80.854
470	80.866
471	80.858
472	80.877
473	80.862
474	80.859
475	80.882
476	80.881
477	80.888
478	80.887
479	80.898
480	80.894
481	80.911
482	80.909
483	80.903
484	80.927
485	80.908
486	80.919
487	80.926
488	80.923
489	80.931
490	80.929
491	80.932
492	80.933
493	80.939
494	80.943
495	80.952
496	80.967
497	80.965
498	80.965
499	80.978
500	80.979
501	80.973
502	80.978
503	80.988
504	80.994
505	80.993
506	80.984
507	80.997
508	81.017
509	81.035
510	81.026
511	81.048
512	81.064
513	81.063
514	81.067
515	81.066
516	81.047
517	81.038
518	81.055
519	81.061
520	81.041
521	81.039
522	81.049
523	81.032
524	81.032
525	81.038
526	81.03
527	81.047
528	81.055
529	81.047
530	81.046
531	81.041
532	81.04
533	81.029
534	81.019
535	81.005
536	81
537	81.008
538	80.999
539	80.962
540	80.948
541	80.945
542	80.936
543	80.934
544	80.934
545	80.925
546	80.91
547	80.92
548	80.898
549	80.889
550	80.894
551	80.874
552	80.865
553	80.85
554	80.831
555	80.824
556	80.825
557	80.829
558	80.831
559	80.825
560	80.821
561	80.815
562	80.805
563	80.803
564	80.798
565	80.797
566	80.784
567	80.776
568	80.781
569	80.785
570	80.785
571	80.786
572	80.79
573	80.799
574	80.814
575	80.81
576	80.804
577	80.799
578	80.796
579	80.812
580	80.802
581	80.796
582	80.811
583	80.813
584	80.805
585	80.819
586	80.83
587	80.815
588	80.803
589	80.815
590	80.798
591	80.793
592	80.798
593	80.788
594	80.791
595	80.785
596	80.793
597	80.791
598	80.812
599	80.824
600	80.826
601	80.835
602	80.817
603	80.824
604	80.822
605	80.812
606	80.827
607	80.823
608	80.837
609	80.867
610	80.87
611	80.882
612	80.9
613	80.915
