Freq(Hz)	SPL(dB)
20	67.864
21	67.942
22	68.034
23	68.045
24	68.034
25	68.034
26	68.035
27	68.024
28	68.017
29	68.005
30	68.003
31	67.984
32	67.975
33	67.955
34	67.942
35	67.922
36	67.904
37	67.885
38	67.866
39	67.854
40	67.825
41	67.814
42	67.804
43	67.794
44	67.777
45	67.749
46	67.727
47	67.714
48	67.694
49	67.669
50	67.624
51	67.609
52	67.583
53	67.572
54	67.55
55	67.536
56	67.514
57	67.51
58	67.494
59	67.494
60	67.495
61	67.485
62	67.461
63	67.454
64	67.444
65	67.444
66	67.444
67	67.444
68	67.444
69	67.444
70	67.444
71	67.454
72	67.454
73	67.454
74	67.457
75	67.464
76	67.469
77	67.484
78	67.494
79	67.512
80	67.527
81	67.535
82	67.549
83	67.573
84	67.575
85	67.587
86	67.611
87	67.617
88	67.631
89	67.644
90	67.664
91	67.672
92	67.684
93	67.695
94	67.708
95	67.722
96	67.724
97	67.726
98	67.741
99	67.748
100	67.762
101	67.77
102	67.777
103	67.783
104	67.792
105	67.813
106	67.82
107	67.828
108	67.834
109	67.839
110	67.847
111	67.854
112	67.862
113	67.855
114	67.863
115	67.865
116	67.864
117	67.864
118	67.864
119	67.866
120	67.874
121	67.875
122	67.874
123	67.883
124	67.885
125	67.884
126	67.884
127	67.885
128	67.879
129	67.874
130	67.874
131	67.874
132	67.874
133	67.875
134	67.883
135	67.878
136	67.876
137	67.884
138	67.88
139	67.873
141	67.874
142	67.887
143	67.895
144	67.894
145	67.894
146	67.894
147	67.897
148	67.904
149	67.905
150	67.9
151	67.894
152	67.894
153	67.895
154	67.891
155	67.884
157	67.884
158	67.879
159	67.872
160	67.864
161	67.857
162	67.849
164	67.844
165	67.844
166	67.839
167	67.831
168	67.824
170	67.816
171	67.809
172	67.802
173	67.795
174	67.788
176	67.777
177	67.761
178	67.747
180	67.738
181	67.731
182	67.723
184	67.709
185	67.699
186	67.69
188	67.675
189	67.667
190	67.66
192	67.653
193	67.646
194	67.638
196	67.632
197	67.624
199	67.608
200	67.603
202	67.605
203	67.604
205	67.597
206	67.598
207	67.604
209	67.596
211	67.587
212	67.586
214	67.594
215	67.602
217	67.605
218	67.604
220	67.604
221	67.603
223	67.611
225	67.625
226	67.633
228	67.639
230	67.649
231	67.664
233	67.672
235	67.679
236	67.686
238	67.693
240	67.706
241	67.721
243	67.736
245	67.75
247	67.765
249	67.776
250	67.784
252	67.804
254	67.827
256	67.847
258	67.862
260	67.876
261	67.894
263	67.915
265	67.93
267	67.949
269	67.971
271	67.993
273	68.008
275	68.026
277	68.047
279	68.062
281	68.075
283	68.093
285	68.115
287	68.129
289	68.149
291	68.169
293	68.183
296	68.204
298	68.223
300	68.236
302	68.25
304	68.277
306	68.301
309	68.315
311	68.335
313	68.363
315	68.389
318	68.403
320	68.417
322	68.431
325	68.447
327	68.469
329	68.486
332	68.5
334	68.514
337	68.528
339	68.548
341	68.568
344	68.582
346	68.597
349	68.611
351	68.626
354	68.64
357	68.655
359	68.669
362	68.684
364	68.699
367	68.709
370	68.717
372	68.732
375	68.74
378	68.754
381	68.775
383	68.783
386	68.789
389	68.796
392	68.804
395	68.818
397	68.829
400	68.836
403	68.843
406	68.849
409	68.86
412	68.875
415	68.882
418	68.889
421	68.896
424	68.904
427	68.911
430	68.918
433	68.925
437	68.932
440	68.946
443	68.958
446	68.964
449	68.971
453	68.984
456	68.996
459	69.003
462	69.017
466	69.032
469	69.045
473	69.052
476	69.065
479	69.077
483	69.084
486	69.098
490	69.114
494	69.126
497	69.133
501	69.147
504	69.158
508	69.166
512	69.18
515	69.195
519	69.21
523	69.224
527	69.231
530	69.242
534	69.257
538	69.272
542	69.286
546	69.301
550	69.315
554	69.322
558	69.334
562	69.349
566	69.364
570	69.372
574	69.378
578	69.387
583	69.401
587	69.416
591	69.431
595	69.445
600	69.452
604	69.463
608	69.479
613	69.493
617	69.508
622	69.523
626	69.536
631	69.543
635	69.556
640	69.567
645	69.575
649	69.589
654	69.599
659	69.608
664	69.623
668	69.631
673	69.638
678	69.645
683	69.652
688	69.665
693	69.678
698	69.684
703	69.692
708	69.699
713	69.706
718	69.713
724	69.721
729	69.727
734	69.736
739	69.751
745	69.761
750	69.764
756	69.764
761	69.771
767	69.779
772	69.786
778	69.793
783	69.801
789	69.804
795	69.805
801	69.812
806	69.82
812	69.824
818	69.824
824	69.831
830	69.834
836	69.836
842	69.843
848	69.844
854	69.847
860	69.854
867	69.854
873	69.859
879	69.866
886	69.874
892	69.882
899	69.884
905	69.885
912	69.893
918	69.901
925	69.904
932	69.904
938	69.911
945	69.919
952	69.926
959	69.933
966	69.948
973	69.959
980	69.965
987	69.972
994	69.985
1001	70
1009	70.015
1016	70.029
1023	70.044
1031	70.058
1038	70.073
1046	70.087
1053	70.101
1061	70.117
1069	70.139
1076	70.161
1084	70.182
1092	70.204
1100	70.226
1108	70.247
1116	70.271
1124	70.3
1132	70.329
1140	70.362
1149	70.398
1157	70.427
1165	70.455
1174	70.486
1182	70.523
1191	70.559
1199	70.595
1208	70.633
1217	70.677
1226	70.715
1235	70.75
1244	70.788
1253	70.831
1262	70.875
1271	70.918
1280	70.962
1289	71.012
1299	71.059
1308	71.104
1318	71.155
1327	71.206
1337	71.256
1346	71.307
1356	71.357
1366	71.414
1376	71.47
1386	71.52
1396	71.571
1406	71.621
1416	71.674
1426	71.732
1437	71.785
1447	71.835
1458	71.886
1468	71.937
1479	71.987
1490	72.039
1500	72.098
1511	72.163
1522	72.224
1533	72.283
1544	72.348
1556	72.414
1567	72.48
1578	72.545
1590	72.602
1601	72.669
1613	72.742
1624	72.815
1636	72.887
1648	72.964
1660	73.043
1672	73.116
1684	73.187
1696	73.262
1709	73.343
1721	73.422
1733	73.507
1746	73.592
1759	73.672
1771	73.758
1784	73.842
1797	73.922
1810	74.009
1823	74.096
1837	74.186
1850	74.28
1863	74.368
1877	74.455
1890	74.541
1904	74.628
1918	74.721
1932	74.816
1946	74.911
1960	75.005
1974	75.094
1988	75.184
2003	75.278
2017	75.353
2032	75.428
2047	75.509
2061	75.589
2076	75.662
2091	75.738
2107	75.817
2122	75.89
2137	75.967
2153	76.045
2168	76.118
2184	76.19
2200	76.262
2216	76.336
2232	76.416
2248	76.492
2264	76.56
2281	76.625
2297	76.698
2314	76.771
2331	76.844
2348	76.916
2365	76.977
2382	77.034
2399	77.091
2416	77.141
2434	77.198
2451	77.253
2469	77.304
2487	77.362
2505	77.417
2523	77.465
2542	77.508
2560	77.551
2579	77.598
2597	77.649
2616	77.692
2635	77.736
2654	77.78
2673	77.823
2693	77.859
2712	77.9
2732	77.942
2752	77.978
2772	78.014
2792	78.051
2812	78.087
2832	78.116
2853	78.139
2874	78.163
2894	78.193
2915	78.215
2936	78.236
2958	78.259
2979	78.289
3001	78.312
3022	78.337
3044	78.365
3066	78.387
3089	78.414
3111	78.441
3134	78.463
3156	78.485
3179	78.499
3202	78.506
3225	78.521
3249	78.53
3272	78.54
3296	78.554
3320	78.562
3344	78.57
3368	78.575
3393	78.574
3417	78.575
3442	78.571
3467	78.564
3492	78.564
3517	78.565
3543	78.563
3568	78.554
3594	78.533
3620	78.514
3647	78.501
3673	78.486
3700	78.465
3726	78.447
3753	78.431
3781	78.403
3808	78.373
3836	78.344
3863	78.315
3891	78.285
3920	78.261
3948	78.238
3977	78.209
4005	78.175
4035	78.135
4064	78.09
4093	78.046
4123	78.008
4153	77.97
4183	77.926
4213	77.883
4244	77.84
4274	77.794
4305	77.735
4337	77.676
4368	77.622
4400	77.571
4432	77.513
4464	77.454
4496	77.397
4529	77.339
4561	77.273
4594	77.212
4628	77.153
4661	77.088
4695	77.022
4729	76.96
4763	76.902
