* Measurement data measured by REW V5.20.9
* Source: C:\Users\Aapeli\Desktop\Harman 2018 ilman bassokorostusta.txt
* Format: Comma/Tab/Space delimited data
* Dated: 27.12.2022 18:51:26
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\Aapeli\Desktop\Harman 2018 ilman bassokorostusta.txt Format: Comma/Tab/Space delimited data 695 values loaded, 20 Hz to 19 896 Hz log spaced 
* Measurement: Harman 2018 ilman bassokoro
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	-2.130
20.600000	-2.051
21.200001	-1.981
21.799999	-1.960
22.400000	-1.950
23.000000	-1.959
23.600000	-1.960
24.299999	-1.949
25.000000	-1.960
25.799999	-1.966
26.500000	-1.970
27.200001	-1.970
28.000000	-1.980
29.000000	-1.994
30.000000	-2.000
30.700001	-2.011
31.500000	-2.019
32.500000	-2.040
33.500000	-2.051
34.500000	-2.068
35.500000	-2.086
36.500000	-2.104
37.500000	-2.121
38.700001	-2.143
40.000000	-2.170
41.200001	-2.186
42.500000	-2.197
43.700001	-2.221
45.000000	-2.255
46.200001	-2.280
47.500000	-2.299
48.700001	-2.329
50.000000	-2.380
51.500000	-2.411
53.000000	-2.429
54.500000	-2.457
56.000000	-2.480
58.000000	-2.500
60.000000	-2.504
61.500000	-2.527
63.000000	-2.543
65.000000	-2.550
67.000000	-2.550
69.000000	-2.550
71.000000	-2.540
73.000000	-2.540
75.000000	-2.530
77.500000	-2.501
80.000000	-2.467
82.500000	-2.431
85.000000	-2.402
87.500000	-2.367
90.000000	-2.330
92.500000	-2.310
95.000000	-2.273
97.500000	-2.258
100.000000	-2.233
103.000000	-2.211
106.000000	-2.174
109.000000	-2.156
112.000000	-2.132
115.000000	-2.129
118.000000	-2.131
122.000000	-2.120
125.000000	-2.110
128.000000	-2.115
132.000000	-2.120
136.000000	-2.114
140.000000	-2.122
145.000000	-2.100
150.000000	-2.095
155.000000	-2.108
160.000000	-2.130
165.000000	-2.151
170.000000	-2.181
175.000000	-2.210
180.000000	-2.259
185.000000	-2.296
190.000000	-2.333
195.000000	-2.358
200.000000	-2.391
206.000000	-2.396
212.000000	-2.408
218.000000	-2.390
224.000000	-2.375
230.000000	-2.341
236.000000	-2.310
243.000000	-2.260
250.000000	-2.213
258.000000	-2.130
265.000000	-2.067
272.000000	-1.994
280.000000	-1.926
290.000000	-1.838
300.000000	-1.757
307.000000	-1.689
315.000000	-1.609
325.000000	-1.544
335.000000	-1.475
345.000000	-1.406
355.000000	-1.349
365.000000	-1.293
375.000000	-1.255
387.000000	-1.203
400.000000	-1.159
412.000000	-1.120
425.000000	-1.088
437.000000	-1.060
450.000000	-1.021
462.000000	-0.980
475.000000	-0.933
487.000000	-0.893
500.000000	-0.850
515.000000	-0.801
530.000000	-0.753
545.000000	-0.696
560.000000	-0.653
580.000000	-0.603
600.000000	-0.542
615.000000	-0.494
630.000000	-0.453
650.000000	-0.403
670.000000	-0.361
690.000000	-0.323
710.000000	-0.293
730.000000	-0.265
750.000000	-0.230
775.000000	-0.205
800.000000	-0.183
825.000000	-0.162
850.000000	-0.149
875.000000	-0.133
900.000000	-0.110
925.000000	-0.090
950.000000	-0.070
975.000000	-0.033
1000.000000	0.003
1030.000000	0.062
1060.000000	0.120
1090.000000	0.204
1120.000000	0.291
1150.000000	0.409
1180.000000	0.519
1220.000000	0.697
1250.000000	0.824
1280.000000	0.968
1320.000000	1.174
1360.000000	1.385
1400.000000	1.597
1450.000000	1.855
1500.000000	2.102
1550.000000	2.388
1600.000000	2.668
1650.000000	2.983
1700.000000	3.292
1750.000000	3.624
1800.000000	3.946
1850.000000	4.287
1900.000000	4.608
1950.000000	4.945
2000.000000	5.267
2060.000000	5.587
2120.000000	5.887
2180.000000	6.177
2240.000000	6.461
2300.000000	6.716
2360.000000	6.967
2430.000000	7.191
2500.000000	7.407
2580.000000	7.608
2650.000000	7.776
2720.000000	7.923
2800.000000	8.072
2900.000000	8.205
3000.000000	8.317
3070.000000	8.397
3150.000000	8.486
3250.000000	8.536
3350.000000	8.577
3450.000000	8.574
3550.000000	8.567
3650.000000	8.505
3750.000000	8.440
3870.000000	8.314
4000.000000	8.188
4120.000000	8.018
4250.000000	7.837
4370.000000	7.624
4500.000000	7.396
4620.000000	7.173
4750.000000	6.931
4870.000000	6.698
5000.000000	6.449
5150.000000	6.219
5300.000000	5.990
5450.000000	5.771
5600.000000	5.562
5800.000000	5.341
6000.000000	5.123
6150.000000	4.907
6300.000000	4.690
6500.000000	4.449
6700.000000	4.205
6900.000000	3.935
7100.000000	3.677
7300.000000	3.378
7500.000000	3.078
7750.000000	2.746
8000.000000	2.425
8250.000000	2.074
8500.000000	1.742
8750.000000	1.362
9000.000000	1.003
9250.000000	0.591
9500.000000	0.197
9750.000000	-0.253
10000.000000	-0.695
10300.000000	-1.200
10600.000000	-1.693
10900.000000	-2.234
11200.000000	-2.772
11500.000000	-3.347
11800.000000	-3.907
12200.000000	-4.553
12500.000000	-5.017
12800.000000	-5.470
13200.000000	-6.055
13600.000000	-6.534
14000.000000	-6.998
14500.000000	-7.486
15000.000000	-7.961
15500.000000	-8.555
16000.000000	-9.151
16500.000000	-10.037
17000.000000	-10.924
17500.000000	-12.294
18000.000000	-13.686
18500.000000	-15.679
19000.000000	-17.697
19500.000000	-20.447

