Freq(Hz)	SPL(dB)
20	59.828
21	59.828
22	59.828
23	59.828
24	59.828
25	59.828
26	59.828
27	59.828
28	59.828
29	59.828
30	59.828
31	59.828
32	59.828
33	59.828
34	59.828
35	59.828
36	59.828
37	59.828
38	59.828
39	59.828
40	59.828
41	59.828
42	59.828
43	59.828
44	59.828
45	59.828
46	59.828
47	59.828
48	59.828
49	59.828
50	59.828
51	59.828
52	59.828
53	59.828
54	59.828
55	59.828
56	59.828
57	59.828
58	59.828
59	59.828
60	59.828
61	59.828
62	59.828
63	59.828
64	59.828
65	59.828
66	59.828
67	59.828
68	59.828
69	59.828
70	59.828
71	59.828
72	59.828
73	59.828
74	59.828
75	59.828
76	59.828
77	59.828
78	59.828
79	59.828
80	59.828
81	59.828
82	59.828
83	59.828
84	59.828
85	59.828
86	59.828
87	59.828
88	59.828
89	59.828
90	59.828
91	59.828
92	59.828
93	59.828
94	59.828
95	59.828
96	59.828
97	59.828
98	59.828
99	59.828
100	59.828
101	59.828
102	59.828
103	59.828
104	59.828
105	59.828
106	59.828
107	59.828
108	59.828
109	59.828
110	59.828
111	59.828
112	59.828
113	59.828
114	59.828
115	59.828
116	59.828
117	59.828
118	59.828
119	59.828
120	59.828
121	59.828
122	59.828
123	59.828
124	59.828
125	59.828
126	59.828
127	59.828
128	59.828
129	59.828
130	59.828
131	59.828
132	59.828
133	59.828
134	59.828
135	59.828
136	59.828
137	59.828
138	59.828
139	59.828
140	59.828
141	59.828
142	59.828
143	59.828
144	59.828
145	59.828
146	59.828
147	59.828
148	59.828
149	59.828
150	59.828
151	59.828
152	59.828
153	59.828
154	59.828
155	59.828
156	59.828
157	59.828
158	59.828
159	59.828
160	59.828
161	59.828
162	59.828
163	59.828
164	59.828
165	59.828
166	59.828
167	59.828
168	59.828
169	59.828
170	59.828
171	59.828
172	59.828
173	59.828
174	59.828
175	59.828
176	59.828
177	59.828
178	59.828
179	59.828
180	59.828
181	59.828
182	59.828
183	59.828
184	59.828
185	59.828
186	59.828
187	59.828
188	59.828
189	59.828
190	59.828
191	59.828
192	59.828
193	59.828
194	59.828
195	59.828
196	59.828
197	59.828
198	59.828
199	59.828
200	59.828
201	59.828
202	59.828
203	59.828
204	59.828
205	59.828
206	59.828
207	59.828
208	59.828
209	59.828
210	59.828
211	59.828
212	59.828
213	59.828
214	59.828
215	59.828
216	59.828
217	59.828
218	59.828
219	59.828
220	59.828
221	59.828
222	59.828
223	59.828
224	59.828
225	59.828
226	59.828
227	59.828
228	59.828
229	59.828
230	59.828
231	59.828
232	59.828
233	59.828
234	59.828
235	59.828
236	59.828
237	59.828
238	59.828
239	59.828
240	59.828
241	59.828
242	59.828
243	59.828
244	59.828
245	59.828
246	59.828
247	59.828
248	59.828
249	59.828
250	59.828
251	59.828
252	59.828
253	59.828
254	59.828
255	59.828
256	59.828
257	59.828
258	59.828
259	59.828
260	59.828
261	59.828
262	59.828
263	59.828
264	59.828
265	59.828
266	59.828
267	59.828
268	59.828
269	59.828
270	59.828
271	59.828
272	59.828
273	59.828
274	59.828
275	59.828
276	59.828
277	59.828
278	59.828
279	59.828
280	59.828
281	59.828
282	59.828
283	59.828
284	59.828
285	59.828
286	59.828
287	59.828
288	59.828
289	59.828
290	59.828
291	59.828
292	59.828
293	59.828
294	59.828
295	59.828
296	59.828
297	59.828
298	59.828
299	59.828
300	59.828
301	59.828
302	59.828
303	59.828
304	59.828
305	59.828
306	59.828
307	59.828
308	59.828
309	59.828
310	59.828
311	59.828
312	59.828
313	59.828
314	59.828
315	59.828
316	59.828
317	59.828
318	59.828
319	59.828
320	59.828
321	59.828
322	59.828
323	59.828
324	59.828
325	59.828
326	59.828
327	59.828
328	59.828
329	59.828
330	59.828
331	59.828
332	59.828
333	59.828
334	59.828
335	59.828
336	59.828
337	59.828
338	59.828
339	59.828
340	59.828
341	59.828
342	59.828
343	59.828
344	59.828
345	59.828
346	59.828
347	59.828
348	59.828
349	59.828
350	59.828
351	59.828
352	59.828
353	59.828
354	59.828
355	59.828
356	59.828
357	59.828
358	59.828
359	59.828
360	59.828
361	59.828
362	59.828
363	59.828
364	59.828
365	59.828
366	59.828
367	59.828
368	59.828
369	59.828
370	59.828
371	59.828
372	59.828
373	59.828
374	59.828
375	59.828
376	59.828
