* Measurement data measured by REW V5.20.9
* Format: Comma/Tab/Space delimited data
* Dated: 27.12.2022 18:42:50
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Measurement: Harman 2018
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
19.999107	63.927	0.0000
20.144030	63.938	0.0000
20.290001	63.953	0.0000
20.437031	63.970	0.0000
20.585127	63.989	0.0000
20.734295	64.007	0.0000
20.884544	64.025	0.0000
21.035883	64.041	0.0000
21.188318	64.055	0.0000
21.341858	64.064	0.0000
21.496510	64.071	0.0000
21.652283	64.076	0.0000
21.809185	64.081	0.0000
21.967224	64.087	0.0000
22.126408	64.092	0.0000
22.286745	64.097	0.0000
22.448244	64.100	0.0000
22.610914	64.099	0.0000
22.774763	64.097	0.0000
22.939798	64.096	0.0000
23.106030	64.094	0.0000
23.273466	64.092	0.0000
23.442116	64.091	0.0000
23.611986	64.090	0.0000
23.783089	64.089	0.0000
23.955431	64.088	0.0000
24.129023	64.086	0.0000
24.303871	64.085	0.0000
24.479986	64.084	0.0000
24.657379	64.083	0.0000
24.836056	64.081	0.0000
25.016027	64.080	0.0000
25.197304	64.079	0.0000
25.379894	64.078	0.0000
25.563807	64.076	0.0000
25.749052	64.075	0.0000
25.935640	64.074	0.0000
26.123581	64.073	0.0000
26.312883	64.071	0.0000
26.503557	64.069	0.0000
26.695612	64.067	0.0000
26.889059	64.065	0.0000
27.083908	64.062	0.0000
27.280169	64.060	0.0000
27.477852	64.057	0.0000
27.676968	64.054	0.0000
27.877527	64.051	0.0000
28.079538	64.049	0.0000
28.283014	64.046	0.0000
28.487965	64.043	0.0000
28.694401	64.039	0.0000
28.902332	64.036	0.0000
29.111771	64.033	0.0000
29.322727	64.030	0.0000
29.535212	64.027	0.0000
29.749235	64.024	0.0000
29.964811	64.020	0.0000
30.181950	64.015	0.0000
30.400660	64.009	0.0000
30.620955	64.003	0.0000
30.842846	63.997	0.0000
31.066345	63.991	0.0000
31.291464	63.985	0.0000
31.518215	63.980	0.0000
31.746609	63.975	0.0000
31.976658	63.970	0.0000
32.208374	63.965	0.0000
32.441769	63.960	0.0000
32.676853	63.956	0.0000
32.913643	63.952	0.0000
33.152149	63.947	0.0000
33.392384	63.941	0.0000
33.634357	63.935	0.0000
33.878086	63.928	0.0000
34.123581	63.921	0.0000
34.370853	63.914	0.0000
34.619919	63.906	0.0000
34.870789	63.898	0.0000
35.123478	63.891	0.0000
35.377998	63.884	0.0000
35.634361	63.877	0.0000
35.892582	63.870	0.0000
36.152676	63.863	0.0000
36.414654	63.856	0.0000
36.678528	63.850	0.0000
36.944317	63.844	0.0000
37.212032	63.837	0.0000
37.481686	63.830	0.0000
37.753292	63.823	0.0000
38.026867	63.815	0.0000
38.302425	63.807	0.0000
38.579979	63.799	0.0000
38.859547	63.791	0.0000
39.141140	63.784	0.0000
39.424774	63.776	0.0000
39.710461	63.768	0.0000
39.998219	63.760	0.0000
40.288063	63.752	0.0000
40.580006	63.743	0.0000
40.874065	63.735	0.0000
41.170258	63.727	0.0000
41.468594	63.719	0.0000
41.769093	63.710	0.0000
42.071770	63.702	0.0000
42.376640	63.694	0.0000
42.683720	63.684	0.0000
42.993023	63.672	0.0000
43.304569	63.661	0.0000
43.618374	63.649	0.0000
43.934452	63.638	0.0000
44.252819	63.626	0.0000
44.573494	63.615	0.0000
44.896492	63.603	0.0000
45.221832	63.591	0.0000
45.549530	63.578	0.0000
45.879601	63.565	0.0000
46.212063	63.551	0.0000
46.546936	63.538	0.0000
46.884235	63.524	0.0000
47.223976	63.510	0.0000
47.566181	63.496	0.0000
47.910866	63.480	0.0000
48.258049	63.463	0.0000
48.607746	63.446	0.0000
48.959976	63.429	0.0000
49.314762	63.412	0.0000
49.672115	63.395	0.0000
50.032059	63.378	0.0000
50.394611	63.362	0.0000
50.759792	63.346	0.0000
51.127617	63.330	0.0000
51.498108	63.314	0.0000
51.871284	63.298	0.0000
52.247166	63.282	0.0000
52.625771	63.266	0.0000
53.007118	63.249	0.0000
53.391232	63.231	0.0000
53.778126	63.213	0.0000
54.167824	63.194	0.0000
54.560345	63.176	0.0000
54.955711	63.158	0.0000
55.353943	63.139	0.0000
55.755062	63.121	0.0000
56.159088	63.104	0.0000
56.566040	63.088	0.0000
56.975941	63.073	0.0000
57.388813	63.057	0.0000
57.804676	63.041	0.0000
58.223553	63.025	0.0000
58.645466	63.010	0.0000
59.070435	62.994	0.0000
59.498482	62.978	0.0000
59.929634	62.960	0.0000
60.363911	62.940	0.0000
60.801331	62.917	0.0000
61.241920	62.893	0.0000
61.685703	62.869	0.0000
62.132702	62.845	0.0000
62.582939	62.822	0.0000
63.036442	62.800	0.0000
63.493229	62.778	0.0000
63.953327	62.758	0.0000
64.416756	62.738	0.0000
64.883545	62.719	0.0000
65.353722	62.699	0.0000
65.827301	62.679	0.0000
66.304314	62.659	0.0000
66.784782	62.639	0.0000
67.268730	62.618	0.0000
67.756187	62.596	0.0000
68.247177	62.573	0.0000
68.741722	62.551	0.0000
69.239853	62.528	0.0000
69.741592	62.506	0.0000
70.246971	62.483	0.0000
70.756012	62.460	0.0000
71.268738	62.437	0.0000
71.785179	62.412	0.0000
72.305367	62.387	0.0000
72.829323	62.362	0.0000
73.357071	62.337	0.0000
73.888649	62.312	0.0000
74.424080	62.286	0.0000
74.963387	62.262	0.0000
75.506599	62.238	0.0000
76.053749	62.215	0.0000
76.604866	62.191	0.0000
77.159973	62.168	0.0000
77.719109	62.144	0.0000
78.282295	62.121	0.0000
78.849564	62.097	0.0000
79.420937	62.073	0.0000
79.996452	62.049	0.0000
80.576141	62.024	0.0000
81.160027	61.998	0.0000
81.748146	61.972	0.0000
82.340530	61.945	0.0000
82.937202	61.919	0.0000
83.538200	61.893	0.0000
84.143555	61.867	0.0000
84.753296	61.840	0.0000
85.367455	61.813	0.0000
85.986061	61.784	0.0000
86.609154	61.755	0.0000
87.236763	61.725	0.0000
87.868919	61.696	0.0000
88.505653	61.667	0.0000
89.147003	61.639	0.0000
89.792999	61.609	0.0000
90.443680	61.578	0.0000
91.099075	61.546	0.0000
91.759216	61.514	0.0000
92.424141	61.482	0.0000
93.093887	61.450	0.0000
93.768486	61.418	0.0000
94.447968	61.386	0.0000
95.132378	61.353	0.0000
95.821747	61.319	0.0000
96.516113	61.283	0.0000
97.215508	61.248	0.0000
97.919968	61.212	0.0000
98.629539	61.177	0.0000
99.344254	61.142	0.0000
100.064140	61.107	0.0000
100.789246	61.072	0.0000
101.519608	61.038	0.0000
