Freq(Hz)	SPL(dB)
20	83.193
21	83.333
22	83.532
23	83.748
24	83.979
25	84.117
26	84.429
27	84.517
28	84.696
29	84.887
30	85.019
31	85.241
32	85.091
33	85.195
34	85.592
35	85.518
36	85.694
37	86.157
38	85.999
39	86.023
40	86.17
41	86.147
42	86.227
43	86.243
44	86.31
45	86.386
46	86.339
47	86.413
48	86.615
49	86.63
50	86.543
51	86.71
52	86.917
53	86.814
54	86.866
55	86.926
56	86.916
57	86.983
58	87.099
59	87.109
60	87.149
61	87.192
62	87.176
63	87.166
64	87.188
65	87.209
66	87.232
67	87.213
68	87.258
69	87.328
70	87.309
71	87.332
72	87.354
73	87.379
74	87.436
75	87.413
76	87.412
77	87.421
78	87.418
79	87.373
80	87.392
81	87.431
82	87.51
83	87.514
84	87.465
85	87.463
86	87.485
87	87.516
88	87.491
89	87.487
90	87.518
91	87.564
92	87.6
93	87.608
94	87.592
95	87.612
96	87.666
97	87.638
98	87.613
99	87.669
100	87.647
101	87.631
102	87.69
103	87.689
104	87.674
105	87.679
106	87.685
107	87.675
108	87.666
109	87.653
110	87.68
111	87.686
112	87.646
113	87.648
114	87.645
115	87.662
116	87.684
117	87.643
118	87.642
119	87.671
120	87.644
121	87.604
122	87.606
123	87.621
124	87.635
125	87.635
126	87.646
127	87.662
128	87.702
129	87.733
130	87.737
131	87.773
132	87.786
133	87.771
134	87.758
135	87.78
136	87.808
137	87.828
138	87.841
139	87.865
140	87.864
141	87.782
142	87.834
143	87.828
144	87.768
145	87.772
146	87.722
147	87.717
148	87.736
149	87.703
150	87.693
151	87.694
152	87.67
153	87.633
154	87.605
155	87.574
156	87.523
157	87.422
158	87.364
159	87.393
160	87.371
161	87.292
162	87.242
163	87.197
164	87.136
165	87.092
166	87.041
167	86.99
168	86.957
169	86.91
170	86.893
171	86.882
172	86.848
173	86.786
174	86.806
175	86.817
176	86.797
177	86.837
178	86.823
179	86.815
180	86.853
181	86.876
182	86.926
183	86.95
184	86.998
185	87.001
186	87.014
187	87.109
188	87.135
189	87.114
190	87.151
191	87.208
192	87.25
193	87.294
194	87.356
195	87.382
196	87.38
197	87.434
198	87.464
199	87.495
200	87.507
201	87.514
202	87.533
203	87.549
204	87.561
205	87.56
206	87.61
207	87.626
208	87.631
209	87.679
210	87.741
211	87.748
212	87.756
213	87.803
214	87.824
215	87.834
216	87.841
217	87.841
218	87.847
219	87.874
220	87.869
221	87.88
222	87.883
223	87.886
224	87.906
225	87.908
226	87.911
227	87.938
228	87.967
229	87.951
230	87.971
231	88.009
232	87.974
233	87.983
234	88.016
235	88.004
236	88.028
237	88.034
238	88.021
239	88.068
240	88.084
241	88.081
242	88.087
243	88.08
244	88.081
245	88.089
246	88.07
247	88.095
248	88.108
249	88.1
250	88.115
251	88.122
252	88.134
253	88.136
254	88.135
255	88.145
256	88.137
257	88.132
258	88.144
259	88.144
260	88.14
261	88.118
262	88.143
263	88.144
264	88.116
265	88.107
266	88.109
267	88.09
268	88.041
269	88.04
270	87.997
271	87.975
272	87.955
273	87.94
274	87.952
275	87.933
276	87.937
277	87.919
278	87.923
279	87.914
280	87.92
281	87.93
282	87.929
283	87.948
284	87.967
285	87.977
286	87.979
287	88.003
288	88.023
289	88.021
290	88.055
291	88.066
292	88.05
293	88.089
294	88.109
295	88.114
296	88.124
297	88.119
298	88.153
299	88.157
300	88.156
301	88.184
302	88.175
303	88.202
304	88.211
305	88.205
306	88.238
307	88.232
308	88.23
309	88.229
310	88.235
311	88.255
312	88.256
313	88.272
314	88.238
315	88.241
316	88.281
317	88.242
318	88.23
319	88.238
320	88.238
321	88.197
322	88.201
323	88.246
324	88.192
325	88.187
326	88.207
327	88.191
328	88.168
329	88.15
330	88.145
331	88.121
332	88.107
333	88.115
334	88.132
335	88.132
336	88.147
337	88.156
338	88.143
339	88.152
340	88.129
341	88.122
342	88.144
343	88.141
344	88.128
345	88.108
346	88.093
347	88.082
348	88.085
349	88.085
350	88.085
351	88.059
352	88.023
353	88.006
354	88.015
355	88.012
356	88.023
357	88.033
358	88.03
359	88.025
360	88.01
361	88.003
362	87.997
363	88.026
364	88.031
365	87.975
366	87.999
367	88.007
368	87.994
369	87.995
370	87.992
371	87.988
372	88.011
373	87.994
374	87.956
375	87.943
376	87.958
377	87.964
378	87.966
379	87.975
380	87.984
381	87.976
382	87.997
383	87.999
384	87.986
385	87.992
386	87.974
387	87.982
388	87.963
389	87.939
390	87.917
391	87.882
392	87.886
393	87.885
394	87.852
395	87.838
396	87.802
397	87.754
398	87.712
399	87.677
400	87.659
401	87.602
402	87.587
403	87.556
404	87.554
405	87.551
406	87.504
407	87.51
408	87.519
409	87.508
410	87.513
411	87.536
412	87.567
413	87.555
414	87.565
415	87.599
416	87.591
417	87.632
418	87.69
419	87.632
420	87.623
421	87.68
422	87.685
423	87.695
424	87.695
425	87.727
426	87.712
427	87.697
428	87.687
429	87.694
430	87.714
431	87.75
432	87.724
433	87.685
434	87.717
435	87.691
436	87.701
437	87.74
438	87.728
439	87.76
440	87.757
441	87.744
442	87.728
443	87.735
444	87.784
445	87.769
446	87.744
447	87.742
448	87.762
449	87.78
450	87.753
451	87.737
452	87.744
453	87.77
454	87.723
455	87.754
456	87.761
457	87.75
458	87.785
459	87.749
460	87.778
461	87.773
462	87.769
463	87.78
464	87.767
465	87.795
466	87.771
467	87.779
468	87.806
469	87.791
470	87.799
471	87.786
472	87.8
473	87.787
474	87.769
