Freq(Hz)	SPL(dB)
20	80.987
21	81.109
22	81.387
23	81.735
24	81.885
25	82.031
26	82.227
27	82.485
28	82.676
29	82.872
30	83.137
31	83.187
32	83.343
33	83.418
34	83.625
35	83.703
36	83.744
37	84.015
38	84.179
39	84.217
40	84.269
41	84.404
42	84.535
43	84.694
44	84.659
45	84.683
46	84.838
47	84.742
48	84.642
49	84.829
50	85.039
51	85.102
52	85.145
53	85.196
54	85.259
55	85.349
56	85.47
57	85.471
58	85.508
59	85.491
60	85.55
61	85.738
62	85.628
63	85.596
64	85.825
65	85.829
66	85.801
67	85.815
68	85.901
69	85.928
70	85.996
71	86.022
72	85.992
73	86.026
74	86.063
75	86.075
76	86.103
77	86.122
78	86.153
79	86.209
80	86.231
81	86.191
82	86.204
83	86.255
84	86.245
85	86.265
86	86.297
87	86.316
88	86.33
89	86.363
90	86.404
91	86.431
92	86.44
93	86.471
94	86.485
95	86.46
96	86.456
97	86.524
98	86.533
99	86.514
100	86.557
101	86.567
102	86.569
103	86.601
104	86.621
105	86.627
106	86.646
107	86.638
108	86.642
109	86.644
110	86.65
111	86.675
112	86.679
113	86.677
114	86.699
115	86.714
116	86.74
117	86.746
118	86.735
119	86.75
120	86.768
121	86.79
122	86.816
123	86.874
124	86.855
125	86.842
126	86.864
127	86.866
128	86.863
129	86.869
130	86.854
131	86.808
132	86.844
133	86.854
134	86.849
135	86.825
136	86.838
137	86.826
138	86.822
139	86.835
140	86.811
141	86.857
142	86.756
143	86.764
144	86.794
145	86.613
146	86.666
147	86.738
148	86.706
149	86.7
150	86.671
151	86.681
152	86.621
153	86.606
154	86.597
155	86.469
156	86.4
157	86.486
158	86.345
159	86.201
160	86.266
161	86.266
162	86.096
163	86.085
164	86.076
165	86.006
166	85.988
167	85.978
168	85.923
169	85.902
170	85.878
171	85.861
172	85.852
173	85.865
174	85.887
175	85.884
176	85.93
177	85.977
178	85.987
179	86.003
180	86.078
181	86.081
182	86.089
183	86.148
184	86.125
185	86.152
186	86.231
187	86.24
188	86.281
189	86.354
190	86.401
191	86.419
192	86.447
193	86.527
194	86.541
195	86.581
196	86.598
197	86.584
198	86.651
199	86.651
200	86.679
201	86.803
202	86.814
203	86.836
204	86.909
205	86.988
206	87.011
207	86.993
208	86.941
209	86.984
210	87.027
211	86.97
212	86.995
213	87.047
214	87.061
215	87.145
216	87.163
217	87.191
218	87.229
219	87.197
220	87.187
221	87.226
222	87.217
223	87.24
224	87.263
225	87.296
226	87.34
227	87.374
228	87.372
229	87.358
230	87.338
231	87.318
232	87.387
233	87.384
234	87.309
235	87.372
236	87.384
237	87.4
238	87.432
239	87.428
240	87.441
241	87.418
242	87.426
243	87.422
244	87.417
245	87.436
246	87.426
247	87.454
248	87.46
249	87.443
250	87.463
251	87.464
252	87.451
253	87.456
254	87.436
255	87.474
256	87.491
257	87.445
258	87.476
259	87.472
260	87.497
261	87.475
262	87.482
263	87.519
264	87.544
265	87.508
266	87.503
267	87.523
268	87.539
269	87.525
270	87.51
271	87.491
272	87.481
273	87.477
274	87.472
275	87.512
276	87.488
277	87.594
278	87.582
279	87.534
280	87.662
281	87.605
282	87.581
283	87.646
284	87.638
285	87.651
286	87.602
287	87.672
288	87.72
289	87.646
290	87.602
291	87.725
292	87.646
293	87.69
294	87.853
295	87.565
296	87.598
297	87.792
298	87.812
299	87.776
300	87.742
301	87.767
302	87.725
303	87.777
304	87.833
305	87.793
306	87.754
307	87.738
308	87.754
309	87.837
310	87.826
311	87.777
312	87.758
313	87.936
314	88.003
315	87.962
316	88.01
317	88.024
318	87.992
319	87.931
320	87.866
321	87.869
322	87.867
323	87.871
324	87.84
325	87.825
326	87.887
327	87.977
328	87.97
329	87.938
330	87.913
331	87.89
332	87.926
333	87.936
334	87.906
335	87.947
336	87.948
337	87.912
338	87.919
339	87.904
340	87.878
341	87.87
342	87.861
343	87.835
344	87.832
345	87.877
346	87.859
347	87.828
348	87.853
349	87.846
350	87.82
351	87.839
352	87.828
353	87.801
354	87.783
355	87.73
356	87.736
357	87.779
358	87.742
359	87.781
360	87.842
361	87.871
362	87.868
363	87.86
364	87.933
365	87.898
366	87.864
367	87.844
368	87.814
369	87.813
370	87.793
371	87.772
372	87.809
373	87.798
374	87.76
375	87.831
376	87.839
377	87.827
378	87.807
379	87.77
380	87.816
381	87.729
382	87.74
383	87.79
384	87.755
385	87.736
386	87.725
387	87.766
388	87.753
389	87.744
390	87.719
391	87.681
392	87.681
393	87.692
394	87.664
395	87.517
396	87.47
397	87.513
398	87.476
399	87.347
400	87.278
401	87.244
402	87.298
403	87.302
404	87.262
405	87.294
406	87.288
407	87.296
408	87.317
409	87.304
410	87.362
411	87.393
412	87.378
413	87.396
414	87.44
415	87.474
416	87.54
417	87.58
418	87.614
419	87.605
420	87.597
421	87.552
422	87.565
423	87.653
424	87.635
425	87.616
426	87.597
427	87.541
428	87.513
429	87.583
430	87.64
431	87.68
432	87.684
433	87.681
434	87.674
435	87.685
436	87.685
437	87.674
438	87.646
439	87.614
440	87.627
441	87.648
442	87.683
443	87.634
444	87.626
445	87.652
446	87.657
447	87.668
448	87.668
449	87.671
450	87.618
451	87.578
452	87.621
453	87.627
454	87.573
455	87.604
456	87.616
457	87.627
458	87.625
459	87.601
460	87.585
461	87.572
462	87.549
463	87.526
464	87.561
465	87.535
466	87.513
467	87.547
468	87.524
469	87.518
470	87.57
471	87.578
472	87.57
473	87.548
474	87.569
475	87.59
476	87.583
477	87.626
478	87.592
479	87.589
480	87.649
481	87.61
482	87.64
483	87.65
484	87.621
485	87.649
486	87.642
487	87.609
488	87.625
489	87.668
490	87.631
491	87.635
492	87.672
493	87.658
494	87.683
495	87.668
496	87.647
