Freq(Hz)	SPL(dB)
20	80.459
21	80.647
22	80.74
23	80.547
24	80.602
25	80.742
26	81.558
27	82.39
28	82.597
29	82.754
30	83.177
31	83.383
32	83.293
33	83.097
34	82.917
35	82.704
36	82.595
37	82.725
38	82.885
39	83.032
40	83.065
41	83.043
42	83.037
43	82.982
44	82.985
45	82.945
46	83.02
47	83.01
48	83.002
49	83.133
50	82.981
51	82.966
52	82.949
53	82.859
54	82.804
55	82.739
56	82.689
57	82.615
58	82.576
59	82.55
60	82.529
61	82.503
62	82.477
63	82.433
64	82.387
65	82.333
66	82.307
67	82.28
68	82.254
69	82.232
70	82.216
71	82.189
72	82.152
73	82.133
74	82.11
75	82.094
76	82.092
77	82.078
78	82.072
79	82.075
80	82.078
81	82.094
82	82.119
83	82.145
84	82.167
85	82.168
86	82.175
87	82.164
88	82.147
89	82.142
90	82.117
91	82.085
92	82.078
93	82.053
94	82.029
95	81.998
96	81.978
97	81.948
98	81.914
99	81.903
100	81.888
101	81.866
102	81.851
103	81.842
104	81.826
105	81.807
106	81.786
107	81.776
108	81.76
109	81.741
110	81.732
111	81.72
112	81.717
113	81.703
114	81.687
115	81.674
116	81.656
117	81.64
118	81.63
119	81.634
120	81.631
121	81.595
122	81.59
123	81.607
124	81.562
125	81.542
126	81.552
127	81.539
128	81.549
129	81.539
130	81.516
131	81.515
132	81.49
133	81.482
134	81.484
135	81.478
136	81.47
137	81.465
138	81.457
139	81.449
140	81.447
141	81.428
142	81.42
143	81.419
144	81.413
145	81.404
146	81.395
147	81.389
148	81.389
149	81.384
150	81.379
151	81.38
152	81.369
153	81.366
154	81.36
155	81.355
156	81.339
157	81.347
158	81.361
159	81.346
160	81.346
161	81.349
162	81.341
163	81.34
164	81.349
165	81.331
166	81.329
167	81.341
168	81.309
169	81.321
170	81.32
171	81.296
172	81.296
173	81.285
174	81.282
175	81.279
176	81.281
177	81.278
178	81.28
179	81.277
180	81.257
181	81.25
182	81.253
183	81.268
184	81.25
185	81.253
186	81.261
187	81.253
188	81.25
189	81.242
190	81.241
191	81.242
192	81.237
193	81.229
194	81.239
195	81.232
196	81.234
197	81.23
198	81.209
199	81.225
200	81.223
201	81.21
202	81.207
203	81.203
204	81.207
205	81.196
206	81.184
207	81.191
208	81.177
209	81.172
210	81.186
211	81.162
212	81.167
213	81.176
214	81.171
215	81.17
216	81.142
217	81.139
218	81.132
219	81.143
220	81.142
221	81.121
222	81.123
223	81.121
224	81.124
225	81.127
226	81.116
227	81.105
228	81.089
229	81.09
230	81.1
231	81.098
232	81.082
233	81.073
234	81.086
235	81.074
236	81.07
237	81.068
238	81.066
239	81.051
240	81.038
241	81.033
242	81.027
243	81.018
244	81
245	80.999
246	81.002
247	80.987
248	80.995
249	80.98
250	80.953
251	80.967
252	80.955
253	80.96
254	80.98
255	80.965
256	80.958
257	80.932
258	80.912
259	80.901
260	80.895
261	80.898
262	80.884
263	80.885
264	80.871
265	80.856
266	80.857
267	80.848
268	80.837
269	80.842
270	80.85
271	80.832
272	80.824
273	80.814
274	80.797
275	80.816
276	80.812
277	80.795
278	80.794
279	80.802
280	80.813
281	80.813
282	80.8
283	80.793
284	80.79
285	80.787
286	80.799
287	80.793
288	80.793
289	80.788
290	80.78
291	80.791
292	80.796
293	80.788
294	80.782
295	80.773
296	80.783
297	80.802
298	80.795
299	80.809
300	80.805
301	80.786
302	80.783
303	80.794
304	80.795
305	80.785
306	80.78
307	80.779
308	80.791
309	80.783
310	80.783
311	80.786
312	80.789
313	80.789
314	80.777
315	80.778
316	80.787
317	80.79
318	80.791
319	80.796
320	80.797
321	80.799
322	80.799
323	80.804
324	80.802
325	80.808
326	80.815
327	80.81
328	80.808
329	80.798
330	80.803
331	80.814
332	80.795
333	80.807
334	80.812
335	80.801
336	80.809
337	80.804
338	80.815
339	80.828
340	80.839
341	80.83
342	80.831
343	80.839
344	80.841
345	80.859
346	80.851
347	80.858
348	80.857
349	80.85
350	80.869
351	80.851
352	80.842
353	80.867
354	80.875
355	80.879
356	80.882
357	80.881
358	80.891
359	80.894
360	80.893
361	80.887
362	80.893
363	80.918
364	80.912
365	80.89
366	80.896
367	80.893
368	80.909
369	80.914
370	80.905
371	80.911
372	80.928
373	80.934
374	80.935
375	80.932
376	80.938
377	80.949
378	80.949
379	80.959
380	80.96
381	80.94
382	80.924
383	80.938
384	80.965
385	80.964
386	80.957
387	80.959
388	80.969
389	80.972
390	80.971
391	80.959
392	80.963
393	80.975
394	80.984
395	80.984
396	80.989
397	81.002
398	81
399	80.998
400	81
401	80.997
402	81.003
403	81.003
404	80.994
405	80.996
406	80.997
407	80.989
408	80.979
409	80.972
410	80.977
411	80.963
412	80.951
413	80.952
414	80.928
415	80.922
416	80.932
417	80.933
418	80.933
419	80.929
420	80.927
421	80.947
422	80.945
423	80.937
424	80.948
425	80.953
426	80.955
427	80.952
428	80.954
429	80.967
430	80.967
431	80.959
432	80.969
433	80.969
434	80.959
435	80.961
436	80.97
437	80.976
438	80.973
439	80.977
440	80.989
441	80.992
442	80.984
443	80.985
444	80.989
445	80.977
446	80.972
447	80.96
448	80.959
449	80.966
450	80.961
451	80.962
452	80.957
453	80.957
454	80.95
455	80.935
456	80.937
457	80.928
458	80.915
459	80.904
460	80.892
461	80.887
462	80.887
463	80.884
464	80.872
465	80.88
466	80.871
467	80.856
468	80.854
469	80.843
470	80.828
471	80.826
472	80.819
473	80.807
474	80.807
475	80.79
476	80.772
477	80.766
478	80.757
479	80.741
480	80.721
481	80.712
482	80.693
483	80.667
484	80.656
485	80.632
486	80.623
487	80.617
488	80.61
489	80.59
490	80.575
491	80.572
492	80.541
493	80.534
494	80.53
495	80.51
496	80.494
497	80.485
498	80.476
499	80.46
500	80.436
501	80.426
502	80.42
503	80.385
504	80.381
505	80.363
506	80.353
507	80.341
508	80.317
509	80.314
510	80.306
511	80.304
512	80.305
513	80.287
514	80.285
515	80.285
516	80.275
517	80.28
518	80.297
519	80.296
520	80.291
521	80.3
522	80.306
523	80.308
524	80.328
525	80.333
526	80.328
527	80.348
528	80.361
529	80.369
530	80.377
531	80.391
532	80.41
533	80.41
534	80.416
535	80.445
536	80.456
537	80.474
538	80.483
539	80.496
540	80.513
541	80.521
542	80.547
543	80.56
544	80.596
545	80.632
546	80.66
547	80.686
548	80.707
549	80.706
550	80.726
551	80.763
552	80.771
553	80.794
554	80.818
555	80.839
556	80.856
557	80.877
558	80.905
559	80.93
560	80.944
561	80.952
562	80.981
563	81.006
564	81.015
565	81.05
566	81.088
567	81.094
568	81.123
569	81.143
570	81.153
571	81.163
572	81.17
573	81.175
574	81.196
575	81.213
576	81.216
577	81.225
578	81.242
579	81.257
580	81.271
581	81.284
582	81.299
583	81.324
584	81.345
585	81.368
586	81.388
587	81.424
588	81.444
589	81.453
590	81.462
591	81.473
592	81.483
