Freq(Hz)	SPL(dB)
20	80.303
21	80.354
22	80.305
23	80.174
24	80.144
25	80.274
26	80.877
27	82.116
28	82.966
29	83.157
30	83.326
31	83.192
32	82.833
33	82.722
34	82.823
35	83.06
36	83.186
37	83.195
38	83.213
39	83.232
40	83.179
41	83.103
42	83.076
43	83.046
44	83.051
45	83.116
46	83.164
47	83.177
48	83.181
49	83.217
50	83.221
51	83.178
52	83.142
53	83.083
54	83.013
55	82.973
56	82.902
57	82.835
58	82.773
59	82.738
60	82.684
61	82.648
62	82.63
63	82.59
64	82.579
65	82.554
66	82.541
67	82.527
68	82.475
69	82.466
70	82.459
71	82.422
72	82.405
73	82.388
74	82.361
75	82.352
76	82.342
77	82.342
78	82.359
79	82.378
80	82.386
81	82.387
82	82.387
83	82.375
84	82.357
85	82.339
86	82.307
87	82.294
88	82.284
89	82.248
90	82.219
91	82.192
92	82.174
93	82.15
94	82.121
95	82.098
96	82.086
97	82.062
98	82.043
99	82.026
100	82.009
101	82
102	81.966
103	81.954
104	81.937
105	81.913
106	81.906
107	81.895
108	81.88
109	81.872
110	81.862
111	81.857
112	81.844
113	81.818
114	81.809
115	81.791
116	81.781
117	81.779
118	81.768
119	81.769
120	81.752
121	81.743
122	81.716
123	81.666
124	81.672
125	81.664
126	81.647
127	81.634
128	81.608
129	81.603
130	81.605
131	81.578
132	81.572
133	81.567
134	81.546
135	81.536
136	81.535
137	81.539
138	81.514
139	81.48
140	81.483
141	81.475
142	81.463
143	81.461
144	81.453
145	81.436
146	81.414
147	81.408
148	81.404
149	81.403
150	81.387
151	81.379
152	81.38
153	81.374
154	81.371
155	81.365
156	81.355
157	81.346
158	81.327
159	81.319
160	81.329
161	81.315
162	81.306
163	81.304
164	81.305
165	81.299
166	81.296
167	81.308
168	81.284
169	81.278
170	81.269
171	81.274
172	81.28
173	81.255
174	81.25
175	81.24
176	81.244
177	81.242
178	81.238
179	81.244
180	81.232
181	81.226
182	81.221
183	81.225
184	81.224
185	81.217
186	81.2
187	81.198
188	81.204
189	81.201
190	81.2
191	81.2
192	81.206
193	81.207
194	81.196
195	81.203
196	81.207
197	81.218
198	81.206
199	81.204
200	81.211
201	81.205
202	81.198
203	81.198
204	81.207
205	81.208
206	81.198
207	81.204
208	81.213
209	81.211
210	81.212
211	81.21
212	81.201
213	81.197
214	81.203
215	81.196
216	81.203
217	81.206
218	81.203
219	81.201
220	81.212
221	81.204
222	81.195
223	81.212
224	81.204
225	81.205
226	81.205
227	81.201
228	81.208
229	81.218
230	81.216
231	81.209
232	81.207
233	81.21
234	81.231
235	81.22
236	81.225
237	81.238
238	81.23
239	81.226
240	81.233
241	81.236
242	81.238
243	81.237
244	81.237
245	81.242
246	81.245
247	81.258
248	81.257
249	81.241
250	81.257
251	81.252
252	81.252
253	81.275
254	81.278
255	81.274
256	81.249
257	81.244
258	81.25
259	81.243
260	81.242
261	81.241
262	81.257
263	81.263
264	81.245
265	81.25
266	81.247
267	81.239
268	81.241
269	81.234
270	81.246
271	81.244
272	81.25
273	81.26
274	81.26
275	81.268
276	81.261
277	81.265
278	81.244
279	81.244
280	81.263
281	81.247
282	81.236
283	81.241
284	81.26
285	81.257
286	81.245
287	81.244
288	81.251
289	81.264
290	81.269
291	81.261
292	81.265
293	81.27
294	81.265
295	81.281
296	81.282
297	81.273
298	81.283
299	81.279
300	81.273
301	81.279
302	81.297
303	81.282
304	81.283
305	81.304
306	81.29
307	81.29
308	81.29
309	81.293
310	81.299
311	81.293
312	81.296
313	81.283
314	81.275
315	81.287
316	81.303
317	81.288
318	81.286
319	81.303
320	81.306
321	81.294
322	81.296
323	81.314
324	81.305
325	81.314
326	81.324
327	81.314
328	81.31
329	81.321
330	81.319
331	81.311
332	81.314
333	81.313
334	81.315
335	81.32
336	81.326
337	81.325
338	81.317
339	81.321
340	81.337
341	81.343
342	81.312
343	81.315
344	81.344
345	81.343
346	81.333
347	81.341
348	81.342
349	81.331
350	81.346
351	81.351
352	81.342
353	81.333
354	81.336
355	81.344
356	81.343
357	81.344
358	81.333
359	81.333
360	81.333
361	81.328
362	81.345
363	81.344
364	81.34
365	81.351
366	81.361
367	81.352
368	81.332
369	81.343
370	81.347
371	81.35
372	81.372
373	81.361
374	81.358
375	81.362
376	81.346
377	81.353
378	81.359
379	81.35
380	81.333
381	81.352
382	81.354
383	81.344
384	81.36
385	81.364
386	81.356
387	81.352
388	81.352
389	81.344
390	81.35
391	81.347
392	81.347
393	81.359
394	81.352
395	81.361
396	81.368
397	81.363
398	81.355
399	81.359
400	81.361
401	81.342
402	81.339
403	81.334
404	81.328
405	81.322
406	81.312
407	81.308
408	81.305
409	81.304
410	81.302
411	81.301
412	81.3
413	81.301
414	81.303
415	81.313
416	81.335
417	81.328
418	81.337
419	81.348
420	81.356
421	81.364
422	81.369
423	81.375
424	81.377
425	81.38
426	81.377
427	81.379
428	81.387
429	81.39
430	81.39
431	81.395
432	81.407
433	81.411
434	81.415
435	81.416
436	81.423
437	81.433
438	81.442
439	81.452
440	81.447
441	81.45
442	81.463
443	81.448
444	81.455
445	81.459
446	81.457
447	81.464
448	81.456
449	81.46
450	81.46
451	81.462
452	81.476
453	81.487
454	81.488
455	81.492
456	81.497
457	81.494
458	81.508
459	81.515
460	81.503
461	81.502
462	81.501
463	81.494
464	81.488
465	81.484
466	81.486
467	81.479
468	81.463
469	81.463
470	81.471
471	81.477
472	81.483
473	81.484
474	81.496
475	81.495
476	81.491
477	81.501
478	81.505
479	81.506
480	81.5
481	81.52
482	81.509
483	81.496
484	81.515
485	81.511
486	81.506
487	81.503
488	81.507
489	81.504
490	81.494
491	81.487
492	81.473
493	81.471
494	81.468
495	81.465
496	81.469
497	81.471
498	81.476
499	81.464
500	81.458
501	81.465
502	81.463
503	81.442
504	81.437
505	81.443
506	81.442
507	81.438
508	81.438
509	81.432
510	81.436
511	81.432
512	81.427
513	81.424
514	81.41
515	81.412
516	81.401
517	81.383
518	81.38
519	81.375
520	81.37
521	81.374
522	81.354
523	81.344
524	81.349
525	81.342
526	81.335
527	81.331
528	81.329
529	81.317
530	81.309
531	81.299
532	81.29
533	81.285
534	81.275
535	81.255
536	81.246
537	81.241
538	81.22
539	81.192
540	81.171
541	81.163
542	81.157
543	81.143
544	81.142
545	81.145
546	81.129
547	81.114
548	81.11
549	81.086
550	81.059
551	81.045
552	81.036
553	81.025
554	80.995
555	80.989
556	80.976
557	80.962
558	80.972
559	80.947
560	80.943
561	80.939
562	80.919
563	80.916
564	80.897
565	80.891
566	80.878
567	80.868
568	80.863
569	80.858
570	80.875
571	80.865
572	80.868
573	80.883
574	80.856
575	80.866
576	80.86
577	80.849
578	80.865
579	80.865
580	80.875
581	80.88
582	80.879
583	80.891
584	80.886
585	80.889
586	80.897
587	80.901
588	80.914
589	80.923
590	80.927
591	80.952
592	80.969
593	80.966
594	80.983
595	81.004
596	81.018
597	81.033
598	81.059
599	81.08
600	81.094
601	81.108
602	81.122
603	81.126
604	81.134
605	81.148
606	81.161
607	81.188
608	81.209
609	81.228
610	81.255
611	81.288
612	81.306
613	81.333
614	81.349
615	81.353
616	81.371
617	81.409
618	81.431
619	81.438
620	81.459
621	81.473
622	81.499
623	81.511
624	81.52
625	81.542
626	81.562
627	81.576
628	81.586
629	81.6
630	81.609
631	81.629
632	81.656
633	81.659
634	81.664
635	81.68
636	81.692
637	81.701
638	81.708
639	81.73
640	81.752
641	81.766
642	81.799
643	81.809
644	81.824
645	81.845
646	81.869
647	81.889
648	81.908
649	81.908
650	81.913
651	81.933
652	81.951
653	81.955
654	81.962
655	81.988
656	81.989
657	82.011
658	82.038
659	82.038
660	82.055
661	82.08
662	82.11
663	82.132
664	82.141
