Freq(Hz)	SPL(dB)
20	84.833
21	84.653
22	84.233
23	83.951
24	83.676
25	83.501
26	83.218
27	82.895
28	82.622
29	82.486
30	82.328
31	82.326
32	82.373
33	82.407
34	82.506
35	82.597
36	82.626
37	82.709
38	82.838
39	82.967
40	83.067
41	83.236
42	83.394
43	83.554
44	83.637
45	83.744
46	83.837
47	83.898
48	83.974
49	84.022
50	84.039
51	84.031
52	84.002
53	83.957
54	83.889
55	83.839
56	83.77
57	83.673
58	83.574
59	83.511
60	83.406
61	83.301
62	83.232
63	83.142
64	83.059
65	82.98
66	82.929
67	82.855
68	82.796
69	82.736
70	82.696
71	82.651
72	82.61
73	82.583
74	82.545
75	82.501
76	82.465
77	82.44
78	82.396
79	82.356
80	82.317
81	82.285
82	82.241
83	82.205
84	82.157
85	82.132
86	82.091
87	82.052
88	82.028
89	81.99
90	81.961
91	81.914
92	81.894
93	81.867
94	81.819
95	81.785
96	81.757
97	81.731
98	81.695
99	81.661
100	81.627
101	81.594
102	81.562
103	81.536
104	81.498
105	81.464
106	81.422
107	81.399
108	81.361
109	81.322
110	81.288
111	81.253
112	81.207
113	81.16
114	81.118
115	81.075
116	81.034
117	80.98
118	80.941
119	80.88
120	80.83
121	80.767
122	80.73
123	80.667
124	80.599
125	80.561
126	80.497
127	80.435
128	80.372
129	80.325
130	80.251
131	80.184
132	80.112
133	80.06
134	79.987
135	79.92
136	79.84
137	79.785
138	79.703
139	79.613
140	79.566
141	79.482
142	79.38
143	79.289
144	79.22
145	79.144
146	79.06
147	78.955
148	78.894
149	78.806
150	78.701
151	78.629
152	78.534
153	78.423
154	78.31
155	78.236
156	78.133
157	78.009
158	77.896
159	77.824
160	77.691
161	77.567
162	77.436
163	77.36
164	77.237
165	77.128
166	77.062
167	76.94
168	76.822
169	76.695
170	76.629
171	76.522
172	76.4
173	76.286
174	76.196
175	76.099
176	75.974
177	75.882
178	75.785
179	75.669
180	75.57
181	75.489
182	75.359
183	75.26
184	75.134
185	75.072
186	74.958
187	74.855
188	74.798
189	74.67
190	74.597
191	74.484
192	74.412
193	74.315
194	74.205
195	74.137
196	74.068
197	73.974
198	73.861
199	73.736
200	73.705
201	73.632
202	73.541
203	73.498
204	73.387
205	73.296
206	73.235
207	73.179
208	73.093
209	73.038
210	72.975
211	72.919
212	72.84
213	72.801
214	72.759
215	72.682
216	72.624
217	72.53
218	72.522
219	72.472
220	72.392
221	72.362
222	72.332
223	72.312
224	72.266
225	72.233
226	72.209
227	72.184
228	72.126
229	72.087
230	72.094
231	72.058
232	72.008
233	72.002
234	71.981
235	71.973
236	71.932
237	71.898
238	71.892
239	71.871
240	71.873
241	71.869
242	71.837
243	71.832
244	71.839
245	71.835
246	71.826
247	71.807
248	71.789
249	71.816
250	71.787
251	71.794
252	71.817
253	71.791
254	71.802
255	71.8
256	71.802
257	71.798
258	71.779
259	71.794
260	71.783
261	71.791
262	71.822
263	71.808
264	71.814
265	71.814
266	71.813
267	71.841
268	71.863
269	71.876
270	71.859
271	71.881
272	71.89
273	71.886
274	71.903
275	71.904
276	71.897
277	71.874
278	71.905
279	71.927
280	71.917
281	71.966
282	71.97
283	71.968
284	71.983
285	71.985
286	71.995
287	72.013
288	72.031
289	72.002
290	72.022
291	72.021
292	72.017
293	72.06
294	72.071
295	72.093
296	72.089
297	72.084
298	72.091
299	72.118
300	72.157
301	72.15
302	72.123
303	72.151
304	72.165
305	72.177
306	72.198
307	72.213
308	72.205
309	72.184
310	72.202
311	72.224
312	72.241
313	72.264
314	72.278
315	72.286
316	72.305
317	72.288
318	72.296
319	72.333
320	72.313
321	72.334
322	72.331
323	72.335
324	72.339
325	72.322
326	72.361
327	72.388
328	72.375
329	72.34
330	72.344
331	72.375
332	72.369
333	72.383
334	72.407
335	72.376
336	72.389
