Freq(Hz)	SPL(dB)
20	82.757
21	82.817
22	82.96
23	83.236
24	83.878
25	84.338
26	84.982
27	85.429
28	85.62
29	85.665
30	85.709
31	85.784
32	85.946
33	86.054
34	86.178
35	86.259
36	86.272
37	86.239
38	86.179
39	86.135
40	86.113
41	86.102
42	86.073
43	86.029
44	85.981
45	85.894
46	85.826
47	85.774
48	85.691
49	85.614
50	85.531
51	85.483
52	85.407
53	85.341
54	85.268
55	85.221
56	85.168
57	85.099
58	85.031
59	84.995
60	84.924
61	84.878
62	84.856
63	84.805
64	84.762
65	84.73
66	84.7
67	84.654
68	84.616
69	84.585
70	84.572
71	84.549
72	84.524
73	84.511
74	84.48
75	84.465
76	84.446
77	84.426
78	84.421
79	84.415
80	84.404
81	84.402
82	84.396
83	84.383
84	84.383
85	84.384
86	84.381
87	84.383
88	84.375
89	84.373
90	84.382
91	84.38
92	84.387
93	84.396
94	84.408
95	84.428
96	84.438
97	84.463
98	84.482
99	84.491
100	84.512
101	84.533
102	84.556
103	84.561
104	84.565
105	84.577
106	84.577
107	84.578
108	84.571
109	84.56
110	84.551
111	84.546
112	84.535
113	84.522
114	84.526
115	84.523
116	84.514
117	84.52
118	84.527
119	84.524
120	84.514
121	84.508
122	84.504
123	84.498
124	84.486
125	84.481
126	84.471
127	84.453
128	84.437
129	84.42
130	84.4
131	84.374
132	84.336
133	84.323
134	84.297
135	84.257
136	84.225
137	84.2
138	84.167
139	84.12
140	84.086
141	84.047
142	84.002
143	83.951
144	83.914
145	83.861
146	83.807
147	83.743
148	83.707
149	83.654
150	83.589
151	83.545
152	83.486
153	83.432
154	83.366
155	83.316
156	83.26
157	83.203
158	83.131
159	83.085
160	83.023
161	82.959
162	82.878
163	82.833
164	82.773
165	82.7
166	82.657
167	82.587
168	82.513
169	82.447
170	82.393
171	82.321
172	82.254
173	82.188
174	82.145
175	82.079
176	82.016
177	81.968
178	81.9
179	81.832
180	81.771
181	81.73
182	81.658
183	81.6
184	81.542
185	81.5
186	81.452
187	81.407
188	81.364
189	81.302
190	81.267
191	81.218
192	81.19
193	81.158
194	81.107
195	81.086
196	81.06
197	81.012
198	81.003
199	80.969
200	80.94
201	80.924
202	80.905
203	80.886
204	80.873
205	80.845
206	80.834
207	80.831
208	80.823
209	80.828
210	80.805
211	80.806
212	80.811
213	80.802
214	80.815
215	80.812
216	80.802
217	80.815
218	80.822
219	80.832
220	80.839
221	80.84
222	80.847
223	80.874
224	80.879
225	80.901
226	80.913
227	80.921
228	80.952
229	80.964
230	80.978
231	81.004
232	81.025
233	81.033
234	81.053
235	81.087
236	81.105
237	81.122
238	81.164
239	81.193
240	81.207
241	81.239
242	81.268
243	81.291
244	81.311
245	81.332
246	81.374
247	81.393
248	81.401
249	81.441
250	81.461
251	81.483
252	81.504
253	81.527
254	81.561
255	81.581
256	81.596
257	81.633
258	81.664
259	81.683
260	81.71
261	81.74
262	81.764
263	81.773
264	81.789
265	81.804
266	81.809
267	81.817
268	81.818
269	81.831
270	81.849
271	81.861
272	81.891
273	81.916
274	81.937
275	81.973
276	82.012
277	82.055
278	82.078
279	82.12
280	82.166
281	82.198
282	82.242
283	82.287
284	82.331
285	82.358
286	82.4
287	82.448
288	82.48
289	82.497
290	82.538
291	82.568
292	82.585
293	82.624
294	82.653
295	82.675
296	82.691
297	82.717
298	82.744
299	82.77
300	82.786
301	82.804
302	82.839
303	82.861
304	82.869
305	82.887
306	82.9
307	82.919
308	82.944
309	82.961
310	82.977
311	82.989
312	83.012
313	83.022
314	83.042
315	83.052
316	83.061
317	83.079
318	83.087
319	83.102
320	83.109
321	83.125
322	83.132
323	83.135
324	83.145
325	83.143
326	83.151
327	83.156
328	83.154
329	83.161
