Freq(Hz)	SPL(dB)
20	81.272
21	81.418
22	81.756
23	82.062
24	82.535
25	82.862
26	83.328
27	83.711
28	83.938
29	84.012
30	84.111
31	84.175
32	84.28
33	84.356
34	84.419
35	84.478
36	84.493
37	84.469
38	84.436
39	84.384
40	84.353
41	84.299
42	84.254
43	84.207
44	84.152
45	84.072
46	84.004
47	83.956
48	83.875
49	83.799
50	83.712
51	83.654
52	83.588
53	83.517
54	83.445
55	83.399
56	83.333
57	83.274
58	83.211
59	83.171
60	83.122
61	83.065
62	83.036
63	83.008
64	82.958
65	82.927
66	82.907
67	82.866
68	82.837
69	82.813
70	82.8
71	82.777
72	82.749
73	82.744
74	82.741
75	82.727
76	82.728
77	82.721
78	82.706
79	82.7
80	82.697
81	82.7
82	82.693
83	82.686
84	82.684
85	82.687
86	82.691
87	82.683
88	82.682
89	82.689
90	82.689
91	82.682
92	82.684
93	82.685
94	82.682
95	82.685
96	82.688
97	82.682
98	82.686
99	82.686
100	82.669
101	82.662
102	82.656
103	82.645
104	82.629
105	82.614
106	82.598
107	82.591
108	82.579
109	82.561
110	82.544
111	82.53
112	82.519
113	82.504
114	82.486
115	82.474
116	82.463
117	82.452
118	82.443
119	82.432
120	82.421
121	82.402
122	82.402
123	82.405
124	82.389
125	82.381
126	82.368
127	82.36
128	82.341
129	82.328
130	82.324
131	82.298
132	82.27
133	82.253
134	82.229
135	82.206
136	82.168
137	82.146
138	82.12
139	82.078
140	82.051
141	82.017
142	81.968
143	81.924
144	81.89
145	81.836
146	81.792
147	81.729
148	81.69
149	81.631
150	81.575
151	81.54
152	81.471
153	81.408
154	81.351
155	81.305
156	81.239
157	81.171
158	81.107
159	81.061
160	80.984
161	80.92
162	80.839
163	80.789
164	80.725
165	80.652
166	80.608
167	80.534
168	80.456
169	80.393
170	80.347
171	80.267
172	80.2
173	80.124
174	80.073
175	80.007
176	79.938
177	79.903
178	79.837
179	79.771
180	79.701
181	79.647
182	79.598
183	79.526
184	79.468
185	79.442
186	79.368
187	79.309
188	79.282
189	79.233
190	79.186
191	79.144
192	79.119
193	79.068
194	79.028
195	78.998
196	78.978
197	78.952
198	78.908
199	78.896
200	78.885
201	78.843
202	78.834
203	78.827
204	78.798
205	78.782
206	78.781
207	78.769
208	78.755
209	78.757
210	78.751
211	78.751
212	78.734
213	78.742
214	78.752
215	78.744
216	78.761
217	78.759
218	78.763
219	78.777
220	78.78
221	78.792
222	78.79
223	78.808
224	78.833
225	78.829
226	78.839
227	78.852
228	78.871
229	78.884
230	78.885
231	78.891
232	78.909
233	78.926
234	78.945
235	78.969
236	78.987
237	78.991
238	79.001
239	79.02
240	79.033
241	79.062
242	79.068
243	79.089
244	79.115
245	79.136
246	79.149
247	79.167
248	79.177
249	79.193
250	79.217
251	79.214
252	79.215
253	79.232
254	79.249
255	79.257
256	79.268
257	79.298
258	79.324
259	79.34
260	79.362
261	79.374
262	79.407
263	79.419
264	79.43
265	79.46
266	79.468
267	79.478
268	79.5
269	79.515
270	79.525
271	79.564
272	79.599
273	79.609
274	79.63
275	79.66
276	79.681
277	79.707
278	79.723
279	79.756
280	79.79
281	79.804
282	79.827
283	79.853
284	79.882
285	79.895
286	79.91
287	79.948
288	79.973
289	79.988
290	80.013
291	80.041
292	80.06
293	80.083
294	80.105
295	80.132
296	80.153
297	80.177
298	80.2
299	80.228
300	80.235
301	80.257
302	80.288
303	80.302
304	80.32
305	80.346
306	80.367
307	80.387
308	80.402
309	80.412
310	80.436
311	80.446
312	80.468
313	80.498
314	80.519
315	80.522
316	80.522
317	80.545
318	80.564
319	80.585
320	80.592
321	80.616
322	80.625
323	80.618
324	80.638
325	80.653
326	80.667
327	80.678
328	80.681
329	80.69
330	80.7
331	80.722
332	80.719
333	80.736
334	80.761
335	80.757
336	80.78
337	80.784
338	80.798
339	80.811
340	80.812
341	80.834
342	80.841
343	80.842
344	80.862
345	80.878
346	80.882
347	80.902
348	80.91
349	80.916
350	80.934
351	80.936
352	80.944
353	80.947
354	80.961
355	80.97
356	80.964
357	80.98
358	80.996
359	80.999
360	81.011
361	81.011
362	81.004
363	81.012
364	81.017
365	81.028
366	81.036
367	81.038
368	81.052
369	81.051
370	81.058
371	81.064
372	81.053
373	81.056
374	81.059
375	81.052
376	81.048
377	81.047
378	81.039
379	81.031
380	81.039
381	81.021
382	81.005
383	81.014
384	81.005
385	80.989
386	80.985
387	80.972
388	80.926
389	80.925
390	80.917
391	80.879
392	80.853
393	80.823
394	80.822
395	80.797
396	80.768
397	80.744
398	80.688
399	80.687
400	80.671
401	80.65
402	80.637
403	80.605
404	80.606
405	80.588
406	80.579
407	80.581
408	80.582
409	80.59
410	80.616
411	80.618
412	80.653
413	80.693
414	80.72
415	80.76
416	80.776
417	80.8
418	80.826
419	80.836
420	80.862
421	80.874
422	80.878
423	80.893
424	80.904
425	80.892
426	80.901
427	80.886
428	80.881
429	80.903
430	80.885
431	80.897
432	80.879
433	80.871
434	80.88
435	80.847
436	80.856
437	80.839
438	80.804
439	80.827
440	80.778
441	80.782
442	80.793
443	80.749
444	80.779
445	80.748
446	80.706
447	80.729
448	80.685
449	80.639
450	80.643
451	80.6
452	80.578
453	80.563
454	80.523
455	80.499
456	80.493
457	80.457
458	80.425
459	80.415
460	80.399
461	80.396
462	80.396
463	80.377
464	80.375
465	80.379
466	80.385
467	80.38
468	80.375
469	80.377
470	80.367
471	80.371
472	80.373
473	80.375
474	80.385
475	80.383
476	80.365
477	80.366
478	80.355
479	80.345
480	80.366
481	80.356
482	80.361
483	80.376
484	80.336
485	80.338
486	80.343
487	80.307
488	80.319
489	80.327
490	80.315
491	80.318
492	80.319
493	80.319
494	80.307
495	80.311
496	80.29
497	80.264
498	80.272
499	80.253
500	80.24
501	80.261
502	80.24
503	80.246
504	80.253
505	80.245
506	80.249
507	80.238
508	80.231
509	80.227
510	80.222
511	80.211
512	80.211
513	80.204
514	80.193
515	80.192
516	80.189
517	80.189
518	80.184
519	80.173
520	80.163
521	80.159
522	80.155
523	80.144
524	80.137
525	80.15
526	80.143
527	80.144
528	80.143
529	80.142
530	80.135
531	80.115
532	80.121
533	80.112
534	80.102
535	80.113
536	80.114
537	80.099
538	80.091
539	80.094
540	80.104
541	80.083
542	80.078
543	80.096
544	80.07
545	80.069
546	80.073
547	80.06
548	80.067
549	80.061
550	80.043
551	80.042
552	80.036
553	80.032
554	80.012
555	80.011
556	80.014
557	79.987
558	79.978
559	79.972
560	79.969
561	79.952
562	79.945
563	79.947
564	79.917
565	79.91
566	79.91
567	79.891
568	79.87
569	79.88
570	79.861
571	79.843
572	79.835
573	79.826
574	79.828
575	79.827
576	79.796
577	79.794
578	79.798
579	79.751
580	79.756
581	79.77
582	79.747
583	79.726
584	79.739
585	79.724
586	79.701
587	79.705
588	79.699
589	79.682
590	79.681
591	79.684
592	79.666
593	79.661
594	79.67
595	79.671
596	79.672
597	79.662
598	79.64
599	79.631
600	79.624
601	79.613
602	79.59
603	79.583
604	79.575
605	79.574
606	79.567
607	79.548
608	79.55
609	79.534
610	79.521
611	79.501
612	79.493
613	79.478
614	79.463
615	79.463
616	79.453
617	79.441
618	79.416
619	79.402
620	79.375
621	79.376
622	79.358
623	79.348
624	79.34
625	79.301
626	79.3
627	79.291
628	79.279
629	79.267
630	79.243
631	79.229
632	79.218
633	79.21
634	79.206
635	79.159
636	79.148
637	79.145
638	79.126
639	79.104
640	79.079
641	79.072
642	79.059
643	79.025
644	79.02
645	79.01
646	78.979
647	78.979
648	78.955
649	78.938
650	78.926
651	78.909
652	78.897
653	78.881
654	78.863
655	78.846
656	78.832
657	78.824
658	78.807
659	78.784
660	78.77
661	78.749
662	78.727
663	78.718
664	78.707
665	78.688
666	78.669
667	78.651
668	78.631
669	78.602
670	78.594
671	78.597
672	78.581
673	78.538
674	78.524
675	78.511
676	78.492
677	78.476
678	78.449
679	78.443
680	78.437
681	78.427
682	78.41
683	78.381
684	78.363
685	78.347
686	78.335
687	78.321
688	78.312
689	78.286
690	78.272
691	78.263
692	78.262
693	78.249
694	78.242
695	78.252
696	78.227
697	78.219
698	78.2
699	78.203
700	78.181
701	78.168
702	78.177
703	78.156
704	78.157
705	78.141
706	78.122
707	78.113
708	78.1
709	78.105
710	78.082
711	78.071
712	78.075
713	78.056
714	78.041
715	78.017
716	78.011
717	78.027
718	77.986
719	77.971
