Freq(Hz)	SPL(dB)
15	91.972
16	91.428
17	91.002
18	91.026
19	91.118
20	91.265
21	91.273
22	91.142
23	90.86
24	90.611
25	90.447
26	90.349
27	90.343
28	90.293
29	90.22
30	90.003
31	89.72
32	89.404
33	89.175
34	88.913
35	88.691
36	88.569
37	88.401
38	88.217
39	87.969
40	87.812
41	87.562
42	87.38
43	87.224
44	87.142
45	87.051
46	86.994
47	86.954
48	86.889
49	86.874
50	86.904
51	86.905
52	86.914
53	86.954
54	86.983
55	86.992
56	87.014
57	87.067
58	87.129
59	87.157
60	87.221
61	87.271
62	87.291
63	87.319
64	87.331
65	87.377
66	87.415
67	87.45
68	87.528
69	87.594
70	87.631
71	87.682
72	87.758
73	87.817
74	87.879
75	87.943
76	88.021
77	88.089
78	88.169
79	88.247
80	88.34
81	88.395
82	88.488
83	88.573
84	88.653
85	88.708
86	88.787
87	88.852
88	88.901
89	88.967
90	89.018
91	89.091
92	89.122
93	89.154
94	89.204
95	89.215
96	89.226
97	89.255
98	89.258
99	89.262
100	89.263
101	89.256
102	89.246
103	89.234
104	89.212
105	89.186
106	89.157
107	89.14
108	89.118
109	89.091
110	89.062
111	89.04
112	89.001
113	88.956
114	88.928
115	88.887
116	88.835
117	88.781
118	88.75
119	88.698
120	88.637
121	88.572
122	88.535
123	88.481
124	88.423
125	88.381
126	88.315
127	88.254
128	88.175
129	88.142
130	88.078
131	88.02
132	87.975
133	87.915
134	87.868
135	87.81
136	87.741
137	87.709
138	87.652
139	87.6
140	87.559
141	87.496
142	87.442
143	87.39
144	87.353
145	87.299
146	87.252
147	87.199
148	87.164
149	87.118
150	87.07
151	87.04
152	86.994
153	86.946
154	86.89
155	86.853
156	86.815
157	86.763
158	86.71
159	86.685
160	86.645
161	86.603
162	86.566
163	86.533
164	86.485
165	86.445
166	86.417
167	86.378
168	86.333
169	86.29
170	86.265
171	86.234
172	86.195
173	86.156
174	86.14
175	86.1
176	86.062
177	86.039
178	85.997
179	85.974
180	85.937
181	85.917
182	85.881
183	85.833
184	85.807
185	85.773
186	85.732
187	85.701
188	85.669
189	85.623
190	85.577
191	85.533
192	85.508
193	85.467
194	85.424
195	85.388
196	85.364
197	85.319
