Freq(Hz)	SPL(dB)
20	67.088
21	67.514
22	68.487
23	69.373
24	70.039
25	70.361
26	70.49
27	70.47
28	70.986
29	71.269
30	72.038
31	72.707
32	72.741
33	73.139
34	72.979
35	73.298
36	74.07
37	74.116
38	74.531
39	75.235
40	75.456
41	75.803
42	75.886
43	75.968
44	75.708
45	76.241
46	76.218
47	76.241
48	76.954
49	76.772
50	77.251
51	77.347
52	78.226
53	78.381
54	77.939
55	78.176
56	78.272
57	78.662
58	78.742
59	78.765
60	79.011
61	79.072
62	79.073
63	79.185
64	79.512
65	79.656
66	79.898
67	80.137
68	79.989
69	80.415
70	80.481
71	80.277
72	80.275
73	80.313
74	80.497
75	80.601
76	80.682
77	80.753
78	80.94
79	80.939
80	80.922
81	81.022
82	81.082
83	81.115
84	81.134
85	81.158
86	81.245
87	81.286
88	81.324
89	81.389
90	81.416
91	81.534
92	81.55
93	81.494
94	81.541
95	81.64
96	81.649
97	81.539
98	81.507
99	81.596
100	81.689
101	81.726
102	81.672
103	81.6
104	81.66
105	81.715
106	81.804
107	81.805
108	81.743
109	81.784
110	81.849
111	81.807
112	81.79
113	81.912
114	81.859
115	81.894
116	81.952
117	81.866
118	81.834
119	81.812
120	81.877
121	81.903
122	81.876
123	81.802
124	81.848
125	81.868
126	81.854
127	81.875
128	81.867
129	81.842
130	81.866
131	81.964
132	81.864
133	81.868
134	81.862
135	81.766
136	81.959
137	82.037
138	81.934
139	81.836
140	81.844
141	81.826
142	81.785
143	81.761
144	81.831
145	81.864
146	81.811
147	81.823
148	81.788
149	81.8
150	81.764
151	81.755
152	81.772
153	81.773
154	81.752
155	81.689
156	81.693
157	81.687
158	81.727
159	81.753
160	81.651
161	81.591
162	81.693
163	81.714
164	81.625
165	81.737
166	81.749
167	81.612
168	81.638
169	81.656
170	81.648
171	81.665
172	81.678
173	81.601
174	81.661
175	81.761
176	81.655
177	81.683
178	81.754
179	81.731
180	81.718
181	81.714
182	81.738
183	81.698
184	81.655
185	81.653
186	81.662
187	81.669
188	81.656
189	81.564
190	81.547
191	81.587
192	81.527
193	81.492
194	81.48
195	81.371
196	81.373
197	81.385
198	81.278
199	81.354
200	81.423
201	81.359
202	81.346
203	81.389
204	81.37
205	81.293
206	81.282
207	81.257
208	81.226
209	81.198
210	81.224
211	81.25
212	81.177
213	81.207
214	81.209
215	81.179
216	81.177
217	81.131
218	81.127
219	81.099
220	81.157
221	81.067
222	80.993
223	81.008
224	80.941
225	81.009
226	81.035
227	80.91
228	80.904
229	80.801
230	80.854
231	80.912
232	80.814
233	80.896
234	80.837
235	80.859
236	80.724
237	80.831
238	80.84
239	80.691
240	80.792
241	80.722
242	80.701
243	80.68
244	80.664
245	80.59
246	80.614
247	80.501
248	80.436
249	80.495
250	80.352
251	80.419
252	80.255
253	80.321
254	80.408
255	80.161
256	80.344
257	80.174
258	80.326
259	80.39
260	80.149
261	80.456
262	80.394
263	80.363
264	80.498
265	80.575
266	80.717
267	81.158
268	81.248
269	81.212
270	81.401
271	81.599
272	81.704
273	81.921
274	82.064
275	82.186
276	82.275
277	82.411
278	82.471
279	82.522
280	82.601
281	82.638
282	82.696
283	82.747
284	82.76
285	82.813
286	82.867
287	82.851
288	82.904
289	82.892
290	82.819
291	82.777
292	82.763
293	82.736
294	82.719
295	82.769
296	82.765
297	82.72
298	82.678
299	82.672
300	82.685
301	82.629
302	82.583
303	82.606
304	82.61
305	82.614
306	82.603
307	82.579
308	82.603
309	82.568
310	82.62
311	82.62
312	82.451
313	82.515
314	82.513
315	82.417
316	82.429
317	82.53
318	82.504
319	82.457
320	82.43
321	82.407
322	82.444
323	82.419
324	82.389
325	82.415
326	82.407
327	82.414
328	82.47
329	82.392
330	82.347
331	82.435
332	82.39
333	82.399
334	82.417
335	82.377
336	82.387
337	82.281
338	82.338
339	82.426
340	82.394
341	82.393
342	82.323
343	82.32
344	82.361
345	82.395
346	82.298
347	82.471
348	82.503
349	82.236
350	82.456
351	82.471
352	82.292
353	82.282
354	82.421
355	82.373
356	82.256
357	82.255
358	82.421
359	82.495
360	82.356
361	82.175
362	82.418
363	82.604
364	82.326
365	82.036
366	82.49
367	82.532
368	82.373
369	82.336
370	82.214
371	82.253
372	82.369
373	82.405
374	82.415
375	82.37
376	82.322
377	82.26
378	82.291
379	82.416
380	82.458
381	82.34
382	82.327
383	82.437
384	82.394
385	82.348
386	82.374
387	82.381
388	82.34
389	82.326
390	82.318
391	82.251
392	82.245
393	82.281
394	82.328
395	82.357
396	82.398
397	82.358
398	82.352
399	82.435
400	82.448
401	82.482
402	82.445
403	82.474
404	82.39
405	82.331
406	82.317
407	82.236
408	82.295
409	82.245
410	82.352
411	82.415
412	82.322
413	82.33
414	82.25
415	82.29
416	82.391
417	82.314
418	82.324
419	82.31
420	82.336
421	82.333
422	82.307
423	82.349
424	82.322
425	82.337
426	82.321
427	82.321
428	82.34
429	82.309
430	82.349
431	82.349
432	82.3
433	82.329
434	82.363
435	82.364
436	82.344
437	82.369
438	82.348
439	82.355
440	82.367
441	82.335
442	82.319
443	82.324
444	82.38
445	82.342
446	82.312
447	82.437
448	82.428
449	82.347
450	82.33
451	82.334
452	82.373
453	82.352
454	82.355
455	82.375
456	82.364
457	82.368
458	82.371
459	82.376
460	82.384
461	82.37
462	82.33
463	82.319
464	82.319
465	82.416
466	82.462
467	82.448
468	82.43
469	82.414
470	82.428
471	82.441
472	82.459
473	82.481
474	82.446
475	82.431
476	82.45
477	82.403
478	82.42
479	82.451
480	82.461
481	82.484
482	82.48
483	82.447
484	82.461
485	82.431
486	82.446
487	82.473
488	82.388
489	82.442
490	82.514
491	82.481
492	82.554
493	82.523
494	82.524
495	82.547
496	82.518
497	82.561
498	82.502
499	82.451
500	82.484
501	82.451
502	82.429
503	82.499
504	82.452
505	82.448
506	82.514
507	82.464
508	82.479
509	82.482
510	82.519
511	82.477
512	82.563
513	82.675
514	82.553
515	82.664
516	82.699
517	82.639
518	82.692
519	82.648
520	82.598
521	82.514
522	82.53
523	82.476
524	82.499
525	82.526
526	82.501
527	82.539
528	82.518
529	82.589
530	82.534
531	82.515
532	82.551
533	82.505
534	82.56
535	82.582
536	82.567
537	82.579
538	82.563
539	82.61
540	82.547
541	82.506
542	82.626
543	82.562
544	82.557
545	82.575
546	82.599
547	82.593
548	82.608
549	82.63
550	82.547
551	82.593
552	82.575
553	82.561
554	82.597
555	82.556
556	82.58
557	82.616
558	82.587
559	82.582
560	82.602
561	82.591
562	82.595
563	82.575
564	82.649
565	82.603
566	82.586
567	82.692
568	82.576
569	82.64
570	82.614
571	82.551
572	82.668
573	82.611
574	82.637
575	82.609
576	82.675
577	82.654
578	82.5
579	82.713
580	82.63
581	82.55
582	82.743
583	82.638
584	82.627
585	82.738
586	82.679
587	82.67
588	82.734
589	82.699
590	82.658
591	82.702
592	82.731
593	82.671
594	82.669
595	82.773
596	82.693
597	82.654
598	82.803
599	82.784
600	82.628
601	82.797
602	82.831
603	82.609
604	82.679
605	82.832
606	82.658
607	82.675
608	82.831
609	82.742
610	82.721
611	82.791
612	82.753
613	82.771
614	82.752
615	82.746
616	82.747
617	82.774
618	82.799
619	82.768
620	82.727
621	82.764
622	82.83
623	82.795
624	82.701
625	82.812
626	82.879
627	82.927
628	82.781
629	82.709
630	82.932
631	82.835
632	82.793
633	82.852
634	82.792
635	82.855
636	82.861
637	82.844
638	82.781
639	82.862
640	82.865
641	82.857
642	82.892
643	82.766
644	82.923
645	82.844
646	82.93
647	82.937
648	82.714
649	82.927
650	82.942
651	82.789
652	82.934
653	82.951
654	82.793
655	82.908
656	83.002
657	82.884
658	82.818
659	82.944
660	82.916
661	82.863
662	82.867
663	82.972
664	82.968
665	82.743
666	83.076
667	82.997
668	82.807
669	82.956
670	82.918
671	83.007
672	82.865
673	82.991
674	82.957
675	82.893
676	82.993
677	82.901
678	82.95
679	83.014
680	83.075
681	82.844
682	82.804
683	83.135
684	83.077
685	82.752
686	82.811
687	83.186
688	82.977
689	82.797
690	82.952
691	83.009
692	83.041
693	83.037
694	82.878
695	82.967
696	82.992
697	82.989
698	83.037
699	82.919
700	83.008
701	83.043
702	82.961
703	83.004
704	83.067
705	83.068
706	82.967
707	82.92
708	83.062
709	83.131
710	82.966
711	83.033
712	83.051
713	83.037
714	83.055
715	83.061
716	83.131
717	83.136
718	82.987
719	82.986
720	83.109
721	83.104
722	83.115
723	83.131
724	83.062
725	82.996
726	83.119
727	83.177
728	83.115
729	83.078
730	83.006
731	83.028
732	83.115
733	83.042
734	83.046
735	83.086
736	83.016
737	83.114
738	83.12
739	83.063
740	83.098
741	83.039
742	83.087
743	83.215
744	83.078
745	83.016
