Freq(Hz)	SPL(dB)
20	86.753
21	86.706
22	86.496
23	86.245
24	86.113
25	86.083
26	86.18
27	86.364
28	86.513
29	86.568
30	86.597
31	86.551
32	86.506
33	86.468
34	86.473
35	86.479
36	86.491
37	86.479
38	86.398
39	86.314
40	86.242
41	86.12
42	86.023
43	85.925
44	85.88
45	85.791
46	85.694
47	85.636
48	85.548
49	85.496
50	85.44
51	85.407
52	85.365
53	85.326
54	85.304
55	85.285
56	85.276
57	85.285
58	85.284
59	85.293
60	85.328
61	85.359
62	85.384
63	85.415
64	85.456
65	85.523
66	85.568
67	85.62
68	85.688
69	85.768
70	85.824
71	85.919
72	86.001
73	86.059
74	86.15
75	86.226
76	86.307
77	86.356
78	86.417
79	86.494
80	86.572
81	86.617
82	86.683
83	86.754
84	86.823
85	86.852
86	86.892
87	86.925
88	86.94
89	86.981
90	87.006
91	87.02
92	87.032
93	87.041
94	87.033
95	87.034
96	87.025
97	86.999
98	86.988
99	86.971
100	86.947
101	86.9
102	86.847
103	86.826
104	86.783
105	86.729
106	86.672
107	86.627
108	86.557
109	86.496
110	86.424
111	86.371
112	86.297
113	86.221
114	86.16
115	86.07
116	85.97
117	85.872
118	85.81
119	85.709
120	85.613
121	85.511
122	85.444
123	85.353
124	85.236
125	85.163
126	85.052
127	84.939
128	84.854
129	84.772
130	84.654
131	84.541
132	84.438
133	84.366
134	84.251
135	84.133
136	84.025
137	83.944
138	83.809
139	83.704
140	83.609
141	83.509
142	83.406
143	83.294
144	83.239
145	83.113
146	83.025
147	82.914
148	82.844
149	82.749
150	82.626
151	82.561
152	82.463
153	82.367
154	82.269
155	82.203
156	82.083
157	82.011
158	81.924
159	81.85
160	81.787
161	81.665
162	81.594
163	81.559
164	81.442
165	81.388
166	81.335
167	81.211
168	81.156
169	81.089
170	81.032
171	80.967
172	80.891
173	80.802
174	80.772
175	80.736
176	80.652
177	80.609
178	80.574
179	80.505
180	80.431
181	80.413
182	80.359
183	80.247
184	80.2
185	80.165
186	80.072
187	80.016
188	79.993
189	79.94
190	79.869
191	79.821
192	79.787
193	79.719
194	79.654
195	79.628
196	79.61
197	79.548
198	79.492
199	79.466
200	79.45
201	79.376
202	79.281
203	79.269
204	79.266
205	79.176
206	79.118
207	79.122
208	79.092
209	79.041
210	78.995
211	78.956
212	78.934
213	78.897
214	78.867
215	78.823
216	78.77
217	78.77
218	78.757
219	78.701
220	78.646
221	78.61
222	78.602
223	78.565
224	78.498
225	78.46
226	78.428
227	78.389
228	78.406
229	78.394
230	78.346
231	78.303
232	78.253
233	78.249
234	78.24
235	78.195
236	78.153
237	78.129
238	78.105
239	78.102
240	78.088
241	78.054
242	78.046
243	77.981
244	77.959
245	77.935
246	77.909
247	77.918
248	77.878
249	77.853
250	77.82
251	77.796
252	77.818
253	77.8
254	77.795
255	77.789
256	77.75
257	77.731
258	77.704
259	77.701
260	77.674
261	77.634
262	77.642
263	77.636
264	77.618
265	77.6
266	77.572
267	77.539
268	77.533
269	77.545
270	77.529
271	77.505
272	77.5
273	77.475
274	77.472
275	77.445
276	77.437
277	77.44
278	77.414
279	77.399
280	77.405
281	77.392
282	77.399
283	77.4
284	77.372
285	77.373
286	77.363
287	77.369
288	77.363
289	77.336
290	77.316
291	77.307
292	77.308
293	77.309
294	77.299
295	77.281
296	77.274
297	77.277
298	77.265
299	77.257
300	77.237
301	77.223
302	77.216
303	77.223
304	77.231
305	77.215
306	77.192
307	77.193
308	77.208
309	77.18
310	77.172
311	77.163
312	77.167
313	77.153
314	77.143
315	77.14
316	77.113
317	77.141
318	77.14
319	77.109
320	77.097
321	77.118
322	77.111
323	77.082
324	77.09
325	77.068
326	77.06
327	77.058
328	77.036
329	77.054
330	77.057
331	77.025
332	77.012
333	77.007
334	77.005
335	76.984
336	76.957
337	76.955
338	76.968
339	76.967
340	76.959
341	76.945
342	76.911
343	76.925
344	76.932
345	76.911
346	76.897
347	76.854
348	76.847
349	76.859
350	76.821
351	76.844
352	76.843
353	76.814
354	76.841
355	76.779
356	76.772
357	76.78
358	76.743
359	76.752
360	76.731
361	76.719
362	76.699
363	76.682
364	76.685
365	76.677
366	76.692
367	76.691
368	76.659
369	76.658
370	76.657
371	76.625
372	76.613
373	76.599
374	76.59
375	76.601
376	76.582
377	76.544
378	76.538
379	76.553
380	76.527
381	76.514
382	76.524
383	76.495
384	76.459
385	76.417
386	76.392
387	76.389
388	76.35
389	76.35
390	76.324
391	76.316
392	76.302
393	76.284
394	76.287
395	76.265
396	76.222
397	76.182
398	76.167
399	76.139
400	76.125
401	76.107
402	76.131
403	76.13
404	76.11
405	76.076
406	76.021
407	75.953
408	75.933
409	75.929
410	75.922
411	75.928
412	75.921
413	75.888
414	75.833
415	75.813
416	75.819
417	75.788
418	75.802
419	75.807
420	75.809
421	75.848
422	75.842
423	75.862
424	75.857
425	75.811
426	75.817
427	75.811
428	75.794
429	75.819
430	75.849
431	75.861
432	75.849
433	75.845
434	75.821
435	75.808
436	75.816
437	75.799
438	75.796
439	75.798
440	75.806
441	75.833
442	75.815
443	75.791
444	75.828
445	75.806
446	75.789
447	75.787
448	75.783
449	75.819
450	75.777
451	75.767
452	75.761
453	75.723
454	75.705
455	75.72
456	75.709
457	75.688
458	75.718
459	75.714
460	75.726
461	75.72
462	75.709
463	75.713
464	75.686
465	75.686
466	75.702
467	75.699
468	75.686
469	75.67
470	75.654
471	75.666
472	75.647
473	75.609
474	75.641
475	75.631
476	75.602
477	75.637
478	75.631
479	75.636
480	75.649
481	75.641
